check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:01:00.219477+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:01:00.219496+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:01:00.789513+05:30
http,pass,Probe 1: HTTP 200 at https://aeb.gov.lk/,https://aeb.gov.lk/,2026-09-09T00:02:12.497900+05:30
http,pass,Probe 2: HTTP 200 at http://aeb.gov.lk/,http://aeb.gov.lk/,2026-09-09T00:02:12.497925+05:30
http,pass,Probe 3: HTTP 200 at https://aeb.gov.lk/,https://aeb.gov.lk/,2026-09-09T00:02:12.497929+05:30
http,pass,Probe 4: HTTP 200 at http://aeb.gov.lk/,http://aeb.gov.lk/,2026-09-09T00:02:12.497932+05:30
http,pass,Probe 5: HTTP 200 at https://aeb.gov.lk/main-home/,https://aeb.gov.lk/main-home/,2026-09-09T00:02:12.497934+05:30
http,pass,Probe 6: HTTP 200 at https://aeb.gov.lk/radiation-protection-and-technical-services/,https://aeb.gov.lk/radiation-protection-and-technical-services/,2026-09-09T00:02:12.497937+05:30
http,pass,Probe 7: HTTP 200 at https://aeb.gov.lk/technical-development-services/,https://aeb.gov.lk/technical-development-services/,2026-09-09T00:02:12.497940+05:30
http,pass,Probe 8: HTTP 200 at https://aeb.gov.lk/radiation-protection-technical-services-division/,https://aeb.gov.lk/radiation-protection-technical-services-division/,2026-09-09T00:02:12.497942+05:30
http,pass,Probe 9: HTTP 200 at https://aeb.gov.lk/international-corporation-divisions/,https://aeb.gov.lk/international-corporation-divisions/,2026-09-09T00:02:12.497945+05:30
http,pass,Probe 10: HTTP 200 at https://aeb.gov.lk/finance-department/,https://aeb.gov.lk/finance-department/,2026-09-09T00:02:12.497948+05:30
http,pass,Probe 11: HTTP 200 at https://aeb.gov.lk/administration-human-resources-procurement-division/,https://aeb.gov.lk/administration-human-resources-procurement-division/,2026-09-09T00:02:12.497950+05:30
http,pass,Probe 12: HTTP 200 at https://aeb.gov.lk/service/,https://aeb.gov.lk/service/,2026-09-09T00:02:12.497953+05:30
http,pass,Probe 13: HTTP 200 at https://aeb.gov.lk/information-officers/,https://aeb.gov.lk/information-officers/,2026-09-09T00:02:12.497956+05:30
http,pass,Probe 14: HTTP 200 at https://aeb.gov.lk/contact-us/,https://aeb.gov.lk/contact-us/,2026-09-09T00:02:12.497958+05:30
phone,pass,Published phone: +94112533427,https://aeb.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://aeb.gov.lk/,
phone,pass,Published phone: +94112533427,http://aeb.gov.lk/,
named_responsibility,pass,Published named responsibility: division,http://aeb.gov.lk/,
phone,pass,Published phone: +94112533427,https://aeb.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://aeb.gov.lk/,
phone,pass,Published phone: +94112533427,http://aeb.gov.lk/,
named_responsibility,pass,Published named responsibility: division,http://aeb.gov.lk/,
phone,pass,Published phone: +94-11-2533427-,https://aeb.gov.lk/main-home/,
phone,pass,Published phone: +94112533427,https://aeb.gov.lk/main-home/,
phone,pass,Published phone: +94-11-2533449 ,https://aeb.gov.lk/main-home/,
phone,pass,Published phone: +94-11-2533448 ,https://aeb.gov.lk/main-home/,
email,pass,Published email: officialmail@aeb.gov.lk,https://aeb.gov.lk/main-home/,
named_responsibility,pass,Published named responsibility: director,https://aeb.gov.lk/main-home/,
phone,pass,Published phone: +94-11-2533427-,https://aeb.gov.lk/radiation-protection-and-technical-services/,
phone,pass,Published phone: +94112533427,https://aeb.gov.lk/radiation-protection-and-technical-services/,
phone,pass,Published phone: +94-11-2533449 ,https://aeb.gov.lk/radiation-protection-and-technical-services/,
phone,pass,Published phone: +94-11-2533448 ,https://aeb.gov.lk/radiation-protection-and-technical-services/,
email,pass,Published email: officialmail@aeb.gov.lk,https://aeb.gov.lk/radiation-protection-and-technical-services/,
named_responsibility,pass,Published named responsibility: director,https://aeb.gov.lk/radiation-protection-and-technical-services/,
phone,pass,Published phone: +94-11-2533427-,https://aeb.gov.lk/technical-development-services/,
phone,pass,Published phone: +94112533427,https://aeb.gov.lk/technical-development-services/,
phone,pass,Published phone: +94-11-2533449 ,https://aeb.gov.lk/technical-development-services/,
phone,pass,Published phone: +94-11-2533448 ,https://aeb.gov.lk/technical-development-services/,
email,pass,Published email: officialmail@aeb.gov.lk,https://aeb.gov.lk/technical-development-services/,
named_responsibility,pass,Published named responsibility: director,https://aeb.gov.lk/technical-development-services/,
phone,pass,Published phone: 011-253-4208 ,https://aeb.gov.lk/radiation-protection-technical-services-division/,
phone,pass,Published phone: 011-253-3448 ,https://aeb.gov.lk/radiation-protection-technical-services-division/,
phone,pass,Published phone: 071-848-8383 ,https://aeb.gov.lk/radiation-protection-technical-services-division/,
phone,pass,Published phone: +94-11-2533427-,https://aeb.gov.lk/radiation-protection-technical-services-division/,
phone,pass,Published phone: +94112533427,https://aeb.gov.lk/radiation-protection-technical-services-division/,
phone,pass,Published phone: +94-11-2533449 ,https://aeb.gov.lk/radiation-protection-technical-services-division/,
phone,pass,Published phone: +94-11-2533448 ,https://aeb.gov.lk/radiation-protection-technical-services-division/,
email,pass,Published email: officialmail@aeb.gov.lk,https://aeb.gov.lk/radiation-protection-technical-services-division/,
