check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:49:31.301735+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:49:31.301753+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:49:31.894177+05:30
http,pass,Probe 1: HTTP 200 at https://ayurveda.gov.lk/,https://ayurveda.gov.lk/,2026-09-08T23:50:17.775068+05:30
http,pass,Probe 2: HTTP 200 at https://ayurveda.gov.lk/,http://ayurveda.gov.lk/,2026-09-08T23:50:17.775093+05:30
http,pass,Probe 3: HTTP 200 at https://ayurveda.gov.lk/,https://ayurveda.gov.lk/,2026-09-08T23:50:17.775097+05:30
http,pass,Probe 4: HTTP 200 at https://ayurveda.gov.lk/,http://ayurveda.gov.lk/,2026-09-08T23:50:17.775100+05:30
http,pass,Probe 5: HTTP 200 at https://ayurveda.gov.lk/services/,https://ayurveda.gov.lk/services/,2026-09-08T23:50:17.775103+05:30
http,pass,Probe 6: HTTP 200 at https://ayurveda.gov.lk/contact-us/,https://ayurveda.gov.lk/contact-us/,2026-09-08T23:50:17.775105+05:30
http,pass,Probe 7: HTTP 200 at https://ayurveda.gov.lk/provincial-department-of-ayurveda/,https://ayurveda.gov.lk/provincial-department-of-ayurveda/,2026-09-08T23:50:17.775108+05:30
http,pass,Probe 8: HTTP 200 at https://ayurveda.gov.lk/location-map/,http://ayurveda.gov.lk/location-map/,2026-09-08T23:50:17.775110+05:30
http,pass,Probe 9: HTTP 200 at https://ayurveda.gov.lk/privacy-policy/,http://ayurveda.gov.lk/privacy-policy/,2026-09-08T23:50:17.775113+05:30
http,pass,Probe 10: HTTP 200 at https://ayurveda.gov.lk/about-us/,https://ayurveda.gov.lk/about-us/,2026-09-08T23:50:17.775116+05:30
http,pass,Probe 11: HTTP 200 at https://ayurveda.gov.lk/announcements/,https://ayurveda.gov.lk/announcements/,2026-09-08T23:50:17.775118+05:30
http,pass,Probe 12: HTTP 200 at https://ayurveda.gov.lk/hospitals/,https://ayurveda.gov.lk/hospitals/,2026-09-08T23:50:17.775121+05:30
http,pass,Probe 13: HTTP 200 at https://ayurveda.gov.lk/nitm/,https://ayurveda.gov.lk/nitm/,2026-09-08T23:50:17.775123+05:30
http,pass,Probe 14: HTTP 200 at https://ayurveda.gov.lk/bmari/,https://ayurveda.gov.lk/bmari/,2026-09-08T23:50:17.775126+05:30
phone,pass,Published phone: 0.2025 27.10.2,https://ayurveda.gov.lk/,
phone,pass,Published phone: +94) 11 2896911,https://ayurveda.gov.lk/,
phone,pass,Published phone: +94) 11 2896912,https://ayurveda.gov.lk/,
phone,pass,Published phone: 0112088675 ,https://ayurveda.gov.lk/,
phone,pass,Published phone: 0706665522 ,https://ayurveda.gov.lk/,
email,pass,Published email: iau@ayurveda.gov.lk,https://ayurveda.gov.lk/,
postal_address,pass,"Published postal address: corruption, misconduct, and unethical practices among Ayurvedic officers and administrative staff. The Internal Affairs ",https://ayurveda.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://ayurveda.gov.lk/,
phone,pass,Published phone: 0.2025 27.10.2,https://ayurveda.gov.lk/,
phone,pass,Published phone: +94) 11 2896911,https://ayurveda.gov.lk/,
phone,pass,Published phone: +94) 11 2896912,https://ayurveda.gov.lk/,
phone,pass,Published phone: 0112088675 ,https://ayurveda.gov.lk/,
phone,pass,Published phone: 0706665522 ,https://ayurveda.gov.lk/,
email,pass,Published email: iau@ayurveda.gov.lk,https://ayurveda.gov.lk/,
postal_address,pass,"Published postal address: corruption, misconduct, and unethical practices among Ayurvedic officers and administrative staff. The Internal Affairs ",https://ayurveda.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://ayurveda.gov.lk/,
phone,pass,Published phone: 0.2025 27.10.2,https://ayurveda.gov.lk/,
phone,pass,Published phone: +94) 11 2896911,https://ayurveda.gov.lk/,
phone,pass,Published phone: +94) 11 2896912,https://ayurveda.gov.lk/,
phone,pass,Published phone: 0112088675 ,https://ayurveda.gov.lk/,
phone,pass,Published phone: 0706665522 ,https://ayurveda.gov.lk/,
email,pass,Published email: iau@ayurveda.gov.lk,https://ayurveda.gov.lk/,
postal_address,pass,"Published postal address: corruption, misconduct, and unethical practices among Ayurvedic officers and administrative staff. The Internal Affairs ",https://ayurveda.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://ayurveda.gov.lk/,
phone,pass,Published phone: 0.2025 27.10.2,https://ayurveda.gov.lk/,
phone,pass,Published phone: +94) 11 2896911,https://ayurveda.gov.lk/,
phone,pass,Published phone: +94) 11 2896912,https://ayurveda.gov.lk/,
phone,pass,Published phone: 0112088675 ,https://ayurveda.gov.lk/,
phone,pass,Published phone: 0706665522 ,https://ayurveda.gov.lk/,
email,pass,Published email: iau@ayurveda.gov.lk,https://ayurveda.gov.lk/,
postal_address,pass,"Published postal address: corruption, misconduct, and unethical practices among Ayurvedic officers and administrative staff. The Internal Affairs ",https://ayurveda.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://ayurveda.gov.lk/,
phone,pass,Published phone: +94) 11 2896911,https://ayurveda.gov.lk/services/,
phone,pass,Published phone: +94) 11 2896912,https://ayurveda.gov.lk/services/,
postal_address,pass,Published postal address: your specific health needs and guide you on a path to holistic wellness. Discover the transformative power of Ayurveda a,https://ayurveda.gov.lk/services/,
named_responsibility,pass,Published named responsibility: division,https://ayurveda.gov.lk/services/,
legal_basis,pass,Published legal basis: regulations,https://ayurveda.gov.lk/services/,
phone,pass,Published phone: +94) 11 2896911,https://ayurveda.gov.lk/contact-us/,
phone,pass,Published phone: +94) 11 2896912,https://ayurveda.gov.lk/contact-us/,
email,pass,Published email: departmentofayurveda@gmail.com,https://ayurveda.gov.lk/contact-us/,
named_responsibility,pass,Published named responsibility: department,https://ayurveda.gov.lk/contact-us/,
phone,pass,Published phone: +94) 11 2896911,https://ayurveda.gov.lk/provincial-department-of-ayurveda/,
phone,pass,Published phone: +94) 11 2896912,https://ayurveda.gov.lk/provincial-department-of-ayurveda/,
named_responsibility,pass,Published named responsibility: department,https://ayurveda.gov.lk/provincial-department-of-ayurveda/,
phone,pass,Published phone: +94) 11 2896911,https://ayurveda.gov.lk/location-map/,
phone,pass,Published phone: +94) 11 2896912,https://ayurveda.gov.lk/location-map/,
named_responsibility,pass,Published named responsibility: department,https://ayurveda.gov.lk/location-map/,
phone,pass,Published phone: +94) 11 2896911,https://ayurveda.gov.lk/privacy-policy/,
phone,pass,Published phone: +94) 11 2896912,https://ayurveda.gov.lk/privacy-policy/,
email,pass,Published email: tmpolicy02@gmail.com,https://ayurveda.gov.lk/privacy-policy/,
named_responsibility,pass,Published named responsibility: department,https://ayurveda.gov.lk/privacy-policy/,
processing_time,pass,Published processing time: 14 days,https://ayurveda.gov.lk/privacy-policy/,
phone,pass,Published phone: +94) 11 2896911,https://ayurveda.gov.lk/about-us/,
phone,pass,Published phone: +94) 11 2896912,https://ayurveda.gov.lk/about-us/,
named_responsibility,pass,Published named responsibility: department,https://ayurveda.gov.lk/about-us/,
phone,pass,Published phone: +94) 11 2896911,https://ayurveda.gov.lk/announcements/,
phone,pass,Published phone: +94) 11 2896912,https://ayurveda.gov.lk/announcements/,
named_responsibility,pass,Published named responsibility: department,https://ayurveda.gov.lk/announcements/,
phone,pass,Published phone: +94) 11 2896911,https://ayurveda.gov.lk/hospitals/,
phone,pass,Published phone: +94) 11 2896912,https://ayurveda.gov.lk/hospitals/,
named_responsibility,pass,Published named responsibility: department,https://ayurveda.gov.lk/hospitals/,
phone,pass,Published phone: +94) 11 2896911,https://ayurveda.gov.lk/nitm/,
phone,pass,Published phone: 023-04-20-102,https://ayurveda.gov.lk/nitm/,
phone,pass,Published phone: +94) 11 2896912,https://ayurveda.gov.lk/nitm/,
named_responsibility,pass,Published named responsibility: department,https://ayurveda.gov.lk/nitm/,
phone,pass,Published phone: +94) 11 2896911,https://ayurveda.gov.lk/bmari/,
