check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:32:31.307676+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:32:31.307697+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:32:31.863253+05:30
http,pass,Probe 1: HTTP 200 at https://busl.ac.lk/,https://busl.ac.lk/,2026-09-08T23:32:52.788523+05:30
http,pass,Probe 2: HTTP 200 at https://busl.ac.lk/,http://busl.ac.lk/,2026-09-08T23:32:52.788542+05:30
http,pass,Probe 3: HTTP 200 at https://busl.ac.lk/,https://busl.ac.lk/,2026-09-08T23:32:52.788546+05:30
http,pass,Probe 4: HTTP 200 at https://busl.ac.lk/,http://busl.ac.lk/,2026-09-08T23:32:52.788549+05:30
http,pass,Probe 5: HTTP 200 at https://busl.ac.lk/information-officer/,https://busl.ac.lk/information-officer/,2026-09-08T23:32:52.788552+05:30
http,pass,Probe 6: HTTP 200 at https://busl.ac.lk/student-services/,https://busl.ac.lk/student-services/,2026-09-08T23:32:52.788555+05:30
http,pass,Probe 7: HTTP 200 at https://busl.ac.lk/contact/,https://busl.ac.lk/contact/,2026-09-08T23:32:52.788558+05:30
http,pass,Probe 8: HTTP 200 at https://busl.ac.lk/invitation-for-bids-provision-of-janitorial-service-2026-2027/,https://busl.ac.lk/invitation-for-bids-provision-of-janitorial-service-2026-2027/,2026-09-08T23:32:52.788561+05:30
http,pass,Probe 9: HTTP 200 at https://busl.ac.lk,https://busl.ac.lk,2026-09-08T23:32:52.788564+05:30
http,pass,Probe 10: HTTP 200 at https://busl.ac.lk/fobs/,https://busl.ac.lk/fobs,2026-09-08T23:32:52.788567+05:30
http,pass,Probe 11: HTTP 200 at https://busl.ac.lk/folc/,https://busl.ac.lk/folc/,2026-09-08T23:32:52.788570+05:30
http,pass,Probe 12: HTTP 200 at https://busl.ac.lk/library/,https://busl.ac.lk/library/,2026-09-08T23:32:52.788572+05:30
http,pass,Probe 13: HTTP 200 at https://busl.ac.lk/media/,https://busl.ac.lk/media,2026-09-08T23:32:52.788575+05:30
http,pass,Probe 14: HTTP 200 at https://busl.ac.lk/uiia/,https://busl.ac.lk/uiia/,2026-09-08T23:32:52.788577+05:30
named_responsibility,pass,Published named responsibility: director,https://busl.ac.lk/,
legal_basis,pass,Published legal basis: circular,https://busl.ac.lk/,
named_responsibility,pass,Published named responsibility: director,https://busl.ac.lk/,
legal_basis,pass,Published legal basis: circular,https://busl.ac.lk/,
named_responsibility,pass,Published named responsibility: director,https://busl.ac.lk/,
legal_basis,pass,Published legal basis: circular,https://busl.ac.lk/,
named_responsibility,pass,Published named responsibility: director,https://busl.ac.lk/,
legal_basis,pass,Published legal basis: circular,https://busl.ac.lk/,
phone,pass,Published phone: +94 252 222 615 ,https://busl.ac.lk/information-officer/,
phone,pass,Published phone: +94 716 811 844 ,https://busl.ac.lk/information-officer/,
phone,pass,Published phone: +94 714 474 510 ,https://busl.ac.lk/information-officer/,
phone,pass,Published phone: +94 252 057 978 ,https://busl.ac.lk/information-officer/,
email,pass,Published email: upedec@busl.ac.lk,https://busl.ac.lk/information-officer/,
email,pass,Published email: registrar@busl.ac.lk,https://busl.ac.lk/information-officer/,
named_responsibility,pass,Published named responsibility: responsible officer,https://busl.ac.lk/information-officer/,
legal_basis,pass,Published legal basis: circular,https://busl.ac.lk/information-officer/,
named_responsibility,pass,Published named responsibility: director,https://busl.ac.lk/student-services/,
legal_basis,pass,Published legal basis: circular,https://busl.ac.lk/student-services/,
phone,pass,Published phone: +94 252 236 760 ,https://busl.ac.lk/contact/,
phone,pass,Published phone: +94 252 236 340 ,https://busl.ac.lk/contact/,
email,pass,Published email: info@busl.ac.lk,https://busl.ac.lk/contact/,
named_responsibility,pass,Published named responsibility: director,https://busl.ac.lk/contact/,
legal_basis,pass,Published legal basis: circular,https://busl.ac.lk/contact/,
postal_address,pass,"Published postal address: to comment Enter your website URL (optional) Save my name, email, and website in this browser for the next time I commen",https://busl.ac.lk/invitation-for-bids-provision-of-janitorial-service-2026-2027/,
named_responsibility,pass,Published named responsibility: director,https://busl.ac.lk/invitation-for-bids-provision-of-janitorial-service-2026-2027/,
legal_basis,pass,Published legal basis: circular,https://busl.ac.lk/invitation-for-bids-provision-of-janitorial-service-2026-2027/,
named_responsibility,pass,Published named responsibility: director,https://busl.ac.lk,
legal_basis,pass,Published legal basis: circular,https://busl.ac.lk,
named_responsibility,pass,Published named responsibility: director,https://busl.ac.lk/fobs/,
phone,pass,Published phone: +94 252 236 760 (,https://busl.ac.lk/folc/,
phone,pass,Published phone: +94252236760,https://busl.ac.lk/folc/,
email,pass,Published email: flc@busl.ac.lk,https://busl.ac.lk/folc/,
named_responsibility,pass,Published named responsibility: department,https://busl.ac.lk/folc/,
phone,pass,Published phone: +94252222219,https://busl.ac.lk/library/,
phone,pass,Published phone: +94 25 222 2219 ,https://busl.ac.lk/library/,
phone,pass,Published phone: +94 25 222 2219 (,https://busl.ac.lk/library/,
email,pass,Published email: librarian@busl.ac.lk,https://busl.ac.lk/library/,
legal_basis,pass,Published legal basis: regulations,https://busl.ac.lk/library/,
fees_and_payment,pass,"Published fees and payment: rs,",https://busl.ac.lk/library/,
email,pass,Published email: media@busl.ac.lk,https://busl.ac.lk/media/,
page_text,pass,Substantive page content: 7926 visible characters across 14 pages,https://busl.ac.lk/,
