check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:23:53.021330+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:23:53.021349+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:23:53.040613+05:30
http,pass,Probe 1: HTTP 200 at https://christian.gov.lk/,https://christian.gov.lk/,2026-09-08T23:24:17.689113+05:30
http,pass,Probe 2: HTTP 200 at https://christian.gov.lk/,http://christian.gov.lk/,2026-09-08T23:24:17.689136+05:30
http,pass,Probe 3: HTTP 200 at https://christian.gov.lk/,https://christian.gov.lk/,2026-09-08T23:24:17.689139+05:30
http,pass,Probe 4: HTTP 200 at https://christian.gov.lk/,http://christian.gov.lk/,2026-09-08T23:24:17.689142+05:30
http,pass,Probe 5: HTTP 200 at https://christian.gov.lk/contactus.php,https://christian.gov.lk/contactus.php,2026-09-08T23:24:17.689145+05:30
http,pass,Probe 6: HTTP 200 at https://christian.gov.lk/index.php,https://christian.gov.lk/index.php,2026-09-08T23:24:17.689148+05:30
http,pass,Probe 7: HTTP 200 at https://christian.gov.lk/aboutus.php,https://christian.gov.lk/aboutus.php,2026-09-08T23:24:17.689151+05:30
http,pass,Probe 8: HTTP 200 at https://christian.gov.lk/organizational-structure.php,https://christian.gov.lk/organizational-structure.php,2026-09-08T23:24:17.689154+05:30
http,pass,Probe 9: HTTP 200 at https://christian.gov.lk/pasam-lathoni.php,https://christian.gov.lk/pasam-lathoni.php,2026-09-08T23:24:17.689157+05:30
http,pass,Probe 10: HTTP 200 at https://christian.gov.lk/pasam-lathoni-competition.php,https://christian.gov.lk/pasam-lathoni-competition.php,2026-09-08T23:24:17.689160+05:30
http,pass,Probe 11: HTTP 200 at https://christian.gov.lk/church-sunday-school-info.php,https://christian.gov.lk/church-sunday-school-info.php,2026-09-08T23:24:17.689162+05:30
http,pass,Probe 12: HTTP 200 at https://christian.gov.lk/annual-reports.php,https://christian.gov.lk/annual-reports.php,2026-09-08T23:24:17.689165+05:30
http,pass,Probe 13: HTTP 200 at https://christian.gov.lk/downloads.php,https://christian.gov.lk/downloads.php,2026-09-08T23:24:17.689167+05:30
http,pass,Probe 14: HTTP 200 at https://christian.gov.lk/gallery.php,https://christian.gov.lk/gallery.php,2026-09-08T23:24:17.689170+05:30
named_responsibility,pass,Published named responsibility: director,https://christian.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://christian.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://christian.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://christian.gov.lk/,
phone,pass,Published phone: +94 0112 688 12,https://christian.gov.lk/contactus.php,
phone,pass,Published phone: +94 0112 671 55,https://christian.gov.lk/contactus.php,
phone,pass,Published phone: +94 0112 665 58,https://christian.gov.lk/contactus.php,
phone,pass,Published phone: +94 0112 667 33,https://christian.gov.lk/contactus.php,
email,pass,Published email: minchris@sltnet.lk,https://christian.gov.lk/contactus.php,
postal_address,pass,"Published postal address: 3rd Floor, No. 180, T.B. Jaya Mawatha, Colombo 10. Telephone General : +94 0112 665 584 Directer : +94 0112 671 551 Acco",https://christian.gov.lk/contactus.php,
named_responsibility,pass,Published named responsibility: department,https://christian.gov.lk/contactus.php,
named_responsibility,pass,Published named responsibility: director,https://christian.gov.lk/index.php,
named_responsibility,pass,Published named responsibility: director,https://christian.gov.lk/aboutus.php,
named_responsibility,pass,Published named responsibility: department,https://christian.gov.lk/organizational-structure.php,
named_responsibility,pass,Published named responsibility: department,https://christian.gov.lk/pasam-lathoni.php,
phone,pass,Published phone: 0112688126 ,https://christian.gov.lk/pasam-lathoni-competition.php,
phone,pass,Published phone: 0112665584 ,https://christian.gov.lk/pasam-lathoni-competition.php,
email,pass,Published email: minchris@sltnet.lk,https://christian.gov.lk/pasam-lathoni-competition.php,
named_responsibility,pass,Published named responsibility: department,https://christian.gov.lk/pasam-lathoni-competition.php,
phone,pass,Published phone: 00 149 18580 ,https://christian.gov.lk/church-sunday-school-info.php,
phone,pass,Published phone: 01 1601 2140,https://christian.gov.lk/church-sunday-school-info.php,
named_responsibility,pass,Published named responsibility: department,https://christian.gov.lk/church-sunday-school-info.php,
named_responsibility,pass,Published named responsibility: department,https://christian.gov.lk/annual-reports.php,
named_responsibility,pass,Published named responsibility: department,https://christian.gov.lk/downloads.php,
phone,pass,Published phone: 020 19-12-202,https://christian.gov.lk/gallery.php,
phone,pass,Published phone: 019 2019-12-0,https://christian.gov.lk/gallery.php,
phone,pass,Published phone: 020 2020-04-0,https://christian.gov.lk/gallery.php,
phone,pass,Published phone: 020 2020-12-1,https://christian.gov.lk/gallery.php,
phone,pass,Published phone: 020 2020-12-0,https://christian.gov.lk/gallery.php,
named_responsibility,pass,Published named responsibility: department,https://christian.gov.lk/gallery.php,
page_text,pass,Substantive page content: 39955 visible characters across 14 pages,https://christian.gov.lk/,
