check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:25:18.182224+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:25:18.182241+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:25:18.290684+05:30
http,pass,Probe 1: HTTP 200 at https://crd.lk/,https://crd.lk/,2026-09-08T23:25:40.982153+05:30
http,pass,Probe 2: HTTP 200 at https://crd.lk/,http://crd.lk/,2026-09-08T23:25:40.982171+05:30
http,pass,Probe 3: HTTP 200 at https://crd.lk/,https://crd.lk/,2026-09-08T23:25:40.982175+05:30
http,pass,Probe 4: HTTP 200 at https://crd.lk/,http://crd.lk/,2026-09-08T23:25:40.982177+05:30
http,pass,Probe 5: HTTP 200 at https://crd.lk/contact,https://crd.lk/contact,2026-09-08T23:25:40.982180+05:30
http,pass,Probe 6: HTTP 200 at https://crd.lk/organization,https://crd.lk/organization,2026-09-08T23:25:40.982183+05:30
http,pass,Probe 7: HTTP 200 at https://crd.lk/wingAeronautical%20Wing,https://crd.lk/wingAeronautical Wing,2026-09-08T23:25:40.982186+05:30
http,pass,Probe 8: HTTP 200 at https://crd.lk/wingAmmo%20&%20Explosive%20Wing,https://crd.lk/wingAmmo & Explosive Wing,2026-09-08T23:25:40.982189+05:30
http,pass,Probe 9: HTTP 200 at https://crd.lk/wingArmament%20&%20Ballistics%20Wing,https://crd.lk/wingArmament & Ballistics Wing,2026-09-08T23:25:40.982192+05:30
http,pass,Probe 10: HTTP 200 at https://crd.lk/wingCyber%20Security%20Wing,https://crd.lk/wingCyber Security Wing,2026-09-08T23:25:40.982195+05:30
http,pass,Probe 11: HTTP 200 at https://crd.lk/wingElectrical%20&%20Mechanical%20Wing,https://crd.lk/wingElectrical & Mechanical Wing,2026-09-08T23:25:40.982198+05:30
http,pass,Probe 12: HTTP 200 at https://crd.lk/wingIT%20&%20GIS%20Wing,https://crd.lk/wingIT & GIS Wing,2026-09-08T23:25:40.982200+05:30
http,pass,Probe 13: HTTP 200 at https://crd.lk/wingMarine%20Wing,https://crd.lk/wingMarine Wing,2026-09-08T23:25:40.982203+05:30
http,pass,Probe 14: HTTP 200 at https://crd.lk/wingNano%20and%20Modern%20Technology%20Wing,https://crd.lk/wingNano and Modern Technology Wing,2026-09-08T23:25:40.982205+05:30
phone,pass,Published phone: 024 2024-11-2,https://crd.lk/,
phone,pass,Published phone: 024 2024-04-1,https://crd.lk/,
phone,pass,Published phone: 077-3929482 ,https://crd.lk/,
phone,pass,Published phone: 026 2025-10-1,https://crd.lk/,
phone,pass,Published phone: 025 2025-04-1,https://crd.lk/,
phone,pass,Published phone: 025 2025-04-2,https://crd.lk/,
phone,pass,Published phone: 011-2182175 ,https://crd.lk/,
phone,pass,Published phone: 011-2098032 ,https://crd.lk/,
phone,pass,Published phone: 022. 2022-02-2,https://crd.lk/,
phone,pass,Published phone: 024 2024-10-1,https://crd.lk/,
postal_address,pass,Published postal address: and traditional tea party giving the prominence to the military tradition and Sri Lankan culture. Read More CDRD partici,https://crd.lk/,
named_responsibility,pass,Published named responsibility: director,https://crd.lk/,
published_update_date,pass,Published published update date: 31/07/2026,https://crd.lk/,
