check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:58:39.647994+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:58:39.648013+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:58:39.825996+05:30
http,pass,Probe 1: HTTP 200 at https://csd.lk/,https://csd.lk/,2026-09-08T23:59:07.092881+05:30
http,pass,Probe 2: HTTP 200 at https://csd.lk/,http://csd.lk/,2026-09-08T23:59:07.092908+05:30
http,pass,Probe 3: HTTP 200 at https://csd.lk/,https://csd.lk/,2026-09-08T23:59:07.092911+05:30
http,pass,Probe 4: HTTP 200 at https://csd.lk/,http://csd.lk/,2026-09-08T23:59:07.092914+05:30
http,pass,Probe 5: HTTP 200 at https://csd.lk/en/home/,https://csd.lk/en/home/,2026-09-08T23:59:07.092917+05:30
http,pass,Probe 6: HTTP 200 at https://csd.lk/ta/%e0%ae%ae%e0%af%81%e0%ae%95%e0%ae%aa%e0%af%8d%e0%ae%aa%e0%af%81/,https://csd.lk/ta/%e0%ae%ae%e0%af%81%e0%ae%95%e0%ae%aa%e0%af%8d%e0%ae%aa%e0%af%81/,2026-09-08T23:59:07.092921+05:30
http,pass,Probe 7: HTTP 200 at https://csd.lk/%e0%b6%85%e0%b6%b0%e0%b7%8a%e0%b6%ba%e0%b6%9a%e0%b7%8a%e0%b7%82-%e0%b6%a2%e0%b6%b1%e0%b6%bb%e0%b7%8f%e0%b6%bd%e0%b7%8a/,https://csd.lk/%e0%b6%85%e0%b6%b0%e0%b7%8a%e0%b6%ba%e0%b6%9a%e0%b7%8a%e0%b7%82-%e0%b6%a2%e0%b6%b1%e0%b6%bb%e0%b7%8f%e0%b6%bd%e0%b7%8a/,2026-09-08T23:59:07.092923+05:30
http,pass,Probe 8: HTTP 200 at https://csd.lk/%e0%b6%85%e0%b6%ad%e0%b7%92%e0%b6%bb%e0%b7%9a%e0%b6%9a-%e0%b6%85%e0%b6%b0%e0%b7%8a%e0%b6%ba%e0%b6%9a%e0%b7%8a%e0%b7%82-%e0%b6%a2%e0%b6%b1%e0%b6%bb%e0%b7%8f%e0%b6%bd%e0%b7%8a/,https://csd.lk/%e0%b6%85%e0%b6%ad%e0%b7%92%e0%b6%bb%e0%b7%9a%e0%b6%9a-%e0%b6%85%e0%b6%b0%e0%b7%8a%e0%b6%ba%e0%b6%9a%e0%b7%8a%e0%b7%82-%e0%b6%a2%e0%b6%b1%e0%b6%bb%e0%b7%8f%e0%b6%bd%e0%b7%8a/,2026-09-08T23:59:07.092926+05:30
