check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:11:40.878677+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:11:40.878698+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:11:40.919122+05:30
http,pass,Probe 1: HTTP 200 at https://daph.gov.lk/,https://daph.gov.lk/,2026-09-08T23:11:56.351820+05:30
http,pass,Probe 2: HTTP 200 at https://daph.gov.lk/,http://daph.gov.lk/,2026-09-08T23:11:56.351851+05:30
http,pass,Probe 3: HTTP 200 at https://daph.gov.lk/,https://daph.gov.lk/,2026-09-08T23:11:56.351855+05:30
http,pass,Probe 4: HTTP 200 at https://daph.gov.lk/,http://daph.gov.lk/,2026-09-08T23:11:56.351858+05:30
http,pass,Probe 5: HTTP 200 at https://daph.gov.lk/divisions,https://daph.gov.lk/divisions,2026-09-08T23:11:56.351860+05:30
http,pass,Probe 6: HTTP 200 at https://daph.gov.lk/downloads/service-minute,https://daph.gov.lk/downloads/service-minute,2026-09-08T23:11:56.351863+05:30
http,pass,Probe 7: HTTP 200 at https://daph.gov.lk/contact-us,https://daph.gov.lk/contact-us,2026-09-08T23:11:56.351865+05:30
http,pass,Probe 8: HTTP 200 at https://daph.gov.lk/downloads/service-minute/,https://daph.gov.lk/downloads/service-minute/,2026-09-08T23:11:56.351868+05:30
http,pass,Probe 9: HTTP 200 at https://daph.gov.lk/contact-us/,https://daph.gov.lk/contact-us/,2026-09-08T23:11:56.351870+05:30
http,pass,Probe 10: HTTP 200 at https://daph.gov.lk/services/category/2,https://daph.gov.lk/services/category/2,2026-09-08T23:11:56.351873+05:30
http,pass,Probe 11: HTTP 200 at https://daph.gov.lk/services/category/3,https://daph.gov.lk/services/category/3,2026-09-08T23:11:56.351876+05:30
http,pass,Probe 12: HTTP 200 at https://daph.gov.lk/services/category/4,https://daph.gov.lk/services/category/4,2026-09-08T23:11:56.351878+05:30
http,pass,Probe 13: HTTP 200 at https://daph.gov.lk/services/category/5,https://daph.gov.lk/services/category/5,2026-09-08T23:11:56.351881+05:30
http,pass,Probe 14: HTTP 200 at https://daph.gov.lk/services/category/6,https://daph.gov.lk/services/category/6,2026-09-08T23:11:56.351883+05:30
phone,pass,Published phone: 0094552222,https://daph.gov.lk/,
phone,pass,Published phone: 0094212212,https://daph.gov.lk/,
phone,pass,Published phone: 081-2388195 ,https://daph.gov.lk/,
phone,pass,Published phone: 0094252235,https://daph.gov.lk/,
phone,pass,Published phone: 081-2388462 ,https://daph.gov.lk/,
phone,pass,Published phone: 0094372223,https://daph.gov.lk/,
phone,pass,Published phone: 0812388195,https://daph.gov.lk/,
phone,pass,Published phone: 0094412238,https://daph.gov.lk/,
phone,pass,Published phone: 0094812386,https://daph.gov.lk/,
phone,pass,Published phone: 0094262225,https://daph.gov.lk/,
phone,pass,Published phone: 0094112959,https://daph.gov.lk/,
phone,pass,Published phone: 0094452226,https://daph.gov.lk/,
email,pass,Published email: gcmuthuwatte@yahoo.com,https://daph.gov.lk/,
email,pass,Published email: daphuva@gmail.com,https://daph.gov.lk/,
email,pass,Published email: daphepvs@gmail.com,https://daph.gov.lk/,
email,pass,Published email: animalphwppd@gmail.com,https://daph.gov.lk/,
email,pass,Published email: inforpdspaph@gmail.lk,https://daph.gov.lk/,
email,pass,Published email: dgdaph@sltnet.lk,https://daph.gov.lk/,
email,pass,Published email: spcdaph@gmail.com,https://daph.gov.lk/,
email,pass,Published email: nwpaph@yahoo.com,https://daph.gov.lk/,
email,pass,Published email: npdaph@yahoo.com,https://daph.gov.lk/,
email,pass,Published email: daph.centralprovince@gmail.com,https://daph.gov.lk/,
postal_address,pass,"Published postal address: Department of Animal Production and Health, Gatambe, Peradeniya. Phone: 081-2388195 E-mail: dgdaph@sltnet.lk The Departm",https://daph.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://daph.gov.lk/,
legal_basis,pass,Published legal basis: regulations,https://daph.gov.lk/,
phone,pass,Published phone: 0094552222,https://daph.gov.lk/,
phone,pass,Published phone: 0094212212,https://daph.gov.lk/,
phone,pass,Published phone: 081-2388195 ,https://daph.gov.lk/,
phone,pass,Published phone: 0094252235,https://daph.gov.lk/,
phone,pass,Published phone: 081-2388462 ,https://daph.gov.lk/,
phone,pass,Published phone: 0094372223,https://daph.gov.lk/,
phone,pass,Published phone: 0812388195,https://daph.gov.lk/,
phone,pass,Published phone: 0094412238,https://daph.gov.lk/,
phone,pass,Published phone: 0094812386,https://daph.gov.lk/,
phone,pass,Published phone: 0094262225,https://daph.gov.lk/,
phone,pass,Published phone: 0094112959,https://daph.gov.lk/,
phone,pass,Published phone: 0094452226,https://daph.gov.lk/,
