check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:02:52.554283+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:02:52.554303+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:02:52.605314+05:30
http,pass,Probe 1: HTTP 200 at https://dmt.gov.lk/index.php?lang=en,https://dmt.gov.lk/,2026-09-09T00:03:15.740511+05:30
http,pass,Probe 2: HTTP 200 at https://dmt.gov.lk/index.php?lang=en,http://dmt.gov.lk/,2026-09-09T00:03:15.740533+05:30
http,pass,Probe 3: HTTP 200 at https://dmt.gov.lk/index.php?lang=en,https://dmt.gov.lk/,2026-09-09T00:03:15.740537+05:30
http,pass,Probe 4: HTTP 200 at https://dmt.gov.lk/index.php?lang=en,http://dmt.gov.lk/,2026-09-09T00:03:15.740540+05:30
http,pass,Probe 5: HTTP 200 at https://dmt.gov.lk/index.php?option=com_content&view=featured&Itemid=101&lang=en,https://dmt.gov.lk/index.php?option=com_content&view=featured&Itemid=101&lang=en,2026-09-09T00:03:15.740542+05:30
http,pass,Probe 6: HTTP 200 at https://dmt.gov.lk/index.php?option=com_content&view=article&id=9&Itemid=124&lang=en,https://dmt.gov.lk/index.php?option=com_content&view=article&id=9&Itemid=124&lang=en,2026-09-09T00:03:15.740545+05:30
http,pass,Probe 7: HTTP 200 at https://dmt.gov.lk/index.php?option=com_content&view=article&id=10&Itemid=125&lang=en,https://dmt.gov.lk/index.php?option=com_content&view=article&id=10&Itemid=125&lang=en,2026-09-09T00:03:15.740547+05:30
http,pass,Probe 8: HTTP 200 at https://dmt.gov.lk/index.php?option=com_content&view=article&id=12&Itemid=127&lang=en,https://dmt.gov.lk/index.php?option=com_content&view=article&id=12&Itemid=127&lang=en,2026-09-09T00:03:15.740550+05:30
http,pass,Probe 9: HTTP 200 at https://dmt.gov.lk/index.php?option=com_content&view=article&id=11&Itemid=126&lang=en,https://dmt.gov.lk/index.php?option=com_content&view=article&id=11&Itemid=126&lang=en,2026-09-09T00:03:15.740576+05:30
http,pass,Probe 10: HTTP 200 at https://dmt.gov.lk/index.php?option=com_content&view=article&id=23&Itemid=147&lang=en,https://dmt.gov.lk/index.php?option=com_content&view=article&id=23&Itemid=147&lang=en,2026-09-09T00:03:15.740579+05:30
http,pass,Probe 11: HTTP 200 at https://dmt.gov.lk/index.php?option=com_content&view=article&id=24&Itemid=148&lang=en,https://dmt.gov.lk/index.php?option=com_content&view=article&id=24&Itemid=148&lang=en,2026-09-09T00:03:15.740582+05:30
http,pass,Probe 12: HTTP 200 at https://dmt.gov.lk/index.php?option=com_content&view=article&id=39&Itemid=156&lang=en,https://dmt.gov.lk/index.php?option=com_content&view=article&id=39&Itemid=156&lang=en,2026-09-09T00:03:15.740584+05:30
http,pass,Probe 13: HTTP 200 at https://dmt.gov.lk/index.php?option=com_content&view=article&id=40&Itemid=157&lang=en,https://dmt.gov.lk/index.php?option=com_content&view=article&id=40&Itemid=157&lang=en,2026-09-09T00:03:15.740587+05:30
http,pass,Probe 14: HTTP 200 at https://dmt.gov.lk/index.php?option=com_content&view=article&id=41&Itemid=158&lang=en,https://dmt.gov.lk/index.php?option=com_content&view=article&id=41&Itemid=158&lang=en,2026-09-09T00:03:15.740589+05:30
phone,pass,Published phone: +94 112 518 926 ,https://dmt.gov.lk/index.php?lang=en,
phone,pass,Published phone: +94 112 033333 ,https://dmt.gov.lk/index.php?lang=en,
phone,pass,Published phone: +94 112 518 950 ,https://dmt.gov.lk/index.php?lang=en,
phone,pass,Published phone: 071-4033300 ,https://dmt.gov.lk/index.php?lang=en,
email,pass,Published email: ad.ict@dmt.gov.lk,https://dmt.gov.lk/index.php?lang=en,
named_responsibility,pass,Published named responsibility: department,https://dmt.gov.lk/index.php?lang=en,
legal_basis,pass,Published legal basis: regulations,https://dmt.gov.lk/index.php?lang=en,
phone,pass,Published phone: +94 112 518 926 ,https://dmt.gov.lk/index.php?lang=en,
phone,pass,Published phone: +94 112 033333 ,https://dmt.gov.lk/index.php?lang=en,
phone,pass,Published phone: +94 112 518 950 ,https://dmt.gov.lk/index.php?lang=en,
phone,pass,Published phone: 071-4033300 ,https://dmt.gov.lk/index.php?lang=en,
email,pass,Published email: ad.ict@dmt.gov.lk,https://dmt.gov.lk/index.php?lang=en,
named_responsibility,pass,Published named responsibility: department,https://dmt.gov.lk/index.php?lang=en,
legal_basis,pass,Published legal basis: regulations,https://dmt.gov.lk/index.php?lang=en,
phone,pass,Published phone: +94 112 518 926 ,https://dmt.gov.lk/index.php?lang=en,
phone,pass,Published phone: +94 112 033333 ,https://dmt.gov.lk/index.php?lang=en,
phone,pass,Published phone: +94 112 518 950 ,https://dmt.gov.lk/index.php?lang=en,
phone,pass,Published phone: 071-4033300 ,https://dmt.gov.lk/index.php?lang=en,
email,pass,Published email: ad.ict@dmt.gov.lk,https://dmt.gov.lk/index.php?lang=en,
named_responsibility,pass,Published named responsibility: department,https://dmt.gov.lk/index.php?lang=en,
legal_basis,pass,Published legal basis: regulations,https://dmt.gov.lk/index.php?lang=en,
phone,pass,Published phone: +94 112 518 926 ,https://dmt.gov.lk/index.php?lang=en,
phone,pass,Published phone: +94 112 033333 ,https://dmt.gov.lk/index.php?lang=en,
phone,pass,Published phone: +94 112 518 950 ,https://dmt.gov.lk/index.php?lang=en,
phone,pass,Published phone: 071-4033300 ,https://dmt.gov.lk/index.php?lang=en,
email,pass,Published email: ad.ict@dmt.gov.lk,https://dmt.gov.lk/index.php?lang=en,
named_responsibility,pass,Published named responsibility: department,https://dmt.gov.lk/index.php?lang=en,
legal_basis,pass,Published legal basis: regulations,https://dmt.gov.lk/index.php?lang=en,
phone,pass,Published phone: +94 112 518 926 ,https://dmt.gov.lk/index.php?option=com_content&view=featured&Itemid=101&lang=en,
phone,pass,Published phone: +94 112 033333 ,https://dmt.gov.lk/index.php?option=com_content&view=featured&Itemid=101&lang=en,
phone,pass,Published phone: +94 112 518 950 ,https://dmt.gov.lk/index.php?option=com_content&view=featured&Itemid=101&lang=en,
phone,pass,Published phone: 071-4033300 ,https://dmt.gov.lk/index.php?option=com_content&view=featured&Itemid=101&lang=en,
email,pass,Published email: ad.ict@dmt.gov.lk,https://dmt.gov.lk/index.php?option=com_content&view=featured&Itemid=101&lang=en,
named_responsibility,pass,Published named responsibility: department,https://dmt.gov.lk/index.php?option=com_content&view=featured&Itemid=101&lang=en,
legal_basis,pass,Published legal basis: regulations,https://dmt.gov.lk/index.php?option=com_content&view=featured&Itemid=101&lang=en,
phone,pass,Published phone: 071-4033300 ,https://dmt.gov.lk/index.php?option=com_content&view=article&id=9&Itemid=124&lang=en,
named_responsibility,pass,Published named responsibility: department,https://dmt.gov.lk/index.php?option=com_content&view=article&id=9&Itemid=124&lang=en,
legal_basis,pass,Published legal basis: regulations,https://dmt.gov.lk/index.php?option=com_content&view=article&id=9&Itemid=124&lang=en,
phone,pass,Published phone: 071-4033300 ,https://dmt.gov.lk/index.php?option=com_content&view=article&id=10&Itemid=125&lang=en,
named_responsibility,pass,Published named responsibility: department,https://dmt.gov.lk/index.php?option=com_content&view=article&id=10&Itemid=125&lang=en,
legal_basis,pass,Published legal basis: regulations,https://dmt.gov.lk/index.php?option=com_content&view=article&id=10&Itemid=125&lang=en,
generic_hosting,fail,Detected generic hosting marker: under construction,https://dmt.gov.lk/index.php?option=com_content&view=article&id=12&Itemid=127&lang=en,
phone,pass,Published phone: 071-4033300 ,https://dmt.gov.lk/index.php?option=com_content&view=article&id=12&Itemid=127&lang=en,
named_responsibility,pass,Published named responsibility: department,https://dmt.gov.lk/index.php?option=com_content&view=article&id=12&Itemid=127&lang=en,
legal_basis,pass,Published legal basis: regulations,https://dmt.gov.lk/index.php?option=com_content&view=article&id=12&Itemid=127&lang=en,
phone,pass,Published phone: 071-4033300 ,https://dmt.gov.lk/index.php?option=com_content&view=article&id=11&Itemid=126&lang=en,
named_responsibility,pass,Published named responsibility: department,https://dmt.gov.lk/index.php?option=com_content&view=article&id=11&Itemid=126&lang=en,
legal_basis,pass,Published legal basis: regulations,https://dmt.gov.lk/index.php?option=com_content&view=article&id=11&Itemid=126&lang=en,
phone,pass,Published phone: 071-4033300 ,https://dmt.gov.lk/index.php?option=com_content&view=article&id=23&Itemid=147&lang=en,
named_responsibility,pass,Published named responsibility: department,https://dmt.gov.lk/index.php?option=com_content&view=article&id=23&Itemid=147&lang=en,
required_documents,pass,Published required documents: documents required,https://dmt.gov.lk/index.php?option=com_content&view=article&id=23&Itemid=147&lang=en,
legal_basis,pass,Published legal basis: regulations,https://dmt.gov.lk/index.php?option=com_content&view=article&id=23&Itemid=147&lang=en,
fees_and_payment,pass,Published fees and payment: free of charge,https://dmt.gov.lk/index.php?option=com_content&view=article&id=23&Itemid=147&lang=en,
phone,pass,Published phone: 071-4033300 ,https://dmt.gov.lk/index.php?option=com_content&view=article&id=24&Itemid=148&lang=en,
postal_address,pass,Published postal address: through one day service after getting statements from the relevant parties For a property of Vihara and Devalayas the no,https://dmt.gov.lk/index.php?option=com_content&view=article&id=24&Itemid=148&lang=en,
named_responsibility,pass,Published named responsibility: officer in charge,https://dmt.gov.lk/index.php?option=com_content&view=article&id=24&Itemid=148&lang=en,
required_documents,pass,Published required documents: documents required,https://dmt.gov.lk/index.php?option=com_content&view=article&id=24&Itemid=148&lang=en,
legal_basis,pass,Published legal basis: regulations,https://dmt.gov.lk/index.php?option=com_content&view=article&id=24&Itemid=148&lang=en,
fees_and_payment,pass,Published fees and payment: RS3,https://dmt.gov.lk/index.php?option=com_content&view=article&id=24&Itemid=148&lang=en,
processing_time,pass,Published processing time: 06 months,https://dmt.gov.lk/index.php?option=com_content&view=article&id=24&Itemid=148&lang=en,
phone,pass,Published phone: 000 1000 150 ,https://dmt.gov.lk/index.php?option=com_content&view=article&id=39&Itemid=156&lang=en,
phone,pass,Published phone: 00 1000 150 7,https://dmt.gov.lk/index.php?option=com_content&view=article&id=39&Itemid=156&lang=en,
phone,pass,Published phone: 00 1000 150 1,https://dmt.gov.lk/index.php?option=com_content&view=article&id=39&Itemid=156&lang=en,
phone,pass,Published phone: 00 500 150 50,https://dmt.gov.lk/index.php?option=com_content&view=article&id=39&Itemid=156&lang=en,
phone,pass,Published phone: 00 1000 150 5,https://dmt.gov.lk/index.php?option=com_content&view=article&id=39&Itemid=156&lang=en,
phone,pass,Published phone: 071-4033300 ,https://dmt.gov.lk/index.php?option=com_content&view=article&id=39&Itemid=156&lang=en,
phone,pass,Published phone: 00 1000 150 3,https://dmt.gov.lk/index.php?option=com_content&view=article&id=39&Itemid=156&lang=en,
phone,pass,Published phone: 00 1000 150 2,https://dmt.gov.lk/index.php?option=com_content&view=article&id=39&Itemid=156&lang=en,
named_responsibility,pass,Published named responsibility: department,https://dmt.gov.lk/index.php?option=com_content&view=article&id=39&Itemid=156&lang=en,
legal_basis,pass,Published legal basis: regulations,https://dmt.gov.lk/index.php?option=com_content&view=article&id=39&Itemid=156&lang=en,
phone,pass,Published phone: 000 200 1000 ,https://dmt.gov.lk/index.php?option=com_content&view=article&id=40&Itemid=157&lang=en,
phone,pass,Published phone: 02 - 2022.11.14 ,https://dmt.gov.lk/index.php?option=com_content&view=article&id=40&Itemid=157&lang=en,
phone,pass,Published phone: 00 200 1000 3,https://dmt.gov.lk/index.php?option=com_content&view=article&id=40&Itemid=157&lang=en,
phone,pass,Published phone: 071-4033300 ,https://dmt.gov.lk/index.php?option=com_content&view=article&id=40&Itemid=157&lang=en,
named_responsibility,pass,Published named responsibility: department,https://dmt.gov.lk/index.php?option=com_content&view=article&id=40&Itemid=157&lang=en,
legal_basis,pass,Published legal basis: regulations,https://dmt.gov.lk/index.php?option=com_content&view=article&id=40&Itemid=157&lang=en,
phone,pass,Published phone: 0 500 200 300 ,https://dmt.gov.lk/index.php?option=com_content&view=article&id=41&Itemid=158&lang=en,
phone,pass,Published phone: 071-4033300 ,https://dmt.gov.lk/index.php?option=com_content&view=article&id=41&Itemid=158&lang=en,
named_responsibility,pass,Published named responsibility: department,https://dmt.gov.lk/index.php?option=com_content&view=article&id=41&Itemid=158&lang=en,
legal_basis,pass,Published legal basis: regulations,https://dmt.gov.lk/index.php?option=com_content&view=article&id=41&Itemid=158&lang=en,
processing_time,pass,Published processing time: 6 months,https://dmt.gov.lk/index.php?option=com_content&view=article&id=41&Itemid=158&lang=en,
page_text,pass,Substantive page content: 16191 visible characters across 14 pages,https://dmt.gov.lk/,
