check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:35:13.064035+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:35:13.064059+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:35:13.308470+05:30
http,pass,Probe 1: HTTP 200 at https://edl.lk/,https://edl.lk/,2026-09-08T23:35:28.711539+05:30
http,pass,Probe 2: HTTP 200 at https://edl.lk/,http://edl.lk/,2026-09-08T23:35:28.713316+05:30
http,pass,Probe 3: HTTP 200 at https://edl.lk/,https://edl.lk/,2026-09-08T23:35:28.713324+05:30
http,pass,Probe 4: HTTP 200 at https://edl.lk/,http://edl.lk/,2026-09-08T23:35:28.713328+05:30
http,pass,Probe 5: HTTP 200 at https://edl.lk/contact,https://edl.lk/contact,2026-09-08T23:35:28.713332+05:30
http,pass,Probe 6: HTTP 200 at https://edl.lk/EDL-division-1,https://edl.lk/EDL-division-1,2026-09-08T23:35:28.713336+05:30
http,pass,Probe 7: HTTP 200 at https://edl.lk/EDL-division-2,https://edl.lk/EDL-division-2,2026-09-08T23:35:28.713340+05:30
http,pass,Probe 8: HTTP 200 at https://edl.lk/EDL-division-3,https://edl.lk/EDL-division-3,2026-09-08T23:35:28.713343+05:30
http,pass,Probe 9: HTTP 200 at https://edl.lk/EDL-division-4,https://edl.lk/EDL-division-4,2026-09-08T23:35:28.713347+05:30
http,pass,Probe 10: HTTP 200 at https://edl.lk/services/new-customer/how-to-get-electricity-connection,https://edl.lk/services/new-customer/how-to-get-electricity-connection,2026-09-08T23:35:28.713351+05:30
http,pass,Probe 11: HTTP 200 at https://edl.lk/services/new-customer/applications-guidelines,https://edl.lk/services/new-customer/applications-guidelines,2026-09-08T23:35:28.713356+05:30
http,pass,Probe 12: HTTP 200 at https://edl.lk/services/new-customer/other-instructions,https://edl.lk/services/new-customer/other-instructions,2026-09-08T23:35:28.713360+05:30
http,pass,Probe 13: HTTP 200 at https://edl.lk/services/new-customer/apply-online-new-connection,https://edl.lk/services/new-customer/apply-online-new-connection,2026-09-08T23:35:28.713364+05:30
http,pass,Probe 14: HTTP 200 at https://edl.lk/services/existing-customer/applications-guidelines,https://edl.lk/services/existing-customer/applications-guidelines,2026-09-08T23:35:28.713367+05:30
phone,pass,Published phone: 0.033333333,https://edl.lk/,
phone,pass,Published phone: 0163934426,https://edl.lk/,
phone,pass,Published phone: 0.035971223,https://edl.lk/,
phone,pass,Published phone: 0.3 0 145.6-77.6 ,https://edl.lk/,
phone,pass,Published phone: 0 138 27.4-40.4,https://edl.lk/,
phone,pass,Published phone: 1987,https://edl.lk/,
phone,pass,Published phone: 0719424460,https://edl.lk/,
phone,pass,Published phone: +94112323232,https://edl.lk/,
phone,pass,Published phone: +94 11 232 3232 ,https://edl.lk/,
phone,pass,Published phone: 0.020491803,https://edl.lk/,
phone,pass,Published phone: 0.3 142 105 21,https://edl.lk/,
postal_address,pass,"Published postal address: Dehiwala, Mathugama 50 Sir Chittampalam A. Gardiner Mawatha, Colombo 2, Sri Lanka",https://edl.lk/,
