check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:07:42.310117+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:07:42.310143+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:07:42.399253+05:30
http,pass,Probe 1: HTTP 200 at https://elections.gov.lk/,https://elections.gov.lk/,2026-09-09T00:08:01.812693+05:30
http,pass,Probe 2: HTTP 200 at https://elections.gov.lk/,http://elections.gov.lk/,2026-09-09T00:08:01.812715+05:30
http,pass,Probe 3: HTTP 200 at https://elections.gov.lk/,https://elections.gov.lk/,2026-09-09T00:08:01.812719+05:30
http,pass,Probe 4: HTTP 200 at https://elections.gov.lk/,http://elections.gov.lk/,2026-09-09T00:08:01.812722+05:30
http,pass,Probe 5: HTTP 200 at https://elections.gov.lk/si/,https://elections.gov.lk/si/,2026-09-09T00:08:01.812726+05:30
http,pass,Probe 6: HTTP 200 at https://elections.gov.lk/ta/,https://elections.gov.lk/ta/,2026-09-09T00:08:01.812729+05:30
http,pass,Probe 7: HTTP 200 at https://elections.gov.lk/en/,https://elections.gov.lk/en/,2026-09-09T00:08:01.812733+05:30
http,pass,Probe 8: HTTP 200 at https://elections.gov.lk/indexSi.html,https://elections.gov.lk/indexSi.html,2026-09-09T00:08:01.812736+05:30
http,pass,Probe 9: HTTP 200 at https://elections.gov.lk/indexTa.html,https://elections.gov.lk/indexTa.html,2026-09-09T00:08:01.812739+05:30
http,pass,Probe 10: HTTP 200 at https://elections.gov.lk/indexEn.html,https://elections.gov.lk/indexEn.html,2026-09-09T00:08:01.812742+05:30
http,pass,Probe 11: HTTP 200 at https://elections.gov.lk/si/public_officer/E_dataSheet_S.html,https://elections.gov.lk/si/public_officer/E_dataSheet_S.html,2026-09-09T00:08:01.812744+05:30
http,pass,Probe 12: HTTP 200 at https://elections.gov.lk/si/public_officer/circuit_bungalow_S.html,https://elections.gov.lk/si/public_officer/circuit_bungalow_S.html,2026-09-09T00:08:01.812747+05:30
http,pass,Probe 13: HTTP 200 at https://elections.gov.lk/si/public_officer/vacancy_S.html,https://elections.gov.lk/si/public_officer/vacancy_S.html,2026-09-09T00:08:01.812750+05:30
http,pass,Probe 14: HTTP 200 at https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,2026-09-09T00:08:01.812753+05:30
named_responsibility,pass,Published named responsibility: division,https://elections.gov.lk/indexEn.html,
legal_basis,pass,Published legal basis: regulations,https://elections.gov.lk/indexEn.html,
downloadable_form,pass,Published downloadable form: https://elections.gov.lk/web/wp-content/uploads/2026/02/EC_YC_2026.pdf,https://elections.gov.lk/indexEn.html,
phone,pass,Published phone: 023.09.01 202,https://elections.gov.lk/si/public_officer/vacancy_S.html,
phone,pass,Published phone: 0112868444 ,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,
phone,pass,Published phone: 0112879132 ,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,
phone,pass,Published phone: 0112868445 ,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,
phone,pass,Published phone: 0112868441 ,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,
phone,pass,Published phone: 0112868443 ,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,
phone,pass,Published phone: 0112860030 ,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,
phone,pass,Published phone: 0112868426 ,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,
phone,pass,Published phone: 0112879131 ,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,
phone,pass,Published phone: 0112860028 ,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,
phone,pass,Published phone: 0112879133 ,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,
phone,pass,Published phone: 0112868442 ,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,
email,pass,Published email: pa.chairman@elections.gov.lk,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,
email,pass,Published email: secretary.ec@elections.gov.lk,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,
email,pass,Published email: info@elections.gov.lk,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,
email,pass,Published email: amfaaiz@gmail.com,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,
email,pass,Published email: cc.ec@elections.gov.lk,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,
page_text,pass,Substantive page content: 10321 visible characters across 14 pages,https://elections.gov.lk/,
