check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:35:41.329018+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:35:41.329034+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:35:41.454061+05:30
http,pass,Probe 1: HTTP 200 at https://energy.gov.lk/en/,https://energy.gov.lk/,2026-09-08T23:36:36.603390+05:30
http,error,Probe 2: More than 10 redirects,http://energy.gov.lk/,2026-09-08T23:36:36.603438+05:30
http,pass,Probe 3: HTTP 200 at https://energy.gov.lk/en/,https://energy.gov.lk/,2026-09-08T23:36:36.603442+05:30
http,error,Probe 4: More than 10 redirects,http://energy.gov.lk/,2026-09-08T23:36:36.603445+05:30
http,pass,Probe 5: HTTP 200 at https://energy.gov.lk/en/contact-us,https://energy.gov.lk/contact-us,2026-09-08T23:36:36.603449+05:30
http,pass,Probe 6: HTTP 200 at https://www.energy.gov.lk/en/information-officer,https://www.energy.gov.lk/en/information-officer,2026-09-08T23:36:36.603452+05:30
http,pass,Probe 7: HTTP 200 at https://energy.gov.lk/en/,https://energy.gov.lk/,2026-09-08T23:36:36.603455+05:30
http,pass,Probe 8: HTTP 200 at https://energy.gov.lk/en/about-us/who-we-are,https://energy.gov.lk/about-us/who-we-are,2026-09-08T23:36:36.603458+05:30
http,pass,Probe 9: HTTP 200 at https://energy.gov.lk/en/about-us/inception,https://energy.gov.lk/about-us/inception,2026-09-08T23:36:36.603461+05:30
http,pass,Probe 10: HTTP 200 at https://energy.gov.lk/en/about-us/the-future,https://energy.gov.lk/about-us/the-future,2026-09-08T23:36:36.603463+05:30
http,pass,Probe 11: HTTP 200 at https://energy.gov.lk/en/about-us/the-way-we-work,https://energy.gov.lk/about-us/the-way-we-work,2026-09-08T23:36:36.603466+05:30
http,pass,Probe 12: HTTP 200 at https://energy.gov.lk/en/about-us/board-of-management,https://energy.gov.lk/about-us/board-of-management,2026-09-08T23:36:36.603469+05:30
http,pass,Probe 13: HTTP 200 at https://energy.gov.lk/en/about-us/principal-officials,https://energy.gov.lk/about-us/principal-officials,2026-09-08T23:36:36.603472+05:30
http,pass,Probe 14: HTTP 200 at https://energy.gov.lk/en/energy-management/what-we-do,https://energy.gov.lk/energy-management/what-we-do,2026-09-08T23:36:36.603475+05:30
phone,pass,Published phone: 0112575089 ,https://energy.gov.lk/en/,
phone,pass,Published phone: 0112575066,https://energy.gov.lk/en/,
phone,pass,Published phone: 0112575114,https://energy.gov.lk/en/,
phone,pass,"Published phone: 0112575114, 0112575066, 0112575030, 0112575203, 0112575036",https://energy.gov.lk/en/,
phone,pass,Published phone: 0112575203,https://energy.gov.lk/en/,
phone,pass,Published phone: 0112575036 ,https://energy.gov.lk/en/,
phone,pass,Published phone: 0112575030,https://energy.gov.lk/en/,
email,pass,Published email: info@energy.gov.lk,https://energy.gov.lk/en/,
