check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:24:22.551835+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:24:22.551860+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:24:23.276952+05:30
http,pass,Probe 1: HTTP 200 at https://galleheritage.gov.lk/,https://galleheritage.gov.lk/,2026-09-08T23:25:03.443783+05:30
http,pass,Probe 2: HTTP 200 at https://galleheritage.gov.lk/,http://galleheritage.gov.lk/,2026-09-08T23:25:03.443803+05:30
http,pass,Probe 3: HTTP 200 at https://galleheritage.gov.lk/,https://galleheritage.gov.lk/,2026-09-08T23:25:03.443806+05:30
http,pass,Probe 4: HTTP 200 at https://galleheritage.gov.lk/,http://galleheritage.gov.lk/,2026-09-08T23:25:03.443816+05:30
http,pass,Probe 5: HTTP 200 at https://galleheritage.gov.lk/our-services/,https://galleheritage.gov.lk/our-services/,2026-09-08T23:25:03.443819+05:30
http,pass,Probe 6: HTTP 200 at https://galleheritage.gov.lk/contact-us/,https://galleheritage.gov.lk/contact-us/,2026-09-08T23:25:03.443822+05:30
http,pass,Probe 7: HTTP 200 at https://galleheritage.gov.lk,https://galleheritage.gov.lk,2026-09-08T23:25:03.443825+05:30
http,pass,Probe 8: HTTP 200 at https://galleheritage.gov.lk/shop/,https://galleheritage.gov.lk/shop,2026-09-08T23:25:03.443828+05:30
http,pass,Probe 9: HTTP 200 at https://galleheritage.gov.lk/who-we-are/,https://galleheritage.gov.lk/who-we-are/,2026-09-08T23:25:03.443830+05:30
http,pass,Probe 10: HTTP 200 at https://galleheritage.gov.lk/vision-and-mission/,https://galleheritage.gov.lk/vision-and-mission/,2026-09-08T23:25:03.443833+05:30
http,pass,Probe 11: HTTP 200 at https://galleheritage.gov.lk/board-of-management/,https://galleheritage.gov.lk/board-of-management/,2026-09-08T23:25:03.443836+05:30
http,pass,Probe 12: HTTP 200 at https://galleheritage.gov.lk/staff/,https://galleheritage.gov.lk/staff/,2026-09-08T23:25:03.443839+05:30
http,pass,Probe 13: HTTP 200 at https://galleheritage.gov.lk/history/,https://galleheritage.gov.lk/history/,2026-09-08T23:25:03.443841+05:30
http,pass,Probe 14: HTTP 200 at https://galleheritage.gov.lk/galle-heritage/,https://galleheritage.gov.lk/galle-heritage/,2026-09-08T23:25:03.443844+05:30
phone,pass,Published phone: 0192707879,https://galleheritage.gov.lk/,
phone,pass,Published phone: +94912246784,https://galleheritage.gov.lk/,
phone,pass,Published phone: +94 91-2246784 ,https://galleheritage.gov.lk/,
phone,pass,Published phone: 0000000000,https://galleheritage.gov.lk/,
phone,pass,Published phone: 0539140313,https://galleheritage.gov.lk/,
phone,pass,Published phone: 0954586231,https://galleheritage.gov.lk/,
phone,pass,Published phone: 0212707519,https://galleheritage.gov.lk/,
phone,pass,Published phone: 08-09-2026 17,https://galleheritage.gov.lk/,
phone,pass,Published phone: 0000008180,https://galleheritage.gov.lk/,
email,pass,Published email: herifo@sltnet.lk,https://galleheritage.gov.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://galleheritage.gov.lk/,
downloadable_form,pass,Published downloadable form: https://galleheritage.gov.lk/wp-content/uploads/2025/11/application-english-1.pdf,https://galleheritage.gov.lk/,
published_update_date,pass,Published published update date: 08 July 2025,https://galleheritage.gov.lk/,
phone,pass,Published phone: 0192707879,https://galleheritage.gov.lk/,
phone,pass,Published phone: +94912246784,https://galleheritage.gov.lk/,
phone,pass,Published phone: +94 91-2246784 ,https://galleheritage.gov.lk/,
phone,pass,Published phone: 0000000000,https://galleheritage.gov.lk/,
phone,pass,Published phone: 0539140313,https://galleheritage.gov.lk/,
phone,pass,Published phone: 0954586231,https://galleheritage.gov.lk/,
phone,pass,Published phone: 0212707519,https://galleheritage.gov.lk/,
phone,pass,Published phone: 08-09-2026 17,https://galleheritage.gov.lk/,
phone,pass,Published phone: 0000008180,https://galleheritage.gov.lk/,
email,pass,Published email: herifo@sltnet.lk,https://galleheritage.gov.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://galleheritage.gov.lk/,
downloadable_form,pass,Published downloadable form: https://galleheritage.gov.lk/wp-content/uploads/2025/11/application-english-1.pdf,https://galleheritage.gov.lk/,
published_update_date,pass,Published published update date: 08 July 2025,https://galleheritage.gov.lk/,
phone,pass,Published phone: 0192707879,https://galleheritage.gov.lk/,
phone,pass,Published phone: +94912246784,https://galleheritage.gov.lk/,
phone,pass,Published phone: +94 91-2246784 ,https://galleheritage.gov.lk/,
phone,pass,Published phone: 0000000000,https://galleheritage.gov.lk/,
phone,pass,Published phone: 0539140313,https://galleheritage.gov.lk/,
phone,pass,Published phone: 0954586231,https://galleheritage.gov.lk/,
phone,pass,Published phone: 0212707519,https://galleheritage.gov.lk/,
phone,pass,Published phone: 08-09-2026 17,https://galleheritage.gov.lk/,
phone,pass,Published phone: 0000008180,https://galleheritage.gov.lk/,
email,pass,Published email: herifo@sltnet.lk,https://galleheritage.gov.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://galleheritage.gov.lk/,
downloadable_form,pass,Published downloadable form: https://galleheritage.gov.lk/wp-content/uploads/2025/11/application-english-1.pdf,https://galleheritage.gov.lk/,
published_update_date,pass,Published published update date: 08 July 2025,https://galleheritage.gov.lk/,
phone,pass,Published phone: 0192707879,https://galleheritage.gov.lk/,
phone,pass,Published phone: +94912246784,https://galleheritage.gov.lk/,
phone,pass,Published phone: +94 91-2246784 ,https://galleheritage.gov.lk/,
phone,pass,Published phone: 0000000000,https://galleheritage.gov.lk/,
phone,pass,Published phone: 0539140313,https://galleheritage.gov.lk/,
phone,pass,Published phone: 0954586231,https://galleheritage.gov.lk/,
phone,pass,Published phone: 0212707519,https://galleheritage.gov.lk/,
phone,pass,Published phone: 08-09-2026 17,https://galleheritage.gov.lk/,
phone,pass,Published phone: 0000008180,https://galleheritage.gov.lk/,
email,pass,Published email: herifo@sltnet.lk,https://galleheritage.gov.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://galleheritage.gov.lk/,
downloadable_form,pass,Published downloadable form: https://galleheritage.gov.lk/wp-content/uploads/2025/11/application-english-1.pdf,https://galleheritage.gov.lk/,
published_update_date,pass,Published published update date: 08 July 2025,https://galleheritage.gov.lk/,
phone,pass,Published phone: 0192707879,https://galleheritage.gov.lk/our-services/,
phone,pass,Published phone: +94912246784,https://galleheritage.gov.lk/our-services/,
phone,pass,Published phone: +94 91-2246784 ,https://galleheritage.gov.lk/our-services/,
phone,pass,Published phone: 0000000000,https://galleheritage.gov.lk/our-services/,
phone,pass,Published phone: 0539140313,https://galleheritage.gov.lk/our-services/,
phone,pass,Published phone: 0954586231,https://galleheritage.gov.lk/our-services/,
phone,pass,Published phone: 0212707519,https://galleheritage.gov.lk/our-services/,
phone,pass,Published phone: 08-09-2026 17,https://galleheritage.gov.lk/our-services/,
phone,pass,Published phone: 0000008180,https://galleheritage.gov.lk/our-services/,
email,pass,Published email: herifo@sltnet.lk,https://galleheritage.gov.lk/our-services/,
downloadable_form,pass,Published downloadable form: https://galleheritage.gov.lk/wp-content/uploads/2025/11/application-english-1.pdf,https://galleheritage.gov.lk/our-services/,
published_update_date,pass,Published published update date: 08 July 2025,https://galleheritage.gov.lk/our-services/,
phone,pass,Published phone: 0192707879,https://galleheritage.gov.lk/contact-us/,
phone,pass,Published phone: +94912246784,https://galleheritage.gov.lk/contact-us/,
phone,pass,Published phone: +94 91-2246784 ,https://galleheritage.gov.lk/contact-us/,
phone,pass,Published phone: +94 91 224 6784 ,https://galleheritage.gov.lk/contact-us/,
phone,pass,Published phone: 0000000000,https://galleheritage.gov.lk/contact-us/,
phone,pass,Published phone: 0539140313,https://galleheritage.gov.lk/contact-us/,
phone,pass,Published phone: 0954586231,https://galleheritage.gov.lk/contact-us/,
phone,pass,Published phone: 0212707519,https://galleheritage.gov.lk/contact-us/,
phone,pass,Published phone: 08-09-2026 17,https://galleheritage.gov.lk/contact-us/,
phone,pass,Published phone: 0000008180,https://galleheritage.gov.lk/contact-us/,
email,pass,Published email: user@website.com,https://galleheritage.gov.lk/contact-us/,
email,pass,Published email: herifo@sltnet.lk,https://galleheritage.gov.lk/contact-us/,
downloadable_form,pass,Published downloadable form: https://galleheritage.gov.lk/wp-content/uploads/2025/11/application-english-1.pdf,https://galleheritage.gov.lk/contact-us/,
published_update_date,pass,Published published update date: 08 July 2025,https://galleheritage.gov.lk/contact-us/,
phone,pass,Published phone: 0192707879,https://galleheritage.gov.lk,
phone,pass,Published phone: +94912246784,https://galleheritage.gov.lk,
phone,pass,Published phone: +94 91-2246784 ,https://galleheritage.gov.lk,
phone,pass,Published phone: 0000000000,https://galleheritage.gov.lk,
phone,pass,Published phone: 0539140313,https://galleheritage.gov.lk,
phone,pass,Published phone: 0954586231,https://galleheritage.gov.lk,
phone,pass,Published phone: 0212707519,https://galleheritage.gov.lk,
