check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:27:31.226931+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:27:31.226951+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:27:31.260750+05:30
http,pass,Probe 1: HTTP 200 at https://gic.gov.lk/,https://gic.gov.lk/,2026-09-08T23:27:46.488487+05:30
http,pass,Probe 2: HTTP 200 at https://gic.gov.lk/,http://gic.gov.lk/,2026-09-08T23:27:46.488508+05:30
http,pass,Probe 3: HTTP 200 at https://gic.gov.lk/,https://gic.gov.lk/,2026-09-08T23:27:46.488512+05:30
http,pass,Probe 4: HTTP 200 at https://gic.gov.lk/,http://gic.gov.lk/,2026-09-08T23:27:46.488515+05:30
http,pass,Probe 5: HTTP 200 at https://gic.gov.lk/services,https://gic.gov.lk/services,2026-09-08T23:27:46.488517+05:30
http,pass,Probe 6: HTTP 200 at https://gic.gov.lk/organizations,https://gic.gov.lk/organizations,2026-09-08T23:27:46.488520+05:30
http,pass,Probe 7: HTTP 200 at https://gic.gov.lk/gov-forms/by-category,https://gic.gov.lk/gov-forms/by-category,2026-09-08T23:27:46.488522+05:30
http,pass,Probe 8: HTTP 200 at https://gic.gov.lk/gov-forms/by-index,https://gic.gov.lk/gov-forms/by-index,2026-09-08T23:27:46.488525+05:30
http,pass,Probe 9: HTTP 200 at https://gic.gov.lk/gov-forms/by-keyword,https://gic.gov.lk/gov-forms/by-keyword,2026-09-08T23:27:46.488528+05:30
http,pass,Probe 10: HTTP 200 at https://gic.gov.lk/gov-forms/by-organization,https://gic.gov.lk/gov-forms/by-organization,2026-09-08T23:27:46.488531+05:30
http,pass,Probe 11: HTTP 200 at https://gic.gov.lk/search?q=Birth%20Registration,https://gic.gov.lk/search?q=Birth Registration,2026-09-08T23:27:46.488533+05:30
http,pass,Probe 12: HTTP 200 at https://gic.gov.lk/search?q=Passport%20Services,https://gic.gov.lk/search?q=Passport Services,2026-09-08T23:27:46.488536+05:30
http,pass,Probe 13: HTTP 200 at https://gic.gov.lk/search?q=Driving%20License,https://gic.gov.lk/search?q=Driving License,2026-09-08T23:27:46.488538+05:30
http,pass,Probe 14: HTTP 200 at https://gic.gov.lk/search?q=Business%20Registration,https://gic.gov.lk/search?q=Business Registration,2026-09-08T23:27:46.488541+05:30
phone,pass,Published phone: 1919,https://gic.gov.lk/,
email,pass,Published email: info@gic.gov.lk,https://gic.gov.lk/,
postal_address,pass,Published postal address: Subject Select a topic General Inquiry Make a Complaint Technical Issue Feedback Message Send Message GIC Sri Lanka The ,https://gic.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://gic.gov.lk/,
phone,pass,Published phone: 1919,https://gic.gov.lk/,
email,pass,Published email: info@gic.gov.lk,https://gic.gov.lk/,
postal_address,pass,Published postal address: Subject Select a topic General Inquiry Make a Complaint Technical Issue Feedback Message Send Message GIC Sri Lanka The ,https://gic.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://gic.gov.lk/,
phone,pass,Published phone: 1919,https://gic.gov.lk/,
email,pass,Published email: info@gic.gov.lk,https://gic.gov.lk/,
postal_address,pass,Published postal address: Subject Select a topic General Inquiry Make a Complaint Technical Issue Feedback Message Send Message GIC Sri Lanka The ,https://gic.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://gic.gov.lk/,
phone,pass,Published phone: 1919,https://gic.gov.lk/,
email,pass,Published email: info@gic.gov.lk,https://gic.gov.lk/,
postal_address,pass,Published postal address: Subject Select a topic General Inquiry Make a Complaint Technical Issue Feedback Message Send Message GIC Sri Lanka The ,https://gic.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://gic.gov.lk/,
phone,pass,Published phone: 1919,https://gic.gov.lk/services,
phone,pass,Published phone: 1919,https://gic.gov.lk/gov-forms/by-category,
phone,pass,Published phone: 1919,https://gic.gov.lk/gov-forms/by-index,
named_responsibility,pass,Published named responsibility: director,https://gic.gov.lk/gov-forms/by-index,
phone,pass,Published phone: 1919,https://gic.gov.lk/gov-forms/by-keyword,
named_responsibility,pass,Published named responsibility: department,https://gic.gov.lk/gov-forms/by-keyword,
phone,pass,Published phone: 1919,https://gic.gov.lk/gov-forms/by-organization,
named_responsibility,pass,Published named responsibility: department,https://gic.gov.lk/gov-forms/by-organization,
page_text,pass,Substantive page content: 2688 visible characters across 14 pages,https://gic.gov.lk/,
