check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:27:30.808255+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:27:30.808277+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:27:30.853274+05:30
http,pass,Probe 1: HTTP 200 at https://govpay.lk/en/,https://govpay.lk/,2026-09-08T23:27:47.178017+05:30
http,pass,Probe 2: HTTP 200 at https://govpay.lk/en/,http://govpay.lk/,2026-09-08T23:27:47.178038+05:30
http,pass,Probe 3: HTTP 200 at https://govpay.lk/en/,https://govpay.lk/,2026-09-08T23:27:47.178042+05:30
http,pass,Probe 4: HTTP 200 at https://govpay.lk/en/,http://govpay.lk/,2026-09-08T23:27:47.178044+05:30
http,pass,Probe 5: HTTP 200 at https://govpay.lk/en/organizations-and-services,https://govpay.lk/en/organizations-and-services,2026-09-08T23:27:47.178047+05:30
http,pass,Probe 6: HTTP 200 at https://govpay.lk/en/contact-us,https://govpay.lk/en/contact-us,2026-09-08T23:27:47.178050+05:30
http,pass,Probe 7: HTTP 200 at https://govpay.lk/en/what-is-govpay,https://govpay.lk/en/what-is-govpay,2026-09-08T23:27:47.178052+05:30
http,pass,Probe 8: HTTP 200 at https://govpay.lk/en/how-it-works,https://govpay.lk/en/how-it-works,2026-09-08T23:27:47.178055+05:30
http,pass,Probe 9: HTTP 200 at https://govpay.lk/en/supported-banks-fintech,https://govpay.lk/en/supported-banks-fintech,2026-09-08T23:27:47.178057+05:30
http,pass,Probe 10: HTTP 200 at https://govpay.lk/en/faq,https://govpay.lk/en/faq,2026-09-08T23:27:47.178060+05:30
http,pass,Probe 11: HTTP 200 at https://govpay.lk/en/spot-fine,https://govpay.lk/en/spot-fine,2026-09-08T23:27:47.178063+05:30
phone,pass,Published phone: 0956989588-,https://govpay.lk/en/,
phone,pass,Published phone: 0954986958-,https://govpay.lk/en/,
phone,pass,Published phone: 0955004726-,https://govpay.lk/en/,
phone,pass,Published phone: 0955053271-,https://govpay.lk/en/,
phone,pass,Published phone: 0957994178-,https://govpay.lk/en/,
phone,pass,Published phone: 0955572234-,https://govpay.lk/en/,
phone,pass,Published phone: 0956951652-,https://govpay.lk/en/,
phone,pass,Published phone: +94 (11) 351 2988,https://govpay.lk/en/,
phone,pass,Published phone: 0955107758-,https://govpay.lk/en/,
phone,pass,Published phone: 0956258427-,https://govpay.lk/en/,
phone,pass,Published phone: 0955541217-,https://govpay.lk/en/,
phone,pass,Published phone: 0957838024-,https://govpay.lk/en/,
phone,pass,Published phone: 0957913677-,https://govpay.lk/en/,
email,pass,Published email: you@example.com,https://govpay.lk/en/,
email,pass,Published email: info@govpay.lk,https://govpay.lk/en/,
email,pass,Published email: your@email.com,https://govpay.lk/en/,
named_responsibility,pass,Published named responsibility: division,https://govpay.lk/en/,
required_documents,pass,Published required documents: required documents,https://govpay.lk/en/,
fees_and_payment,pass,"Published fees and payment: rs,",https://govpay.lk/en/,
processing_time,pass,Published processing time: 6 Months,https://govpay.lk/en/,
phone,pass,Published phone: 0956989588-,https://govpay.lk/en/,
phone,pass,Published phone: 0954986958-,https://govpay.lk/en/,
phone,pass,Published phone: 0955004726-,https://govpay.lk/en/,
phone,pass,Published phone: 0955053271-,https://govpay.lk/en/,
phone,pass,Published phone: 0957994178-,https://govpay.lk/en/,
phone,pass,Published phone: 0955572234-,https://govpay.lk/en/,
phone,pass,Published phone: 0956951652-,https://govpay.lk/en/,
phone,pass,Published phone: +94 (11) 351 2988,https://govpay.lk/en/,
phone,pass,Published phone: 0955107758-,https://govpay.lk/en/,
phone,pass,Published phone: 0956258427-,https://govpay.lk/en/,
phone,pass,Published phone: 0955541217-,https://govpay.lk/en/,
phone,pass,Published phone: 0957838024-,https://govpay.lk/en/,
phone,pass,Published phone: 0957913677-,https://govpay.lk/en/,
email,pass,Published email: you@example.com,https://govpay.lk/en/,
email,pass,Published email: info@govpay.lk,https://govpay.lk/en/,
email,pass,Published email: your@email.com,https://govpay.lk/en/,
named_responsibility,pass,Published named responsibility: division,https://govpay.lk/en/,
required_documents,pass,Published required documents: required documents,https://govpay.lk/en/,
fees_and_payment,pass,"Published fees and payment: rs,",https://govpay.lk/en/,
processing_time,pass,Published processing time: 6 Months,https://govpay.lk/en/,
phone,pass,Published phone: 0956989588-,https://govpay.lk/en/,
phone,pass,Published phone: 0954986958-,https://govpay.lk/en/,
phone,pass,Published phone: 0955004726-,https://govpay.lk/en/,
phone,pass,Published phone: 0955053271-,https://govpay.lk/en/,
phone,pass,Published phone: 0957994178-,https://govpay.lk/en/,
phone,pass,Published phone: 0955572234-,https://govpay.lk/en/,
phone,pass,Published phone: 0956951652-,https://govpay.lk/en/,
phone,pass,Published phone: +94 (11) 351 2988,https://govpay.lk/en/,
phone,pass,Published phone: 0955107758-,https://govpay.lk/en/,
phone,pass,Published phone: 0956258427-,https://govpay.lk/en/,
phone,pass,Published phone: 0955541217-,https://govpay.lk/en/,
phone,pass,Published phone: 0957838024-,https://govpay.lk/en/,
phone,pass,Published phone: 0957913677-,https://govpay.lk/en/,
email,pass,Published email: you@example.com,https://govpay.lk/en/,
email,pass,Published email: info@govpay.lk,https://govpay.lk/en/,
email,pass,Published email: your@email.com,https://govpay.lk/en/,
named_responsibility,pass,Published named responsibility: division,https://govpay.lk/en/,
required_documents,pass,Published required documents: required documents,https://govpay.lk/en/,
fees_and_payment,pass,"Published fees and payment: rs,",https://govpay.lk/en/,
processing_time,pass,Published processing time: 6 Months,https://govpay.lk/en/,
phone,pass,Published phone: 0956989588-,https://govpay.lk/en/,
phone,pass,Published phone: 0954986958-,https://govpay.lk/en/,
phone,pass,Published phone: 0955004726-,https://govpay.lk/en/,
phone,pass,Published phone: 0955053271-,https://govpay.lk/en/,
phone,pass,Published phone: 0957994178-,https://govpay.lk/en/,
phone,pass,Published phone: 0955572234-,https://govpay.lk/en/,
phone,pass,Published phone: 0956951652-,https://govpay.lk/en/,
phone,pass,Published phone: +94 (11) 351 2988,https://govpay.lk/en/,
phone,pass,Published phone: 0955107758-,https://govpay.lk/en/,
phone,pass,Published phone: 0956258427-,https://govpay.lk/en/,
phone,pass,Published phone: 0955541217-,https://govpay.lk/en/,
phone,pass,Published phone: 0957838024-,https://govpay.lk/en/,
phone,pass,Published phone: 0957913677-,https://govpay.lk/en/,
email,pass,Published email: you@example.com,https://govpay.lk/en/,
email,pass,Published email: info@govpay.lk,https://govpay.lk/en/,
email,pass,Published email: your@email.com,https://govpay.lk/en/,
named_responsibility,pass,Published named responsibility: division,https://govpay.lk/en/,
required_documents,pass,Published required documents: required documents,https://govpay.lk/en/,
fees_and_payment,pass,"Published fees and payment: rs,",https://govpay.lk/en/,
processing_time,pass,Published processing time: 6 Months,https://govpay.lk/en/,
phone,pass,Published phone: 0956989588-,https://govpay.lk/en/organizations-and-services,
phone,pass,Published phone: 0954986958-,https://govpay.lk/en/organizations-and-services,
phone,pass,Published phone: 0955004726-,https://govpay.lk/en/organizations-and-services,
phone,pass,Published phone: 0955053271-,https://govpay.lk/en/organizations-and-services,
phone,pass,Published phone: 0957994178-,https://govpay.lk/en/organizations-and-services,
phone,pass,Published phone: 0955572234-,https://govpay.lk/en/organizations-and-services,
phone,pass,Published phone: 0956951652-,https://govpay.lk/en/organizations-and-services,
phone,pass,Published phone: +94 (11) 351 2988,https://govpay.lk/en/organizations-and-services,
phone,pass,Published phone: 0955107758-,https://govpay.lk/en/organizations-and-services,
phone,pass,Published phone: 0956258427-,https://govpay.lk/en/organizations-and-services,
phone,pass,Published phone: 0955541217-,https://govpay.lk/en/organizations-and-services,
phone,pass,Published phone: 0957838024-,https://govpay.lk/en/organizations-and-services,
phone,pass,Published phone: 0957913677-,https://govpay.lk/en/organizations-and-services,
email,pass,Published email: you@example.com,https://govpay.lk/en/organizations-and-services,
email,pass,Published email: info@govpay.lk,https://govpay.lk/en/organizations-and-services,
email,pass,Published email: your@email.com,https://govpay.lk/en/organizations-and-services,
named_responsibility,pass,Published named responsibility: division,https://govpay.lk/en/organizations-and-services,
required_documents,pass,Published required documents: required documents,https://govpay.lk/en/organizations-and-services,
fees_and_payment,pass,"Published fees and payment: rs,",https://govpay.lk/en/organizations-and-services,
processing_time,pass,Published processing time: 6 Months,https://govpay.lk/en/organizations-and-services,
phone,pass,Published phone: 0956989588-,https://govpay.lk/en/contact-us,
phone,pass,Published phone: 0954986958-,https://govpay.lk/en/contact-us,
phone,pass,Published phone: 0955004726-,https://govpay.lk/en/contact-us,
phone,pass,Published phone: 0955053271-,https://govpay.lk/en/contact-us,
phone,pass,Published phone: 0957994178-,https://govpay.lk/en/contact-us,
phone,pass,Published phone: 0955572234-,https://govpay.lk/en/contact-us,
phone,pass,Published phone: 0956951652-,https://govpay.lk/en/contact-us,
phone,pass,Published phone: 1919,https://govpay.lk/en/contact-us,
phone,pass,Published phone: 0955107758-,https://govpay.lk/en/contact-us,
phone,pass,Published phone: +94 (11) 351 2988,https://govpay.lk/en/contact-us,
phone,pass,Published phone: 0956258427-,https://govpay.lk/en/contact-us,
phone,pass,Published phone: 0955541217-,https://govpay.lk/en/contact-us,
phone,pass,Published phone: 0957838024-,https://govpay.lk/en/contact-us,
phone,pass,Published phone: 0957913677-,https://govpay.lk/en/contact-us,
email,pass,Published email: you@example.com,https://govpay.lk/en/contact-us,
email,pass,Published email: info@govpay.lk,https://govpay.lk/en/contact-us,
email,pass,Published email: your@email.com,https://govpay.lk/en/contact-us,
named_responsibility,pass,Published named responsibility: division,https://govpay.lk/en/contact-us,
required_documents,pass,Published required documents: required documents,https://govpay.lk/en/contact-us,
fees_and_payment,pass,"Published fees and payment: rs,",https://govpay.lk/en/contact-us,
processing_time,pass,Published processing time: 6 Months,https://govpay.lk/en/contact-us,
phone,pass,Published phone: 0956989588-,https://govpay.lk/en/what-is-govpay,
phone,pass,Published phone: 0954986958-,https://govpay.lk/en/what-is-govpay,
phone,pass,Published phone: 0955004726-,https://govpay.lk/en/what-is-govpay,
