check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:38:33.496089+05:30
domain_registration,pass,Domain registered,,2026-09-08T23:38:33.496097+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:38:34.690107+05:30
http,pass,Probe 1: HTTP 200 at https://investsrilanka.com/,https://investsrilanka.com/,2026-09-08T23:39:38.380545+05:30
http,fail,Probe 2: HTTP 503 at http://investsrilanka.com/,http://investsrilanka.com/,2026-09-08T23:39:38.380568+05:30
http,pass,Probe 3: HTTP 200 at https://investsrilanka.com/,https://investsrilanka.com/,2026-09-08T23:39:38.380572+05:30
http,fail,Probe 4: HTTP 503 at http://investsrilanka.com/,http://investsrilanka.com/,2026-09-08T23:39:38.380575+05:30
http,pass,Probe 5: HTTP 200 at https://investsrilanka.com/home/contact-boi-sri-lanka/,https://investsrilanka.com/home/contact-boi-sri-lanka/,2026-09-08T23:39:38.380578+05:30
http,pass,Probe 6: HTTP 200 at https://investsrilanka.com/home/why-sri-lanka/,https://investsrilanka.com/home/why-sri-lanka/,2026-09-08T23:39:38.380581+05:30
http,pass,Probe 7: HTTP 200 at https://investsrilanka.com/home/media/news/,https://investsrilanka.com/home/media/news/,2026-09-08T23:39:38.380583+05:30
http,pass,Probe 8: HTTP 200 at https://investsrilanka.com/home/media/ads/,https://investsrilanka.com/home/media/ads/,2026-09-08T23:39:38.380586+05:30
http,pass,Probe 9: HTTP 200 at https://investsrilanka.com/home/media/monthly-performance/,https://investsrilanka.com/home/media/monthly-performance/,2026-09-08T23:39:38.380589+05:30
http,pass,Probe 10: HTTP 200 at https://investsrilanka.com/home/media/testimonials/,https://investsrilanka.com/home/media/testimonials/,2026-09-08T23:39:38.380591+05:30
http,pass,Probe 11: HTTP 200 at https://investsrilanka.com/who-we-are/,https://investsrilanka.com/who-we-are/,2026-09-08T23:39:38.380594+05:30
http,pass,Probe 12: HTTP 200 at https://investsrilanka.com/home/leadership/,https://investsrilanka.com/home/leadership/,2026-09-08T23:39:38.380597+05:30
http,pass,Probe 13: HTTP 200 at https://investsrilanka.com/home/leadership/the-president-and-the-minister/,https://investsrilanka.com/the-president-and-the-minister/,2026-09-08T23:39:38.380599+05:30
http,pass,Probe 14: HTTP 200 at https://investsrilanka.com/home/leadership/the-chairman-of-boi/,https://investsrilanka.com/home/leadership/the-chairman-of-boi/,2026-09-08T23:39:38.380602+05:30
phone,pass,Published phone: 0.764705882,https://investsrilanka.com/,
phone,pass,Published phone: 0-9.372-9.373-9.,https://investsrilanka.com/,
phone,pass,Published phone: +94-11-2448105 ,https://investsrilanka.com/,
phone,pass,Published phone: 059 256 71.02,https://investsrilanka.com/,
phone,pass,Published phone: +94-11-2434403 ,https://investsrilanka.com/,
phone,pass,Published phone: 0.882352941,https://investsrilanka.com/,
phone,pass,Published phone: +94-77-1211213 ,https://investsrilanka.com/,
phone,pass,Published phone: 0588235294,https://investsrilanka.com/,
phone,pass,Published phone: +94-11-2346131,https://investsrilanka.com/,
phone,pass,Published phone: 0 9.372 9.373 9.,https://investsrilanka.com/,
phone,pass,Published phone: 0 33.942-9.373 ,https://investsrilanka.com/,
email,pass,Published email: info@boi.lk,https://investsrilanka.com/,
postal_address,pass,Published postal address: issues where some users faced problems with the `document` event not triggering as expected. // Define cachedScript glob,https://investsrilanka.com/,
named_responsibility,pass,Published named responsibility: director,https://investsrilanka.com/,
fees_and_payment,pass,"Published fees and payment: rs,",https://investsrilanka.com/,
phone,pass,Published phone: 0001803851,http://investsrilanka.com/,
phone,pass,Published phone: 0694021287,http://investsrilanka.com/,
phone,pass,Published phone: 0.764705882,https://investsrilanka.com/,
phone,pass,Published phone: 0-9.372-9.373-9.,https://investsrilanka.com/,
phone,pass,Published phone: +94-11-2448105 ,https://investsrilanka.com/,
phone,pass,Published phone: 059 256 71.02,https://investsrilanka.com/,
