check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:18:48.271252+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:18:48.271270+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:18:48.312357+05:30
http,pass,Probe 1: HTTP 200 at https://ism.ac.lk/,https://ism.ac.lk/,2026-09-08T23:19:04.552392+05:30
http,pass,Probe 2: HTTP 200 at https://ism.ac.lk/,http://ism.ac.lk/,2026-09-08T23:19:04.552414+05:30
http,pass,Probe 3: HTTP 200 at https://ism.ac.lk/,https://ism.ac.lk/,2026-09-08T23:19:04.552417+05:30
http,pass,Probe 4: HTTP 200 at https://ism.ac.lk/,http://ism.ac.lk/,2026-09-08T23:19:04.552420+05:30
http,pass,Probe 5: HTTP 200 at https://ism.ac.lk/CPDP%20for%20Sri%20Lanka%20Survey%20Service.html,https://ism.ac.lk/CPDP for Sri Lanka Survey Service.html,2026-09-08T23:19:04.552422+05:30
http,pass,Probe 6: HTTP 200 at https://ism.ac.lk/CPDP%20for%20Sri%20Lanka%20Technical%20Service.html,https://ism.ac.lk/CPDP for Sri Lanka Technical Service.html,2026-09-08T23:19:04.552463+05:30
http,pass,Probe 7: HTTP 200 at https://ism.ac.lk/Contact%20Details.html,https://ism.ac.lk/Contact Details.html,2026-09-08T23:19:04.552466+05:30
http,pass,Probe 8: HTTP 200 at https://ism.ac.lk/50%20years.html,https://ism.ac.lk/50 years.html,2026-09-08T23:19:04.552469+05:30
http,pass,Probe 9: HTTP 200 at https://ism.ac.lk/Annoucements.html,https://ism.ac.lk/Annoucements.html,2026-09-08T23:19:04.552471+05:30
http,pass,Probe 10: HTTP 200 at https://ism.ac.lk/Login.php,https://ism.ac.lk/Login.php,2026-09-08T23:19:04.552474+05:30
http,pass,Probe 11: HTTP 200 at https://ism.ac.lk/About%20Us.html,https://ism.ac.lk/About Us.html,2026-09-08T23:19:04.552477+05:30
http,pass,Probe 12: HTTP 200 at https://ism.ac.lk/Message%20of%20Surveyor%20Genaral.html,https://ism.ac.lk/Message of Surveyor Genaral.html,2026-09-08T23:19:04.552479+05:30
http,pass,Probe 13: HTTP 200 at https://ism.ac.lk/History.html,https://ism.ac.lk/History.html,2026-09-08T23:19:04.552482+05:30
