check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:24:34.880745+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:24:34.880767+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:24:35.014727+05:30
http,pass,Probe 1: HTTP 200 at https://jrjc.lk/,https://jrjc.lk/,2026-09-08T23:26:37.618604+05:30
http,pass,Probe 2: HTTP 200 at https://jrjc.lk/,http://jrjc.lk/,2026-09-08T23:26:37.618630+05:30
http,pass,Probe 3: HTTP 200 at https://jrjc.lk/,https://jrjc.lk/,2026-09-08T23:26:37.618634+05:30
http,fail,Probe 4: HTTP 522 at http://jrjc.lk/,http://jrjc.lk/,2026-09-08T23:26:37.618637+05:30
http,pass,Probe 5: HTTP 200 at https://jrjc.lk,https://jrjc.lk,2026-09-08T23:26:37.618641+05:30
http,pass,Probe 6: HTTP 200 at https://jrjc.lk/cart/,https://jrjc.lk/cart/,2026-09-08T23:26:37.618644+05:30
http,pass,Probe 7: HTTP 200 at https://jrjc.lk/biography/,https://jrjc.lk/biography/,2026-09-08T23:26:37.618647+05:30
http,pass,Probe 8: HTTP 200 at https://jrjc.lk/about-j-r-jayewardene/,https://jrjc.lk/about-j-r-jayewardene/,2026-09-08T23:26:37.618650+05:30
http,pass,Probe 9: HTTP 200 at https://jrjc.lk/library/,https://jrjc.lk/library/,2026-09-08T23:26:37.618653+05:30
http,pass,Probe 10: HTTP 200 at https://jrjc.lk/library-book-list/,https://jrjc.lk/library-book-list/,2026-09-08T23:26:37.618656+05:30
http,pass,Probe 11: HTTP 200 at https://jrjc.lk/publications/,https://jrjc.lk/publications/,2026-09-08T23:26:37.618659+05:30
http,pass,Probe 12: HTTP 200 at https://jrjc.lk/japanese-museum/,https://jrjc.lk/japanese-museum/,2026-09-08T23:26:37.618662+05:30
http,pass,Probe 13: HTTP 200 at https://jrjc.lk/event-booking/,https://jrjc.lk/event-booking/,2026-09-08T23:26:37.618665+05:30
http,pass,Probe 14: HTTP 200 at https://jrjc.lk/about-us/,https://jrjc.lk/about-us/,2026-09-08T23:26:37.618668+05:30
phone,pass,Published phone: 0000000000,https://jrjc.lk/,
phone,pass,Published phone: 0539140313,https://jrjc.lk/,
phone,pass,Published phone: 0954586231,https://jrjc.lk/,
phone,pass,Published phone: 0212707519,https://jrjc.lk/,
phone,pass,Published phone: 0000008180,https://jrjc.lk/,
fees_and_payment,pass,Published fees and payment: රු 250,https://jrjc.lk/,
phone,pass,Published phone: 0000000000,https://jrjc.lk/,
phone,pass,Published phone: 0539140313,https://jrjc.lk/,
phone,pass,Published phone: 0954586231,https://jrjc.lk/,
phone,pass,Published phone: 0212707519,https://jrjc.lk/,
phone,pass,Published phone: 0000008180,https://jrjc.lk/,
fees_and_payment,pass,Published fees and payment: රු 250,https://jrjc.lk/,
phone,pass,Published phone: 0000000000,https://jrjc.lk/,
phone,pass,Published phone: 0539140313,https://jrjc.lk/,
phone,pass,Published phone: 0954586231,https://jrjc.lk/,
phone,pass,Published phone: 0212707519,https://jrjc.lk/,
phone,pass,Published phone: 0000008180,https://jrjc.lk/,
fees_and_payment,pass,Published fees and payment: රු 250,https://jrjc.lk/,
phone,pass,Published phone: 0000000000,https://jrjc.lk,
phone,pass,Published phone: 0539140313,https://jrjc.lk,
phone,pass,Published phone: 0954586231,https://jrjc.lk,
phone,pass,Published phone: 0212707519,https://jrjc.lk,
phone,pass,Published phone: 0000008180,https://jrjc.lk,
fees_and_payment,pass,Published fees and payment: රු 250,https://jrjc.lk,
phone,pass,Published phone: 0000000000,https://jrjc.lk/cart/,
phone,pass,Published phone: 0539140313,https://jrjc.lk/cart/,
phone,pass,Published phone: 0954586231,https://jrjc.lk/cart/,
phone,pass,Published phone: 0212707519,https://jrjc.lk/cart/,
phone,pass,Published phone: 0000008180,https://jrjc.lk/cart/,
named_responsibility,pass,Published named responsibility: department,https://jrjc.lk/cart/,
fees_and_payment,pass,Published fees and payment: RS00,https://jrjc.lk/cart/,
phone,pass,Published phone: 0000000000,https://jrjc.lk/biography/,
phone,pass,Published phone: 0539140313,https://jrjc.lk/biography/,
phone,pass,Published phone: 0954586231,https://jrjc.lk/biography/,
phone,pass,Published phone: 0212707519,https://jrjc.lk/biography/,
phone,pass,Published phone: 0000008180,https://jrjc.lk/biography/,
fees_and_payment,pass,Published fees and payment: rs. 1989,https://jrjc.lk/biography/,
phone,pass,Published phone: 0000000000,https://jrjc.lk/about-j-r-jayewardene/,
phone,pass,Published phone: 0539140313,https://jrjc.lk/about-j-r-jayewardene/,
phone,pass,Published phone: 0954586231,https://jrjc.lk/about-j-r-jayewardene/,
phone,pass,Published phone: 0212707519,https://jrjc.lk/about-j-r-jayewardene/,
phone,pass,Published phone: 0000008180,https://jrjc.lk/about-j-r-jayewardene/,
