check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:53:00.842704+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:53:00.842723+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:53:00.916885+05:30
http,pass,Probe 1: HTTP 200 at https://kgraphite.lk/,https://kgraphite.lk/,2026-09-08T23:53:43.696375+05:30
http,pass,Probe 2: HTTP 200 at https://kgraphite.lk/,http://kgraphite.lk/,2026-09-08T23:53:43.696398+05:30
http,pass,Probe 3: HTTP 200 at https://kgraphite.lk/,https://kgraphite.lk/,2026-09-08T23:53:43.696401+05:30
http,pass,Probe 4: HTTP 200 at https://kgraphite.lk/,http://kgraphite.lk/,2026-09-08T23:53:43.696404+05:30
http,pass,Probe 5: HTTP 200 at https://kgraphite.lk/contact-us/,https://kgraphite.lk/contact-us/,2026-09-08T23:53:43.696407+05:30
http,pass,Probe 6: HTTP 200 at https://kgraphite.lk/contact-us/,https://kgraphite.lk/demo/contact-us/,2026-09-08T23:53:43.696409+05:30
http,pass,Probe 7: HTTP 200 at https://kgraphite.lk/d41d8-book-shop-home/,https://kgraphite.lk/d41d8-book-shop-home/,2026-09-08T23:53:43.696412+05:30
http,pass,Probe 8: HTTP 200 at https://kgraphite.lk/about-us/,https://kgraphite.lk/about-us/,2026-09-08T23:53:43.696414+05:30
http,pass,Probe 9: HTTP 200 at https://kgraphite.lk/proposed-museum/,https://kgraphite.lk/proposed-museum/,2026-09-08T23:53:43.696417+05:30
http,pass,Probe 10: HTTP 200 at https://kgraphite.lk/wp-content/uploads/2020/10/Company-Profile-KGLL.pdf,https://kgraphite.lk/wp-content/uploads/2020/10/Company-Profile-KGLL.pdf,2026-09-08T23:53:43.696420+05:30
http,pass,Probe 11: HTTP 200 at https://kgraphite.lk/wp-content/uploads/2022/11/Profile-KGLL-2022.10.14.pdf,https://kgraphite.lk/wp-content/uploads/2022/11/Profile-KGLL-2022.10.14.pdf,2026-09-08T23:53:43.696422+05:30
http,pass,Probe 12: HTTP 200 at https://kgraphite.lk/wp-content/uploads/2022/11/2017-2018-Annual-Report-English.pdf,https://kgraphite.lk/wp-content/uploads/2022/11/2017-2018-Annual-Report-English.pdf,2026-09-08T23:53:43.696425+05:30
http,pass,Probe 13: HTTP 200 at https://kgraphite.lk/wp-content/uploads/2022/11/2018-2019-Annual-Report-English.pdf,https://kgraphite.lk/wp-content/uploads/2022/11/2018-2019-Annual-Report-English.pdf,2026-09-08T23:53:43.696427+05:30
http,pass,Probe 14: HTTP 200 at https://kgraphite.lk/wp-content/uploads/2022/12/KGLL-Annual-Report-2019.2020-English-.pdf,https://kgraphite.lk/wp-content/uploads/2022/12/KGLL-Annual-Report-2019.2020-English-.pdf,2026-09-08T23:53:43.696430+05:30
phone,pass,Published phone: +94 112 058 062 ,https://kgraphite.lk/,
phone,pass,Published phone: +94 37 493 1711 ,https://kgraphite.lk/,
phone,pass,Published phone: +94 37 225 2015 ,https://kgraphite.lk/,
phone,pass,Published phone: +94 112 368 737 ,https://kgraphite.lk/,
postal_address,pass,"Published postal address: Kahatagaha Graphite Lanka Limited. 561/3, Elvitigala Mawatha, Narahenpita, Colombo 05, Sri Lanka",https://kgraphite.lk/,
named_responsibility,pass,Published named responsibility: director,https://kgraphite.lk/,
phone,pass,Published phone: +94 112 058 062 ,https://kgraphite.lk/,
phone,pass,Published phone: +94 37 493 1711 ,https://kgraphite.lk/,
phone,pass,Published phone: +94 37 225 2015 ,https://kgraphite.lk/,
phone,pass,Published phone: +94 112 368 737 ,https://kgraphite.lk/,
