check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:35:32.590236+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:35:32.590256+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:35:32.802273+05:30
http,pass,Probe 1: HTTP 200 at https://lankacoal.lk/,https://lankacoal.lk/,2026-09-08T23:35:46.707512+05:30
http,pass,Probe 2: HTTP 200 at http://lankacoal.lk/,http://lankacoal.lk/,2026-09-08T23:35:46.707535+05:30
http,pass,Probe 3: HTTP 200 at https://lankacoal.lk/,https://lankacoal.lk/,2026-09-08T23:35:46.707539+05:30
http,pass,Probe 4: HTTP 200 at http://lankacoal.lk/,http://lankacoal.lk/,2026-09-08T23:35:46.707542+05:30
http,pass,Probe 5: HTTP 200 at https://lankacoal.lk/contact-us.php,https://lankacoal.lk/contact-us.php,2026-09-08T23:35:46.707545+05:30
http,pass,Probe 6: HTTP 200 at https://lankacoal.lk/docs/LCC-24-L%20T-1%20R1%20Information%20copy%20of%20the%20Bidding%20Document%20for%20Coal%20Lightering%20Service%20for%20Lakvijaya%20Power%20Plant%20.pdf,https://lankacoal.lk/docs/LCC-24-L T-1 R1 Information copy of the Bidding Document for Coal Lightering Service for Lakvijaya Power Plant .pdf,2026-09-08T23:35:46.707548+05:30
http,pass,Probe 7: HTTP 200 at https://lankacoal.lk/docs/LCC-24-L%20T-1%20Information%20copy%20of%20the%20Bidding%20Document%20for%20Coal%20Lightering%20Service%20for%20Lakvijaya%20Power%20Plant%20%20(1).pdf,https://lankacoal.lk/docs/LCC-24-L T-1 Information copy of the Bidding Document for Coal Lightering Service for Lakvijaya Power Plant  (1).pdf,2026-09-08T23:35:46.707551+05:30
http,pass,Probe 8: HTTP 200 at https://lankacoal.lk/process-of-coal.html,https://lankacoal.lk/process-of-coal.html,2026-09-08T23:35:46.707553+05:30
http,pass,Probe 9: HTTP 200 at https://lankacoal.lk/gallery.html,https://lankacoal.lk/gallery.html,2026-09-08T23:35:46.707556+05:30
http,pass,Probe 10: HTTP 200 at https://lankacoal.lk/why-coal.html,https://lankacoal.lk/why-coal.html,2026-09-08T23:35:46.707559+05:30
