check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:54:58.397499+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:54:58.397520+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:54:58.423884+05:30
http,pass,Probe 1: HTTP 200 at https://legalaid.gov.lk/,https://legalaid.gov.lk/,2026-09-08T23:55:13.848470+05:30
http,pass,Probe 2: HTTP 200 at https://legalaid.gov.lk/,http://legalaid.gov.lk/,2026-09-08T23:55:13.848491+05:30
http,pass,Probe 3: HTTP 200 at https://legalaid.gov.lk/,https://legalaid.gov.lk/,2026-09-08T23:55:13.848495+05:30
http,pass,Probe 4: HTTP 200 at https://legalaid.gov.lk/,http://legalaid.gov.lk/,2026-09-08T23:55:13.848498+05:30
http,pass,Probe 5: HTTP 200 at https://legalaid.gov.lk/contact-us,https://legalaid.gov.lk/contact-us,2026-09-08T23:55:13.848500+05:30
http,pass,Probe 6: HTTP 200 at https://legalaid.gov.lk/knowledge-hub/information-officer,https://legalaid.gov.lk/knowledge-hub/information-officer,2026-09-08T23:55:13.848503+05:30
http,pass,Probe 7: HTTP 200 at https://legalaid.gov.lk/service/index,https://legalaid.gov.lk/service/index,2026-09-08T23:55:13.848506+05:30
http,pass,Probe 8: HTTP 200 at https://legalaid.gov.lk/service/offered/services-legal-consultation,https://legalaid.gov.lk/service/offered/services-legal-consultation,2026-09-08T23:55:13.848508+05:30
http,pass,Probe 9: HTTP 200 at https://legalaid.gov.lk/service/offered/services-judicial-proceedings,https://legalaid.gov.lk/service/offered/services-judicial-proceedings,2026-09-08T23:55:13.848511+05:30
http,pass,Probe 10: HTTP 200 at https://legalaid.gov.lk/service/offered/services-public-engagement-activities,https://legalaid.gov.lk/service/offered/services-public-engagement-activities,2026-09-08T23:55:13.848514+05:30
http,pass,Probe 11: HTTP 200 at https://legalaid.gov.lk/service/offered/services-projects-for-enhancing-public-literacy,https://legalaid.gov.lk/service/offered/services-projects-for-enhancing-public-literacy,2026-09-08T23:55:13.848516+05:30
http,pass,Probe 12: HTTP 200 at https://legalaid.gov.lk/service/offered/services-development-oriented-law-assistance-programs-projects,https://legalaid.gov.lk/service/offered/services-development-oriented-law-assistance-programs-projects,2026-09-08T23:55:13.848519+05:30
http,pass,Probe 13: HTTP 200 at https://legalaid.gov.lk/service/offered/services-document-work,https://legalaid.gov.lk/service/offered/services-document-work,2026-09-08T23:55:13.848521+05:30
http,pass,Probe 14: HTTP 200 at https://legalaid.gov.lk/service/offered/services-publications-and-media-activities,https://legalaid.gov.lk/service/offered/services-publications-and-media-activities,2026-09-08T23:55:13.848524+05:30
phone,pass,Published phone: +94-70-3655111,https://legalaid.gov.lk/,
phone,pass,Published phone: +94-70-3655111 ,https://legalaid.gov.lk/,
email,pass,Published email: legalaidcommission1978@gmail.com,https://legalaid.gov.lk/,
phone,pass,Published phone: +94-70-3655111,https://legalaid.gov.lk/,
phone,pass,Published phone: +94-70-3655111 ,https://legalaid.gov.lk/,
email,pass,Published email: legalaidcommission1978@gmail.com,https://legalaid.gov.lk/,
phone,pass,Published phone: +94-70-3655111,https://legalaid.gov.lk/,
phone,pass,Published phone: +94-70-3655111 ,https://legalaid.gov.lk/,
email,pass,Published email: legalaidcommission1978@gmail.com,https://legalaid.gov.lk/,
phone,pass,Published phone: +94-70-3655111,https://legalaid.gov.lk/,
phone,pass,Published phone: +94-70-3655111 ,https://legalaid.gov.lk/,
email,pass,Published email: legalaidcommission1978@gmail.com,https://legalaid.gov.lk/,
phone,pass,Published phone: +94-70-3655111,https://legalaid.gov.lk/contact-us,
phone,pass,Published phone: +94-70-3655111 ,https://legalaid.gov.lk/contact-us,
phone,pass,Published phone: +94-70-5655111,https://legalaid.gov.lk/contact-us,
phone,pass,Published phone: +94-11-2433618 ,https://legalaid.gov.lk/contact-us,
phone,pass,Published phone: +94-70-5655111 ,https://legalaid.gov.lk/contact-us,
email,pass,Published email: legalaidcommission1978@gmail.com,https://legalaid.gov.lk/contact-us,
phone,pass,Published phone: +94-70-3655111,https://legalaid.gov.lk/knowledge-hub/information-officer,
phone,pass,Published phone: +94-70-3655111 ,https://legalaid.gov.lk/knowledge-hub/information-officer,
phone,pass,Published phone: 0774426342,https://legalaid.gov.lk/knowledge-hub/information-officer,
email,pass,Published email: thusharilac@yahoo.com,https://legalaid.gov.lk/knowledge-hub/information-officer,
email,pass,Published email: legalaidcommission1978@gmail.com,https://legalaid.gov.lk/knowledge-hub/information-officer,
phone,pass,Published phone: +94-70-3655111,https://legalaid.gov.lk/service/index,
phone,pass,Published phone: +94-70-3655111 ,https://legalaid.gov.lk/service/index,
email,pass,Published email: legalaidcommission1978@gmail.com,https://legalaid.gov.lk/service/index,
phone,pass,Published phone: +94-70-3655111,https://legalaid.gov.lk/service/offered/services-legal-consultation,
phone,pass,Published phone: +94-70-3655111 ,https://legalaid.gov.lk/service/offered/services-legal-consultation,
email,pass,Published email: legalaidcommission1978@gmail.com,https://legalaid.gov.lk/service/offered/services-legal-consultation,
phone,pass,Published phone: +94-70-3655111,https://legalaid.gov.lk/service/offered/services-judicial-proceedings,
phone,pass,Published phone: +94-70-3655111 ,https://legalaid.gov.lk/service/offered/services-judicial-proceedings,
email,pass,Published email: legalaidcommission1978@gmail.com,https://legalaid.gov.lk/service/offered/services-judicial-proceedings,
phone,pass,Published phone: +94-70-3655111,https://legalaid.gov.lk/service/offered/services-public-engagement-activities,
phone,pass,Published phone: +94-70-3655111 ,https://legalaid.gov.lk/service/offered/services-public-engagement-activities,
email,pass,Published email: legalaidcommission1978@gmail.com,https://legalaid.gov.lk/service/offered/services-public-engagement-activities,
phone,pass,Published phone: +94-70-3655111,https://legalaid.gov.lk/service/offered/services-projects-for-enhancing-public-literacy,
phone,pass,Published phone: +94-70-3655111 ,https://legalaid.gov.lk/service/offered/services-projects-for-enhancing-public-literacy,
email,pass,Published email: legalaidcommission1978@gmail.com,https://legalaid.gov.lk/service/offered/services-projects-for-enhancing-public-literacy,
phone,pass,Published phone: +94-70-3655111,https://legalaid.gov.lk/service/offered/services-development-oriented-law-assistance-programs-projects,
phone,pass,Published phone: +94-70-3655111 ,https://legalaid.gov.lk/service/offered/services-development-oriented-law-assistance-programs-projects,
email,pass,Published email: legalaidcommission1978@gmail.com,https://legalaid.gov.lk/service/offered/services-development-oriented-law-assistance-programs-projects,
phone,pass,Published phone: +94-70-3655111,https://legalaid.gov.lk/service/offered/services-document-work,
phone,pass,Published phone: +94-70-3655111 ,https://legalaid.gov.lk/service/offered/services-document-work,
email,pass,Published email: legalaidcommission1978@gmail.com,https://legalaid.gov.lk/service/offered/services-document-work,
phone,pass,Published phone: +94-70-3655111,https://legalaid.gov.lk/service/offered/services-publications-and-media-activities,
phone,pass,Published phone: +94-70-3655111 ,https://legalaid.gov.lk/service/offered/services-publications-and-media-activities,
email,pass,Published email: legalaidcommission1978@gmail.com,https://legalaid.gov.lk/service/offered/services-publications-and-media-activities,
page_text,pass,Substantive page content: 10360 visible characters across 14 pages,https://legalaid.gov.lk/,
