check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:23:28.883095+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:23:28.883131+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:23:29.270111+05:30
http,pass,Probe 1: HTTP 200 at https://mahaweli.gov.lk/,https://mahaweli.gov.lk/,2026-09-08T23:23:55.865650+05:30
http,pass,Probe 2: HTTP 200 at https://mahaweli.gov.lk/,http://mahaweli.gov.lk/,2026-09-08T23:23:55.865673+05:30
http,pass,Probe 3: HTTP 200 at https://mahaweli.gov.lk/,https://mahaweli.gov.lk/,2026-09-08T23:23:55.865676+05:30
http,pass,Probe 4: HTTP 200 at https://mahaweli.gov.lk/,http://mahaweli.gov.lk/,2026-09-08T23:23:55.865679+05:30
http,pass,Probe 5: HTTP 200 at https://mahaweli.gov.lk/index.html,https://mahaweli.gov.lk/index.html,2026-09-08T23:23:55.865682+05:30
http,pass,Probe 6: HTTP 200 at https://mahaweli.gov.lk/about%20us.html,https://mahaweli.gov.lk/about%20us.html,2026-09-08T23:23:55.865684+05:30
http,pass,Probe 7: HTTP 200 at https://mahaweli.gov.lk/annual%20reports.html,https://mahaweli.gov.lk/annual%20reports.html,2026-09-08T23:23:55.865687+05:30
http,pass,Probe 8: HTTP 200 at https://mahaweli.gov.lk/holiday%20bungalow.html,https://mahaweli.gov.lk/holiday%20bungalow.html,2026-09-08T23:23:55.865689+05:30
http,pass,Probe 9: HTTP 200 at https://mahaweli.gov.lk/video.html,https://mahaweli.gov.lk/video.html,2026-09-08T23:23:55.865692+05:30
http,pass,Probe 10: HTTP 200 at https://mahaweli.gov.lk/tenders.html,https://mahaweli.gov.lk/tenders.html,2026-09-08T23:23:55.865695+05:30
http,pass,Probe 11: HTTP 200 at https://mahaweli.gov.lk/news.html,https://mahaweli.gov.lk/news.html,2026-09-08T23:23:55.865697+05:30
http,pass,Probe 12: HTTP 200 at https://mahaweli.gov.lk/about%20bod.html,https://mahaweli.gov.lk/about%20bod.html,2026-09-08T23:23:55.865699+05:30
http,pass,Probe 13: HTTP 200 at https://mahaweli.gov.lk/organization%20stucture.html,https://mahaweli.gov.lk/organization%20stucture.html,2026-09-08T23:23:55.865702+05:30
http,pass,Probe 14: HTTP 200 at https://mahaweli.gov.lk/land%20use%20planning.html,https://mahaweli.gov.lk/land%20use%20planning.html,2026-09-08T23:23:55.865704+05:30
named_responsibility,pass,Published named responsibility: director,https://mahaweli.gov.lk/,
legal_basis,pass,Published legal basis: gazette,https://mahaweli.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://mahaweli.gov.lk/,
legal_basis,pass,Published legal basis: gazette,https://mahaweli.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://mahaweli.gov.lk/,
legal_basis,pass,Published legal basis: gazette,https://mahaweli.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://mahaweli.gov.lk/,
legal_basis,pass,Published legal basis: gazette,https://mahaweli.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://mahaweli.gov.lk/index.html,
legal_basis,pass,Published legal basis: gazette,https://mahaweli.gov.lk/index.html,
named_responsibility,pass,Published named responsibility: director,https://mahaweli.gov.lk/about%20us.html,
fees_and_payment,pass,"Published fees and payment: rs,",https://mahaweli.gov.lk/about%20us.html,
phone,pass,Published phone: 018 - - 2021 - 202,https://mahaweli.gov.lk/annual%20reports.html,
phone,pass,Published phone: 018 2017 201,https://mahaweli.gov.lk/annual%20reports.html,
named_responsibility,pass,Published named responsibility: department,https://mahaweli.gov.lk/annual%20reports.html,
legal_basis,pass,Published legal basis: gazette,https://mahaweli.gov.lk/annual%20reports.html,
phone,pass,Published phone: 000.00 14 1 2 2 ,https://mahaweli.gov.lk/holiday%20bungalow.html,
phone,pass,Published phone: 000.00 15 1 1 4 ,https://mahaweli.gov.lk/holiday%20bungalow.html,
phone,pass,Published phone: 000.00 10 1 1 2 ,https://mahaweli.gov.lk/holiday%20bungalow.html,
phone,pass,Published phone: 000.00 50 1 4 2,https://mahaweli.gov.lk/holiday%20bungalow.html,
phone,pass,Published phone: 000.00 23 1 4 3 ,https://mahaweli.gov.lk/holiday%20bungalow.html,
phone,pass,Published phone: 000.00 23 4 10 ,https://mahaweli.gov.lk/holiday%20bungalow.html,
phone,pass,Published phone: 000.00 24 1 1 5 ,https://mahaweli.gov.lk/holiday%20bungalow.html,
named_responsibility,pass,Published named responsibility: department,https://mahaweli.gov.lk/holiday%20bungalow.html,
named_responsibility,pass,Published named responsibility: department,https://mahaweli.gov.lk/video.html,
phone,pass,Published phone: 04 09-07-2026 ,https://mahaweli.gov.lk/tenders.html,
named_responsibility,pass,Published named responsibility: department,https://mahaweli.gov.lk/tenders.html,
named_responsibility,pass,Published named responsibility: department,https://mahaweli.gov.lk/news.html,
legal_basis,pass,Published legal basis: gazette,https://mahaweli.gov.lk/news.html,
named_responsibility,pass,Published named responsibility: director,https://mahaweli.gov.lk/about%20bod.html,
fees_and_payment,pass,"Published fees and payment: rs,",https://mahaweli.gov.lk/about%20bod.html,
named_responsibility,pass,Published named responsibility: director,https://mahaweli.gov.lk/organization%20stucture.html,
named_responsibility,pass,Published named responsibility: director,https://mahaweli.gov.lk/land%20use%20planning.html,
legal_basis,pass,Published legal basis: under the act,https://mahaweli.gov.lk/land%20use%20planning.html,
fees_and_payment,pass,"Published fees and payment: rs,",https://mahaweli.gov.lk/land%20use%20planning.html,
page_text,pass,Substantive page content: 13493 visible characters across 14 pages,https://mahaweli.gov.lk/,
