check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:55:11.097677+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:55:11.097697+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:55:11.919296+05:30
http,pass,Probe 1: HTTP 200 at https://mediation.gov.lk/en/,https://mediation.gov.lk/,2026-09-08T23:55:35.121397+05:30
http,pass,Probe 2: HTTP 200 at http://mediation.gov.lk/en/,http://mediation.gov.lk/,2026-09-08T23:55:35.121420+05:30
http,pass,Probe 3: HTTP 200 at https://mediation.gov.lk/en/,https://mediation.gov.lk/,2026-09-08T23:55:35.121423+05:30
http,pass,Probe 4: HTTP 200 at http://mediation.gov.lk/en/,http://mediation.gov.lk/,2026-09-08T23:55:35.121426+05:30
http,pass,Probe 5: HTTP 200 at https://mediation.gov.lk/en/contact-us-rti/contact-us/,https://mediation.gov.lk/en/contact-us-rti/contact-us/,2026-09-08T23:55:35.121429+05:30
http,pass,Probe 6: HTTP 200 at https://mediation.gov.lk/en/contact-us-rti/right-to-information/,https://mediation.gov.lk/en/contact-us-rti/right-to-information/,2026-09-08T23:55:35.121431+05:30
http,pass,Probe 7: HTTP 200 at https://mediation.gov.lk/si/,https://mediation.gov.lk/si/,2026-09-08T23:55:35.121434+05:30
http,pass,Probe 8: HTTP 200 at https://mediation.gov.lk/ta/,https://mediation.gov.lk/ta/,2026-09-08T23:55:35.121436+05:30
http,pass,Probe 9: HTTP 200 at https://mediation.gov.lk/en/about-us/who-are-we/,https://mediation.gov.lk/en/about-us/who-are-we/,2026-09-08T23:55:35.121439+05:30
http,pass,Probe 10: HTTP 200 at https://mediation.gov.lk/en/about-us/history/,https://mediation.gov.lk/en/about-us/history/,2026-09-08T23:55:35.121441+05:30
http,pass,Probe 11: HTTP 200 at https://mediation.gov.lk/en/about-us/faq/,https://mediation.gov.lk/en/about-us/faq/,2026-09-08T23:55:35.121444+05:30
http,pass,Probe 12: HTTP 200 at https://mediation.gov.lk/en/mediation-programme/overview/,https://mediation.gov.lk/en/mediation-programme/overview/,2026-09-08T23:55:35.121446+05:30
http,pass,Probe 13: HTTP 200 at https://mediation.gov.lk/en/mediation-programme/overview/mediation-process/,https://mediation.gov.lk/en/mediation-programme/overview/mediation-process/,2026-09-08T23:55:35.121449+05:30
http,pass,Probe 14: HTTP 200 at https://mediation.gov.lk/en/mediation-programme/overview/mediation-boards-establishment-composition/,https://mediation.gov.lk/en/mediation-programme/overview/mediation-boards-establishment-composition/,2026-09-08T23:55:35.121451+05:30
phone,pass,Published phone: 077-3984594 ,https://mediation.gov.lk/en/,
phone,pass,Published phone: 0782053799 ,https://mediation.gov.lk/en/,
phone,pass,Published phone: 0701562476 ,https://mediation.gov.lk/en/,
phone,pass,Published phone: 0717852976 ,https://mediation.gov.lk/en/,
phone,pass,Published phone: 0252222099,https://mediation.gov.lk/en/,
phone,pass,Published phone: 0714414890 ,https://mediation.gov.lk/en/,
phone,pass,Published phone: 077-4793517 ,https://mediation.gov.lk/en/,
phone,pass,Published phone: 066- 2224460 ,https://mediation.gov.lk/en/,
phone,pass,Published phone: 0382244124 ,https://mediation.gov.lk/en/,
phone,pass,Published phone: 0552250411 ,https://mediation.gov.lk/en/,
phone,pass,Published phone: 0715380034 ,https://mediation.gov.lk/en/,
phone,pass,Published phone: 0779790106 ,https://mediation.gov.lk/en/,
phone,pass,Published phone: 0711850296 ,https://mediation.gov.lk/en/,
phone,pass,Published phone: 0253257682 ,https://mediation.gov.lk/en/,
phone,pass,Published phone: 0778461450 ,https://mediation.gov.lk/en/,
phone,pass,Published phone: 0714500362 ,https://mediation.gov.lk/en/,
phone,pass,Published phone: 0472225485 ,https://mediation.gov.lk/en/,
phone,pass,Published phone: 0473485592 ,https://mediation.gov.lk/en/,
phone,pass,Published phone: 077-0666948 ,https://mediation.gov.lk/en/,
phone,pass,Published phone: 0718426733 ,https://mediation.gov.lk/en/,
phone,pass,Published phone: 0253257552,https://mediation.gov.lk/en/,
phone,pass,Published phone: 0472280068 ,https://mediation.gov.lk/en/,
phone,pass,Published phone: 0715564503 ,https://mediation.gov.lk/en/,
phone,pass,Published phone: 0273274612 ,https://mediation.gov.lk/en/,
phone,pass,Published phone: 0776160104 ,https://mediation.gov.lk/en/,
phone,pass,Published phone: +94 112 334 323,https://mediation.gov.lk/en/,
phone,pass,Published phone: 0776130543 ,https://mediation.gov.lk/en/,
phone,pass,Published phone: 0332262401 ,https://mediation.gov.lk/en/,
phone,pass,Published phone: 03. 077-62194,https://mediation.gov.lk/en/,
phone,pass,Published phone: 0252050547,https://mediation.gov.lk/en/,
phone,pass,Published phone: 0718390995 ,https://mediation.gov.lk/en/,
phone,pass,Published phone: 0112 334 323 ,https://mediation.gov.lk/en/,
phone,pass,Published phone: 0712042715 ,https://mediation.gov.lk/en/,
phone,pass,Published phone: 0711602634 ,https://mediation.gov.lk/en/,
