check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:36:28.507082+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:36:28.507112+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:36:29.012564+05:30
http,pass,Probe 1: HTTP 200 at https://mepa.gov.lk/,https://mepa.gov.lk/,2026-09-08T23:37:14.196679+05:30
http,pass,Probe 2: HTTP 200 at https://mepa.gov.lk/,http://mepa.gov.lk/,2026-09-08T23:37:14.196699+05:30
http,pass,Probe 3: HTTP 200 at https://mepa.gov.lk/,https://mepa.gov.lk/,2026-09-08T23:37:14.196702+05:30
http,pass,Probe 4: HTTP 200 at https://mepa.gov.lk/,http://mepa.gov.lk/,2026-09-08T23:37:14.196705+05:30
http,pass,Probe 5: HTTP 200 at https://mepa.gov.lk/ship-services/,https://mepa.gov.lk/ship-services/,2026-09-08T23:37:14.196708+05:30
http,pass,Probe 6: HTTP 200 at https://mepa.gov.lk/head-office/,https://mepa.gov.lk/head-office/,2026-09-08T23:37:14.196710+05:30
http,pass,Probe 7: HTTP 200 at https://mepa.gov.lk/regional-office/,https://mepa.gov.lk/regional-office/,2026-09-08T23:37:14.196713+05:30
http,pass,Probe 8: HTTP 200 at https://mepa.gov.lk/our-services/,https://mepa.gov.lk/our-services/,2026-09-08T23:37:14.196715+05:30
http,pass,Probe 9: HTTP 200 at https://mepa.gov.lk/services/oil-spill-contingency-plan-approvals/,https://mepa.gov.lk/services/oil-spill-contingency-plan-approvals/,2026-09-08T23:37:14.196718+05:30
http,pass,Probe 10: HTTP 200 at https://mepa.gov.lk/services/biofouling-management-glofouling-partnership-project/,https://mepa.gov.lk/services/biofouling-management-glofouling-partnership-project/,2026-09-08T23:37:14.196721+05:30
http,pass,Probe 11: HTTP 200 at https://mepa.gov.lk/services/environmental-approvals/,https://mepa.gov.lk/services/environmental-approvals/,2026-09-08T23:37:14.196723+05:30
http,pass,Probe 12: HTTP 200 at https://mepa.gov.lk/services/world-oceans-day/,https://mepa.gov.lk/services/world-oceans-day/,2026-09-08T23:37:14.196726+05:30
http,pass,Probe 13: HTTP 200 at https://mepa.gov.lk/services/ocean-watch/,https://mepa.gov.lk/services/ocean-watch/,2026-09-08T23:37:14.196728+05:30
http,pass,Probe 14: HTTP 200 at https://mepa.gov.lk/services/laboratory/,https://mepa.gov.lk/services/laboratory/,2026-09-08T23:37:14.196731+05:30
phone,pass,Published phone: +94 11 2554373 ,https://mepa.gov.lk/,
phone,pass,Published phone: 002-345-6789 ,https://mepa.gov.lk/,
email,pass,Published email: info@mepa.gov.lk,https://mepa.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://mepa.gov.lk/,
legal_basis,pass,Published legal basis: circular,https://mepa.gov.lk/,
phone,pass,Published phone: +94 11 2554373 ,https://mepa.gov.lk/,
phone,pass,Published phone: 002-345-6789 ,https://mepa.gov.lk/,
email,pass,Published email: info@mepa.gov.lk,https://mepa.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://mepa.gov.lk/,
legal_basis,pass,Published legal basis: circular,https://mepa.gov.lk/,
phone,pass,Published phone: +94 11 2554373 ,https://mepa.gov.lk/,
phone,pass,Published phone: 002-345-6789 ,https://mepa.gov.lk/,
email,pass,Published email: info@mepa.gov.lk,https://mepa.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://mepa.gov.lk/,
legal_basis,pass,Published legal basis: circular,https://mepa.gov.lk/,
phone,pass,Published phone: +94 11 2554373 ,https://mepa.gov.lk/,
phone,pass,Published phone: 002-345-6789 ,https://mepa.gov.lk/,
email,pass,Published email: info@mepa.gov.lk,https://mepa.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://mepa.gov.lk/,
legal_basis,pass,Published legal basis: circular,https://mepa.gov.lk/,
phone,pass,Published phone: +94 11 2554373 ,https://mepa.gov.lk/ship-services/,
phone,pass,Published phone: 002-345-6789 ,https://mepa.gov.lk/ship-services/,
email,pass,Published email: info@mepa.gov.lk,https://mepa.gov.lk/ship-services/,
named_responsibility,pass,Published named responsibility: department,https://mepa.gov.lk/ship-services/,
legal_basis,pass,Published legal basis: circular,https://mepa.gov.lk/ship-services/,
phone,pass,Published phone: 0112 554389 ,https://mepa.gov.lk/head-office/,
phone,pass,Published phone: 0112 554562 ,https://mepa.gov.lk/head-office/,
phone,pass,Published phone: 0112 554373 (,https://mepa.gov.lk/head-office/,
phone,pass,Published phone: +94 11 2554373 ,https://mepa.gov.lk/head-office/,
phone,pass,Published phone: 0112 554318 ,https://mepa.gov.lk/head-office/,
phone,pass,Published phone: 0112 554534 ,https://mepa.gov.lk/head-office/,
phone,pass,Published phone: 0112 554682 ,https://mepa.gov.lk/head-office/,
phone,pass,Published phone: 0112 554908 ,https://mepa.gov.lk/head-office/,
phone,pass,Published phone: 0112 554634 ,https://mepa.gov.lk/head-office/,
phone,pass,Published phone: 002-345-6789 ,https://mepa.gov.lk/head-office/,
phone,pass,Published phone: 0112 554683 ,https://mepa.gov.lk/head-office/,
phone,pass,Published phone: 0112 554624 ,https://mepa.gov.lk/head-office/,
phone,pass,Published phone: 0112 554247 ,https://mepa.gov.lk/head-office/,
phone,pass,Published phone: 0112 554006,https://mepa.gov.lk/head-office/,
email,pass,Published email: bandara@mepa.gov.lk,https://mepa.gov.lk/head-office/,
email,pass,Published email: danushka@mepa.gov.lk,https://mepa.gov.lk/head-office/,
email,pass,Published email: mohan@mepa.gov.lk,https://mepa.gov.lk/head-office/,
email,pass,Published email: nilantha@mepa.gov.lk,https://mepa.gov.lk/head-office/,
email,pass,Published email: neil@mepa.gov.lk,https://mepa.gov.lk/head-office/,
email,pass,Published email: info@mepa.gov.lk,https://mepa.gov.lk/head-office/,
email,pass,Published email: achini@mepa.gov.lk,https://mepa.gov.lk/head-office/,
email,pass,Published email: semini@mepa.gov.lk,https://mepa.gov.lk/head-office/,
email,pass,Published email: prabath@mepa.gov.lk,https://mepa.gov.lk/head-office/,
email,pass,Published email: sumeda@mepa.gov.lk,https://mepa.gov.lk/head-office/,
email,pass,Published email: dinishiya@mepa.gov.lk,https://mepa.gov.lk/head-office/,
email,pass,Published email: pushpa@mepa.gov.lk,https://mepa.gov.lk/head-office/,
named_responsibility,pass,Published named responsibility: department,https://mepa.gov.lk/head-office/,
legal_basis,pass,Published legal basis: circular,https://mepa.gov.lk/head-office/,
phone,pass,Published phone: 031 2228606 ,https://mepa.gov.lk/regional-office/,
phone,pass,Published phone: 011 2554078 ,https://mepa.gov.lk/regional-office/,
phone,pass,Published phone: 021 2212663 ,https://mepa.gov.lk/regional-office/,
phone,pass,Published phone: 041-2234250 ,https://mepa.gov.lk/regional-office/,
phone,pass,Published phone: +94 11 2554373 ,https://mepa.gov.lk/regional-office/,
phone,pass,Published phone: 065 2224979 ,https://mepa.gov.lk/regional-office/,
phone,pass,Published phone: 070 2559088 (,https://mepa.gov.lk/regional-office/,
phone,pass,Published phone: 047 2256372 ,https://mepa.gov.lk/regional-office/,
phone,pass,Published phone: 021 2282101 ,https://mepa.gov.lk/regional-office/,
phone,pass,Published phone: 091 2121077 ,https://mepa.gov.lk/regional-office/,
phone,pass,Published phone: 023 2251758 ,https://mepa.gov.lk/regional-office/,
phone,pass,Published phone: 026 2050805 ,https://mepa.gov.lk/regional-office/,
phone,pass,Published phone: 0112 554652 ,https://mepa.gov.lk/regional-office/,
phone,pass,Published phone: 034 2221790 ,https://mepa.gov.lk/regional-office/,
phone,pass,Published phone: 067 2265416 ,https://mepa.gov.lk/regional-office/,
phone,pass,Published phone: 011 2391212 ,https://mepa.gov.lk/regional-office/,
phone,pass,Published phone: 091 2233547 ,https://mepa.gov.lk/regional-office/,
phone,pass,Published phone: 002-345-6789 ,https://mepa.gov.lk/regional-office/,
phone,pass,Published phone: 032 2222865 ,https://mepa.gov.lk/regional-office/,
email,pass,Published email: ,https://mepa.gov.lk/regional-office/,
email,pass,Published email: sandun@mepa.gov.lk,https://mepa.gov.lk/regional-office/,
email,pass,Published email: madhura@mepa.gov.lk,https://mepa.gov.lk/regional-office/,
email,pass,Published email: kesavan@mepa.gov.lk,https://mepa.gov.lk/regional-office/,
email,pass,Published email: cmbmepa@mepa.gov.lk,https://mepa.gov.lk/regional-office/,
email,pass,Published email: wijerathna@mepa.gov.lk,https://mepa.gov.lk/regional-office/,
email,pass,Published email: shripathy@mepa.gov.lk,https://mepa.gov.lk/regional-office/,
email,pass,Published email: aashifa@mepa.gov.lk,https://mepa.gov.lk/regional-office/,
email,pass,Published email: info@mepa.gov.lk,https://mepa.gov.lk/regional-office/,
email,pass,Published email: wrs@mepa.gov.lk,https://mepa.gov.lk/regional-office/,
email,pass,Published email: wrsmepasl@mepa.gov.lk,https://mepa.gov.lk/regional-office/,
email,pass,Published email: prasath@mepa.gov.lk,https://mepa.gov.lk/regional-office/,
email,pass,Published email: amali@mepa.gov.lk,https://mepa.gov.lk/regional-office/,
email,pass,Published email: eranthi@mepa.gov.lk,https://mepa.gov.lk/regional-office/,
email,pass,Published email: kasun@mepa.gov.lk,https://mepa.gov.lk/regional-office/,
email,pass,Published email: sasi@mepa.gov.lk,https://mepa.gov.lk/regional-office/,
email,pass,Published email: samarasekara@mepa.gov.lk,https://mepa.gov.lk/regional-office/,
email,pass,Published email: siva@mepa.gov.lk,https://mepa.gov.lk/regional-office/,
named_responsibility,pass,Published named responsibility: department,https://mepa.gov.lk/regional-office/,
legal_basis,pass,Published legal basis: circular,https://mepa.gov.lk/regional-office/,
phone,pass,Published phone: +94 11 2554373 ,https://mepa.gov.lk/our-services/,
phone,pass,Published phone: 002-345-6789 ,https://mepa.gov.lk/our-services/,
email,pass,Published email: info@mepa.gov.lk,https://mepa.gov.lk/our-services/,
named_responsibility,pass,Published named responsibility: department,https://mepa.gov.lk/our-services/,
legal_basis,pass,Published legal basis: circular,https://mepa.gov.lk/our-services/,
phone,pass,Published phone: +94 11 2554373 ,https://mepa.gov.lk/services/oil-spill-contingency-plan-approvals/,
phone,pass,Published phone: 002-345-6789 ,https://mepa.gov.lk/services/oil-spill-contingency-plan-approvals/,
email,pass,Published email: info@mepa.gov.lk,https://mepa.gov.lk/services/oil-spill-contingency-plan-approvals/,
named_responsibility,pass,Published named responsibility: department,https://mepa.gov.lk/services/oil-spill-contingency-plan-approvals/,
legal_basis,pass,Published legal basis: circular,https://mepa.gov.lk/services/oil-spill-contingency-plan-approvals/,
fees_and_payment,pass,"Published fees and payment: Rs. 51,000",https://mepa.gov.lk/services/oil-spill-contingency-plan-approvals/,
phone,pass,Published phone: +94 11 2554373 ,https://mepa.gov.lk/services/biofouling-management-glofouling-partnership-project/,
phone,pass,Published phone: 002-345-6789 ,https://mepa.gov.lk/services/biofouling-management-glofouling-partnership-project/,
email,pass,Published email: info@mepa.gov.lk,https://mepa.gov.lk/services/biofouling-management-glofouling-partnership-project/,
named_responsibility,pass,Published named responsibility: department,https://mepa.gov.lk/services/biofouling-management-glofouling-partnership-project/,
legal_basis,pass,Published legal basis: circular,https://mepa.gov.lk/services/biofouling-management-glofouling-partnership-project/,
phone,pass,Published phone: +94 11 2554373 ,https://mepa.gov.lk/services/environmental-approvals/,
phone,pass,Published phone: 002-345-6789 ,https://mepa.gov.lk/services/environmental-approvals/,
email,pass,Published email: info@mepa.gov.lk,https://mepa.gov.lk/services/environmental-approvals/,
