check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:33:13.442428+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:33:13.442447+05:30
tls_expired,fail,TLS certificate has expired,,2026-09-08T23:33:13.473967+05:30
tls_browser_error,fail,Probe 1: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1032),https://mncoe.sch.lk/index.htm,2026-09-08T23:33:29.618765+05:30
http,pass,Probe 2: HTTP 200 at http://mncoe.sch.lk/index.htm,http://mncoe.sch.lk/index.htm,2026-09-08T23:33:29.618793+05:30
tls_browser_error,fail,Probe 3: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1032),https://mncoe.sch.lk/index.htm,2026-09-08T23:33:29.618797+05:30
http,pass,Probe 4: HTTP 200 at http://mncoe.sch.lk/index.htm,http://mncoe.sch.lk/index.htm,2026-09-08T23:33:29.618801+05:30
http,pass,Probe 5: HTTP 200 at http://mncoe.sch.lk/contacts.htm,http://mncoe.sch.lk/contacts.htm,2026-09-08T23:33:29.618803+05:30
http,pass,Probe 6: HTTP 200 at http://mncoe.sch.lk/About.htm,http://mncoe.sch.lk/About.htm,2026-09-08T23:33:29.618806+05:30
http,pass,Probe 7: HTTP 200 at http://mncoe.sch.lk/his.htm,http://mncoe.sch.lk/his.htm,2026-09-08T23:33:29.618809+05:30
http,pass,Probe 8: HTTP 200 at http://mncoe.sch.lk/map1.htm,http://mncoe.sch.lk/map1.htm,2026-09-08T23:33:29.618829+05:30
http,pass,Probe 9: HTTP 200 at http://mncoe.sch.lk/events.htm,http://mncoe.sch.lk/events.htm,2026-09-08T23:33:29.618832+05:30
http,pass,Probe 10: HTTP 200 at http://mncoe.sch.lk/sustain.htm,http://mncoe.sch.lk/sustain.htm,2026-09-08T23:33:29.618835+05:30
http,pass,Probe 11: HTTP 200 at http://mncoe.sch.lk/convo.htm,http://mncoe.sch.lk/convo.htm,2026-09-08T23:33:29.618838+05:30
http,pass,Probe 12: HTTP 200 at http://mncoe.sch.lk/acaStaff.htm,http://mncoe.sch.lk/acaStaff.htm,2026-09-08T23:33:29.618841+05:30
http,pass,Probe 13: HTTP 200 at http://mncoe.sch.lk/under.htm,http://mncoe.sch.lk/under.htm,2026-09-08T23:33:29.618843+05:30
http,pass,Probe 14: HTTP 200 at http://mncoe.sch.lk/vp1.htm,http://mncoe.sch.lk/vp1.htm,2026-09-08T23:33:29.618846+05:30
phone,pass,Published phone: 0812494636 ,http://mncoe.sch.lk/index.htm,
phone,pass,Published phone: 0812494637,http://mncoe.sch.lk/index.htm,
phone,pass,Published phone: 0812494636-,http://mncoe.sch.lk/index.htm,
email,pass,Published email: mncoe@mncoe.sch.lk,http://mncoe.sch.lk/index.htm,
email,pass,Published email: mahaweli@gmail.com,http://mncoe.sch.lk/index.htm,
named_responsibility,pass,Published named responsibility: division,http://mncoe.sch.lk/index.htm,
phone,pass,Published phone: 0812494636 ,http://mncoe.sch.lk/index.htm,
phone,pass,Published phone: 0812494637,http://mncoe.sch.lk/index.htm,
phone,pass,Published phone: 0812494636-,http://mncoe.sch.lk/index.htm,
email,pass,Published email: mncoe@mncoe.sch.lk,http://mncoe.sch.lk/index.htm,
email,pass,Published email: mahaweli@gmail.com,http://mncoe.sch.lk/index.htm,
named_responsibility,pass,Published named responsibility: division,http://mncoe.sch.lk/index.htm,
phone,pass,Published phone: 0812434637 ,http://mncoe.sch.lk/contacts.htm,
phone,pass,Published phone: 0714215025 ,http://mncoe.sch.lk/contacts.htm,
phone,pass,Published phone: 0718298771 ,http://mncoe.sch.lk/contacts.htm,
phone,pass,Published phone: 0812438636-,http://mncoe.sch.lk/About.htm,
email,pass,Published email: mahaweli@gmail.com,http://mncoe.sch.lk/About.htm,
phone,pass,Published phone: 01.01 - 1995.05.,http://mncoe.sch.lk/his.htm,
phone,pass,Published phone: 001.09.06 - 200,http://mncoe.sch.lk/his.htm,
phone,pass,Published phone: 004.01.27 - 200,http://mncoe.sch.lk/his.htm,
phone,pass,Published phone: 002.01.05 - 200,http://mncoe.sch.lk/his.htm,
phone,pass,Published phone: 05.19 - 1997.01.,http://mncoe.sch.lk/his.htm,
phone,pass,Published phone: 0.01 - 1994.12.3,http://mncoe.sch.lk/his.htm,
phone,pass,Published phone: 005.05.11 - 200,http://mncoe.sch.lk/his.htm,
phone,pass,Published phone: 01.15 - 1997.10.,http://mncoe.sch.lk/his.htm,
phone,pass,Published phone: 0.23 - 2001.09.0,http://mncoe.sch.lk/his.htm,
phone,pass,Published phone: 01.01 - 1995.05.,http://mncoe.sch.lk/map1.htm,
phone,pass,Published phone: 001.09.06 - 200,http://mncoe.sch.lk/map1.htm,
phone,pass,Published phone: 004.01.27 - 200,http://mncoe.sch.lk/map1.htm,
phone,pass,Published phone: 002.01.05 - 200,http://mncoe.sch.lk/map1.htm,
phone,pass,Published phone: 05.19 - 1997.01.,http://mncoe.sch.lk/map1.htm,
phone,pass,Published phone: 0.01 - 1994.12.3,http://mncoe.sch.lk/map1.htm,
phone,pass,Published phone: 005.05.11 - 200,http://mncoe.sch.lk/map1.htm,
phone,pass,Published phone: 01.15 - 1997.10.,http://mncoe.sch.lk/map1.htm,
phone,pass,Published phone: 0.23 - 2001.09.0,http://mncoe.sch.lk/map1.htm,
postal_address,pass,Published postal address: of Vice Chancellor University of Peradeniya Prof.Athula Senarathna Keynote Address of Prof.H.M.D.R Herath University of ,http://mncoe.sch.lk/convo.htm,
named_responsibility,pass,Published named responsibility: director,http://mncoe.sch.lk/convo.htm,
phone,pass,Published phone: 0718133092 ,http://mncoe.sch.lk/acaStaff.htm,
phone,pass,Published phone: 0716352732 ,http://mncoe.sch.lk/acaStaff.htm,
phone,pass,Published phone: 0718133097 ,http://mncoe.sch.lk/acaStaff.htm,
phone,pass,Published phone: 0718133094 ,http://mncoe.sch.lk/acaStaff.htm,
phone,pass,Published phone: 0718061004 ,http://mncoe.sch.lk/acaStaff.htm,
phone,pass,Published phone: 0718016539 ,http://mncoe.sch.lk/acaStaff.htm,
phone,pass,Published phone: 0718438825 ,http://mncoe.sch.lk/acaStaff.htm,
phone,pass,Published phone: 0718298771 ,http://mncoe.sch.lk/acaStaff.htm,
phone,pass,Published phone: 0776009488 ,http://mncoe.sch.lk/acaStaff.htm,
phone,pass,Published phone: 0718095039 ,http://mncoe.sch.lk/acaStaff.htm,
phone,pass,Published phone: 0812494636 ,http://mncoe.sch.lk/acaStaff.htm,
phone,pass,Published phone: 0714215025 ,http://mncoe.sch.lk/acaStaff.htm,
phone,pass,Published phone: 0718438400,http://mncoe.sch.lk/acaStaff.htm,
phone,pass,Published phone: 0812491145 ,http://mncoe.sch.lk/acaStaff.htm,
email,pass,Published email: ck.wije@gmail.com,http://mncoe.sch.lk/acaStaff.htm,
email,pass,Published email: kbwarakagoda06@gmail.com,http://mncoe.sch.lk/acaStaff.htm,
email,pass,Published email: tyjayantha@yahoo.com,http://mncoe.sch.lk/acaStaff.htm,
email,pass,Published email: ruwani.jaya@gmail.com,http://mncoe.sch.lk/acaStaff.htm,
email,pass,Published email: wijesiri.dharmapala@gmail.com,http://mncoe.sch.lk/acaStaff.htm,
email,pass,Published email: sisi.kule@gmail.com,http://mncoe.sch.lk/acaStaff.htm,
email,pass,Published email: ajbasna@gmail.com,http://mncoe.sch.lk/acaStaff.htm,
email,pass,Published email: mb.dasa@gmail.com,http://mncoe.sch.lk/acaStaff.htm,
email,pass,Published email: mtpraneeth@gmail.com,http://mncoe.sch.lk/acaStaff.htm,
generic_hosting,fail,Detected generic hosting marker: under construction,http://mncoe.sch.lk/under.htm,
phone,pass,Published phone: 01.01 - 1995.05.,http://mncoe.sch.lk/vp1.htm,
phone,pass,Published phone: 001.09.06 - 200,http://mncoe.sch.lk/vp1.htm,
phone,pass,Published phone: 004.01.27 - 200,http://mncoe.sch.lk/vp1.htm,
phone,pass,Published phone: 002.01.05 - 200,http://mncoe.sch.lk/vp1.htm,
phone,pass,Published phone: 05.19 - 1997.01.,http://mncoe.sch.lk/vp1.htm,
phone,pass,Published phone: 0.01 - 1994.12.3,http://mncoe.sch.lk/vp1.htm,
phone,pass,Published phone: 005.05.11 - 200,http://mncoe.sch.lk/vp1.htm,
phone,pass,Published phone: 01.15 - 1997.10.,http://mncoe.sch.lk/vp1.htm,
phone,pass,Published phone: 0.23 - 2001.09.0,http://mncoe.sch.lk/vp1.htm,
page_text,pass,Substantive page content: 4869 visible characters across 12 pages,https://mncoe.sch.lk/index.htm,
