check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:24:20.837579+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:24:20.837599+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:24:21.243253+05:30
http,pass,Probe 1: HTTP 200 at https://museum.gov.lk/v1/home,https://museum.gov.lk/,2026-09-08T23:24:42.282513+05:30
http,pass,Probe 2: HTTP 200 at https://museum.gov.lk/v1/home,http://museum.gov.lk/,2026-09-08T23:24:42.282536+05:30
http,pass,Probe 3: HTTP 200 at https://museum.gov.lk/v1/home,https://museum.gov.lk/,2026-09-08T23:24:42.282540+05:30
http,pass,Probe 4: HTTP 200 at https://museum.gov.lk/v1/home,http://museum.gov.lk/,2026-09-08T23:24:42.282543+05:30
http,pass,Probe 5: HTTP 200 at https://museum.gov.lk/v1/services,https://museum.gov.lk/v1/services,2026-09-08T23:24:42.282545+05:30
http,pass,Probe 6: HTTP 200 at https://museum.gov.lk/v1/divisions,https://museum.gov.lk/v1/divisions,2026-09-08T23:24:42.282548+05:30
http,pass,Probe 7: HTTP 200 at https://museum.gov.lk/v1/contact,https://museum.gov.lk/v1/contact,2026-09-08T23:24:42.282557+05:30
http,pass,Probe 8: HTTP 200 at https://museum.gov.lk/v1/museums,https://museum.gov.lk/v1/museums,2026-09-08T23:24:42.282560+05:30
http,pass,Probe 9: HTTP 200 at https://museum.gov.lk/v1/news,https://museum.gov.lk/v1/news,2026-09-08T23:24:42.282563+05:30
http,pass,Probe 10: HTTP 200 at https://museum.gov.lk/v1/about-us,https://museum.gov.lk/v1/about-us,2026-09-08T23:24:42.282565+05:30
http,pass,Probe 11: HTTP 200 at https://museum.gov.lk/v1/places-visit,https://museum.gov.lk/v1/places-visit,2026-09-08T23:24:42.282568+05:30
http,pass,Probe 12: HTTP 200 at https://museum.gov.lk/v1/vacancy,https://museum.gov.lk/v1/vacancy,2026-09-08T23:24:42.282571+05:30
http,pass,Probe 13: HTTP 200 at https://museum.gov.lk/v1/download,https://museum.gov.lk/v1/download,2026-09-08T23:24:42.282573+05:30
http,pass,Probe 14: HTTP 200 at https://museum.gov.lk/v1/site-index,https://museum.gov.lk/v1/site-index,2026-09-08T23:24:42.282575+05:30
phone,pass,Published phone: +94 11 2694767 ,https://museum.gov.lk/v1/home,
phone,pass,Published phone: +94 11 2692092,https://museum.gov.lk/v1/home,
phone,pass,Published phone: 0006378944,https://museum.gov.lk/v1/home,
phone,pass,Published phone: +94 11 2692092 ,https://museum.gov.lk/v1/home,
email,pass,Published email: nmdep@slt.lk,https://museum.gov.lk/v1/home,
postal_address,pass,"Published postal address: P.O. Box 854, Sir Marcus Fernando Mawatha Colombo 07, Sri Lanka",https://museum.gov.lk/v1/home,
named_responsibility,pass,Published named responsibility: division,https://museum.gov.lk/v1/home,
phone,pass,Published phone: +94 11 2694767 ,https://museum.gov.lk/v1/home,
phone,pass,Published phone: +94 11 2692092,https://museum.gov.lk/v1/home,
phone,pass,Published phone: 0006378944,https://museum.gov.lk/v1/home,
phone,pass,Published phone: +94 11 2692092 ,https://museum.gov.lk/v1/home,
email,pass,Published email: nmdep@slt.lk,https://museum.gov.lk/v1/home,
