check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:24:12.495836+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:24:12.495857+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:24:13.121139+05:30
http,pass,Probe 1: HTTP 200 at https://muslimaffairs.gov.lk/,https://muslimaffairs.gov.lk/,2026-09-08T23:24:52.142983+05:30
http,pass,Probe 2: HTTP 200 at https://muslimaffairs.gov.lk/,http://muslimaffairs.gov.lk/,2026-09-08T23:24:52.143009+05:30
http,pass,Probe 3: HTTP 200 at https://muslimaffairs.gov.lk/,https://muslimaffairs.gov.lk/,2026-09-08T23:24:52.143013+05:30
http,pass,Probe 4: HTTP 200 at https://muslimaffairs.gov.lk/,http://muslimaffairs.gov.lk/,2026-09-08T23:24:52.143016+05:30
http,pass,Probe 5: HTTP 200 at https://muslimaffairs.gov.lk/regonal-office/,https://muslimaffairs.gov.lk/regonal-office/,2026-09-08T23:24:52.143019+05:30
http,pass,Probe 6: HTTP 200 at https://muslimaffairs.gov.lk/contact-us/,https://muslimaffairs.gov.lk/contact-us/,2026-09-08T23:24:52.143021+05:30
http,pass,Probe 7: HTTP 200 at https://muslimaffairs.gov.lk/overview/,https://muslimaffairs.gov.lk/overview/,2026-09-08T23:24:52.143024+05:30
http,pass,Probe 8: HTTP 200 at https://muslimaffairs.gov.lk/history/,https://muslimaffairs.gov.lk/history/,2026-09-08T23:24:52.143026+05:30
http,pass,Probe 9: HTTP 200 at https://muslimaffairs.gov.lk/organization-structure/,https://muslimaffairs.gov.lk/organization-structure/,2026-09-08T23:24:52.143029+05:30
http,pass,Probe 10: HTTP 200 at https://muslimaffairs.gov.lk/staff/,https://muslimaffairs.gov.lk/staff/,2026-09-08T23:24:52.143031+05:30
http,pass,Probe 11: HTTP 200 at https://muslimaffairs.gov.lk/admin/,https://muslimaffairs.gov.lk/admin/,2026-09-08T23:24:52.143034+05:30
http,pass,Probe 12: HTTP 200 at https://muslimaffairs.gov.lk/mosque/,https://muslimaffairs.gov.lk/mosque/,2026-09-08T23:24:52.143037+05:30
http,pass,Probe 13: HTTP 200 at https://muslimaffairs.gov.lk/trust/,https://muslimaffairs.gov.lk/trust/,2026-09-08T23:24:52.143039+05:30
http,pass,Probe 14: HTTP 200 at https://muslimaffairs.gov.lk/trust-registration-document/,https://muslimaffairs.gov.lk/trust-registration-document/,2026-09-08T23:24:52.143042+05:30
phone,pass,Published phone: 0.800000000,https://muslimaffairs.gov.lk/,
phone,pass,Published phone: 0000000444,https://muslimaffairs.gov.lk/,
phone,pass,Published phone: 0892098500,https://muslimaffairs.gov.lk/,
phone,pass,Published phone: 011 266 7901 ,https://muslimaffairs.gov.lk/,
phone,pass,Published phone: 0790149937,https://muslimaffairs.gov.lk/,
phone,pass,Published phone: 09. 2025.12.07 ,https://muslimaffairs.gov.lk/,
phone,pass,Published phone: 0.0 - 26-03-2024 ,https://muslimaffairs.gov.lk/,
phone,pass,Published phone: 011 266 7909 ,https://muslimaffairs.gov.lk/,
phone,pass,Published phone: 011 266 7901 ... ,https://muslimaffairs.gov.lk/,
phone,pass,Published phone: 0.699999999,https://muslimaffairs.gov.lk/,
phone,pass,Published phone: 023 2023.11.0,https://muslimaffairs.gov.lk/,
phone,pass,Published phone: 0547332763,https://muslimaffairs.gov.lk/,
phone,pass,Published phone: 023 2023.11.2,https://muslimaffairs.gov.lk/,
email,pass,Published email: ,https://muslimaffairs.gov.lk/,
postal_address,pass,"Published postal address: ✅ National Identity Card (NIC) or Valid Passport ✅ Valid Credit/Debit Card 💳 Application Processing Fee Rs. 5,000/- per ",https://muslimaffairs.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://muslimaffairs.gov.lk/,
eligibility_criteria,pass,Published eligibility criteria: eligibility,https://muslimaffairs.gov.lk/,
required_documents,pass,Published required documents: required documents,https://muslimaffairs.gov.lk/,
legal_basis,pass,Published legal basis: circular,https://muslimaffairs.gov.lk/,
fees_and_payment,pass,Published fees and payment: rs 2027,https://muslimaffairs.gov.lk/,
processing_time,pass,Published processing time: 2 weeks,https://muslimaffairs.gov.lk/,
published_update_date,fail,Published published update date: 26-03-2024,https://muslimaffairs.gov.lk/,
phone,pass,Published phone: 0.800000000,https://muslimaffairs.gov.lk/,
phone,pass,Published phone: 0000000444,https://muslimaffairs.gov.lk/,
phone,pass,Published phone: 0892098500,https://muslimaffairs.gov.lk/,
phone,pass,Published phone: 011 266 7901 ,https://muslimaffairs.gov.lk/,
phone,pass,Published phone: 0790149937,https://muslimaffairs.gov.lk/,
phone,pass,Published phone: 09. 2025.12.07 ,https://muslimaffairs.gov.lk/,
phone,pass,Published phone: 0.0 - 26-03-2024 ,https://muslimaffairs.gov.lk/,
phone,pass,Published phone: 011 266 7909 ,https://muslimaffairs.gov.lk/,
phone,pass,Published phone: 011 266 7901 ... ,https://muslimaffairs.gov.lk/,
phone,pass,Published phone: 0.699999999,https://muslimaffairs.gov.lk/,
phone,pass,Published phone: 023 2023.11.0,https://muslimaffairs.gov.lk/,
phone,pass,Published phone: 0547332763,https://muslimaffairs.gov.lk/,
phone,pass,Published phone: 023 2023.11.2,https://muslimaffairs.gov.lk/,
email,pass,Published email: ,https://muslimaffairs.gov.lk/,
postal_address,pass,"Published postal address: ✅ National Identity Card (NIC) or Valid Passport ✅ Valid Credit/Debit Card 💳 Application Processing Fee Rs. 5,000/- per ",https://muslimaffairs.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://muslimaffairs.gov.lk/,
eligibility_criteria,pass,Published eligibility criteria: eligibility,https://muslimaffairs.gov.lk/,
required_documents,pass,Published required documents: required documents,https://muslimaffairs.gov.lk/,
legal_basis,pass,Published legal basis: circular,https://muslimaffairs.gov.lk/,
fees_and_payment,pass,Published fees and payment: rs 2027,https://muslimaffairs.gov.lk/,
processing_time,pass,Published processing time: 2 weeks,https://muslimaffairs.gov.lk/,
