check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:55:16.326689+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:55:16.326709+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:55:18.460153+05:30
http,pass,Probe 1: HTTP 200 at https://napvcw.gov.lk/,https://napvcw.gov.lk/,2026-09-08T23:55:54.162746+05:30
http,pass,Probe 2: HTTP 200 at http://napvcw.gov.lk/,http://napvcw.gov.lk/,2026-09-08T23:55:54.162772+05:30
http,pass,Probe 3: HTTP 200 at https://napvcw.gov.lk/,https://napvcw.gov.lk/,2026-09-08T23:55:54.162776+05:30
http,pass,Probe 4: HTTP 200 at http://napvcw.gov.lk/,http://napvcw.gov.lk/,2026-09-08T23:55:54.162780+05:30
http,pass,Probe 5: HTTP 200 at https://napvcw.gov.lk/protection-services.php,https://napvcw.gov.lk/protection-services.php,2026-09-08T23:55:54.162782+05:30
http,pass,Probe 6: HTTP 200 at https://napvcw.gov.lk/assistance-services.php,https://napvcw.gov.lk/assistance-services.php,2026-09-08T23:55:54.162785+05:30
http,pass,Probe 7: HTTP 200 at https://napvcw.gov.lk/contact-us.php,https://napvcw.gov.lk/contact-us.php,2026-09-08T23:55:54.162788+05:30
http,pass,Probe 8: HTTP 200 at http://napvcw.gov.lk/si/index.php,http://napvcw.gov.lk/si/index.php,2026-09-08T23:55:54.162791+05:30
http,pass,Probe 9: HTTP 200 at http://napvcw.gov.lk/ta/index.php,http://napvcw.gov.lk/ta/index.php,2026-09-08T23:55:54.162793+05:30
http,pass,Probe 10: HTTP 200 at http://napvcw.gov.lk/index.php,http://napvcw.gov.lk/index.php,2026-09-08T23:55:54.162796+05:30
http,pass,Probe 11: HTTP 200 at https://napvcw.gov.lk/index.php,https://napvcw.gov.lk/index.php,2026-09-08T23:55:54.162799+05:30
http,pass,Probe 12: HTTP 200 at https://napvcw.gov.lk/about-us.php,https://napvcw.gov.lk/about-us.php,2026-09-08T23:55:54.162801+05:30
http,pass,Probe 13: HTTP 200 at https://napvcw.gov.lk/director-general-bureau.php,https://napvcw.gov.lk/director-general-bureau.php,2026-09-08T23:55:54.162804+05:30
http,pass,Probe 14: HTTP 200 at https://napvcw.gov.lk/legal-and-law.php,https://napvcw.gov.lk/legal-and-law.php,2026-09-08T23:55:54.162807+05:30
phone,pass,Published phone: 0112 779 879 ,https://napvcw.gov.lk/,
phone,pass,Published phone: 0718592147 ,https://napvcw.gov.lk/,
phone,pass,Published phone: 0112 879 539. ,https://napvcw.gov.lk/,
phone,pass,Published phone: +94112779879,https://napvcw.gov.lk/,
phone,pass,Published phone: 0112326317 ,https://napvcw.gov.lk/,
phone,pass,Published phone: 0112326321 ,https://napvcw.gov.lk/,
named_responsibility,pass,Published named responsibility: officer in charge,https://napvcw.gov.lk/,
phone,pass,Published phone: 0112 779 879 ,http://napvcw.gov.lk/,
phone,pass,Published phone: 0718592147 ,http://napvcw.gov.lk/,
phone,pass,Published phone: 0112 879 539. ,http://napvcw.gov.lk/,
phone,pass,Published phone: +94112779879,http://napvcw.gov.lk/,
phone,pass,Published phone: 0112326317 ,http://napvcw.gov.lk/,
phone,pass,Published phone: 0112326321 ,http://napvcw.gov.lk/,
named_responsibility,pass,Published named responsibility: officer in charge,http://napvcw.gov.lk/,
phone,pass,Published phone: 0112 779 879 ,https://napvcw.gov.lk/,
phone,pass,Published phone: 0718592147 ,https://napvcw.gov.lk/,
phone,pass,Published phone: 0112 879 539. ,https://napvcw.gov.lk/,
phone,pass,Published phone: +94112779879,https://napvcw.gov.lk/,
phone,pass,Published phone: 0112326317 ,https://napvcw.gov.lk/,
phone,pass,Published phone: 0112326321 ,https://napvcw.gov.lk/,
named_responsibility,pass,Published named responsibility: officer in charge,https://napvcw.gov.lk/,
phone,pass,Published phone: 0112 779 879 ,http://napvcw.gov.lk/,
phone,pass,Published phone: 0718592147 ,http://napvcw.gov.lk/,
phone,pass,Published phone: 0112 879 539. ,http://napvcw.gov.lk/,
phone,pass,Published phone: +94112779879,http://napvcw.gov.lk/,
phone,pass,Published phone: 0112326317 ,http://napvcw.gov.lk/,
phone,pass,Published phone: 0112326321 ,http://napvcw.gov.lk/,
named_responsibility,pass,Published named responsibility: officer in charge,http://napvcw.gov.lk/,
phone,pass,Published phone: +94112779879,https://napvcw.gov.lk/protection-services.php,
named_responsibility,pass,Published named responsibility: director,https://napvcw.gov.lk/protection-services.php,
phone,pass,Published phone: +94112779879,https://napvcw.gov.lk/assistance-services.php,
named_responsibility,pass,Published named responsibility: director,https://napvcw.gov.lk/assistance-services.php,
phone,pass,Published phone: 0112 779 879 ,https://napvcw.gov.lk/contact-us.php,
phone,pass,Published phone: 0112 879 539 ,https://napvcw.gov.lk/contact-us.php,
