check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:54:03.773916+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:54:03.773939+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:54:04.282121+05:30
http,pass,Probe 1: HTTP 200 at https://nationalsalt.lk/,https://nationalsalt.lk/,2026-09-08T23:54:40.985438+05:30
http,pass,Probe 2: HTTP 200 at http://nationalsalt.lk/,http://nationalsalt.lk/,2026-09-08T23:54:40.985458+05:30
http,pass,Probe 3: HTTP 200 at https://nationalsalt.lk/,https://nationalsalt.lk/,2026-09-08T23:54:40.985462+05:30
http,pass,Probe 4: HTTP 200 at http://nationalsalt.lk/,http://nationalsalt.lk/,2026-09-08T23:54:40.985465+05:30
http,pass,Probe 5: HTTP 200 at https://nationalsalt.lk/contact,https://nationalsalt.lk/contact,2026-09-08T23:54:40.985467+05:30
http,pass,Probe 6: HTTP 200 at https://nationalsalt.lk,https://nationalsalt.lk,2026-09-08T23:54:40.985470+05:30
http,pass,Probe 7: HTTP 200 at https://nationalsalt.lk/about,https://nationalsalt.lk/about,2026-09-08T23:54:40.985472+05:30
http,pass,Probe 8: HTTP 200 at https://nationalsalt.lk/reports,https://nationalsalt.lk/reports,2026-09-08T23:54:40.985475+05:30
http,pass,Probe 9: HTTP 200 at https://nationalsalt.lk/notices,https://nationalsalt.lk/notices,2026-09-08T23:54:40.985477+05:30
http,pass,Probe 10: HTTP 200 at https://nationalsalt.lk/events,https://nationalsalt.lk/events,2026-09-08T23:54:40.985480+05:30
http,pass,Probe 11: HTTP 200 at https://nationalsalt.lk/storage/coparate_plans_report_files/1728628686_ByQRe9ZxCN.pdf,https://nationalsalt.lk/storage/coparate_plans_report_files/1728628686_ByQRe9ZxCN.pdf,2026-09-08T23:54:40.985483+05:30
http,pass,Probe 12: HTTP 200 at https://www.nationalsalt.lk/assets/pdf/NSL_compressed.pdf,https://www.nationalsalt.lk/assets/pdf/NSL_compressed.pdf,2026-09-08T23:54:40.985485+05:30
http,pass,Probe 13: HTTP 200 at https://nationalsalt.lk/past_events/single/13,https://nationalsalt.lk/past_events/single/13,2026-09-08T23:54:40.985487+05:30
http,pass,Probe 14: HTTP 200 at https://nationalsalt.lk/past_events/single/14,https://nationalsalt.lk/past_events/single/14,2026-09-08T23:54:40.985490+05:30
phone,pass,Published phone: +94112368974,https://nationalsalt.lk/,
phone,pass,Published phone: 071 683 9441 ,https://nationalsalt.lk/,
phone,pass,Published phone: 05. 01123689,https://nationalsalt.lk/,
phone,pass,Published phone: 022 10.10.202,https://nationalsalt.lk/,
phone,pass,Published phone: 011 236 8964 - ,https://nationalsalt.lk/,
phone,pass,Published phone: 011-2368974 ,https://nationalsalt.lk/,
phone,pass,Published phone: 06198 11236,https://nationalsalt.lk/,
phone,pass,Published phone: 09.2001 05.12.,https://nationalsalt.lk/,
phone,pass,Published phone: 02.2020 10.02.,https://nationalsalt.lk/,
phone,pass,Published phone: 082 2132045,https://nationalsalt.lk/,
phone,pass,Published phone: 074226 1123,https://nationalsalt.lk/,
phone,pass,Published phone: 02.2022 09.12.,https://nationalsalt.lk/,
phone,pass,Published phone: 0313230 112,https://nationalsalt.lk/,
phone,pass,Published phone: 01.01.2025 14.,https://nationalsalt.lk/,
phone,pass,Published phone: 02.03.2006 07.,https://nationalsalt.lk/,
phone,pass,Published phone: 06.2010 30.10.,https://nationalsalt.lk/,
phone,pass,Published phone: 0.10.2014 25.1,https://nationalsalt.lk/,
phone,pass,Published phone: 0112368974 ,https://nationalsalt.lk/,
email,pass,Published email: suyanthan.sme@gmail.com,https://nationalsalt.lk/,
email,pass,Published email: nsl.coac@gmail.com,https://nationalsalt.lk/,
email,pass,Published email: nslchairman@gmail.com,https://nationalsalt.lk/,
email,pass,Published email: nslho.admn@gmail.com,https://nationalsalt.lk/,
email,pass,Published email: mslhogm@gmail.com,https://nationalsalt.lk/,
email,pass,Published email: info@nationalsalt.lk,https://nationalsalt.lk/,
email,pass,Published email: nslhomkt@gmail.com,https://nationalsalt.lk/,
postal_address,pass,"Published postal address: GENERAL NUMBER 0112368974 EMAIL info@nationalsalt.lk WEBSITE www.nationalsalt.lk Thank you. Your message has been sent Error, email not sent Sent Now NATIONAL SALT LIMITED Copyright 2023 by Ceylon Cloud Technologies (Pvt) Ltd. $(document).ready(function() { // required elements var imgPopup = $('.img-popup'); var imgCont = $('.s'); var popupImage = $('.img-popup img'); var closeBtn = $('.close-btn'); // handle events imgCont.on('click', function() { var img_src = $(this).children('img').attr('src'); imgPopup.children('img').attr('src', img_src); imgPopup.addClass('opened'); }); $(imgPopup, closeBtn).on('click', function() { imgPopup.removeClass('opened'); imgPopup.children('img').attr('src', ''); }); popupImage.on('click', function(e) { e.stopPropagation(); }); });",https://nationalsalt.lk/,
named_responsibility,pass,Published named responsibility: director,https://nationalsalt.lk/,
legal_basis,pass,Published legal basis: gazette,https://nationalsalt.lk/,
phone,pass,Published phone: +94112368974,http://nationalsalt.lk/,
phone,pass,Published phone: 071 683 9441 ,http://nationalsalt.lk/,
phone,pass,Published phone: 05. 01123689,http://nationalsalt.lk/,
phone,pass,Published phone: 022 10.10.202,http://nationalsalt.lk/,
phone,pass,Published phone: 011 236 8964 - ,http://nationalsalt.lk/,
phone,pass,Published phone: 011-2368974 ,http://nationalsalt.lk/,
phone,pass,Published phone: 06198 11236,http://nationalsalt.lk/,
phone,pass,Published phone: 09.2001 05.12.,http://nationalsalt.lk/,
phone,pass,Published phone: 02.2020 10.02.,http://nationalsalt.lk/,
phone,pass,Published phone: 082 2132045,http://nationalsalt.lk/,
phone,pass,Published phone: 074226 1123,http://nationalsalt.lk/,
phone,pass,Published phone: 02.2022 09.12.,http://nationalsalt.lk/,
phone,pass,Published phone: 0313230 112,http://nationalsalt.lk/,
phone,pass,Published phone: 01.01.2025 14.,http://nationalsalt.lk/,
phone,pass,Published phone: 02.03.2006 07.,http://nationalsalt.lk/,
phone,pass,Published phone: 06.2010 30.10.,http://nationalsalt.lk/,
phone,pass,Published phone: 0.10.2014 25.1,http://nationalsalt.lk/,
phone,pass,Published phone: 0112368974 ,http://nationalsalt.lk/,
email,pass,Published email: suyanthan.sme@gmail.com,http://nationalsalt.lk/,
email,pass,Published email: nsl.coac@gmail.com,http://nationalsalt.lk/,
email,pass,Published email: nslchairman@gmail.com,http://nationalsalt.lk/,
email,pass,Published email: nslho.admn@gmail.com,http://nationalsalt.lk/,
email,pass,Published email: mslhogm@gmail.com,http://nationalsalt.lk/,
email,pass,Published email: info@nationalsalt.lk,http://nationalsalt.lk/,
email,pass,Published email: nslhomkt@gmail.com,http://nationalsalt.lk/,
postal_address,pass,"Published postal address: GENERAL NUMBER 0112368974 EMAIL info@nationalsalt.lk WEBSITE www.nationalsalt.lk Thank you. Your message has been sent Error, email not sent Sent Now NATIONAL SALT LIMITED Copyright 2023 by Ceylon Cloud Technologies (Pvt) Ltd. $(document).ready(function() { // required elements var imgPopup = $('.img-popup'); var imgCont = $('.s'); var popupImage = $('.img-popup img'); var closeBtn = $('.close-btn'); // handle events imgCont.on('click', function() { var img_src = $(this).children('img').attr('src'); imgPopup.children('img').attr('src', img_src); imgPopup.addClass('opened'); }); $(imgPopup, closeBtn).on('click', function() { imgPopup.removeClass('opened'); imgPopup.children('img').attr('src', ''); }); popupImage.on('click', function(e) { e.stopPropagation(); }); });",http://nationalsalt.lk/,
named_responsibility,pass,Published named responsibility: director,http://nationalsalt.lk/,
legal_basis,pass,Published legal basis: gazette,http://nationalsalt.lk/,
phone,pass,Published phone: +94112368974,https://nationalsalt.lk/,
phone,pass,Published phone: 071 683 9441 ,https://nationalsalt.lk/,
phone,pass,Published phone: 05. 01123689,https://nationalsalt.lk/,
phone,pass,Published phone: 022 10.10.202,https://nationalsalt.lk/,
phone,pass,Published phone: 011 236 8964 - ,https://nationalsalt.lk/,
phone,pass,Published phone: 011-2368974 ,https://nationalsalt.lk/,
phone,pass,Published phone: 06198 11236,https://nationalsalt.lk/,
phone,pass,Published phone: 09.2001 05.12.,https://nationalsalt.lk/,
phone,pass,Published phone: 02.2020 10.02.,https://nationalsalt.lk/,
phone,pass,Published phone: 082 2132045,https://nationalsalt.lk/,
phone,pass,Published phone: 074226 1123,https://nationalsalt.lk/,
phone,pass,Published phone: 02.2022 09.12.,https://nationalsalt.lk/,
phone,pass,Published phone: 0313230 112,https://nationalsalt.lk/,
phone,pass,Published phone: 01.01.2025 14.,https://nationalsalt.lk/,
phone,pass,Published phone: 02.03.2006 07.,https://nationalsalt.lk/,
phone,pass,Published phone: 06.2010 30.10.,https://nationalsalt.lk/,
phone,pass,Published phone: 0.10.2014 25.1,https://nationalsalt.lk/,
phone,pass,Published phone: 0112368974 ,https://nationalsalt.lk/,
email,pass,Published email: suyanthan.sme@gmail.com,https://nationalsalt.lk/,
email,pass,Published email: nsl.coac@gmail.com,https://nationalsalt.lk/,
email,pass,Published email: nslchairman@gmail.com,https://nationalsalt.lk/,
email,pass,Published email: nslho.admn@gmail.com,https://nationalsalt.lk/,
email,pass,Published email: mslhogm@gmail.com,https://nationalsalt.lk/,
email,pass,Published email: info@nationalsalt.lk,https://nationalsalt.lk/,
email,pass,Published email: nslhomkt@gmail.com,https://nationalsalt.lk/,
postal_address,pass,"Published postal address: GENERAL NUMBER 0112368974 EMAIL info@nationalsalt.lk WEBSITE www.nationalsalt.lk Thank you. Your message has been sent Error, email not sent Sent Now NATIONAL SALT LIMITED Copyright 2023 by Ceylon Cloud Technologies (Pvt) Ltd. $(document).ready(function() { // required elements var imgPopup = $('.img-popup'); var imgCont = $('.s'); var popupImage = $('.img-popup img'); var closeBtn = $('.close-btn'); // handle events imgCont.on('click', function() { var img_src = $(this).children('img').attr('src'); imgPopup.children('img').attr('src', img_src); imgPopup.addClass('opened'); }); $(imgPopup, closeBtn).on('click', function() { imgPopup.removeClass('opened'); imgPopup.children('img').attr('src', ''); }); popupImage.on('click', function(e) { e.stopPropagation(); }); });",https://nationalsalt.lk/,
named_responsibility,pass,Published named responsibility: director,https://nationalsalt.lk/,
legal_basis,pass,Published legal basis: gazette,https://nationalsalt.lk/,
phone,pass,Published phone: +94112368974,http://nationalsalt.lk/,
phone,pass,Published phone: 071 683 9441 ,http://nationalsalt.lk/,
phone,pass,Published phone: 05. 01123689,http://nationalsalt.lk/,
phone,pass,Published phone: 022 10.10.202,http://nationalsalt.lk/,
phone,pass,Published phone: 011 236 8964 - ,http://nationalsalt.lk/,
phone,pass,Published phone: 011-2368974 ,http://nationalsalt.lk/,
phone,pass,Published phone: 06198 11236,http://nationalsalt.lk/,
phone,pass,Published phone: 09.2001 05.12.,http://nationalsalt.lk/,
phone,pass,Published phone: 02.2020 10.02.,http://nationalsalt.lk/,
