check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:52:10.191613+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:52:10.191636+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:52:10.783885+05:30
http,pass,Probe 1: HTTP 200 at https://nhda.gov.lk/,https://nhda.gov.lk/,2026-09-08T23:52:27.896736+05:30
http,pass,Probe 2: HTTP 200 at https://nhda.gov.lk/,http://nhda.gov.lk/,2026-09-08T23:52:27.896758+05:30
http,pass,Probe 3: HTTP 200 at https://nhda.gov.lk/,https://nhda.gov.lk/,2026-09-08T23:52:27.896762+05:30
http,pass,Probe 4: HTTP 200 at https://nhda.gov.lk/,http://nhda.gov.lk/,2026-09-08T23:52:27.896765+05:30
http,pass,Probe 5: HTTP 200 at https://nhda.gov.lk/services-list,https://nhda.gov.lk/services-list,2026-09-08T23:52:27.896767+05:30
http,pass,Probe 6: HTTP 200 at https://nhda.gov.lk/services-circuit-bungalows,https://nhda.gov.lk/services-circuit-bungalows,2026-09-08T23:52:27.896770+05:30
http,pass,Probe 7: HTTP 200 at https://nhda.gov.lk/contact-head-office,https://nhda.gov.lk/contact-head-office,2026-09-08T23:52:27.896773+05:30
http,pass,Probe 8: HTTP 200 at https://nhda.gov.lk/contact-senior-staff,https://nhda.gov.lk/contact-senior-staff,2026-09-08T23:52:27.896775+05:30
http,pass,Probe 9: HTTP 200 at https://nhda.gov.lk/contact-district-offices,https://nhda.gov.lk/contact-district-offices,2026-09-08T23:52:27.896778+05:30
http,pass,Probe 10: HTTP 200 at https://nhda.gov.lk,https://nhda.gov.lk,2026-09-08T23:52:27.896780+05:30
http,pass,Probe 11: HTTP 200 at https://nhda.gov.lk,https://nhda.gov.lk/set-localization/si,2026-09-08T23:52:27.896783+05:30
http,pass,Probe 12: HTTP 200 at https://nhda.gov.lk,https://nhda.gov.lk/set-localization/ta,2026-09-08T23:52:27.896786+05:30
http,pass,Probe 13: HTTP 200 at https://nhda.gov.lk/about-us,https://nhda.gov.lk/about-us,2026-09-08T23:52:27.896788+05:30
http,pass,Probe 14: HTTP 200 at https://nhda.gov.lk/latest-projects,https://nhda.gov.lk/latest-projects,2026-09-08T23:52:27.896791+05:30
phone,pass,Published phone: +94 11-2431722 ,https://nhda.gov.lk/,
phone,pass,Published phone: +94112431722,https://nhda.gov.lk/,
email,pass,Published email: nhdaemp@gmail.com,https://nhda.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://nhda.gov.lk/,
phone,pass,Published phone: +94 11-2431722 ,https://nhda.gov.lk/,
phone,pass,Published phone: +94112431722,https://nhda.gov.lk/,
email,pass,Published email: nhdaemp@gmail.com,https://nhda.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://nhda.gov.lk/,
phone,pass,Published phone: +94 11-2431722 ,https://nhda.gov.lk/,
phone,pass,Published phone: +94112431722,https://nhda.gov.lk/,
email,pass,Published email: nhdaemp@gmail.com,https://nhda.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://nhda.gov.lk/,
phone,pass,Published phone: +94 11-2431722 ,https://nhda.gov.lk/,
phone,pass,Published phone: +94112431722,https://nhda.gov.lk/,
email,pass,Published email: nhdaemp@gmail.com,https://nhda.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://nhda.gov.lk/,
phone,pass,Published phone: +94 11-2431722 ,https://nhda.gov.lk/services-list,
phone,pass,Published phone: +94112431722,https://nhda.gov.lk/services-list,
email,pass,Published email: nhdaemp@gmail.com,https://nhda.gov.lk/services-list,
named_responsibility,pass,Published named responsibility: director,https://nhda.gov.lk/services-list,
fees_and_payment,pass,"Published fees and payment: rs,",https://nhda.gov.lk/services-list,
phone,pass,Published phone: +94 11-2431722 ,https://nhda.gov.lk/services-circuit-bungalows,
phone,pass,Published phone: +94112431722,https://nhda.gov.lk/services-circuit-bungalows,
email,pass,Published email: nhdaemp@gmail.com,https://nhda.gov.lk/services-circuit-bungalows,
named_responsibility,pass,Published named responsibility: director,https://nhda.gov.lk/services-circuit-bungalows,
phone,pass,Published phone: +94112431722,https://nhda.gov.lk/contact-head-office,
phone,pass,Published phone: 0112430410 ,https://nhda.gov.lk/contact-head-office,
phone,pass,Published phone: 0112431722 ,https://nhda.gov.lk/contact-head-office,
phone,pass,Published phone: 0112421606 ,https://nhda.gov.lk/contact-head-office,
phone,pass,Published phone: +94 11-2431722 ,https://nhda.gov.lk/contact-head-office,
phone,pass,Published phone: 0112421748 ,https://nhda.gov.lk/contact-head-office,
phone,pass,Published phone: +94 11 2449622 ,https://nhda.gov.lk/contact-head-office,
phone,pass,Published phone: 0112431707 ,https://nhda.gov.lk/contact-head-office,
email,pass,Published email: nhdaemp@gmail.com,https://nhda.gov.lk/contact-head-office,
postal_address,pass,Published postal address: Phone Number Subject Message Send Message Head Office Address: National Housing Development Authority Sir Chitampalam A ,https://nhda.gov.lk/contact-head-office,
named_responsibility,pass,Published named responsibility: director,https://nhda.gov.lk/contact-head-office,
phone,pass,Published phone: +94112431722,https://nhda.gov.lk/contact-senior-staff,
phone,pass,Published phone: +94 71 4410820 ,https://nhda.gov.lk/contact-senior-staff,
phone,pass,Published phone: +94 11-2431722 ,https://nhda.gov.lk/contact-senior-staff,
phone,pass,Published phone: 0702 071832,https://nhda.gov.lk/contact-senior-staff,
phone,pass,Published phone: 0775230619 (,https://nhda.gov.lk/contact-senior-staff,
phone,pass,Published phone: +94 11 2439982 ,https://nhda.gov.lk/contact-senior-staff,
phone,pass,Published phone: +94 11 2422394 ,https://nhda.gov.lk/contact-senior-staff,
email,pass,Published email: dgmhrm@nhda.lk,https://nhda.gov.lk/contact-senior-staff,
email,pass,Published email: cia@nhda.lk,https://nhda.gov.lk/contact-senior-staff,
email,pass,Published email: nhdaemp@gmail.com,https://nhda.gov.lk/contact-senior-staff,
email,pass,Published email: dgmhd@nhda.lk,https://nhda.gov.lk/contact-senior-staff,
email,pass,Published email: dgmpm@nhda.lk,https://nhda.gov.lk/contact-senior-staff,
email,pass,Published email: dgmcp@nhda.lk,https://nhda.gov.lk/contact-senior-staff,
email,pass,Published email: dgmf@nhda.lk,https://nhda.gov.lk/contact-senior-staff,
email,pass,Published email: nhdadgmlegal13@nhda.lk,https://nhda.gov.lk/contact-senior-staff,
email,pass,Published email: nhdagm@gmail.com,https://nhda.gov.lk/contact-senior-staff,
named_responsibility,pass,Published named responsibility: director,https://nhda.gov.lk/contact-senior-staff,
phone,pass,Published phone: 0778155233 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 0714440637 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 0702904307 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 0770-092385,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 011-2178226 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 063-2222045 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 041-2229257 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 037-2222336 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 071-8210225 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 021-2060033 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 070-2904307 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 024-2222214 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 026 2222503 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 033-2228160 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 0252222649 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 0761480991 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 052-2222925 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 047-2222013 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 027-2246362 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 033-2226017-,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 0713670991 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 091-2234373 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 0714418071 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 076-1496701 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 071-7042387 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 077-2992986-,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: +94112431722,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 034-2222298 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 071-8482410 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 071-4143880 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 076 -1200029 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 077071-5505,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: +94 11-2431722 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 071-4448422 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 065-2224473 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 055-2276102 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 066-2222134 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 021-2222039 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 026-2222162 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 0761491506 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 0760838047 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 076-7278539 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 011-2679857 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 023-2222315 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 0773270629 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 081-2223139 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 0718121586 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 021-2285757 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 071-2470216 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 0718264208 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 063-2224694 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 011-2445546 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 071-1586329 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 045-2228724 ,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: 035-2229738 ,https://nhda.gov.lk/contact-district-offices,
email,pass,Published email: nhdadmkandy@gmail.com,https://nhda.gov.lk/contact-district-offices,
email,pass,Published email: nhdatco@gmail.com,https://nhda.gov.lk/contact-district-offices,
email,pass,Published email: nhda.dm.mulla@gmail.com,https://nhda.gov.lk/contact-district-offices,
email,pass,Published email: mannintownnhda@gmail.com,https://nhda.gov.lk/contact-district-offices,
email,pass,Published email: nhdadmratnapura@gmail.com,https://nhda.gov.lk/contact-district-offices,
email,pass,Published email: nhdadmvavuniya@gmail.com,https://nhda.gov.lk/contact-district-offices,
email,pass,Published email: dmnhda@gmail.com,https://nhda.gov.lk/contact-district-offices,
email,pass,Published email: nhdadmkalutara@gmail.com,https://nhda.gov.lk/contact-district-offices,
email,pass,Published email: anuradhapuranhda@gmail.com,https://nhda.gov.lk/contact-district-offices,
email,pass,Published email: dmkilinochchi@gmail.com,https://nhda.gov.lk/contact-district-offices,
email,pass,Published email: nhdadmgalle@gmail.com,https://nhda.gov.lk/contact-district-offices,
email,pass,Published email: nhdadmpolonnaruwa@gmail.com,https://nhda.gov.lk/contact-district-offices,
email,pass,Published email: nhdacol123@gmail.com,https://nhda.gov.lk/contact-district-offices,
email,pass,Published email: nhdahambantota@gmail.comUrban,https://nhda.gov.lk/contact-district-offices,
email,pass,Published email: nhdagampahaacct@gmail.com,https://nhda.gov.lk/contact-district-offices,
email,pass,Published email: nhdaemp@gmail.com,https://nhda.gov.lk/contact-district-offices,
email,pass,Published email: nhdadmampara@gmail.com,https://nhda.gov.lk/contact-district-offices,
email,pass,Published email: nhdadmmannar@gmail.com,https://nhda.gov.lk/contact-district-offices,
email,pass,Published email: nhdaackugala@gmail.com,https://nhda.gov.lk/contact-district-offices,
email,pass,Published email: nhdadmmatale@gmail.com,https://nhda.gov.lk/contact-district-offices,
email,pass,Published email: nhdadmmonaragala@gmail.lk,https://nhda.gov.lk/contact-district-offices,
email,pass,Published email: nhdamatara@gmail.com,https://nhda.gov.lk/contact-district-offices,
email,pass,Published email: dmnuwaraeliya@gmail.com,https://nhda.gov.lk/contact-district-offices,
email,pass,Published email: dmnhdacolombonorth@gmail.com,https://nhda.gov.lk/contact-district-offices,
email,pass,Published email: nhdadmjaffna@gmail.com,https://nhda.gov.lk/contact-district-offices,
email,pass,Published email: nhdadmbatticaloa@gmail.com,https://nhda.gov.lk/contact-district-offices,
postal_address,pass,"Published postal address: Address Map Ampara Mr.Ruwan P Gamhewa 063-2224694 0761480991 063-2222045 nhdadmampara@gmail.com Police Quarters Rd., Amp",https://nhda.gov.lk/contact-district-offices,
named_responsibility,pass,Published named responsibility: director,https://nhda.gov.lk/contact-district-offices,
phone,pass,Published phone: +94 11-2431722 ,https://nhda.gov.lk,
phone,pass,Published phone: +94112431722,https://nhda.gov.lk,
email,pass,Published email: nhdaemp@gmail.com,https://nhda.gov.lk,
named_responsibility,pass,Published named responsibility: director,https://nhda.gov.lk,
phone,pass,Published phone: +94 11-2431722 ,https://nhda.gov.lk,
phone,pass,Published phone: +94112431722,https://nhda.gov.lk,
email,pass,Published email: nhdaemp@gmail.com,https://nhda.gov.lk,
phone,pass,Published phone: +94 11-2431722 ,https://nhda.gov.lk,
phone,pass,Published phone: +94112431722,https://nhda.gov.lk,
email,pass,Published email: nhdaemp@gmail.com,https://nhda.gov.lk,
phone,pass,Published phone: +94 11-2431722 ,https://nhda.gov.lk/about-us,
phone,pass,Published phone: +94112431722,https://nhda.gov.lk/about-us,
email,pass,Published email: nhdaemp@gmail.com,https://nhda.gov.lk/about-us,
named_responsibility,pass,Published named responsibility: director,https://nhda.gov.lk/about-us,
phone,pass,Published phone: +94 11-2431722 ,https://nhda.gov.lk/latest-projects,
phone,pass,Published phone: +94112431722,https://nhda.gov.lk/latest-projects,
email,pass,Published email: nhdaemp@gmail.com,https://nhda.gov.lk/latest-projects,
named_responsibility,pass,Published named responsibility: director,https://nhda.gov.lk/latest-projects,
page_text,pass,Substantive page content: 4312 visible characters across 14 pages,https://nhda.gov.lk/,
