check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:58:23.868444+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:58:23.868463+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:58:24.417952+05:30
http,pass,Probe 1: HTTP 200 at https://nhrdc.gov.lk/nhrdc/index.php,https://nhrdc.gov.lk/,2026-09-08T23:59:08.698947+05:30
http,pass,Probe 2: HTTP 200 at https://nhrdc.gov.lk/nhrdc/index.php,http://nhrdc.gov.lk/,2026-09-08T23:59:08.698970+05:30
http,pass,Probe 3: HTTP 200 at https://nhrdc.gov.lk/nhrdc/index.php,https://nhrdc.gov.lk/,2026-09-08T23:59:08.698973+05:30
http,pass,Probe 4: HTTP 200 at https://nhrdc.gov.lk/nhrdc/index.php,http://nhrdc.gov.lk/,2026-09-08T23:59:08.698976+05:30
http,pass,Probe 5: HTTP 200 at https://nhrdc.gov.lk/nhrdc/index.php/contact-us,https://nhrdc.gov.lk/nhrdc/index.php/contact-us,2026-09-08T23:59:08.698979+05:30
http,pass,Probe 6: HTTP 200 at https://nhrdc.gov.lk/nhrdc/index.php/contact-us/inquiry,https://nhrdc.gov.lk/nhrdc/index.php/contact-us/inquiry,2026-09-08T23:59:08.698982+05:30
http,pass,Probe 7: HTTP 200 at https://nhrdc.gov.lk/nhrdc/index.php/contact-us/contact-details,https://nhrdc.gov.lk/nhrdc/index.php/contact-us/contact-details,2026-09-08T23:59:08.698984+05:30
http,pass,Probe 8: HTTP 200 at https://nhrdc.gov.lk/nhrdc/,https://nhrdc.gov.lk/nhrdc/,2026-09-08T23:59:08.698987+05:30
http,pass,Probe 9: HTTP 200 at https://nhrdc.gov.lk/nhrdc/index.php/people,https://nhrdc.gov.lk/nhrdc/index.php/people,2026-09-08T23:59:08.698990+05:30
http,pass,Probe 10: HTTP 200 at https://nhrdc.gov.lk/nhrdc/index.php/people/chairman,https://nhrdc.gov.lk/nhrdc/index.php/people/chairman,2026-09-08T23:59:08.698993+05:30
http,pass,Probe 11: HTTP 200 at https://nhrdc.gov.lk/nhrdc/index.php/people/nhrdc-governing-council,https://nhrdc.gov.lk/nhrdc/index.php/people/nhrdc-governing-council,2026-09-08T23:59:08.698995+05:30
http,pass,Probe 12: HTTP 200 at https://nhrdc.gov.lk/nhrdc/index.php/people/nhrdc-staff,https://nhrdc.gov.lk/nhrdc/index.php/people/nhrdc-staff,2026-09-08T23:59:08.698998+05:30
http,pass,Probe 13: HTTP 200 at https://nhrdc.gov.lk/nhrdc/index.php/publications,https://nhrdc.gov.lk/nhrdc/index.php/publications,2026-09-08T23:59:08.699000+05:30
http,pass,Probe 14: HTTP 200 at https://nhrdc.gov.lk/nhrdc/index.php/publications/research-reports,https://nhrdc.gov.lk/nhrdc/index.php/publications/research-reports,2026-09-08T23:59:08.699003+05:30
phone,pass,Published phone: 0335429129 .,https://nhrdc.gov.lk/nhrdc/index.php,
phone,pass,Published phone: 0112595679,https://nhrdc.gov.lk/nhrdc/index.php,
phone,pass,Published phone: 0959919525,https://nhrdc.gov.lk/nhrdc/index.php,
phone,pass,Published phone: 0144445421,https://nhrdc.gov.lk/nhrdc/index.php,
phone,pass,Published phone: 0335429129,https://nhrdc.gov.lk/nhrdc/index.php,
phone,pass,Published phone: 0335429129 ,https://nhrdc.gov.lk/nhrdc/index.php,
phone,pass,Published phone: 011 3443508 ,https://nhrdc.gov.lk/nhrdc/index.php,
phone,pass,Published phone: 011 2595679 ,https://nhrdc.gov.lk/nhrdc/index.php,
phone,pass,Published phone: 0144445422,https://nhrdc.gov.lk/nhrdc/index.php,
postal_address,pass,"Published postal address: was delivered by Mr. Kumudulal Bogahawatta, Secretary to the Ministry of Housing, Construction and Water Supply , who em",https://nhrdc.gov.lk/nhrdc/index.php,
named_responsibility,pass,Published named responsibility: director,https://nhrdc.gov.lk/nhrdc/index.php,
phone,pass,Published phone: 0335429129 .,https://nhrdc.gov.lk/nhrdc/index.php,
phone,pass,Published phone: 0112595679,https://nhrdc.gov.lk/nhrdc/index.php,
phone,pass,Published phone: 0959919525,https://nhrdc.gov.lk/nhrdc/index.php,
phone,pass,Published phone: 0144445421,https://nhrdc.gov.lk/nhrdc/index.php,
phone,pass,Published phone: 0335429129,https://nhrdc.gov.lk/nhrdc/index.php,
phone,pass,Published phone: 0335429129 ,https://nhrdc.gov.lk/nhrdc/index.php,
phone,pass,Published phone: 011 3443508 ,https://nhrdc.gov.lk/nhrdc/index.php,
phone,pass,Published phone: 011 2595679 ,https://nhrdc.gov.lk/nhrdc/index.php,
phone,pass,Published phone: 0144445422,https://nhrdc.gov.lk/nhrdc/index.php,
postal_address,pass,"Published postal address: was delivered by Mr. Kumudulal Bogahawatta, Secretary to the Ministry of Housing, Construction and Water Supply , who em",https://nhrdc.gov.lk/nhrdc/index.php,
named_responsibility,pass,Published named responsibility: director,https://nhrdc.gov.lk/nhrdc/index.php,
