check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:34:03.432711+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:34:03.432729+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:34:03.528067+05:30
http,pass,Probe 1: HTTP 200 at https://nibm.ac.lk/,https://nibm.ac.lk/,2026-09-08T23:34:18.808316+05:30
http,pass,Probe 2: HTTP 200 at https://nibm.ac.lk/,http://nibm.ac.lk/,2026-09-08T23:34:18.808338+05:30
http,pass,Probe 3: HTTP 200 at https://nibm.ac.lk/,https://nibm.ac.lk/,2026-09-08T23:34:18.808341+05:30
http,pass,Probe 4: HTTP 200 at https://nibm.ac.lk/,http://nibm.ac.lk/,2026-09-08T23:34:18.808344+05:30
http,pass,Probe 5: HTTP 200 at https://nibm.ac.lk/contact,https://nibm.ac.lk/contact,2026-09-08T23:34:18.808347+05:30
http,pass,Probe 6: HTTP 200 at https://nibm.ac.lk/csr,https://nibm.ac.lk/csr,2026-09-08T23:34:18.808350+05:30
http,pass,Probe 7: HTTP 200 at https://nibm.ac.lk/news-events,https://nibm.ac.lk/news-events,2026-09-08T23:34:18.808353+05:30
http,pass,Probe 8: HTTP 200 at https://nibm.ac.lk/consultancy,https://nibm.ac.lk/consultancy,2026-09-08T23:34:18.808355+05:30
http,pass,Probe 9: HTTP 200 at https://nibm.ac.lk/obl,https://nibm.ac.lk/obl,2026-09-08T23:34:18.808358+05:30
http,pass,Probe 10: HTTP 200 at https://nibm.ac.lk/scholarships,https://nibm.ac.lk/scholarships,2026-09-08T23:34:18.808361+05:30
http,pass,Probe 11: HTTP 200 at https://nibm.ac.lk/about,https://nibm.ac.lk/about,2026-09-08T23:34:18.808364+05:30
http,pass,Probe 12: HTTP 200 at https://nibm.ac.lk/professional-partnerships,https://nibm.ac.lk/professional-partnerships,2026-09-08T23:34:18.808366+05:30
http,pass,Probe 13: HTTP 200 at https://nibm.ac.lk/nibm-governance,https://nibm.ac.lk/nibm-governance,2026-09-08T23:34:18.808369+05:30
http,pass,Probe 14: HTTP 200 at https://nibm.ac.lk/executive-staff,https://nibm.ac.lk/executive-staff,2026-09-08T23:34:18.808371+05:30
phone,pass,Published phone: +94 117 321 000 ,https://nibm.ac.lk/,
phone,pass,Published phone: 0.224034540,https://nibm.ac.lk/,
phone,pass,Published phone: 0720147823,https://nibm.ac.lk/,
