check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:31:20.765178+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:31:20.765197+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:31:20.803283+05:30
http,pass,Probe 1: HTTP 200 at https://nilis.cmb.ac.lk/home/,https://nilis.cmb.ac.lk/home/,2026-09-08T23:31:37.242965+05:30
http,pass,Probe 2: HTTP 200 at https://nilis.cmb.ac.lk/home/,http://nilis.cmb.ac.lk/home/,2026-09-08T23:31:37.242986+05:30
http,pass,Probe 3: HTTP 200 at https://nilis.cmb.ac.lk/home/,https://nilis.cmb.ac.lk/home/,2026-09-08T23:31:37.242989+05:30
http,pass,Probe 4: HTTP 200 at https://nilis.cmb.ac.lk/home/,http://nilis.cmb.ac.lk/home/,2026-09-08T23:31:37.242991+05:30
http,pass,Probe 5: HTTP 200 at https://nilis.cmb.ac.lk/home/contact-us/,https://nilis.cmb.ac.lk/home/contact-us/,2026-09-08T23:31:37.242994+05:30
http,pass,Probe 6: HTTP 200 at https://nilis.cmb.ac.lk/home/staff-training-libreoffice/,https://nilis.cmb.ac.lk/home/staff-training-libreoffice/,2026-09-08T23:31:37.242997+05:30
http,pass,Probe 7: HTTP 200 at https://nilis.cmb.ac.lk/home/downloads/,https://nilis.cmb.ac.lk/home/downloads/,2026-09-08T23:31:37.242999+05:30
http,pass,Probe 8: HTTP 200 at https://nilis.cmb.ac.lk/home/bylaws/,https://nilis.cmb.ac.lk/home/bylaws/,2026-09-08T23:31:37.243001+05:30
http,pass,Probe 9: HTTP 200 at https://nilis.cmb.ac.lk/home/annual-reports/,https://nilis.cmb.ac.lk/home/annual-reports/,2026-09-08T23:31:37.243004+05:30
http,pass,Probe 10: HTTP 200 at https://nilis.cmb.ac.lk/home/nilis-ordinance/,https://nilis.cmb.ac.lk/home/nilis-ordinance/,2026-09-08T23:31:37.243007+05:30
http,pass,Probe 11: HTTP 200 at https://nilis.cmb.ac.lk/home/strategic-plan/,https://nilis.cmb.ac.lk/home/strategic-plan/,2026-09-08T23:31:37.243009+05:30
http,pass,Probe 12: HTTP 200 at https://nilis.cmb.ac.lk/home/quality/,https://nilis.cmb.ac.lk/home/quality/,2026-09-08T23:31:37.243011+05:30
http,pass,Probe 13: HTTP 200 at https://nilis.cmb.ac.lk/home/our-privacy-policy/,https://nilis.cmb.ac.lk/home/our-privacy-policy/,2026-09-08T23:31:37.243014+05:30
http,pass,Probe 14: HTTP 200 at https://nilis.cmb.ac.lk/home/gallery/,https://nilis.cmb.ac.lk/home/gallery/,2026-09-08T23:31:37.243016+05:30
email,pass,Published email: ,https://nilis.cmb.ac.lk/home/,
email,pass,Published email: info@nilis.cmb.ac.lk,https://nilis.cmb.ac.lk/home/,
postal_address,pass,"Published postal address: NILIS, University of Colombo, Sri Lanka",https://nilis.cmb.ac.lk/home/,
