check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:57:14.384457+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:57:14.384482+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:57:14.880126+05:30
http,pass,Probe 1: HTTP 200 at https://nipm.gov.lk/,https://nipm.gov.lk/,2026-09-08T23:57:50.067180+05:30
http,pass,Probe 2: HTTP 200 at https://nipm.gov.lk/,http://nipm.gov.lk/,2026-09-08T23:57:50.067202+05:30
http,pass,Probe 3: HTTP 200 at https://nipm.gov.lk/,https://nipm.gov.lk/,2026-09-08T23:57:50.067205+05:30
http,pass,Probe 4: HTTP 200 at https://nipm.gov.lk/,http://nipm.gov.lk/,2026-09-08T23:57:50.067208+05:30
http,pass,Probe 5: HTTP 200 at https://nipm.gov.lk/contact/,https://nipm.gov.lk/contact/,2026-09-08T23:57:50.067211+05:30
http,pass,Probe 6: HTTP 200 at https://nipm.gov.lk/courses/,https://nipm.gov.lk/courses/,2026-09-08T23:57:50.067213+05:30
http,pass,Probe 7: HTTP 200 at https://nipm.gov.lk/recognition-of-prior-learning-rpl/,https://nipm.gov.lk/recognition-of-prior-learning-rpl/,2026-09-08T23:57:50.067216+05:30
http,pass,Probe 8: HTTP 200 at https://nipm.gov.lk/athurugiriya-training-center/,https://nipm.gov.lk/athurugiriya-training-center/,2026-09-08T23:57:50.067219+05:30
http,pass,Probe 9: HTTP 200 at https://nipm.gov.lk/bogawantalwa-training-center/,https://nipm.gov.lk/bogawantalwa-training-center/,2026-09-08T23:57:50.067222+05:30
http,pass,Probe 10: HTTP 200 at https://nipm.gov.lk/about-us/,https://nipm.gov.lk/about-us/,2026-09-08T23:57:50.067225+05:30
http,pass,Probe 11: HTTP 200 at https://nipm.gov.lk/managment-staff/,https://nipm.gov.lk/managment-staff/,2026-09-08T23:57:50.067227+05:30
http,pass,Probe 12: HTTP 200 at https://nipm.gov.lk/executive-staff/,https://nipm.gov.lk/executive-staff/,2026-09-08T23:57:50.067230+05:30
http,pass,Probe 13: HTTP 200 at https://nipm.gov.lk/academic-board/,https://nipm.gov.lk/academic-board/,2026-09-08T23:57:50.067233+05:30
http,pass,Probe 14: HTTP 200 at https://nipm.gov.lk/course-category/academic-programmes/?tutor-course-filter-category=71,https://nipm.gov.lk/course-category/academic-programmes/?tutor-course-filter-category=71,2026-09-08T23:57:50.067236+05:30
phone,pass,Published phone: +94) 11-2770232 .,https://nipm.gov.lk/,
phone,pass,Published phone: +94) 11-2770232 ,https://nipm.gov.lk/,
phone,pass,Published phone: (+94) 11-2770232,https://nipm.gov.lk/,
email,pass,Published email: info@nipm.gov.lk,https://nipm.gov.lk/,
postal_address,pass,Published postal address: info@nipm.gov.lk Home Courses Courses Recognition of Prior Learning (RPL) Facilities Athurugiriya Training Center Bogawa,https://nipm.gov.lk/,
phone,pass,Published phone: +94) 11-2770232 .,https://nipm.gov.lk/,
phone,pass,Published phone: +94) 11-2770232 ,https://nipm.gov.lk/,
phone,pass,Published phone: (+94) 11-2770232,https://nipm.gov.lk/,
email,pass,Published email: info@nipm.gov.lk,https://nipm.gov.lk/,
postal_address,pass,Published postal address: info@nipm.gov.lk Home Courses Courses Recognition of Prior Learning (RPL) Facilities Athurugiriya Training Center Bogawa,https://nipm.gov.lk/,
phone,pass,Published phone: +94) 11-2770232 .,https://nipm.gov.lk/,
phone,pass,Published phone: +94) 11-2770232 ,https://nipm.gov.lk/,
phone,pass,Published phone: (+94) 11-2770232,https://nipm.gov.lk/,
email,pass,Published email: info@nipm.gov.lk,https://nipm.gov.lk/,
postal_address,pass,Published postal address: info@nipm.gov.lk Home Courses Courses Recognition of Prior Learning (RPL) Facilities Athurugiriya Training Center Bogawa,https://nipm.gov.lk/,
phone,pass,Published phone: +94) 11-2770232 .,https://nipm.gov.lk/,
phone,pass,Published phone: +94) 11-2770232 ,https://nipm.gov.lk/,
phone,pass,Published phone: (+94) 11-2770232,https://nipm.gov.lk/,
email,pass,Published email: info@nipm.gov.lk,https://nipm.gov.lk/,
postal_address,pass,Published postal address: info@nipm.gov.lk Home Courses Courses Recognition of Prior Learning (RPL) Facilities Athurugiriya Training Center Bogawa,https://nipm.gov.lk/,
phone,pass,Published phone: +94 51 226 7554 ,https://nipm.gov.lk/contact/,
phone,pass,Published phone: +94) 11-2770232 ,https://nipm.gov.lk/contact/,
phone,pass,Published phone: +94 11 2798 790,https://nipm.gov.lk/contact/,
phone,pass,Published phone: (+94) 11-2770232,https://nipm.gov.lk/contact/,
email,pass,Published email: nipm1979@gmail.com,https://nipm.gov.lk/contact/,
email,pass,Published email: info@nipm.gov.lk,https://nipm.gov.lk/contact/,
postal_address,pass,Published postal address: info@nipm.gov.lk Home Courses Courses Recognition of Prior Learning (RPL) Facilities Athurugiriya Training Center Bogawa,https://nipm.gov.lk/contact/,
phone,pass,Published phone: +94) 11-2770232 ,https://nipm.gov.lk/courses/,
phone,pass,Published phone: (+94) 11-2770232,https://nipm.gov.lk/courses/,
email,pass,Published email: info@nipm.gov.lk,https://nipm.gov.lk/courses/,
postal_address,pass,Published postal address: info@nipm.gov.lk Home Courses Courses Recognition of Prior Learning (RPL) Facilities Athurugiriya Training Center Bogawa,https://nipm.gov.lk/courses/,
phone,pass,Published phone: 070 345 5794 ,https://nipm.gov.lk/recognition-of-prior-learning-rpl/,
phone,pass,Published phone: 011 277 0232 ,https://nipm.gov.lk/recognition-of-prior-learning-rpl/,
phone,pass,Published phone: +94) 11-2770232 ,https://nipm.gov.lk/recognition-of-prior-learning-rpl/,
phone,pass,Published phone: (+94) 11-2770232,https://nipm.gov.lk/recognition-of-prior-learning-rpl/,
phone,pass,Published phone: 011 279 8776 ,https://nipm.gov.lk/recognition-of-prior-learning-rpl/,
email,pass,Published email: nipmrpl@gmail.com,https://nipm.gov.lk/recognition-of-prior-learning-rpl/,
email,pass,Published email: info@nipm.gov.lk,https://nipm.gov.lk/recognition-of-prior-learning-rpl/,
postal_address,pass,Published postal address: info@nipm.gov.lk Home Courses Courses Recognition of Prior Learning (RPL) Facilities Athurugiriya Training Center Bogawa,https://nipm.gov.lk/recognition-of-prior-learning-rpl/,
fees_and_payment,pass,"Published fees and payment: LKR 1,500",https://nipm.gov.lk/recognition-of-prior-learning-rpl/,
phone,pass,Published phone: +94) 11-2770232 ,https://nipm.gov.lk/athurugiriya-training-center/,
phone,pass,Published phone: (+94) 11-2770232,https://nipm.gov.lk/athurugiriya-training-center/,
