check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:59:44.140265+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:59:44.140283+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:59:44.866470+05:30
http,pass,Probe 1: HTTP 200 at https://nisd.ac.lk/,https://nisd.ac.lk/,2026-09-09T00:00:14.414064+05:30
http,pass,Probe 2: HTTP 200 at http://nisd.ac.lk/,http://nisd.ac.lk/,2026-09-09T00:00:14.414086+05:30
http,pass,Probe 3: HTTP 200 at https://nisd.ac.lk/,https://nisd.ac.lk/,2026-09-09T00:00:14.414090+05:30
http,pass,Probe 4: HTTP 200 at http://nisd.ac.lk/,http://nisd.ac.lk/,2026-09-09T00:00:14.414092+05:30
http,pass,Probe 5: HTTP 200 at https://nisd.ac.lk/contact/,https://nisd.ac.lk/contact/,2026-09-09T00:00:14.414095+05:30
http,pass,Probe 6: HTTP 200 at https://nisd.ac.lk/registrars-division/examination-disciplinary-committee/,https://nisd.ac.lk/registrars-division/examination-disciplinary-committee/,2026-09-09T00:00:14.414098+05:30
http,pass,Probe 7: HTTP 200 at https://nisd.ac.lk/contact-details/,https://nisd.ac.lk/contact-details/,2026-09-09T00:00:14.414100+05:30
http,pass,Probe 8: HTTP 200 at https://nisd.ac.lk/the-training-division/,https://nisd.ac.lk/the-training-division/,2026-09-09T00:00:14.414103+05:30
http,pass,Probe 9: HTTP 200 at https://nisd.ac.lk/the-social-policy-research-and-publications-division/,https://nisd.ac.lk/the-social-policy-research-and-publications-division/,2026-09-09T00:00:14.414106+05:30
http,pass,Probe 10: HTTP 200 at https://nisd.ac.lk/the-administration-and-finance-division/,https://nisd.ac.lk/the-administration-and-finance-division/,2026-09-09T00:00:14.414108+05:30
http,pass,Probe 11: HTTP 200 at https://nisd.ac.lk/administration-division/,https://nisd.ac.lk/administration-division/,2026-09-09T00:00:14.414111+05:30
http,pass,Probe 12: HTTP 200 at https://nisd.ac.lk/finance-division/,https://nisd.ac.lk/finance-division/,2026-09-09T00:00:14.414114+05:30
http,pass,Probe 13: HTTP 200 at https://nisd.ac.lk/registrars-division/,https://nisd.ac.lk/registrars-division/,2026-09-09T00:00:14.414116+05:30
http,pass,Probe 14: HTTP 200 at https://nisd.ac.lk/internal-audit-division/,https://nisd.ac.lk/internal-audit-division/,2026-09-09T00:00:14.414119+05:30
phone,pass,Published phone: 0.59 15.59 7 17 ,https://nisd.ac.lk/,
phone,pass,Published phone: 0.59 6.41 5 5 6.4,https://nisd.ac.lk/,
phone,pass,Published phone: 0.59 12 7 8.41 8.,https://nisd.ac.lk/,
phone,pass,Published phone: 01-.91 7-4.49 7-8.,https://nisd.ac.lk/,
phone,pass,Published phone: +94 112 882 506 ,https://nisd.ac.lk/,
phone,pass,Published phone: 0 10 10 10-4.47 ,https://nisd.ac.lk/,
phone,pass,Published phone: +94 112 882 506,https://nisd.ac.lk/,
phone,pass,Published phone: 0-1.77-1.02-3.29-,https://nisd.ac.lk/,
phone,pass,Published phone: 0.59 12 5 17.59 ,https://nisd.ac.lk/,
email,pass,Published email: info@nisd.ac.lk,https://nisd.ac.lk/,
named_responsibility,pass,Published named responsibility: director,https://nisd.ac.lk/,
legal_basis,pass,Published legal basis: gazette,https://nisd.ac.lk/,
phone,pass,Published phone: 0.59 15.59 7 17 ,http://nisd.ac.lk/,
phone,pass,Published phone: 0.59 6.41 5 5 6.4,http://nisd.ac.lk/,
phone,pass,Published phone: 0.59 12 7 8.41 8.,http://nisd.ac.lk/,
phone,pass,Published phone: 01-.91 7-4.49 7-8.,http://nisd.ac.lk/,
phone,pass,Published phone: +94 112 882 506 ,http://nisd.ac.lk/,
phone,pass,Published phone: 0 10 10 10-4.47 ,http://nisd.ac.lk/,
phone,pass,Published phone: +94 112 882 506,http://nisd.ac.lk/,
phone,pass,Published phone: 0-1.77-1.02-3.29-,http://nisd.ac.lk/,
phone,pass,Published phone: 0.59 12 5 17.59 ,http://nisd.ac.lk/,
email,pass,Published email: info@nisd.ac.lk,http://nisd.ac.lk/,
named_responsibility,pass,Published named responsibility: director,http://nisd.ac.lk/,
legal_basis,pass,Published legal basis: gazette,http://nisd.ac.lk/,
phone,pass,Published phone: 0.59 15.59 7 17 ,https://nisd.ac.lk/,
phone,pass,Published phone: 0.59 6.41 5 5 6.4,https://nisd.ac.lk/,
phone,pass,Published phone: 0.59 12 7 8.41 8.,https://nisd.ac.lk/,
phone,pass,Published phone: 01-.91 7-4.49 7-8.,https://nisd.ac.lk/,
phone,pass,Published phone: +94 112 882 506 ,https://nisd.ac.lk/,
phone,pass,Published phone: 0 10 10 10-4.47 ,https://nisd.ac.lk/,
phone,pass,Published phone: +94 112 882 506,https://nisd.ac.lk/,
phone,pass,Published phone: 0-1.77-1.02-3.29-,https://nisd.ac.lk/,
phone,pass,Published phone: 0.59 12 5 17.59 ,https://nisd.ac.lk/,
email,pass,Published email: info@nisd.ac.lk,https://nisd.ac.lk/,
named_responsibility,pass,Published named responsibility: director,https://nisd.ac.lk/,
legal_basis,pass,Published legal basis: gazette,https://nisd.ac.lk/,
phone,pass,Published phone: 0.59 15.59 7 17 ,http://nisd.ac.lk/,
phone,pass,Published phone: 0.59 6.41 5 5 6.4,http://nisd.ac.lk/,
phone,pass,Published phone: 0.59 12 7 8.41 8.,http://nisd.ac.lk/,
phone,pass,Published phone: 01-.91 7-4.49 7-8.,http://nisd.ac.lk/,
phone,pass,Published phone: +94 112 882 506 ,http://nisd.ac.lk/,
phone,pass,Published phone: 0 10 10 10-4.47 ,http://nisd.ac.lk/,
phone,pass,Published phone: +94 112 882 506,http://nisd.ac.lk/,
phone,pass,Published phone: 0-1.77-1.02-3.29-,http://nisd.ac.lk/,
phone,pass,Published phone: 0.59 12 5 17.59 ,http://nisd.ac.lk/,
email,pass,Published email: info@nisd.ac.lk,http://nisd.ac.lk/,
named_responsibility,pass,Published named responsibility: director,http://nisd.ac.lk/,
legal_basis,pass,Published legal basis: gazette,http://nisd.ac.lk/,
phone,pass,Published phone: 0.59 15.59 7 17 ,https://nisd.ac.lk/contact/,
phone,pass,Published phone: 0.59 6.41 5 5 6.4,https://nisd.ac.lk/contact/,
phone,pass,Published phone: +94 112 882 502 ,https://nisd.ac.lk/contact/,
phone,pass,Published phone: 0.59 12 7 8.41 8.,https://nisd.ac.lk/contact/,
phone,pass,Published phone: 01-.91 7-4.49 7-8.,https://nisd.ac.lk/contact/,
phone,pass,Published phone: +94 112 882 506 ,https://nisd.ac.lk/contact/,
phone,pass,Published phone: 0 10 10 10-4.47 ,https://nisd.ac.lk/contact/,
phone,pass,Published phone: +94 112 882 506,https://nisd.ac.lk/contact/,
phone,pass,Published phone: 0-1.77-1.02-3.29-,https://nisd.ac.lk/contact/,
phone,pass,Published phone: 0.59 12 5 17.59 ,https://nisd.ac.lk/contact/,
email,pass,Published email: info@nisd.ac.lk,https://nisd.ac.lk/contact/,
postal_address,pass,"Published postal address: Liyanagemulla, Seeduwa, Sri Lanka Contact info Telephone :+94 112 882 506 / 07 Fax: +94 112 882 502 Mail: info@nisd.ac.l",https://nisd.ac.lk/contact/,
named_responsibility,pass,Published named responsibility: director,https://nisd.ac.lk/contact/,
legal_basis,pass,Published legal basis: gazette,https://nisd.ac.lk/contact/,
phone,pass,Published phone: 0.59 15.59 7 17 ,https://nisd.ac.lk/registrars-division/examination-disciplinary-committee/,
phone,pass,Published phone: 0.59 6.41 5 5 6.4,https://nisd.ac.lk/registrars-division/examination-disciplinary-committee/,
phone,pass,Published phone: 0.59 12 7 8.41 8.,https://nisd.ac.lk/registrars-division/examination-disciplinary-committee/,
phone,pass,Published phone: 01-.91 7-4.49 7-8.,https://nisd.ac.lk/registrars-division/examination-disciplinary-committee/,
phone,pass,Published phone: +94 112 882 506 ,https://nisd.ac.lk/registrars-division/examination-disciplinary-committee/,
phone,pass,Published phone: 0 10 10 10-4.47 ,https://nisd.ac.lk/registrars-division/examination-disciplinary-committee/,
phone,pass,Published phone: +94 112 882 506,https://nisd.ac.lk/registrars-division/examination-disciplinary-committee/,
phone,pass,Published phone: 0-1.77-1.02-3.29-,https://nisd.ac.lk/registrars-division/examination-disciplinary-committee/,
phone,pass,Published phone: 0.59 12 5 17.59 ,https://nisd.ac.lk/registrars-division/examination-disciplinary-committee/,
email,pass,Published email: info@nisd.ac.lk,https://nisd.ac.lk/registrars-division/examination-disciplinary-committee/,
named_responsibility,pass,Published named responsibility: director,https://nisd.ac.lk/registrars-division/examination-disciplinary-committee/,
legal_basis,pass,Published legal basis: regulations,https://nisd.ac.lk/registrars-division/examination-disciplinary-committee/,
phone,pass,Published phone: +94 772 482 236 ,https://nisd.ac.lk/contact-details/,
phone,pass,Published phone: +94 771 057 537 ,https://nisd.ac.lk/contact-details/,
phone,pass,Published phone: +94 762 114 162 ,https://nisd.ac.lk/contact-details/,
phone,pass,Published phone: +94 702 569 602 ,https://nisd.ac.lk/contact-details/,
phone,pass,Published phone: 0.59 6.41 5 5 6.4,https://nisd.ac.lk/contact-details/,
phone,pass,Published phone: +94 112 076 021 ,https://nisd.ac.lk/contact-details/,
phone,pass,Published phone: +94 112 256 079 ,https://nisd.ac.lk/contact-details/,
phone,pass,Published phone: 0.59 12 5 17.59 ,https://nisd.ac.lk/contact-details/,
phone,pass,Published phone: +94 716 961 659 ,https://nisd.ac.lk/contact-details/,
phone,pass,Published phone: +94 702 373 010 ,https://nisd.ac.lk/contact-details/,
phone,pass,Published phone: 0.59 15.59 7 17 ,https://nisd.ac.lk/contact-details/,
phone,pass,Published phone: +94 768 833 752 ,https://nisd.ac.lk/contact-details/,
phone,pass,Published phone: +94 112 882 502 ,https://nisd.ac.lk/contact-details/,
phone,pass,Published phone: 0.59 12 7 8.41 8.,https://nisd.ac.lk/contact-details/,
phone,pass,Published phone: +94 112 882 510 ,https://nisd.ac.lk/contact-details/,
phone,pass,Published phone: 0 10 10 10-4.47 ,https://nisd.ac.lk/contact-details/,
phone,pass,Published phone: +94 718 175 071 ,https://nisd.ac.lk/contact-details/,
phone,pass,Published phone: 01-.91 7-4.49 7-8.,https://nisd.ac.lk/contact-details/,
phone,pass,Published phone: +94 112 256 009 ,https://nisd.ac.lk/contact-details/,
phone,pass,Published phone: +94 112 882 501 ,https://nisd.ac.lk/contact-details/,
phone,pass,Published phone: +94 715 340 466 ,https://nisd.ac.lk/contact-details/,
phone,pass,Published phone: 0-1.77-1.02-3.29-,https://nisd.ac.lk/contact-details/,
phone,pass,Published phone: +94 112 256 049 ,https://nisd.ac.lk/contact-details/,
phone,pass,Published phone: +94 777 683 675 ,https://nisd.ac.lk/contact-details/,
phone,pass,Published phone: +94 714 452 810 ,https://nisd.ac.lk/contact-details/,
phone,pass,Published phone: +94 701 747 792 ,https://nisd.ac.lk/contact-details/,
phone,pass,Published phone: +94 112 882 506 ,https://nisd.ac.lk/contact-details/,
phone,pass,Published phone: +94 112 882 506,https://nisd.ac.lk/contact-details/,
email,pass,Published email: d.ssw@nisd.ac.lk,https://nisd.ac.lk/contact-details/,
email,pass,Published email: arexam@nisd.ac.lk,https://nisd.ac.lk/contact-details/,
email,pass,Published email: indika@nisd.ac.lk,https://nisd.ac.lk/contact-details/,
email,pass,Published email: d.training@nisd.ac.lk,https://nisd.ac.lk/contact-details/,
email,pass,Published email: info@nisd.ac.lk,https://nisd.ac.lk/contact-details/,
email,pass,Published email: d.admin@nisd.ac.lk,https://nisd.ac.lk/contact-details/,
email,pass,Published email: ao@nisd.ac.lk,https://nisd.ac.lk/contact-details/,
email,pass,Published email: accountant@nisd.ac.lk,https://nisd.ac.lk/contact-details/,
email,pass,Published email: hari@nisd.ac.lk,https://nisd.ac.lk/contact-details/,
email,pass,Published email: internalauditor@nisd.ac.lk,https://nisd.ac.lk/contact-details/,
email,pass,Published email: adg@nisd.ac.lk,https://nisd.ac.lk/contact-details/,
email,pass,Published email: gayan@nisd.ac.lk,https://nisd.ac.lk/contact-details/,
email,pass,Published email: dinusha@nisd.ac.lk,https://nisd.ac.lk/contact-details/,
email,pass,Published email: dg@nisd.ac.lk,https://nisd.ac.lk/contact-details/,
email,pass,Published email: registrar@nisd.ac.lk,https://nisd.ac.lk/contact-details/,
named_responsibility,pass,Published named responsibility: director,https://nisd.ac.lk/contact-details/,
legal_basis,pass,Published legal basis: gazette,https://nisd.ac.lk/contact-details/,
phone,pass,Published phone: 0.59 15.59 7 17 ,https://nisd.ac.lk/the-training-division/,
phone,pass,Published phone: 0.59 6.41 5 5 6.4,https://nisd.ac.lk/the-training-division/,
phone,pass,Published phone: 0.59 12 7 8.41 8.,https://nisd.ac.lk/the-training-division/,
phone,pass,Published phone: 01-.91 7-4.49 7-8.,https://nisd.ac.lk/the-training-division/,
phone,pass,Published phone: +94 112 882 506 ,https://nisd.ac.lk/the-training-division/,
phone,pass,Published phone: 0 10 10 10-4.47 ,https://nisd.ac.lk/the-training-division/,
phone,pass,Published phone: +94 112 882 506,https://nisd.ac.lk/the-training-division/,
phone,pass,Published phone: 0-1.77-1.02-3.29-,https://nisd.ac.lk/the-training-division/,
phone,pass,Published phone: 0.59 12 5 17.59 ,https://nisd.ac.lk/the-training-division/,
email,pass,Published email: info@nisd.ac.lk,https://nisd.ac.lk/the-training-division/,
named_responsibility,pass,Published named responsibility: director,https://nisd.ac.lk/the-training-division/,
legal_basis,pass,Published legal basis: gazette,https://nisd.ac.lk/the-training-division/,
phone,pass,Published phone: 0.59 15.59 7 17 ,https://nisd.ac.lk/the-social-policy-research-and-publications-division/,
phone,pass,Published phone: 0.59 6.41 5 5 6.4,https://nisd.ac.lk/the-social-policy-research-and-publications-division/,
phone,pass,Published phone: 0.59 12 7 8.41 8.,https://nisd.ac.lk/the-social-policy-research-and-publications-division/,
phone,pass,Published phone: 01-.91 7-4.49 7-8.,https://nisd.ac.lk/the-social-policy-research-and-publications-division/,
phone,pass,Published phone: +94 112 882 506 ,https://nisd.ac.lk/the-social-policy-research-and-publications-division/,
phone,pass,Published phone: 0 10 10 10-4.47 ,https://nisd.ac.lk/the-social-policy-research-and-publications-division/,
phone,pass,Published phone: +94 112 882 506,https://nisd.ac.lk/the-social-policy-research-and-publications-division/,
phone,pass,Published phone: 0-1.77-1.02-3.29-,https://nisd.ac.lk/the-social-policy-research-and-publications-division/,
phone,pass,Published phone: 0.59 12 5 17.59 ,https://nisd.ac.lk/the-social-policy-research-and-publications-division/,
email,pass,Published email: info@nisd.ac.lk,https://nisd.ac.lk/the-social-policy-research-and-publications-division/,
named_responsibility,pass,Published named responsibility: director,https://nisd.ac.lk/the-social-policy-research-and-publications-division/,
legal_basis,pass,Published legal basis: gazette,https://nisd.ac.lk/the-social-policy-research-and-publications-division/,
fees_and_payment,pass,"Published fees and payment: rs,",https://nisd.ac.lk/the-social-policy-research-and-publications-division/,
phone,pass,Published phone: 0.59 15.59 7 17 ,https://nisd.ac.lk/the-administration-and-finance-division/,
phone,pass,Published phone: 0.59 6.41 5 5 6.4,https://nisd.ac.lk/the-administration-and-finance-division/,
phone,pass,Published phone: 0.59 12 7 8.41 8.,https://nisd.ac.lk/the-administration-and-finance-division/,
phone,pass,Published phone: 01-.91 7-4.49 7-8.,https://nisd.ac.lk/the-administration-and-finance-division/,
phone,pass,Published phone: +94 112 882 506 ,https://nisd.ac.lk/the-administration-and-finance-division/,
phone,pass,Published phone: 0 10 10 10-4.47 ,https://nisd.ac.lk/the-administration-and-finance-division/,
phone,pass,Published phone: +94 112 882 506,https://nisd.ac.lk/the-administration-and-finance-division/,
phone,pass,Published phone: 0-1.77-1.02-3.29-,https://nisd.ac.lk/the-administration-and-finance-division/,
phone,pass,Published phone: 0.59 12 5 17.59 ,https://nisd.ac.lk/the-administration-and-finance-division/,
email,pass,Published email: info@nisd.ac.lk,https://nisd.ac.lk/the-administration-and-finance-division/,
named_responsibility,pass,Published named responsibility: director,https://nisd.ac.lk/the-administration-and-finance-division/,
legal_basis,pass,Published legal basis: gazette,https://nisd.ac.lk/the-administration-and-finance-division/,
phone,pass,Published phone: 071 445 2810 ,https://nisd.ac.lk/administration-division/,
phone,pass,Published phone: 0.59 15.59 7 17 ,https://nisd.ac.lk/administration-division/,
phone,pass,Published phone: 0.59 6.41 5 5 6.4,https://nisd.ac.lk/administration-division/,
phone,pass,Published phone: 0.59 12 7 8.41 8.,https://nisd.ac.lk/administration-division/,
phone,pass,Published phone: 01-.91 7-4.49 7-8.,https://nisd.ac.lk/administration-division/,
phone,pass,Published phone: +94 112 882 506 ,https://nisd.ac.lk/administration-division/,
phone,pass,Published phone: 0 10 10 10-4.47 ,https://nisd.ac.lk/administration-division/,
phone,pass,Published phone: +94 112 882 506,https://nisd.ac.lk/administration-division/,
phone,pass,Published phone: 070 174 7792 ,https://nisd.ac.lk/administration-division/,
phone,pass,Published phone: 0-1.77-1.02-3.29-,https://nisd.ac.lk/administration-division/,
phone,pass,Published phone: 0.59 12 5 17.59 ,https://nisd.ac.lk/administration-division/,
email,pass,Published email: ao@nisd.ac.lk,https://nisd.ac.lk/administration-division/,
email,pass,Published email: info@nisd.ac.lk,https://nisd.ac.lk/administration-division/,
email,pass,Published email: d.admin@nisd.ac.lk,https://nisd.ac.lk/administration-division/,
email,pass,Published email: deepika@nisd.ac.lk,https://nisd.ac.lk/administration-division/,
postal_address,pass,"Published postal address: Administration Division, National Institute of Social Development, Liyanagemulla, Seeduwa Mail: ao@nisd.ac.lk +94 112 88",https://nisd.ac.lk/administration-division/,
named_responsibility,pass,Published named responsibility: director,https://nisd.ac.lk/administration-division/,
legal_basis,pass,Published legal basis: gazette,https://nisd.ac.lk/administration-division/,
fees_and_payment,pass,"Published fees and payment: rs,",https://nisd.ac.lk/administration-division/,
phone,pass,Published phone: 071 445 2810 ,https://nisd.ac.lk/finance-division/,
phone,pass,Published phone: 070 712 9284 ,https://nisd.ac.lk/finance-division/,
phone,pass,Published phone: 0.59 15.59 7 17 ,https://nisd.ac.lk/finance-division/,
phone,pass,Published phone: 0.59 6.41 5 5 6.4,https://nisd.ac.lk/finance-division/,
phone,pass,Published phone: 070 117 4492 ,https://nisd.ac.lk/finance-division/,
phone,pass,Published phone: 0.59 12 7 8.41 8.,https://nisd.ac.lk/finance-division/,
phone,pass,Published phone: 076 211 0613 ,https://nisd.ac.lk/finance-division/,
phone,pass,Published phone: 0762110284 ,https://nisd.ac.lk/finance-division/,
phone,pass,Published phone: 075 490 7573 ,https://nisd.ac.lk/finance-division/,
phone,pass,Published phone: 01-.91 7-4.49 7-8.,https://nisd.ac.lk/finance-division/,
phone,pass,Published phone: 077 472 5511 ,https://nisd.ac.lk/finance-division/,
phone,pass,Published phone: +94 112 882 506 ,https://nisd.ac.lk/finance-division/,
phone,pass,Published phone: 0 10 10 10-4.47 ,https://nisd.ac.lk/finance-division/,
phone,pass,Published phone: 077 592 2046 ,https://nisd.ac.lk/finance-division/,
phone,pass,Published phone: +94 112 882 506,https://nisd.ac.lk/finance-division/,
phone,pass,Published phone: 0767934303 ,https://nisd.ac.lk/finance-division/,
phone,pass,Published phone: 0-1.77-1.02-3.29-,https://nisd.ac.lk/finance-division/,
phone,pass,Published phone: 0.59 12 5 17.59 ,https://nisd.ac.lk/finance-division/,
email,pass,Published email: minidu@nisd.ac.lk,https://nisd.ac.lk/finance-division/,
email,pass,Published email: info@nisd.ac.lk,https://nisd.ac.lk/finance-division/,
email,pass,Published email: dharshani@nisd.ac.lk,https://nisd.ac.lk/finance-division/,
email,pass,Published email: d.admin@nisd.ac.lk,https://nisd.ac.lk/finance-division/,
email,pass,Published email: samitha@nisd.ac.lk,https://nisd.ac.lk/finance-division/,
email,pass,Published email: lathika@nisd.ac.lk,https://nisd.ac.lk/finance-division/,
email,pass,Published email: accountant@nisd.ac.lk,https://nisd.ac.lk/finance-division/,
email,pass,Published email: sanju@nisd.ac.lk,https://nisd.ac.lk/finance-division/,
email,pass,Published email: dinusha@nisd.ac.lk,https://nisd.ac.lk/finance-division/,
email,pass,Published email: charitha@nisd.ac.lk,https://nisd.ac.lk/finance-division/,
postal_address,pass,"Published postal address: Finance Division, National Institute of Social Development, Liyanagemulla, Seeduwa Mail: accountant@nisd.ac.lk +94 112 8",https://nisd.ac.lk/finance-division/,
named_responsibility,pass,Published named responsibility: director,https://nisd.ac.lk/finance-division/,
required_documents,pass,Published required documents: supporting documents,https://nisd.ac.lk/finance-division/,
legal_basis,pass,Published legal basis: regulations,https://nisd.ac.lk/finance-division/,
fees_and_payment,pass,"Published fees and payment: rs,",https://nisd.ac.lk/finance-division/,
phone,pass,Published phone: 076 883 3752 ,https://nisd.ac.lk/registrars-division/,
phone,pass,Published phone: 0.59 15.59 7 17 ,https://nisd.ac.lk/registrars-division/,
phone,pass,Published phone: 0.59 6.41 5 5 6.4,https://nisd.ac.lk/registrars-division/,
