check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:34:09.148115+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:34:09.148138+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:34:09.262334+05:30
http,pass,Probe 1: HTTP 200 at https://ocu.ac.lk/,https://ocu.ac.lk/,2026-09-08T23:34:26.094286+05:30
http,pass,Probe 2: HTTP 200 at https://ocu.ac.lk/,http://ocu.ac.lk/,2026-09-08T23:34:26.094308+05:30
http,pass,Probe 3: HTTP 200 at https://ocu.ac.lk/,https://ocu.ac.lk/,2026-09-08T23:34:26.094312+05:30
http,pass,Probe 4: HTTP 200 at https://ocu.ac.lk/,http://ocu.ac.lk/,2026-09-08T23:34:26.094314+05:30
http,pass,Probe 5: HTTP 200 at https://ocu.ac.lk/procurement-division/,https://ocu.ac.lk/procurement-division/,2026-09-08T23:34:26.094317+05:30
http,pass,Probe 6: HTTP 200 at https://ocu.ac.lk/contacts-us/,https://ocu.ac.lk/contacts-us/,2026-09-08T23:34:26.094320+05:30
http,pass,Probe 7: HTTP 200 at https://ocu.ac.lk/training-division/,https://ocu.ac.lk/training-division/,2026-09-08T23:34:26.094322+05:30
http,pass,Probe 8: HTTP 200 at https://ocu.ac.lk/vc-office/,https://ocu.ac.lk/vc-office/,2026-09-08T23:34:26.094325+05:30
http,pass,Probe 9: HTTP 200 at https://ocu.ac.lk/registrar-office/,https://ocu.ac.lk/registrar-office/,2026-09-08T23:34:26.094327+05:30
http,pass,Probe 10: HTTP 200 at https://ocu.ac.lk/hr-division/,https://ocu.ac.lk/hr-division/,2026-09-08T23:34:26.094330+05:30
http,pass,Probe 11: HTTP 200 at https://ocu.ac.lk/finance-division/,https://ocu.ac.lk/finance-division/,2026-09-08T23:34:26.094333+05:30
http,pass,Probe 12: HTTP 200 at https://ocu.ac.lk/office-of-research/,https://ocu.ac.lk/office-of-research/,2026-09-08T23:34:26.094335+05:30
http,pass,Probe 13: HTTP 200 at https://ocu.ac.lk/careers/,https://ocu.ac.lk/careers/,2026-09-08T23:34:26.094338+05:30
http,pass,Probe 14: HTTP 200 at https://ocu.ac.lk/booking/,https://ocu.ac.lk/booking/,2026-09-08T23:34:26.094340+05:30
phone,pass,Published phone: 0474931994,https://ocu.ac.lk/,
phone,pass,Published phone: 0474931994 ,https://ocu.ac.lk/,
email,pass,Published email: admin@ocu.ac.lk,https://ocu.ac.lk/,
named_responsibility,pass,Published named responsibility: division,https://ocu.ac.lk/,
phone,pass,Published phone: 0474931994,https://ocu.ac.lk/,
phone,pass,Published phone: 0474931994 ,https://ocu.ac.lk/,
email,pass,Published email: admin@ocu.ac.lk,https://ocu.ac.lk/,
named_responsibility,pass,Published named responsibility: division,https://ocu.ac.lk/,
phone,pass,Published phone: 0474931994,https://ocu.ac.lk/,
phone,pass,Published phone: 0474931994 ,https://ocu.ac.lk/,
email,pass,Published email: admin@ocu.ac.lk,https://ocu.ac.lk/,
named_responsibility,pass,Published named responsibility: division,https://ocu.ac.lk/,
phone,pass,Published phone: 0474931994,https://ocu.ac.lk/,
phone,pass,Published phone: 0474931994 ,https://ocu.ac.lk/,
email,pass,Published email: admin@ocu.ac.lk,https://ocu.ac.lk/,
named_responsibility,pass,Published named responsibility: division,https://ocu.ac.lk/,
