check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:33:32.569419+05:30
domain_registration,pass,Domain registered,,2026-09-08T23:33:32.569427+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:33:32.625133+05:30
http,pass,Probe 1: HTTP 200 at https://pasdunrata.com/,https://pasdunrata.com/,2026-09-08T23:33:46.956783+05:30
http,pass,Probe 2: HTTP 200 at https://pasdunrata.com/,http://pasdunrata.com/,2026-09-08T23:33:46.956824+05:30
http,pass,Probe 3: HTTP 200 at https://pasdunrata.com/,https://pasdunrata.com/,2026-09-08T23:33:46.956828+05:30
http,pass,Probe 4: HTTP 200 at https://pasdunrata.com/,http://pasdunrata.com/,2026-09-08T23:33:46.956831+05:30
http,pass,Probe 5: HTTP 200 at https://pasdunrata.com/contact.html,https://pasdunrata.com/contact.html,2026-09-08T23:33:46.956834+05:30
http,pass,Probe 6: HTTP 200 at https://pasdunrata.com,https://pasdunrata.com,2026-09-08T23:33:46.956837+05:30
http,pass,Probe 7: HTTP 200 at https://pasdunrata.com/index.html,https://pasdunrata.com/index.html,2026-09-08T23:33:46.956839+05:30
http,pass,Probe 8: HTTP 200 at https://pasdunrata.com/course.html,https://pasdunrata.com/course.html,2026-09-08T23:33:46.956842+05:30
http,pass,Probe 9: HTTP 200 at https://pasdunrata.com/staff.html,https://pasdunrata.com/staff.html,2026-09-08T23:33:46.956844+05:30
http,pass,Probe 10: HTTP 200 at https://pasdunrata.com/news.html,https://pasdunrata.com/news.html,2026-09-08T23:33:46.956847+05:30
http,pass,Probe 11: HTTP 200 at https://pasdunrata.com/gallery.html,https://pasdunrata.com/gallery.html,2026-09-08T23:33:46.956849+05:30
http,pass,Probe 12: HTTP 200 at https://pasdunrata.com/interview-2026.html,https://pasdunrata.com/interview-2026.html,2026-09-08T23:33:46.956852+05:30
http,pass,Probe 13: HTTP 200 at https://pasdunrata.com/images/news/INTERVIEW%20LIST.xlsx,https://pasdunrata.com/images/news/INTERVIEW LIST.xlsx,2026-09-08T23:33:46.956855+05:30
phone,pass,Published phone: 0342 237 545 ,https://pasdunrata.com/,
phone,pass,Published phone: 0342237545,https://pasdunrata.com/,
named_responsibility,pass,Published named responsibility: department,https://pasdunrata.com/,
phone,pass,Published phone: 0342 237 545 ,https://pasdunrata.com/,
phone,pass,Published phone: 0342237545,https://pasdunrata.com/,
named_responsibility,pass,Published named responsibility: department,https://pasdunrata.com/,
phone,pass,Published phone: 0342 237 545 ,https://pasdunrata.com/,
phone,pass,Published phone: 0342237545,https://pasdunrata.com/,
named_responsibility,pass,Published named responsibility: department,https://pasdunrata.com/,
phone,pass,Published phone: 0342 237 545 ,https://pasdunrata.com/,
phone,pass,Published phone: 0342237545,https://pasdunrata.com/,
named_responsibility,pass,Published named responsibility: department,https://pasdunrata.com/,
phone,pass,Published phone: 0342 237 545 ,https://pasdunrata.com/contact.html,
phone,pass,Published phone: 0342237545,https://pasdunrata.com/contact.html,
email,pass,Published email: pncoe@gmail.com,https://pasdunrata.com/contact.html,
named_responsibility,pass,Published named responsibility: department,https://pasdunrata.com/contact.html,
phone,pass,Published phone: 0342 237 545 ,https://pasdunrata.com,
phone,pass,Published phone: 0342237545,https://pasdunrata.com,
named_responsibility,pass,Published named responsibility: department,https://pasdunrata.com,
phone,pass,Published phone: 0342 237 545 ,https://pasdunrata.com/index.html,
phone,pass,Published phone: 0342237545,https://pasdunrata.com/index.html,
named_responsibility,pass,Published named responsibility: department,https://pasdunrata.com/index.html,
phone,pass,Published phone: 0342 237 545 ,https://pasdunrata.com/course.html,
phone,pass,Published phone: 0342237545,https://pasdunrata.com/course.html,
email,pass,Published email: pncoe@gmail.com,https://pasdunrata.com/course.html,
named_responsibility,pass,Published named responsibility: department,https://pasdunrata.com/course.html,
phone,pass,Published phone: 0342 237 545 ,https://pasdunrata.com/staff.html,
phone,pass,Published phone: 0342237545,https://pasdunrata.com/staff.html,
email,pass,Published email: pncoe@gmail.com,https://pasdunrata.com/staff.html,
named_responsibility,pass,Published named responsibility: division,https://pasdunrata.com/staff.html,
phone,pass,Published phone: 0342 237 545 ,https://pasdunrata.com/news.html,
phone,pass,Published phone: 0342237545,https://pasdunrata.com/news.html,
email,pass,Published email: pncoe@gmail.com,https://pasdunrata.com/news.html,
named_responsibility,pass,Published named responsibility: department,https://pasdunrata.com/news.html,
phone,pass,Published phone: 0342 237 545 ,https://pasdunrata.com/gallery.html,
phone,pass,Published phone: 0342237545,https://pasdunrata.com/gallery.html,
email,pass,Published email: pncoe@gmail.com,https://pasdunrata.com/gallery.html,
named_responsibility,pass,Published named responsibility: department,https://pasdunrata.com/gallery.html,
phone,pass,Published phone: 0342 237 545 ,https://pasdunrata.com/interview-2026.html,
phone,pass,Published phone: 0342237545,https://pasdunrata.com/interview-2026.html,
email,pass,Published email: pncoe@gmail.com,https://pasdunrata.com/interview-2026.html,
named_responsibility,pass,Published named responsibility: department,https://pasdunrata.com/interview-2026.html,
page_text,pass,Substantive page content: 89917 visible characters across 13 pages,https://pasdunrata.com/,
