check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:37:30.049328+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:37:30.049347+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:37:30.620849+05:30
http,pass,Probe 1: HTTP 200 at https://pdl.lk/,https://pdl.lk/,2026-09-08T23:38:09.148496+05:30
http,pass,Probe 2: HTTP 200 at https://pdl.lk/,http://pdl.lk/,2026-09-08T23:38:09.148520+05:30
http,pass,Probe 3: HTTP 200 at https://pdl.lk/,https://pdl.lk/,2026-09-08T23:38:09.148523+05:30
http,pass,Probe 4: HTTP 200 at https://pdl.lk/,http://pdl.lk/,2026-09-08T23:38:09.148527+05:30
http,pass,Probe 5: HTTP 200 at https://pdl.lk/services/,https://pdl.lk/services/,2026-09-08T23:38:09.148530+05:30
http,pass,Probe 6: HTTP 200 at https://pdl.lk/contact-us/,https://pdl.lk/contact-us/,2026-09-08T23:38:09.148532+05:30
http,pass,Probe 7: HTTP 200 at https://pdl.lk/about-company/,https://pdl.lk/about-company/,2026-09-08T23:38:09.148535+05:30
http,pass,Probe 8: HTTP 200 at https://pdl.lk/our-team/,https://pdl.lk/our-team/,2026-09-08T23:38:09.148539+05:30
http,pass,Probe 9: HTTP 200 at https://pdl.lk/gallery/,https://pdl.lk/gallery/,2026-09-08T23:38:09.148542+05:30
http,pass,Probe 10: HTTP 200 at https://pdl.lk/announcements/,https://pdl.lk/announcements/,2026-09-08T23:38:09.148545+05:30
http,pass,Probe 11: HTTP 200 at https://pdl.lk/other-publications/,https://pdl.lk/other-publications/,2026-09-08T23:38:09.148549+05:30
http,pass,Probe 12: HTTP 200 at https://pdl.lk/tender-list/,https://pdl.lk/tender-list/,2026-09-08T23:38:09.148551+05:30
http,pass,Probe 13: HTTP 200 at https://pdl.lk/careers/,https://pdl.lk/careers/,2026-09-08T23:38:09.148554+05:30
http,pass,Probe 14: HTTP 200 at https://pdl.lk,https://pdl.lk,2026-09-08T23:38:09.148557+05:30
phone,pass,Published phone: 0009326536,https://pdl.lk/,
phone,pass,Published phone: 0960714726,https://pdl.lk/,
phone,pass,Published phone: +94 11 254 4328 ,https://pdl.lk/,
phone,pass,Published phone: 0554046599,https://pdl.lk/,
phone,pass,Published phone: 0995162852,https://pdl.lk/,
phone,pass,Published phone: 0520803613,https://pdl.lk/,
phone,pass,Published phone: 0994364209,https://pdl.lk/,
phone,pass,Published phone: 0529455430,https://pdl.lk/,
phone,pass,Published phone: 0009278922,https://pdl.lk/,
phone,pass,Published phone: 0325104747,https://pdl.lk/,
phone,pass,Published phone: 0056018839,https://pdl.lk/,
phone,pass,Published phone: ++94 11 254 4328,https://pdl.lk/,
phone,pass,Published phone: 0554100819,https://pdl.lk/,
email,pass,Published email: pdlhrm@sltnet.lk,https://pdl.lk/,
postal_address,pass,"Published postal address: .address-item:hover .address-icon{ background: #006634 !important; } .nav ul ul.sub-menu> li:first-child, blockquote{ bo",https://pdl.lk/,
phone,pass,Published phone: 0009326536,https://pdl.lk/,
phone,pass,Published phone: 0960714726,https://pdl.lk/,
phone,pass,Published phone: +94 11 254 4328 ,https://pdl.lk/,
phone,pass,Published phone: 0554046599,https://pdl.lk/,
phone,pass,Published phone: 0995162852,https://pdl.lk/,
phone,pass,Published phone: 0520803613,https://pdl.lk/,
phone,pass,Published phone: 0994364209,https://pdl.lk/,
phone,pass,Published phone: 0529455430,https://pdl.lk/,
phone,pass,Published phone: 0009278922,https://pdl.lk/,
phone,pass,Published phone: 0325104747,https://pdl.lk/,
phone,pass,Published phone: 0056018839,https://pdl.lk/,
phone,pass,Published phone: ++94 11 254 4328,https://pdl.lk/,
phone,pass,Published phone: 0554100819,https://pdl.lk/,
email,pass,Published email: pdlhrm@sltnet.lk,https://pdl.lk/,
postal_address,pass,"Published postal address: .address-item:hover .address-icon{ background: #006634 !important; } .nav ul ul.sub-menu> li:first-child, blockquote{ bo",https://pdl.lk/,
phone,pass,Published phone: 0009326536,https://pdl.lk/,
phone,pass,Published phone: 0960714726,https://pdl.lk/,
phone,pass,Published phone: +94 11 254 4328 ,https://pdl.lk/,
phone,pass,Published phone: 0554046599,https://pdl.lk/,
phone,pass,Published phone: 0995162852,https://pdl.lk/,
phone,pass,Published phone: 0520803613,https://pdl.lk/,
phone,pass,Published phone: 0994364209,https://pdl.lk/,
phone,pass,Published phone: 0529455430,https://pdl.lk/,
phone,pass,Published phone: 0009278922,https://pdl.lk/,
phone,pass,Published phone: 0325104747,https://pdl.lk/,
phone,pass,Published phone: 0056018839,https://pdl.lk/,
phone,pass,Published phone: ++94 11 254 4328,https://pdl.lk/,
phone,pass,Published phone: 0554100819,https://pdl.lk/,
email,pass,Published email: pdlhrm@sltnet.lk,https://pdl.lk/,
postal_address,pass,"Published postal address: .address-item:hover .address-icon{ background: #006634 !important; } .nav ul ul.sub-menu> li:first-child, blockquote{ bo",https://pdl.lk/,
phone,pass,Published phone: 0009326536,https://pdl.lk/,
phone,pass,Published phone: 0960714726,https://pdl.lk/,
phone,pass,Published phone: +94 11 254 4328 ,https://pdl.lk/,
phone,pass,Published phone: 0554046599,https://pdl.lk/,
phone,pass,Published phone: 0995162852,https://pdl.lk/,
phone,pass,Published phone: 0520803613,https://pdl.lk/,
phone,pass,Published phone: 0994364209,https://pdl.lk/,
phone,pass,Published phone: 0529455430,https://pdl.lk/,
phone,pass,Published phone: 0009278922,https://pdl.lk/,
phone,pass,Published phone: 0325104747,https://pdl.lk/,
phone,pass,Published phone: 0056018839,https://pdl.lk/,
phone,pass,Published phone: ++94 11 254 4328,https://pdl.lk/,
phone,pass,Published phone: 0554100819,https://pdl.lk/,
email,pass,Published email: pdlhrm@sltnet.lk,https://pdl.lk/,
postal_address,pass,"Published postal address: .address-item:hover .address-icon{ background: #006634 !important; } .nav ul ul.sub-menu> li:first-child, blockquote{ bo",https://pdl.lk/,
phone,pass,Published phone: +94 11 254 4328 ,https://pdl.lk/services/,
phone,pass,Published phone: 0994364209,https://pdl.lk/services/,
phone,pass,Published phone: 0011195964,https://pdl.lk/services/,
phone,pass,Published phone: ++94 11 254 4328,https://pdl.lk/services/,
phone,pass,Published phone: 0914377267,https://pdl.lk/services/,
email,pass,Published email: pdlhrm@sltnet.lk,https://pdl.lk/services/,
postal_address,pass,"Published postal address: .address-item:hover .address-icon{ background: #006634 !important; } .nav ul ul.sub-menu> li:first-child, blockquote{ bo",https://pdl.lk/services/,
phone,pass,Published phone: +94 11 2544328 ,https://pdl.lk/contact-us/,
phone,pass,Published phone: +94 11 2544329 ,https://pdl.lk/contact-us/,
phone,pass,Published phone: +94 11 254 4328 ,https://pdl.lk/contact-us/,
phone,pass,Published phone: 0838805328,https://pdl.lk/contact-us/,
phone,pass,Published phone: +94 11 2380949 ,https://pdl.lk/contact-us/,
phone,pass,Published phone: +94 11 2544330 ,https://pdl.lk/contact-us/,
phone,pass,Published phone: +94 11 2326922,https://pdl.lk/contact-us/,
phone,pass,Published phone: +94 11 2448549,https://pdl.lk/contact-us/,
phone,pass,Published phone: +94 11 2544332 ,https://pdl.lk/contact-us/,
phone,pass,Published phone: ++94 11 254 4328,https://pdl.lk/contact-us/,
phone,pass,Published phone: +94 11 2541113 ,https://pdl.lk/contact-us/,
email,pass,Published email: pdleng@sltnet.lk,https://pdl.lk/contact-us/,
email,pass,Published email: pdlhrm@sltnet.lk,https://pdl.lk/contact-us/,
email,pass,Published email: pdlfin@sltnet.lk,https://pdl.lk/contact-us/,
email,pass,Published email: pdlceo@sltnet.lk,https://pdl.lk/contact-us/,
postal_address,pass,"Published postal address: .address-item:hover .address-icon{ background: #006634 !important; } .nav ul ul.sub-menu> li:first-child, blockquote{ bo",https://pdl.lk/contact-us/,
phone,pass,Published phone: 0139637609,https://pdl.lk/about-company/,
phone,pass,Published phone: 0011185134,https://pdl.lk/about-company/,
phone,pass,Published phone: +94 11 254 4328 ,https://pdl.lk/about-company/,
phone,pass,Published phone: 0011182352,https://pdl.lk/about-company/,
phone,pass,Published phone: 0035837561,https://pdl.lk/about-company/,
phone,pass,Published phone: ++94 11 254 4328,https://pdl.lk/about-company/,
email,pass,Published email: pdlhrm@sltnet.lk,https://pdl.lk/about-company/,
postal_address,pass,"Published postal address: .address-item:hover .address-icon{ background: #006634 !important; } .nav ul ul.sub-menu> li:first-child, blockquote{ bo",https://pdl.lk/about-company/,
named_responsibility,pass,Published named responsibility: director,https://pdl.lk/about-company/,
fees_and_payment,pass,Published fees and payment: Rs. 660,https://pdl.lk/about-company/,
phone,pass,Published phone: +94 11 254 4328 ,https://pdl.lk/our-team/,
phone,pass,Published phone: 0011109701,https://pdl.lk/our-team/,
phone,pass,Published phone: ++94 11 254 4328,https://pdl.lk/our-team/,
email,pass,Published email: pdlhrm@sltnet.lk,https://pdl.lk/our-team/,
postal_address,pass,"Published postal address: .address-item:hover .address-icon{ background: #006634 !important; } .nav ul ul.sub-menu> li:first-child, blockquote{ bo",https://pdl.lk/our-team/,
named_responsibility,pass,Published named responsibility: director,https://pdl.lk/our-team/,
phone,pass,Published phone: +94 11 254 4328 ,https://pdl.lk/gallery/,
