check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:07:59.806199+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:07:59.806218+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:07:59.869045+05:30
http,pass,Probe 1: HTTP 200 at https://rti.gov.lk/,https://rti.gov.lk/,2026-09-09T00:08:13.081874+05:30
http,pass,Probe 2: HTTP 200 at http://rti.gov.lk/,http://rti.gov.lk/,2026-09-09T00:08:13.081897+05:30
http,pass,Probe 3: HTTP 200 at https://rti.gov.lk/,https://rti.gov.lk/,2026-09-09T00:08:13.081900+05:30
http,pass,Probe 4: HTTP 200 at http://rti.gov.lk/,http://rti.gov.lk/,2026-09-09T00:08:13.081903+05:30
http,pass,Probe 5: HTTP 200 at http://rti.gov.lk/contact-info/,http://rti.gov.lk/contact-info/,2026-09-09T00:08:13.081905+05:30
http,pass,Probe 6: HTTP 200 at http://rti.gov.lk/do-list/,http://rti.gov.lk/do-list/,2026-09-09T00:08:13.081908+05:30
http,pass,Probe 7: HTTP 200 at http://rti.gov.lk/io-list/,http://rti.gov.lk/io-list/,2026-09-09T00:08:13.081910+05:30
http,pass,Probe 8: HTTP 200 at http://rti.gov.lk/rti-unit/,http://rti.gov.lk/rti-unit/,2026-09-09T00:08:13.081913+05:30
http,pass,Probe 9: HTTP 200 at http://rti.gov.lk/rti-forms/,http://rti.gov.lk/rti-forms/,2026-09-09T00:08:13.081915+05:30
http,pass,Probe 10: HTTP 200 at http://rti.gov.lk/media/,http://rti.gov.lk/media/,2026-09-09T00:08:13.081918+05:30
http,pass,Probe 11: HTTP 200 at http://rti.gov.lk/news-and-articles/,http://rti.gov.lk/news-and-articles/,2026-09-09T00:08:13.081920+05:30
http,pass,Probe 12: HTTP 200 at http://rti.gov.lk/faq/,http://rti.gov.lk/faq/,2026-09-09T00:08:13.081923+05:30
http,pass,Probe 13: HTTP 200 at http://rti.gov.lk/checkout/,http://rti.gov.lk/checkout/,2026-09-09T00:08:13.081926+05:30
http,pass,Probe 14: HTTP 200 at http://rti.gov.lk/my-account/,http://rti.gov.lk/my-account/,2026-09-09T00:08:13.081928+05:30
phone,pass,Published phone: 0 221 -36 32 -10,https://rti.gov.lk/,
phone,pass,Published phone: 095 -270 -1585 -,https://rti.gov.lk/,
phone,pass,Published phone: 0 273 275 326 ,https://rti.gov.lk/,
phone,pass,Published phone: 0 45 -18 66 -18 5,https://rti.gov.lk/,
phone,pass,Published phone: 0 202 137 225 ,https://rti.gov.lk/,
phone,pass,Published phone: 07 132 -981 25 -,https://rti.gov.lk/,
phone,pass,Published phone: 0 123 61 2 0 -10 -,https://rti.gov.lk/,
phone,pass,Published phone: 0 14 -18 113 -40 ,https://rti.gov.lk/,
phone,pass,Published phone: 0 107 52 107 1,https://rti.gov.lk/,
phone,pass,Published phone: 0 -263 -110 -324 -,https://rti.gov.lk/,
phone,pass,Published phone: 08 -262 593 -44,https://rti.gov.lk/,
phone,pass,Published phone: +94 112 515700 ,https://rti.gov.lk/,
phone,pass,Published phone: 0 0 70 -86 122 -1,https://rti.gov.lk/,
phone,pass,Published phone: 0 76 -36 113 -56,https://rti.gov.lk/,
phone,pass,Published phone: 06 314 -532 46,https://rti.gov.lk/,
phone,pass,Published phone: 0 36 67 87 -16 2,https://rti.gov.lk/,
phone,pass,Published phone: 0 -38 163 -166 3,https://rti.gov.lk/,
phone,pass,Published phone: 0 -13 -295 52 -53 ,https://rti.gov.lk/,
phone,pass,Published phone: 07 990 -497 24,https://rti.gov.lk/,
phone,pass,Published phone: 00 -5 -401 -72 -25,https://rti.gov.lk/,
phone,pass,Published phone: 0 15 31 17 60 1,https://rti.gov.lk/,
phone,pass,Published phone: 0 114 -284 457 -,https://rti.gov.lk/,
phone,pass,Published phone: 03 122 121 25,https://rti.gov.lk/,
phone,pass,Published phone: 0 -98 131 -148 1,https://rti.gov.lk/,
phone,pass,Published phone: 0 -86 209 -89 21,https://rti.gov.lk/,
phone,pass,Published phone: 0 128 143 306 ,https://rti.gov.lk/,
phone,pass,Published phone: 0 -42 -48 -48 -103 -,https://rti.gov.lk/,
phone,pass,Published phone: 04 -459 -423 -48,https://rti.gov.lk/,
phone,pass,Published phone: 0 -16 -233 -242 -3,https://rti.gov.lk/,
phone,pass,Published phone: 0 27 69 37 214 ,https://rti.gov.lk/,
phone,pass,Published phone: 0 -107 -173 -107 -,https://rti.gov.lk/,
phone,pass,Published phone: 01 -76 -368 -76 -1,https://rti.gov.lk/,
phone,pass,Published phone: 045 392 1455 ,https://rti.gov.lk/,
phone,pass,Published phone: 0 -241 119 -326 ,https://rti.gov.lk/,
phone,pass,Published phone: 0 126 -108 162 -,https://rti.gov.lk/,
phone,pass,Published phone: 0 174 -41 79 -30,https://rti.gov.lk/,
phone,pass,Published phone: 06 731 -260 98 ,https://rti.gov.lk/,
phone,pass,Published phone: 04 19 -94 39 -18,https://rti.gov.lk/,
phone,pass,Published phone: 0 14 -50 54 -80 1,https://rti.gov.lk/,
phone,pass,Published phone: 0 -190 -395 -379 -,https://rti.gov.lk/,
phone,pass,Published phone: 02 0 -56 133 -37,https://rti.gov.lk/,
phone,pass,Published phone: 0 16 31 87 366 ,https://rti.gov.lk/,
phone,pass,Published phone: 0 -96 -229 -47 -21,https://rti.gov.lk/,
phone,pass,Published phone: 0 -55 33 -94 87 -1,https://rti.gov.lk/,
phone,pass,Published phone: 04 -326 360 -67 ,https://rti.gov.lk/,
phone,pass,Published phone: 00 0 39 -1 41 -12,https://rti.gov.lk/,
phone,pass,Published phone: 0 -80 34 0 48 6 7,https://rti.gov.lk/,
phone,pass,Published phone: 0 -946 591 -147,https://rti.gov.lk/,
phone,pass,Published phone: 0 -124 456 -258 ,https://rti.gov.lk/,
phone,pass,Published phone: 0 -319 -155 -123 -,https://rti.gov.lk/,
phone,pass,Published phone: +94 112 515701 ,https://rti.gov.lk/,
phone,pass,Published phone: 0 -211 15 -242 3,https://rti.gov.lk/,
phone,pass,Published phone: 0 -236 14 -368 7,https://rti.gov.lk/,
phone,pass,Published phone: 09 -223 -461 -29,https://rti.gov.lk/,
phone,pass,Published phone: 0 -74 310 0 370 ,https://rti.gov.lk/,
phone,pass,Published phone: 0 29 -41 0 -53 -5 -7,https://rti.gov.lk/,
phone,pass,Published phone: 0 -12 -29 -10 -49 2,https://rti.gov.lk/,
phone,pass,Published phone: 084 153 49 29,https://rti.gov.lk/,
phone,pass,Published phone: 04 67 -13 90 8 2,https://rti.gov.lk/,
phone,pass,Published phone: 0 -58 -105 -190 -1,https://rti.gov.lk/,
phone,pass,Published phone: 0 30 -99 39 -137 ,https://rti.gov.lk/,
phone,pass,Published phone: 08 97 206 80 1,https://rti.gov.lk/,
email,pass,Published email: rtiunitsl@gmail.com,https://rti.gov.lk/,
email,pass,Published email: rti@media.gov.lk,https://rti.gov.lk/,
postal_address,pass,"Published postal address: 163, Asidisi Medura, Kirulapone Mawatha, Polhengoda, Colombo 05, Sri Lanka RTI 10 Steps Process New Email Please copy (C",https://rti.gov.lk/,
phone,pass,Published phone: 0 221 -36 32 -10,http://rti.gov.lk/,
phone,pass,Published phone: 095 -270 -1585 -,http://rti.gov.lk/,
phone,pass,Published phone: 0 273 275 326 ,http://rti.gov.lk/,
phone,pass,Published phone: 0 45 -18 66 -18 5,http://rti.gov.lk/,
phone,pass,Published phone: 0 202 137 225 ,http://rti.gov.lk/,
phone,pass,Published phone: 07 132 -981 25 -,http://rti.gov.lk/,
phone,pass,Published phone: 0 123 61 2 0 -10 -,http://rti.gov.lk/,
phone,pass,Published phone: 0 14 -18 113 -40 ,http://rti.gov.lk/,
phone,pass,Published phone: 0 107 52 107 1,http://rti.gov.lk/,
phone,pass,Published phone: 0 -263 -110 -324 -,http://rti.gov.lk/,
phone,pass,Published phone: 08 -262 593 -44,http://rti.gov.lk/,
phone,pass,Published phone: +94 112 515700 ,http://rti.gov.lk/,
phone,pass,Published phone: 0 0 70 -86 122 -1,http://rti.gov.lk/,
phone,pass,Published phone: 0 76 -36 113 -56,http://rti.gov.lk/,
phone,pass,Published phone: 06 314 -532 46,http://rti.gov.lk/,
phone,pass,Published phone: 0 36 67 87 -16 2,http://rti.gov.lk/,
phone,pass,Published phone: 0 -38 163 -166 3,http://rti.gov.lk/,
phone,pass,Published phone: 0 -13 -295 52 -53 ,http://rti.gov.lk/,
phone,pass,Published phone: 07 990 -497 24,http://rti.gov.lk/,
phone,pass,Published phone: 00 -5 -401 -72 -25,http://rti.gov.lk/,
phone,pass,Published phone: 0 15 31 17 60 1,http://rti.gov.lk/,
phone,pass,Published phone: 0 114 -284 457 -,http://rti.gov.lk/,
phone,pass,Published phone: 03 122 121 25,http://rti.gov.lk/,
phone,pass,Published phone: 0 -98 131 -148 1,http://rti.gov.lk/,
phone,pass,Published phone: 0 -86 209 -89 21,http://rti.gov.lk/,
phone,pass,Published phone: 0 128 143 306 ,http://rti.gov.lk/,
phone,pass,Published phone: 0 -42 -48 -48 -103 -,http://rti.gov.lk/,
phone,pass,Published phone: 04 -459 -423 -48,http://rti.gov.lk/,
phone,pass,Published phone: 0 -16 -233 -242 -3,http://rti.gov.lk/,
phone,pass,Published phone: 0 27 69 37 214 ,http://rti.gov.lk/,
phone,pass,Published phone: 0 -107 -173 -107 -,http://rti.gov.lk/,
phone,pass,Published phone: 01 -76 -368 -76 -1,http://rti.gov.lk/,
phone,pass,Published phone: 045 392 1455 ,http://rti.gov.lk/,
phone,pass,Published phone: 0 -241 119 -326 ,http://rti.gov.lk/,
phone,pass,Published phone: 0 126 -108 162 -,http://rti.gov.lk/,
phone,pass,Published phone: 0 174 -41 79 -30,http://rti.gov.lk/,
phone,pass,Published phone: 06 731 -260 98 ,http://rti.gov.lk/,
phone,pass,Published phone: 04 19 -94 39 -18,http://rti.gov.lk/,
phone,pass,Published phone: 0 14 -50 54 -80 1,http://rti.gov.lk/,
phone,pass,Published phone: 0 -190 -395 -379 -,http://rti.gov.lk/,
phone,pass,Published phone: 02 0 -56 133 -37,http://rti.gov.lk/,
phone,pass,Published phone: 0 16 31 87 366 ,http://rti.gov.lk/,
phone,pass,Published phone: 0 -96 -229 -47 -21,http://rti.gov.lk/,
phone,pass,Published phone: 0 -55 33 -94 87 -1,http://rti.gov.lk/,
phone,pass,Published phone: 04 -326 360 -67 ,http://rti.gov.lk/,
phone,pass,Published phone: 00 0 39 -1 41 -12,http://rti.gov.lk/,
phone,pass,Published phone: 0 -80 34 0 48 6 7,http://rti.gov.lk/,
phone,pass,Published phone: 0 -946 591 -147,http://rti.gov.lk/,
phone,pass,Published phone: 0 -124 456 -258 ,http://rti.gov.lk/,
phone,pass,Published phone: 0 -319 -155 -123 -,http://rti.gov.lk/,
phone,pass,Published phone: +94 112 515701 ,http://rti.gov.lk/,
phone,pass,Published phone: 0 -211 15 -242 3,http://rti.gov.lk/,
phone,pass,Published phone: 0 -236 14 -368 7,http://rti.gov.lk/,
phone,pass,Published phone: 09 -223 -461 -29,http://rti.gov.lk/,
phone,pass,Published phone: 0 -74 310 0 370 ,http://rti.gov.lk/,
