check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:33:48.310172+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:33:48.310191+05:30
tls_expired,fail,TLS certificate has expired,,2026-09-08T23:33:48.336792+05:30
tls_browser_error,fail,Probe 1: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1032),https://siyanencoe.sch.lk/,2026-09-08T23:34:03.054588+05:30
http,pass,Probe 2: HTTP 200 at http://siyanencoe.sch.lk/,http://siyanencoe.sch.lk/,2026-09-08T23:34:03.054613+05:30
tls_browser_error,fail,Probe 3: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1032),https://siyanencoe.sch.lk/,2026-09-08T23:34:03.054617+05:30
http,pass,Probe 4: HTTP 200 at http://siyanencoe.sch.lk/,http://siyanencoe.sch.lk/,2026-09-08T23:34:03.054620+05:30
http,pass,Probe 5: HTTP 200 at http://siyanencoe.sch.lk/contact_us.html,http://siyanencoe.sch.lk/contact_us.html,2026-09-08T23:34:03.054623+05:30
http,pass,Probe 6: HTTP 200 at http://siyanencoe.sch.lk/index.html,http://siyanencoe.sch.lk/index.html,2026-09-08T23:34:03.054626+05:30
http,pass,Probe 7: HTTP 200 at http://siyanencoe.sch.lk/about_us.html,http://siyanencoe.sch.lk/about_us.html,2026-09-08T23:34:03.054629+05:30
http,pass,Probe 8: HTTP 200 at http://siyanencoe.sch.lk/academic_staff.html,http://siyanencoe.sch.lk/academic_staff.html,2026-09-08T23:34:03.054631+05:30
http,pass,Probe 9: HTTP 200 at http://siyanencoe.sch.lk/siyane_life.html,http://siyanencoe.sch.lk/siyane_life.html,2026-09-08T23:34:03.054634+05:30
http,pass,Probe 10: HTTP 200 at http://siyanencoe.sch.lk/mathematics.html,http://siyanencoe.sch.lk/mathematics.html,2026-09-08T23:34:03.054637+05:30
http,pass,Probe 11: HTTP 200 at http://siyanencoe.sch.lk/gallery.html,http://siyanencoe.sch.lk/gallery.html,2026-09-08T23:34:03.054639+05:30
http,pass,Probe 12: HTTP 200 at http://siyanencoe.sch.lk/news.html,http://siyanencoe.sch.lk/news.html,2026-09-08T23:34:03.054642+05:30
http,pass,Probe 13: HTTP 200 at http://siyanencoe.sch.lk/results.html,http://siyanencoe.sch.lk/results.html,2026-09-08T23:34:03.054645+05:30
http,pass,Probe 14: HTTP 200 at http://siyanencoe.sch.lk/societies/buddhist_society.html,http://siyanencoe.sch.lk/societies/buddhist_society.html,2026-09-08T23:34:03.054647+05:30
phone,pass,Published phone: +94332287213 ,http://siyanencoe.sch.lk/,
phone,pass,Published phone: +94333832157 ,http://siyanencoe.sch.lk/,
phone,pass,Published phone: +94333832156 ,http://siyanencoe.sch.lk/,
phone,pass,Published phone: +94332287587 ,http://siyanencoe.sch.lk/,
published_update_date,fail,Published published update date: 01/08/2020,http://siyanencoe.sch.lk/,
phone,pass,Published phone: +94332287213 ,http://siyanencoe.sch.lk/,
phone,pass,Published phone: +94333832157 ,http://siyanencoe.sch.lk/,
phone,pass,Published phone: +94333832156 ,http://siyanencoe.sch.lk/,
phone,pass,Published phone: +94332287587 ,http://siyanencoe.sch.lk/,
published_update_date,fail,Published published update date: 01/08/2020,http://siyanencoe.sch.lk/,
phone,pass,Published phone: +94332287213 ,http://siyanencoe.sch.lk/contact_us.html,
phone,pass,Published phone: +94333832157 ,http://siyanencoe.sch.lk/contact_us.html,
phone,pass,Published phone: +94333832156 ,http://siyanencoe.sch.lk/contact_us.html,
phone,pass,Published phone: +94332287587 ,http://siyanencoe.sch.lk/contact_us.html,
phone,pass,Published phone: +94332287213 ,http://siyanencoe.sch.lk/index.html,
phone,pass,Published phone: +94333832157 ,http://siyanencoe.sch.lk/index.html,
phone,pass,Published phone: +94333832156 ,http://siyanencoe.sch.lk/index.html,
phone,pass,Published phone: +94332287587 ,http://siyanencoe.sch.lk/index.html,
published_update_date,fail,Published published update date: 01/08/2020,http://siyanencoe.sch.lk/index.html,
legal_basis,pass,Published legal basis: gazette,http://siyanencoe.sch.lk/about_us.html,
email,pass,Published email: premalalranjan@gmail.com,http://siyanencoe.sch.lk/academic_staff.html,
email,pass,Published email: induweerakkody96@gmail.com,http://siyanencoe.sch.lk/academic_staff.html,
email,pass,Published email: mallawa8@gmail.com,http://siyanencoe.sch.lk/academic_staff.html,
email,pass,Published email: seerajaguru@gmail.com,http://siyanencoe.sch.lk/academic_staff.html,
named_responsibility,pass,Published named responsibility: division,http://siyanencoe.sch.lk/academic_staff.html,
named_responsibility,pass,Published named responsibility: department,http://siyanencoe.sch.lk/mathematics.html,
page_text,pass,Substantive page content: 5913 visible characters across 12 pages,http://siyanencoe.sch.lk/,
