check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:34:31.154973+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:34:31.154996+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:34:31.733888+05:30
http,pass,Probe 1: HTTP 200 at https://slncu.lk/,https://slncu.lk/,2026-09-08T23:35:03.206930+05:30
http,pass,Probe 2: HTTP 200 at https://slncu.lk/,http://slncu.lk/,2026-09-08T23:35:03.206957+05:30
http,pass,Probe 3: HTTP 200 at https://slncu.lk/,https://slncu.lk/,2026-09-08T23:35:03.206960+05:30
http,pass,Probe 4: HTTP 200 at https://slncu.lk/,http://slncu.lk/,2026-09-08T23:35:03.206964+05:30
http,pass,Probe 5: HTTP 200 at https://slncu.lk/contact-us/,https://slncu.lk/contact-us/,2026-09-08T23:35:03.206967+05:30
http,pass,Probe 6: HTTP 200 at https://slncu.lk/si/home-si/,https://slncu.lk/si/home-si/,2026-09-08T23:35:03.206969+05:30
http,pass,Probe 7: HTTP 200 at https://slncu.lk/ta/home-ta/,https://slncu.lk/ta/home-ta/,2026-09-08T23:35:03.206972+05:30
http,pass,Probe 8: HTTP 200 at https://slncu.lk/about-us/our-role/,https://slncu.lk/about-us/our-role/,2026-09-08T23:35:03.206975+05:30
http,pass,Probe 9: HTTP 200 at https://slncu.lk/about-us/about-unesco/,https://slncu.lk/about-us/about-unesco/,2026-09-08T23:35:03.207041+05:30
http,pass,Probe 10: HTTP 200 at https://slncu.lk/about-us/our-team/,https://slncu.lk/about-us/our-team/,2026-09-08T23:35:03.207046+05:30
http,pass,Probe 11: HTTP 200 at https://slncu.lk/partnerships-networks/heritage-sites/,https://slncu.lk/partnerships-networks/heritage-sites/,2026-09-08T23:35:03.207049+05:30
http,pass,Probe 12: HTTP 200 at https://slncu.lk/partnerships-networks/heritage-sites/anuradhapura/,https://slncu.lk/partnerships-networks/heritage-sites/anuradhapura/,2026-09-08T23:35:03.207053+05:30
http,pass,Probe 13: HTTP 200 at https://slncu.lk/partnerships-networks/heritage-sites/polonnaruwa/,https://slncu.lk/partnerships-networks/heritage-sites/polonnaruwa/,2026-09-08T23:35:03.207056+05:30
http,pass,Probe 14: HTTP 200 at https://slncu.lk/partnerships-networks/heritage-sites/sigiriya/,https://slncu.lk/partnerships-networks/heritage-sites/sigiriya/,2026-09-08T23:35:03.207058+05:30
phone,pass,Published phone: +9411217007,https://slncu.lk/,
email,pass,Published email: slncu@slt.lk,https://slncu.lk/,
postal_address,pass,Published postal address: Leave this field empty if you're human: Facebook Instagram Twitter Linkedin Copyright © 2025 Sri Lanka National Commissi,https://slncu.lk/,
phone,pass,Published phone: +9411217007,https://slncu.lk/,
email,pass,Published email: slncu@slt.lk,https://slncu.lk/,
postal_address,pass,Published postal address: Leave this field empty if you're human: Facebook Instagram Twitter Linkedin Copyright © 2025 Sri Lanka National Commissi,https://slncu.lk/,
phone,pass,Published phone: +9411217007,https://slncu.lk/,
email,pass,Published email: slncu@slt.lk,https://slncu.lk/,
