check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:01:18.795273+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:01:18.795291+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:01:18.910036+05:30
http,pass,Probe 1: HTTP 200 at https://slsi.lk/en/,https://slsi.lk/,2026-09-09T00:01:43.928313+05:30
http,pass,Probe 2: HTTP 200 at https://slsi.lk/en/,http://slsi.lk/,2026-09-09T00:01:43.928338+05:30
http,pass,Probe 3: HTTP 200 at https://slsi.lk/en/,https://slsi.lk/,2026-09-09T00:01:43.928342+05:30
http,pass,Probe 4: HTTP 200 at https://slsi.lk/en/,http://slsi.lk/,2026-09-09T00:01:43.928346+05:30
http,pass,Probe 5: HTTP 200 at https://slsi.lk/en/about-us/divisions/scientific-standardization/,https://slsi.lk/en/about-us/divisions/scientific-standardization/,2026-09-09T00:01:43.928349+05:30
http,pass,Probe 6: HTTP 200 at https://slsi.lk/en/about-us/divisions/engineering-standardization/,https://slsi.lk/en/about-us/divisions/engineering-standardization/,2026-09-09T00:01:43.928352+05:30
http,pass,Probe 7: HTTP 200 at https://slsi.lk/en/about-us/divisions/product-certification/,https://slsi.lk/en/about-us/divisions/product-certification/,2026-09-09T00:01:43.928355+05:30
http,pass,Probe 8: HTTP 200 at https://slsi.lk/en/about-us/divisions/quality-assurance/,https://slsi.lk/en/about-us/divisions/quality-assurance/,2026-09-09T00:01:43.928358+05:30
http,pass,Probe 9: HTTP 200 at https://slsi.lk/en/about-us/divisions/metrology/,https://slsi.lk/en/about-us/divisions/metrology/,2026-09-09T00:01:43.928361+05:30
http,pass,Probe 10: HTTP 200 at https://slsi.lk/en/about-us/divisions/laboratory-services/,https://slsi.lk/en/about-us/divisions/laboratory-services/,2026-09-09T00:01:43.928364+05:30
http,pass,Probe 11: HTTP 200 at https://slsi.lk/en/about-us/divisions/systems-certification-division/,https://slsi.lk/en/about-us/divisions/systems-certification-division/,2026-09-09T00:01:43.928368+05:30
http,pass,Probe 12: HTTP 200 at https://slsi.lk/en/about-us/divisions/training/,https://slsi.lk/en/about-us/divisions/training/,2026-09-09T00:01:43.928371+05:30
http,pass,Probe 13: HTTP 200 at https://slsi.lk/en/about-us/divisions/documentation-and-information/,https://slsi.lk/en/about-us/divisions/documentation-and-information/,2026-09-09T00:01:43.928373+05:30
http,pass,Probe 14: HTTP 200 at https://slsi.lk/en/about-us/divisions/standards-services-promotion/,https://slsi.lk/en/about-us/divisions/standards-services-promotion/,2026-09-09T00:01:43.928377+05:30
phone,pass,Published phone: 0.59 15.59 7 17 ,https://slsi.lk/en/,
phone,pass,Published phone: +94 112 019 600 ,https://slsi.lk/en/,
phone,pass,Published phone: 0.59 6.41 5 5 6.4,https://slsi.lk/en/,
phone,pass,Published phone: 0.59 12 7 8.41 8.,https://slsi.lk/en/,
phone,pass,Published phone: 01-.91 7-4.49 7-8.,https://slsi.lk/en/,
phone,pass,Published phone: 0112019600,https://slsi.lk/en/,
phone,pass,Published phone: 0 10 10 10-4.47 ,https://slsi.lk/en/,
phone,pass,Published phone: 0-1.77-1.02-3.29-,https://slsi.lk/en/,
