check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:29:46.768467+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:29:46.768486+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:29:46.807658+05:30
http,pass,Probe 1: HTTP 200 at https://spc.cmb.ac.lk/,https://spc.cmb.ac.lk/,2026-09-08T23:30:04.345635+05:30
http,pass,Probe 2: HTTP 200 at https://spc.cmb.ac.lk/,http://spc.cmb.ac.lk/,2026-09-08T23:30:04.345659+05:30
http,pass,Probe 3: HTTP 200 at https://spc.cmb.ac.lk/,https://spc.cmb.ac.lk/,2026-09-08T23:30:04.345662+05:30
http,pass,Probe 4: HTTP 200 at https://spc.cmb.ac.lk/,http://spc.cmb.ac.lk/,2026-09-08T23:30:04.345665+05:30
http,pass,Probe 5: HTTP 200 at https://spc.cmb.ac.lk/about-us/contact-us/,https://spc.cmb.ac.lk/about-us/contact-us/,2026-09-08T23:30:04.345668+05:30
http,pass,Probe 6: HTTP 200 at https://spc.cmb.ac.lk/admin-services/,https://spc.cmb.ac.lk/admin-services/,2026-09-08T23:30:04.345671+05:30
http,pass,Probe 7: HTTP 200 at https://spc.cmb.ac.lk/academic-divisions/,https://spc.cmb.ac.lk/academic-divisions/,2026-09-08T23:30:04.345674+05:30
http,pass,Probe 8: HTTP 200 at https://spc.cmb.ac.lk/academic-divisions/mass_media/,https://spc.cmb.ac.lk/academic-divisions/mass_media/,2026-09-08T23:30:04.345677+05:30
http,pass,Probe 9: HTTP 200 at https://spc.cmb.ac.lk/academic-divisions/mass_media/internship-programm/,https://spc.cmb.ac.lk/academic-divisions/mass_media/internship-programm/,2026-09-08T23:30:04.345679+05:30
http,pass,Probe 10: HTTP 200 at https://spc.cmb.ac.lk/academic-divisions/department-of-performing-arts/,https://spc.cmb.ac.lk/academic-divisions/department-of-performing-arts/,2026-09-08T23:30:04.345682+05:30
http,pass,Probe 11: HTTP 200 at https://spc.cmb.ac.lk/academic-divisions/department-of-computer-studies/,https://spc.cmb.ac.lk/academic-divisions/department-of-computer-studies/,2026-09-08T23:30:04.345685+05:30
http,pass,Probe 12: HTTP 200 at https://spc.cmb.ac.lk/alumni/,https://spc.cmb.ac.lk/alumni/,2026-09-08T23:30:04.345688+05:30
http,pass,Probe 13: HTTP 200 at https://spc.cmb.ac.lk/staff-3/,https://spc.cmb.ac.lk/index.php/staff-3/,2026-09-08T23:30:04.345690+05:30
http,pass,Probe 14: HTTP 200 at https://spc.cmb.ac.lk/iqac/,https://spc.cmb.ac.lk/index.php/iqac/,2026-09-08T23:30:04.345692+05:30
named_responsibility,pass,Published named responsibility: division,https://spc.cmb.ac.lk/,
named_responsibility,pass,Published named responsibility: division,https://spc.cmb.ac.lk/,
named_responsibility,pass,Published named responsibility: division,https://spc.cmb.ac.lk/,
named_responsibility,pass,Published named responsibility: division,https://spc.cmb.ac.lk/,
phone,pass,Published phone: +94)34-2261371 ,https://spc.cmb.ac.lk/about-us/contact-us/,
phone,pass,Published phone: +94)34-2263617 ,https://spc.cmb.ac.lk/about-us/contact-us/,
phone,pass,Published phone: +94)34-2265527 ,https://spc.cmb.ac.lk/about-us/contact-us/,
phone,pass,Published phone: +94)34-2261797 ,https://spc.cmb.ac.lk/about-us/contact-us/,
phone,pass,Published phone: +94 (34) 2265553 ,https://spc.cmb.ac.lk/about-us/contact-us/,
phone,pass,Published phone: +94)34-2261358 ,https://spc.cmb.ac.lk/about-us/contact-us/,
phone,pass,Published phone: +94)34-2263616 ,https://spc.cmb.ac.lk/about-us/contact-us/,
phone,pass,Published phone: +94)34-3744245 ,https://spc.cmb.ac.lk/about-us/contact-us/,
phone,pass,Published phone: +94 (34) 2261371,https://spc.cmb.ac.lk/about-us/contact-us/,
phone,pass,Published phone: +94)342261372 ,https://spc.cmb.ac.lk/about-us/contact-us/,
phone,pass,Published phone: +94)34-2263516 ,https://spc.cmb.ac.lk/about-us/contact-us/,
email,pass,Published email: engineer@spc.cmb.ac.lk,https://spc.cmb.ac.lk/about-us/contact-us/,
email,pass,Published email: dilan@spc.cmb.ac.lk,https://spc.cmb.ac.lk/about-us/contact-us/,
email,pass,Published email: udari@spc.cmb.ac.lk,https://spc.cmb.ac.lk/about-us/contact-us/,
email,pass,Published email: ab@spc.cmb.ac.lk,https://spc.cmb.ac.lk/about-us/contact-us/,
email,pass,Published email: wathsala@spc.cmb.ac.lk,https://spc.cmb.ac.lk/about-us/contact-us/,
email,pass,Published email: sripalee@spc.cmb.ac.lk,https://spc.cmb.ac.lk/about-us/contact-us/,
email,pass,Published email: sugath@spc.cmb.ac.lk,https://spc.cmb.ac.lk/about-us/contact-us/,
email,pass,Published email: pujitha@spc.cmb.ac.lk,https://spc.cmb.ac.lk/about-us/contact-us/,
email,pass,Published email: ar@spc.cmb.ac.lk,https://spc.cmb.ac.lk/about-us/contact-us/,
email,pass,Published email: sab@spc.cmb.ac.lk,https://spc.cmb.ac.lk/about-us/contact-us/,
email,pass,Published email: rector@spc.cmb.ac.lk,https://spc.cmb.ac.lk/about-us/contact-us/,
email,pass,Published email: dr@spc.cmb.ac.lk,https://spc.cmb.ac.lk/about-us/contact-us/,
postal_address,pass,"Published postal address: Sri Palee Campus, University of Colombo, Wewala, Horana, Sri Lanka. Phone : +94 (34) 2261371, 2263616 Fax: +94 (34) 2265",https://spc.cmb.ac.lk/about-us/contact-us/,
named_responsibility,pass,Published named responsibility: division,https://spc.cmb.ac.lk/about-us/contact-us/,
named_responsibility,pass,Published named responsibility: division,https://spc.cmb.ac.lk/admin-services/,
named_responsibility,pass,Published named responsibility: division,https://spc.cmb.ac.lk/academic-divisions/,
named_responsibility,pass,Published named responsibility: division,https://spc.cmb.ac.lk/academic-divisions/mass_media/,
legal_basis,pass,Published legal basis: gazette,https://spc.cmb.ac.lk/academic-divisions/mass_media/,
named_responsibility,pass,Published named responsibility: division,https://spc.cmb.ac.lk/academic-divisions/mass_media/internship-programm/,
legal_basis,pass,Published legal basis: regulations,https://spc.cmb.ac.lk/academic-divisions/mass_media/internship-programm/,
named_responsibility,pass,Published named responsibility: division,https://spc.cmb.ac.lk/academic-divisions/department-of-performing-arts/,
named_responsibility,pass,Published named responsibility: division,https://spc.cmb.ac.lk/academic-divisions/department-of-computer-studies/,
named_responsibility,pass,Published named responsibility: division,https://spc.cmb.ac.lk/alumni/,
named_responsibility,pass,Published named responsibility: division,https://spc.cmb.ac.lk/staff-3/,
named_responsibility,pass,Published named responsibility: division,https://spc.cmb.ac.lk/iqac/,
page_text,pass,Substantive page content: 4991 visible characters across 14 pages,https://spc.cmb.ac.lk/,
