check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:34:30.700480+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:34:30.700497+05:30
tls,error,[Errno 111] Connection refused,,2026-09-08T23:34:30.708659+05:30
http,error,Probe 1: [Errno 111] Connection refused,https://spclanka.gov.lk/,2026-09-08T23:34:43.806017+05:30
http,pass,Probe 2: HTTP 200 at http://spclanka.gov.lk/,http://spclanka.gov.lk/,2026-09-08T23:34:43.806043+05:30
http,error,Probe 3: [Errno 111] Connection refused,https://spclanka.gov.lk/,2026-09-08T23:34:43.806047+05:30
http,pass,Probe 4: HTTP 200 at http://spclanka.gov.lk/,http://spclanka.gov.lk/,2026-09-08T23:34:43.806050+05:30
http,pass,Probe 5: HTTP 200 at http://spclanka.gov.lk/HeadOffice.php,http://spclanka.gov.lk/HeadOffice.php,2026-09-08T23:34:43.806054+05:30
http,pass,Probe 6: HTTP 200 at http://spclanka.gov.lk/divisions/securityPrinting.php,http://spclanka.gov.lk/divisions/securityPrinting.php,2026-09-08T23:34:43.806056+05:30
http,pass,Probe 7: HTTP 200 at http://spclanka.gov.lk/divisions/digitalprinting.php,http://spclanka.gov.lk/divisions/digitalprinting.php,2026-09-08T23:34:43.806059+05:30
http,pass,Probe 8: HTTP 200 at http://spclanka.gov.lk/divisions/lithoPrintinng.php,http://spclanka.gov.lk/divisions/lithoPrintinng.php,2026-09-08T23:34:43.806062+05:30
http,pass,Probe 9: HTTP 200 at http://spclanka.gov.lk/divisions/prePress.php,http://spclanka.gov.lk/divisions/prePress.php,2026-09-08T23:34:43.806064+05:30
http,pass,Probe 10: HTTP 200 at http://spclanka.gov.lk/divisions/binding.php,http://spclanka.gov.lk/divisions/binding.php,2026-09-08T23:34:43.806067+05:30
http,pass,Probe 11: HTTP 200 at http://spclanka.gov.lk/divisions/stationery.php,http://spclanka.gov.lk/divisions/stationery.php,2026-09-08T23:34:43.806080+05:30
http,pass,Probe 12: HTTP 200 at http://spclanka.gov.lk/divisions/finance.php,http://spclanka.gov.lk/divisions/finance.php,2026-09-08T23:34:43.806084+05:30
http,pass,Probe 13: HTTP 200 at http://spclanka.gov.lk/divisions/hr.php,http://spclanka.gov.lk/divisions/hr.php,2026-09-08T23:34:43.806087+05:30
http,pass,Probe 14: HTTP 200 at http://spclanka.gov.lk/divisions/marketing.php,http://spclanka.gov.lk/divisions/marketing.php,2026-09-08T23:34:43.806089+05:30
phone,pass,Published phone: 0112859308 ,http://spclanka.gov.lk/,
phone,pass,Published phone: 0112757505,http://spclanka.gov.lk/,
phone,pass,Published phone: 011-2757506 ,http://spclanka.gov.lk/,
email,pass,Published email: chairmanspc2022@gmail.com,http://spclanka.gov.lk/,
postal_address,pass,"Published postal address: Panaluwa,Watareka,Padukka Phone :0112757505, 0112859308 Fax 011-2757506 Email : chairmanspc2022@gmail.com Galarry © Copy",http://spclanka.gov.lk/,
named_responsibility,pass,Published named responsibility: director,http://spclanka.gov.lk/,
fees_and_payment,pass,Published fees and payment: rs. 24,http://spclanka.gov.lk/,
downloadable_form,pass,Published downloadable form: http://spclanka.gov.lk/download/SPC.pdf,http://spclanka.gov.lk/,
phone,pass,Published phone: 0112859308 ,http://spclanka.gov.lk/,
phone,pass,Published phone: 0112757505,http://spclanka.gov.lk/,
phone,pass,Published phone: 011-2757506 ,http://spclanka.gov.lk/,
email,pass,Published email: chairmanspc2022@gmail.com,http://spclanka.gov.lk/,
postal_address,pass,"Published postal address: Panaluwa,Watareka,Padukka Phone :0112757505, 0112859308 Fax 011-2757506 Email : chairmanspc2022@gmail.com Galarry © Copy",http://spclanka.gov.lk/,
named_responsibility,pass,Published named responsibility: director,http://spclanka.gov.lk/,
fees_and_payment,pass,Published fees and payment: rs. 24,http://spclanka.gov.lk/,
downloadable_form,pass,Published downloadable form: http://spclanka.gov.lk/download/SPC.pdf,http://spclanka.gov.lk/,
phone,pass,Published phone: 0112859308 ,http://spclanka.gov.lk/HeadOffice.php,
phone,pass,Published phone: 0112757505,http://spclanka.gov.lk/HeadOffice.php,
phone,pass,Published phone: 011-2757506 ,http://spclanka.gov.lk/HeadOffice.php,
email,pass,Published email: chairmanspc2022@gmail.com,http://spclanka.gov.lk/HeadOffice.php,
postal_address,pass,"Published postal address: Panaluwa,Watareka,Padukka Phone :0112757505, 0112859308 Fax 011-2757506 Email : chairmanspc2022@gmail.com Galarry © Copy",http://spclanka.gov.lk/HeadOffice.php,
named_responsibility,pass,Published named responsibility: director,http://spclanka.gov.lk/HeadOffice.php,
phone,pass,Published phone: 0112859308 ,http://spclanka.gov.lk/divisions/securityPrinting.php,
phone,pass,Published phone: 011-2757506 ,http://spclanka.gov.lk/divisions/securityPrinting.php,
phone,pass,Published phone: 0112757505,http://spclanka.gov.lk/divisions/securityPrinting.php,
phone,pass,Published phone: 0112830595 ,http://spclanka.gov.lk/divisions/securityPrinting.php,
email,pass,Published email: chairmanspc2022@gmail.com,http://spclanka.gov.lk/divisions/securityPrinting.php,
postal_address,pass,"Published postal address: Panaluwa,Watareka,Padukka Phone :0112830595 Email : Web : About Us The State printing corporation was set up in 1968 an ",http://spclanka.gov.lk/divisions/securityPrinting.php,
named_responsibility,pass,Published named responsibility: director,http://spclanka.gov.lk/divisions/securityPrinting.php,
phone,pass,Published phone: 0112757505,http://spclanka.gov.lk/divisions/digitalprinting.php,
phone,pass,Published phone: 011-2757506 ,http://spclanka.gov.lk/divisions/digitalprinting.php,
phone,pass,Published phone: 0756130613 ,http://spclanka.gov.lk/divisions/digitalprinting.php,
phone,pass,Published phone: 0718968734 ,http://spclanka.gov.lk/divisions/digitalprinting.php,
phone,pass,Published phone: 0112859308 ,http://spclanka.gov.lk/divisions/digitalprinting.php,
email,pass,Published email: chairmanspc2022@gmail.com,http://spclanka.gov.lk/divisions/digitalprinting.php,
postal_address,pass,"Published postal address: Panaluwa,Watareka,Padukka Phone :0718968734 ,0756130613 Address :No.21,26/27,State Trust Center,Kirimandala Mawatha,Nara",http://spclanka.gov.lk/divisions/digitalprinting.php,
named_responsibility,pass,Published named responsibility: director,http://spclanka.gov.lk/divisions/digitalprinting.php,
phone,pass,Published phone: 0112859308 ,http://spclanka.gov.lk/divisions/lithoPrintinng.php,
phone,pass,Published phone: 0112757505,http://spclanka.gov.lk/divisions/lithoPrintinng.php,
phone,pass,Published phone: 011-2757506 ,http://spclanka.gov.lk/divisions/lithoPrintinng.php,
email,pass,Published email: chairmanspc2022@gmail.com,http://spclanka.gov.lk/divisions/lithoPrintinng.php,
email,pass,Published email: spcmkt25@gmail.com,http://spclanka.gov.lk/divisions/lithoPrintinng.php,
postal_address,pass,"Published postal address: Panaluwa,Watareka,Padukka Phone Ext: 236 Email : spcmkt25@gmail.com Web : www.nldb.gov.lk About Us The State printing co",http://spclanka.gov.lk/divisions/lithoPrintinng.php,
named_responsibility,pass,Published named responsibility: director,http://spclanka.gov.lk/divisions/lithoPrintinng.php,
phone,pass,Published phone: 0112859308 ,http://spclanka.gov.lk/divisions/prePress.php,
phone,pass,Published phone: 0112757505,http://spclanka.gov.lk/divisions/prePress.php,
phone,pass,Published phone: 011-2757506 ,http://spclanka.gov.lk/divisions/prePress.php,
email,pass,Published email: chairmanspc2022@gmail.com,http://spclanka.gov.lk/divisions/prePress.php,
email,pass,Published email: spcmkt25@gmail.com,http://spclanka.gov.lk/divisions/prePress.php,
postal_address,pass,"Published postal address: Panaluwa,Watareka,Padukka Phone Ext :263,262 Email : spcmkt25@gmail.com Web : About Us The State printing corporation wa",http://spclanka.gov.lk/divisions/prePress.php,
named_responsibility,pass,Published named responsibility: director,http://spclanka.gov.lk/divisions/prePress.php,
phone,pass,Published phone: 0112859308 ,http://spclanka.gov.lk/divisions/binding.php,
phone,pass,Published phone: 0112757505,http://spclanka.gov.lk/divisions/binding.php,
phone,pass,Published phone: 011-2757506 ,http://spclanka.gov.lk/divisions/binding.php,
email,pass,Published email: chairmanspc2022@gmail.com,http://spclanka.gov.lk/divisions/binding.php,
postal_address,pass,"Published postal address: Panaluwa,Watareka,Padukka Phone : Ext : 235 Email : Web : About Us The State printing corporation was set up in 1968 an ",http://spclanka.gov.lk/divisions/binding.php,
named_responsibility,pass,Published named responsibility: director,http://spclanka.gov.lk/divisions/binding.php,
phone,pass,Published phone: 0112859308 ,http://spclanka.gov.lk/divisions/stationery.php,
phone,pass,Published phone: 0112757505,http://spclanka.gov.lk/divisions/stationery.php,
phone,pass,Published phone: 011-2757506 ,http://spclanka.gov.lk/divisions/stationery.php,
email,pass,Published email: chairmanspc2022@gmail.com,http://spclanka.gov.lk/divisions/stationery.php,
postal_address,pass,"Published postal address: Panaluwa,Watareka,Padukka Phone Ex : 230,270 Email : Web : About Us The State printing corporation was set up in 1968 an",http://spclanka.gov.lk/divisions/stationery.php,
named_responsibility,pass,Published named responsibility: director,http://spclanka.gov.lk/divisions/stationery.php,
phone,pass,Published phone: 0112859308 ,http://spclanka.gov.lk/divisions/finance.php,
phone,pass,Published phone: 0112757505,http://spclanka.gov.lk/divisions/finance.php,
phone,pass,Published phone: 011 2757502 ,http://spclanka.gov.lk/divisions/finance.php,
phone,pass,Published phone: 011-2757506 ,http://spclanka.gov.lk/divisions/finance.php,
email,pass,Published email: chairmanspc2022@gmail.com,http://spclanka.gov.lk/divisions/finance.php,
postal_address,pass,"Published postal address: Panaluwa,Watareka,Padukka Phone : 011 2757502 , Ex : 231 Email : Web : Description The Finance Division is mainly respon",http://spclanka.gov.lk/divisions/finance.php,
named_responsibility,pass,Published named responsibility: director,http://spclanka.gov.lk/divisions/finance.php,
phone,pass,Published phone: 0112859308 ,http://spclanka.gov.lk/divisions/hr.php,
phone,pass,Published phone: 0112757505,http://spclanka.gov.lk/divisions/hr.php,
phone,pass,Published phone: 011-2757506 ,http://spclanka.gov.lk/divisions/hr.php,
email,pass,Published email: chairmanspc2022@gmail.com,http://spclanka.gov.lk/divisions/hr.php,
postal_address,pass,"Published postal address: Panaluwa,Watareka,Padukka Phone : Ass manager Ex :257 Phone : Admin Officer Ex :257 Phone : Transport Officer Ex :257 Em",http://spclanka.gov.lk/divisions/hr.php,
named_responsibility,pass,Published named responsibility: director,http://spclanka.gov.lk/divisions/hr.php,
