check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:02:44.014063+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:02:44.014084+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:02:44.208071+05:30
http,pass,Probe 1: HTTP 200 at https://thriposha.lk/,https://thriposha.lk/,2026-09-09T00:03:00.744525+05:30
http,pass,Probe 2: HTTP 200 at http://thriposha.lk/,http://thriposha.lk/,2026-09-09T00:03:00.744549+05:30
http,pass,Probe 3: HTTP 200 at https://thriposha.lk/,https://thriposha.lk/,2026-09-09T00:03:00.744553+05:30
http,pass,Probe 4: HTTP 200 at http://thriposha.lk/,http://thriposha.lk/,2026-09-09T00:03:00.744556+05:30
http,pass,Probe 5: HTTP 200 at https://thriposha.lk/Thriposha/index.php,https://thriposha.lk/Thriposha/index.php,2026-09-09T00:03:00.744559+05:30
http,pass,Probe 6: HTTP 200 at https://thriposha.lk/suposha/index.php,https://thriposha.lk/suposha/index.php,2026-09-09T00:03:00.744562+05:30
http,pass,Probe 7: HTTP 200 at http://thriposha.lk/Thriposha/index.php,http://thriposha.lk/Thriposha/index.php,2026-09-09T00:03:00.744564+05:30
http,pass,Probe 8: HTTP 200 at http://thriposha.lk/suposha/index.php,http://thriposha.lk/suposha/index.php,2026-09-09T00:03:00.744567+05:30
http,pass,Probe 9: HTTP 200 at https://thriposha.lk/Thriposha/our-services.php,https://thriposha.lk/Thriposha/our-services.php,2026-09-09T00:03:00.744570+05:30
http,pass,Probe 10: HTTP 200 at https://thriposha.lk/Thriposha/contact.php,https://thriposha.lk/Thriposha/contact.php,2026-09-09T00:03:00.744572+05:30
http,pass,Probe 11: HTTP 200 at https://thriposha.lk/Thriposha/about.php,https://thriposha.lk/Thriposha/about.php,2026-09-09T00:03:00.744575+05:30
http,pass,Probe 12: HTTP 200 at https://thriposha.lk/Thriposha/directors.php,https://thriposha.lk/Thriposha/directors.php,2026-09-09T00:03:00.744577+05:30
http,pass,Probe 13: HTTP 200 at https://thriposha.lk/Thriposha/management.php,https://thriposha.lk/Thriposha/management.php,2026-09-09T00:03:00.744580+05:30
http,pass,Probe 14: HTTP 200 at https://thriposha.lk/Thriposha/certificates.php,https://thriposha.lk/Thriposha/certificates.php,2026-09-09T00:03:00.744583+05:30
phone,pass,Published phone: 23055873407,https://thriposha.lk/Thriposha/index.php,
phone,pass,Published phone: 0112236588 ,https://thriposha.lk/Thriposha/index.php,
phone,pass,Published phone: 0112 - 236588,https://thriposha.lk/Thriposha/index.php,
phone,pass,Published phone: +8801682648101,https://thriposha.lk/Thriposha/index.php,
named_responsibility,pass,Published named responsibility: director,https://thriposha.lk/Thriposha/index.php,
fees_and_payment,pass,Published fees and payment: free of charge,https://thriposha.lk/Thriposha/index.php,
phone,pass,Published phone: 6174959400326,https://thriposha.lk/suposha/index.php,
phone,pass,Published phone: 0112 236 588 ,https://thriposha.lk/suposha/index.php,
phone,pass,Published phone: +8801682648101,https://thriposha.lk/suposha/index.php,
phone,pass,Published phone: 0112 237 418 ,https://thriposha.lk/suposha/index.php,
phone,pass,Published phone: 23055873407,http://thriposha.lk/Thriposha/index.php,
phone,pass,Published phone: 0112236588 ,http://thriposha.lk/Thriposha/index.php,
phone,pass,Published phone: 0112 - 236588,http://thriposha.lk/Thriposha/index.php,
phone,pass,Published phone: +8801682648101,http://thriposha.lk/Thriposha/index.php,
named_responsibility,pass,Published named responsibility: director,http://thriposha.lk/Thriposha/index.php,
fees_and_payment,pass,Published fees and payment: free of charge,http://thriposha.lk/Thriposha/index.php,
phone,pass,Published phone: 6174959400326,http://thriposha.lk/suposha/index.php,
phone,pass,Published phone: 0112 236 588 ,http://thriposha.lk/suposha/index.php,
phone,pass,Published phone: +8801682648101,http://thriposha.lk/suposha/index.php,
phone,pass,Published phone: 0112 237 418 ,http://thriposha.lk/suposha/index.php,
phone,pass,Published phone: 23055873407,https://thriposha.lk/Thriposha/our-services.php,
phone,pass,Published phone: 0112236588 ,https://thriposha.lk/Thriposha/our-services.php,
phone,pass,Published phone: 0112 - 236588,https://thriposha.lk/Thriposha/our-services.php,
phone,pass,Published phone: +8801682648101,https://thriposha.lk/Thriposha/our-services.php,
named_responsibility,pass,Published named responsibility: director,https://thriposha.lk/Thriposha/our-services.php,
fees_and_payment,pass,"Published fees and payment: rs,",https://thriposha.lk/Thriposha/our-services.php,
phone,pass,Published phone: 23055873407,https://thriposha.lk/Thriposha/contact.php,
phone,pass,Published phone: 0112236588 ,https://thriposha.lk/Thriposha/contact.php,
phone,pass,Published phone: 0112236588,https://thriposha.lk/Thriposha/contact.php,
phone,pass,Published phone: +8801682648101,https://thriposha.lk/Thriposha/contact.php,
phone,pass,Published phone: 011 223 6588 ,https://thriposha.lk/Thriposha/contact.php,
phone,pass,Published phone: 0112 - 236588,https://thriposha.lk/Thriposha/contact.php,
phone,pass,Published phone: 011 224 1459 ,https://thriposha.lk/Thriposha/contact.php,
phone,pass,Published phone: 011 223 7418 ,https://thriposha.lk/Thriposha/contact.php,
named_responsibility,pass,Published named responsibility: director,https://thriposha.lk/Thriposha/contact.php,
phone,pass,Published phone: 23055873407,https://thriposha.lk/Thriposha/about.php,
phone,pass,Published phone: 0112236588 ,https://thriposha.lk/Thriposha/about.php,
phone,pass,Published phone: 0112 - 236588,https://thriposha.lk/Thriposha/about.php,
phone,pass,Published phone: +8801682648101,https://thriposha.lk/Thriposha/about.php,
named_responsibility,pass,Published named responsibility: director,https://thriposha.lk/Thriposha/about.php,
phone,pass,Published phone: 23055873407,https://thriposha.lk/Thriposha/directors.php,
phone,pass,Published phone: +94 11 2236588 ,https://thriposha.lk/Thriposha/directors.php,
phone,pass,Published phone: 0112236588 ,https://thriposha.lk/Thriposha/directors.php,
phone,pass,Published phone: +8801682648101,https://thriposha.lk/Thriposha/directors.php,
phone,pass,Published phone: 0112 - 236588,https://thriposha.lk/Thriposha/directors.php,
postal_address,pass,"Published postal address: you as the Chairman of Sri Lanka Thriposha Ltd. As we embark on our journey, I am filled with enthusiasm and commitment ",https://thriposha.lk/Thriposha/directors.php,
named_responsibility,pass,Published named responsibility: director,https://thriposha.lk/Thriposha/directors.php,
phone,pass,Published phone: 23055873407,https://thriposha.lk/Thriposha/management.php,
phone,pass,Published phone: 0112236588 ,https://thriposha.lk/Thriposha/management.php,
phone,pass,Published phone: 0112 - 236588,https://thriposha.lk/Thriposha/management.php,
phone,pass,Published phone: +8801682648101,https://thriposha.lk/Thriposha/management.php,
named_responsibility,pass,Published named responsibility: director,https://thriposha.lk/Thriposha/management.php,
phone,pass,Published phone: 23055873407,https://thriposha.lk/Thriposha/certificates.php,
phone,pass,Published phone: 0112236588 ,https://thriposha.lk/Thriposha/certificates.php,
phone,pass,Published phone: 0112 - 236588,https://thriposha.lk/Thriposha/certificates.php,
phone,pass,Published phone: +8801682648101,https://thriposha.lk/Thriposha/certificates.php,
named_responsibility,pass,Published named responsibility: director,https://thriposha.lk/Thriposha/certificates.php,
