check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:00:24.231714+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:00:24.231731+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:00:35.024463+05:30
http,pass,Probe 1: HTTP 200 at https://www.accimt.ac.lk/,https://www.accimt.ac.lk/,2026-09-09T00:09:11.857029+05:30
http,pass,Probe 2: HTTP 200 at https://www.accimt.ac.lk/,http://www.accimt.ac.lk/,2026-09-09T00:09:11.857050+05:30
http,pass,Probe 3: HTTP 200 at https://www.accimt.ac.lk/,https://www.accimt.ac.lk/,2026-09-09T00:09:11.857054+05:30
http,pass,Probe 4: HTTP 200 at https://www.accimt.ac.lk/,http://www.accimt.ac.lk/,2026-09-09T00:09:11.857057+05:30
http,pass,Probe 5: HTTP 200 at https://www.accimt.ac.lk/consultancy-and-repair-services/,https://www.accimt.ac.lk/consultancy-and-repair-services/,2026-09-09T00:09:11.857060+05:30
http,pass,Probe 6: HTTP 200 at https://www.accimt.ac.lk/industrial-services/,https://www.accimt.ac.lk/industrial-services/,2026-09-09T00:09:11.857062+05:30
http,pass,Probe 7: HTTP 200 at https://www.accimt.ac.lk/contact-us/,https://www.accimt.ac.lk/contact-us/,2026-09-09T00:09:11.857065+05:30
http,pass,Probe 8: HTTP 200 at https://www.accimt.ac.lk/workshop-on-basic-robotics-techniques-for-vidhatha-officers/,https://www.accimt.ac.lk/workshop-on-basic-robotics-techniques-for-vidhatha-officers/,2026-09-09T00:09:11.857067+05:30
http,pass,Probe 9: HTTP 200 at https://www.accimt.ac.lk/contact-us/job-vacancies/,https://www.accimt.ac.lk/contact-us/job-vacancies/,2026-09-09T00:09:11.857070+05:30
http,pass,Probe 10: HTTP 200 at https://www.accimt.ac.lk/contact-us/procurement-notice/,https://www.accimt.ac.lk/contact-us/procurement-notice/,2026-09-09T00:09:11.857072+05:30
http,pass,Probe 11: HTTP 200 at https://www.accimt.ac.lk/about-us-2/,https://www.accimt.ac.lk/about-us-2/,2026-09-09T00:09:11.857075+05:30
http,pass,Probe 12: HTTP 200 at https://www.accimt.ac.lk/online-seo-marketing/,https://www.accimt.ac.lk/online-seo-marketing/,2026-09-09T00:09:11.857078+05:30
http,pass,Probe 13: HTTP 200 at https://www.accimt.ac.lk/design-photography/,https://www.accimt.ac.lk/?p=101,2026-09-09T00:09:11.857081+05:30
http,pass,Probe 14: HTTP 200 at https://www.accimt.ac.lk/library/,https://www.accimt.ac.lk/library/,2026-09-09T00:09:11.857083+05:30
unrelated,fail,Detected unrelated marker: online casino,https://www.accimt.ac.lk/,
phone,pass,Published phone: 0451755041 ,https://www.accimt.ac.lk/,
phone,pass,Published phone: +94-11-2650569 ,https://www.accimt.ac.lk/,
phone,pass,Published phone: 0451757511 ,https://www.accimt.ac.lk/,
phone,pass,Published phone: 0451754160 ,https://www.accimt.ac.lk/,
email,pass,Published email: info@accmt.ac.lk,https://www.accimt.ac.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.accimt.ac.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://www.accimt.ac.lk/,
unrelated,fail,Detected unrelated marker: online casino,https://www.accimt.ac.lk/,
phone,pass,Published phone: 0451755041 ,https://www.accimt.ac.lk/,
phone,pass,Published phone: +94-11-2650569 ,https://www.accimt.ac.lk/,
phone,pass,Published phone: 0451757511 ,https://www.accimt.ac.lk/,
phone,pass,Published phone: 0451754160 ,https://www.accimt.ac.lk/,
email,pass,Published email: info@accmt.ac.lk,https://www.accimt.ac.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.accimt.ac.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://www.accimt.ac.lk/,
unrelated,fail,Detected unrelated marker: online casino,https://www.accimt.ac.lk/,
phone,pass,Published phone: 0451755041 ,https://www.accimt.ac.lk/,
phone,pass,Published phone: +94-11-2650569 ,https://www.accimt.ac.lk/,
phone,pass,Published phone: 0451757511 ,https://www.accimt.ac.lk/,
phone,pass,Published phone: 0451754160 ,https://www.accimt.ac.lk/,
email,pass,Published email: info@accmt.ac.lk,https://www.accimt.ac.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.accimt.ac.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://www.accimt.ac.lk/,
unrelated,fail,Detected unrelated marker: online casino,https://www.accimt.ac.lk/,
phone,pass,Published phone: 0451755041 ,https://www.accimt.ac.lk/,
phone,pass,Published phone: +94-11-2650569 ,https://www.accimt.ac.lk/,
phone,pass,Published phone: 0451757511 ,https://www.accimt.ac.lk/,
phone,pass,Published phone: 0451754160 ,https://www.accimt.ac.lk/,
email,pass,Published email: info@accmt.ac.lk,https://www.accimt.ac.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.accimt.ac.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://www.accimt.ac.lk/,
phone,pass,Published phone: +94-11-2650569 ,https://www.accimt.ac.lk/consultancy-and-repair-services/,
email,pass,Published email: info@accmt.ac.lk,https://www.accimt.ac.lk/consultancy-and-repair-services/,
named_responsibility,pass,Published named responsibility: division,https://www.accimt.ac.lk/consultancy-and-repair-services/,
phone,pass,Published phone: 011-2650462 ,https://www.accimt.ac.lk/industrial-services/,
