check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:54:38.491465+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:54:38.491483+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:54:38.969940+05:30
http,pass,Probe 1: HTTP 200 at https://agd.gov.lk/,https://www.attorneygeneral.gov.lk/,2026-09-08T23:55:06.622164+05:30
http,pass,Probe 2: HTTP 200 at https://agd.gov.lk/,http://www.attorneygeneral.gov.lk/,2026-09-08T23:55:06.622183+05:30
http,pass,Probe 3: HTTP 200 at https://agd.gov.lk/,https://www.attorneygeneral.gov.lk/,2026-09-08T23:55:06.622186+05:30
http,pass,Probe 4: HTTP 200 at https://agd.gov.lk/,http://www.attorneygeneral.gov.lk/,2026-09-08T23:55:06.622189+05:30
http,pass,Probe 5: HTTP 200 at https://agd.gov.lk/evolution-of-the-office-of-the-ag/,https://agd.gov.lk/evolution-of-the-office-of-the-ag/,2026-09-08T23:55:06.622192+05:30
http,pass,Probe 6: HTTP 200 at https://agd.gov.lk/permanent-office-holders-of-the-office-of-ag/,https://agd.gov.lk/permanent-office-holders-of-the-office-of-ag/,2026-09-08T23:55:06.622194+05:30
http,pass,Probe 7: HTTP 200 at https://agd.gov.lk/permanent-office-holders-of-the-officer-of-sg/,https://agd.gov.lk/permanent-office-holders-of-the-officer-of-sg/,2026-09-08T23:55:06.622197+05:30
http,pass,Probe 8: HTTP 200 at https://agd.gov.lk/permanent-office-holders-of-the-officer-of-sa/,https://agd.gov.lk/permanent-office-holders-of-the-officer-of-sa/,2026-09-08T23:55:06.622199+05:30
http,pass,Probe 9: HTTP 200 at https://agd.gov.lk/state-attorneys-division/,https://agd.gov.lk/state-attorneys-division/,2026-09-08T23:55:06.622202+05:30
http,pass,Probe 10: HTTP 200 at https://agd.gov.lk/the-officers/,https://agd.gov.lk/the-officers/,2026-09-08T23:55:06.622205+05:30
http,pass,Probe 11: HTTP 200 at https://agd.gov.lk/general-contacts/,https://agd.gov.lk/general-contacts/,2026-09-08T23:55:06.622207+05:30
http,pass,Probe 12: HTTP 200 at https://agd.gov.lk/contact-details-regarding-e-filing-cases/,https://agd.gov.lk/contact-details-regarding-e-filing-cases/,2026-09-08T23:55:06.622210+05:30
http,pass,Probe 13: HTTP 200 at https://agd.gov.lk/application-for-the-post-of-junior-assistant-state-attorney-2026-attorney-generals-department/,https://agd.gov.lk/application-for-the-post-of-junior-assistant-state-attorney-2026-attorney-generals-department/,2026-09-08T23:55:06.622213+05:30
http,pass,Probe 14: HTTP 200 at https://agd.gov.lk/applications-for-apprenticeship-at-the-attorney-generals-department/,https://agd.gov.lk/applications-for-apprenticeship-at-the-attorney-generals-department/,2026-09-08T23:55:06.622215+05:30
phone,pass,Published phone: 0285292255,https://agd.gov.lk/,
phone,pass,Published phone: +94 (11) 214 7888 ,https://agd.gov.lk/,
phone,pass,Published phone: +94 (11) 214 9000 ,https://agd.gov.lk/,
phone,pass,Published phone: 031386639-1.,https://agd.gov.lk/,
phone,pass,Published phone: +94 (11) 214 9000,https://agd.gov.lk/,
phone,pass,Published phone: +94 (11) 214 7888,https://agd.gov.lk/,
phone,pass,Published phone: 0820610790,https://agd.gov.lk/,
phone,pass,Published phone: 0826298492,https://agd.gov.lk/,
phone,pass,Published phone: 000949-5-158,https://agd.gov.lk/,
phone,pass,Published phone: 0720648494,https://agd.gov.lk/,
phone,pass,Published phone: +94 (11) 243 6421 ,https://agd.gov.lk/,
phone,pass,Published phone: 0797688862,https://agd.gov.lk/,
phone,pass,Published phone: 0285207695,https://agd.gov.lk/,
phone,pass,Published phone: 0285173561,https://agd.gov.lk/,
phone,pass,Published phone: 0285266648,https://agd.gov.lk/,
email,pass,Published email: administration@agd.gov.lk,https://agd.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://agd.gov.lk/,
legal_basis,pass,Published legal basis: regulations,https://agd.gov.lk/,
phone,pass,Published phone: 0285292255,https://agd.gov.lk/,
phone,pass,Published phone: +94 (11) 214 7888 ,https://agd.gov.lk/,
phone,pass,Published phone: +94 (11) 214 9000 ,https://agd.gov.lk/,
phone,pass,Published phone: 031386639-1.,https://agd.gov.lk/,
phone,pass,Published phone: +94 (11) 214 9000,https://agd.gov.lk/,
phone,pass,Published phone: +94 (11) 214 7888,https://agd.gov.lk/,
phone,pass,Published phone: 0820610790,https://agd.gov.lk/,
phone,pass,Published phone: 0826298492,https://agd.gov.lk/,
phone,pass,Published phone: 000949-5-158,https://agd.gov.lk/,
phone,pass,Published phone: 0720648494,https://agd.gov.lk/,
phone,pass,Published phone: +94 (11) 243 6421 ,https://agd.gov.lk/,
phone,pass,Published phone: 0797688862,https://agd.gov.lk/,
phone,pass,Published phone: 0285207695,https://agd.gov.lk/,
phone,pass,Published phone: 0285173561,https://agd.gov.lk/,
phone,pass,Published phone: 0285266648,https://agd.gov.lk/,
email,pass,Published email: administration@agd.gov.lk,https://agd.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://agd.gov.lk/,
legal_basis,pass,Published legal basis: regulations,https://agd.gov.lk/,
