check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:57:23.649462+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:57:23.649482+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:57:23.905059+05:30
http,pass,Probe 1: HTTP 200 at https://www.cashew.gov.lk/,https://www.cashew.gov.lk/,2026-09-08T23:57:53.606217+05:30
http,pass,Probe 2: HTTP 200 at https://www.cashew.gov.lk/,http://www.cashew.gov.lk/,2026-09-08T23:57:53.606238+05:30
http,pass,Probe 3: HTTP 200 at https://www.cashew.gov.lk/,https://www.cashew.gov.lk/,2026-09-08T23:57:53.606242+05:30
http,pass,Probe 4: HTTP 200 at https://www.cashew.gov.lk/,http://www.cashew.gov.lk/,2026-09-08T23:57:53.606245+05:30
http,pass,Probe 5: HTTP 200 at https://www.cashew.gov.lk/marketing-division/,https://www.cashew.gov.lk/marketing-division/,2026-09-08T23:57:53.606248+05:30
http,pass,Probe 6: HTTP 200 at https://www.cashew.gov.lk/extension-department/,https://www.cashew.gov.lk/extension-department/,2026-09-08T23:57:53.606251+05:30
http,pass,Probe 7: HTTP 200 at https://www.cashew.gov.lk/plantation-division/,https://www.cashew.gov.lk/plantation-division/,2026-09-08T23:57:53.606253+05:30
http,pass,Probe 8: HTTP 200 at https://www.cashew.gov.lk/research-division/,https://www.cashew.gov.lk/research-division/,2026-09-08T23:57:53.606256+05:30
http,pass,Probe 9: HTTP 200 at https://www.cashew.gov.lk/contact-us/,https://www.cashew.gov.lk/contact-us/,2026-09-08T23:57:53.606259+05:30
http,pass,Probe 10: HTTP 200 at https://www.cashew.gov.lk/buy-cashew-2/,https://www.cashew.gov.lk/buy-cashew-2/,2026-09-08T23:57:53.606262+05:30
http,pass,Probe 11: HTTP 200 at https://www.cashew.gov.lk/our-story/,https://www.cashew.gov.lk/our-story/,2026-09-08T23:57:53.606265+05:30
http,pass,Probe 12: HTTP 200 at https://www.cashew.gov.lk/our-news/,https://www.cashew.gov.lk/our-news/,2026-09-08T23:57:53.606267+05:30
http,pass,Probe 13: HTTP 200 at https://www.cashew.gov.lk/bungalows/,https://www.cashew.gov.lk/bungalows/,2026-09-08T23:57:53.606270+05:30
http,pass,Probe 14: HTTP 200 at https://www.cashew.gov.lk/download/,https://www.cashew.gov.lk/download/,2026-09-08T23:57:53.606272+05:30
phone,pass,Published phone: 011-2886685 ,https://www.cashew.gov.lk/,
phone,pass,Published phone: 077 8550439 ,https://www.cashew.gov.lk/,
phone,pass,Published phone: 0006912739,https://www.cashew.gov.lk/,
phone,pass,Published phone: 011-2869843 ,https://www.cashew.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.cashew.gov.lk/,
fees_and_payment,pass,"Published fees and payment: රු 6,880",https://www.cashew.gov.lk/,
phone,pass,Published phone: 011-2886685 ,https://www.cashew.gov.lk/,
phone,pass,Published phone: 077 8550439 ,https://www.cashew.gov.lk/,
phone,pass,Published phone: 0006912739,https://www.cashew.gov.lk/,
phone,pass,Published phone: 011-2869843 ,https://www.cashew.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.cashew.gov.lk/,
fees_and_payment,pass,"Published fees and payment: රු 6,880",https://www.cashew.gov.lk/,
phone,pass,Published phone: 011-2886685 ,https://www.cashew.gov.lk/,
phone,pass,Published phone: 077 8550439 ,https://www.cashew.gov.lk/,
phone,pass,Published phone: 0006912739,https://www.cashew.gov.lk/,
phone,pass,Published phone: 011-2869843 ,https://www.cashew.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.cashew.gov.lk/,
fees_and_payment,pass,"Published fees and payment: රු 6,880",https://www.cashew.gov.lk/,
phone,pass,Published phone: 011-2886685 ,https://www.cashew.gov.lk/,
phone,pass,Published phone: 077 8550439 ,https://www.cashew.gov.lk/,
phone,pass,Published phone: 0006912739,https://www.cashew.gov.lk/,
phone,pass,Published phone: 011-2869843 ,https://www.cashew.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.cashew.gov.lk/,
fees_and_payment,pass,"Published fees and payment: රු 6,880",https://www.cashew.gov.lk/,
phone,pass,Published phone: 0094 076-422,https://www.cashew.gov.lk/marketing-division/,
phone,pass,Published phone: 011-2886685 ,https://www.cashew.gov.lk/marketing-division/,
phone,pass,Published phone: 0819687873,https://www.cashew.gov.lk/marketing-division/,
phone,pass,Published phone: 0094 033-222,https://www.cashew.gov.lk/marketing-division/,
phone,pass,Published phone: 0094 032-226,https://www.cashew.gov.lk/marketing-division/,
phone,pass,Published phone: 011-2869843 ,https://www.cashew.gov.lk/marketing-division/,
phone,pass,Published phone: 0094 071 084,https://www.cashew.gov.lk/marketing-division/,
phone,pass,Published phone: 0820335799,https://www.cashew.gov.lk/marketing-division/,
phone,pass,Published phone: 077 8550439 ,https://www.cashew.gov.lk/marketing-division/,
phone,pass,Published phone: 0094 011-288,https://www.cashew.gov.lk/marketing-division/,
phone,pass,Published phone: 0094 077 302,https://www.cashew.gov.lk/marketing-division/,
phone,pass,Published phone: 0094 070 558,https://www.cashew.gov.lk/marketing-division/,
postal_address,pass,"Published postal address: Sales Outlet Sri Lanka Cashew Corporation Sahas Uyana, Kandy, Sri Lanka",https://www.cashew.gov.lk/marketing-division/,
named_responsibility,pass,Published named responsibility: division,https://www.cashew.gov.lk/marketing-division/,
fees_and_payment,pass,"Published fees and payment: rs,",https://www.cashew.gov.lk/marketing-division/,
phone,pass,Published phone: 0820060199,https://www.cashew.gov.lk/extension-department/,
phone,pass,Published phone: 011-2886685 ,https://www.cashew.gov.lk/extension-department/,
phone,pass,Published phone: 011-2869843 ,https://www.cashew.gov.lk/extension-department/,
phone,pass,Published phone: 077 8550439 ,https://www.cashew.gov.lk/extension-department/,
phone,pass,Published phone: 0820044543,https://www.cashew.gov.lk/extension-department/,
named_responsibility,pass,Published named responsibility: division,https://www.cashew.gov.lk/extension-department/,
eligibility_criteria,pass,Published eligibility criteria: eligibility,https://www.cashew.gov.lk/extension-department/,
fees_and_payment,pass,"Published fees and payment: Rs. 9,500",https://www.cashew.gov.lk/extension-department/,
phone,pass,Published phone: 011-2886685 ,https://www.cashew.gov.lk/plantation-division/,
phone,pass,Published phone: 066-2249164 ,https://www.cashew.gov.lk/plantation-division/,
phone,pass,Published phone: 077-1303648 ,https://www.cashew.gov.lk/plantation-division/,
phone,pass,Published phone: 055-2252090 ,https://www.cashew.gov.lk/plantation-division/,
phone,pass,Published phone: 011-2869843 ,https://www.cashew.gov.lk/plantation-division/,
phone,pass,Published phone: 077 8550439 ,https://www.cashew.gov.lk/plantation-division/,
phone,pass,Published phone: 00 011-28849,https://www.cashew.gov.lk/plantation-division/,
phone,pass,Published phone: 0828032328,https://www.cashew.gov.lk/plantation-division/,
phone,pass,Published phone: 077- 9850497 ,https://www.cashew.gov.lk/plantation-division/,
phone,pass,Published phone: 071-8285541 ,https://www.cashew.gov.lk/plantation-division/,
