check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:49:01.357846+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:49:01.357875+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:49:02.026929+05:30
http,pass,Probe 1: HTTP 200 at https://www.cnth.health.gov.lk/,https://www.cnth.health.gov.lk/,2026-09-08T23:49:33.084842+05:30
http,pass,Probe 2: HTTP 200 at https://www.cnth.health.gov.lk/,http://www.cnth.health.gov.lk/,2026-09-08T23:49:33.084864+05:30
http,pass,Probe 3: HTTP 200 at https://www.cnth.health.gov.lk/,https://www.cnth.health.gov.lk/,2026-09-08T23:49:33.084867+05:30
http,pass,Probe 4: HTTP 200 at https://www.cnth.health.gov.lk/,http://www.cnth.health.gov.lk/,2026-09-08T23:49:33.084870+05:30
http,pass,Probe 5: HTTP 200 at https://www.cnth.health.gov.lk/contact.html,https://www.cnth.health.gov.lk/contact.html,2026-09-08T23:49:33.084873+05:30
http,pass,Probe 6: HTTP 200 at https://www.cnth.health.gov.lk/index.html,https://www.cnth.health.gov.lk/index.html,2026-09-08T23:49:33.084876+05:30
http,pass,Probe 7: HTTP 200 at https://www.cnth.health.gov.lk/about.html,https://www.cnth.health.gov.lk/about.html,2026-09-08T23:49:33.084879+05:30
http,pass,Probe 8: HTTP 200 at https://www.cnth.health.gov.lk/icons.html,https://www.cnth.health.gov.lk/icons.html,2026-09-08T23:49:33.084881+05:30
http,pass,Probe 9: HTTP 200 at https://www.cnth.health.gov.lk/clinics.html,https://www.cnth.health.gov.lk/clinics.html,2026-09-08T23:49:33.084884+05:30
http,pass,Probe 10: HTTP 200 at https://www.cnth.health.gov.lk/image_gallery.html,https://www.cnth.health.gov.lk/image_gallery.html,2026-09-08T23:49:33.084887+05:30
http,pass,Probe 11: HTTP 200 at https://www.cnth.health.gov.lk/Public%20Notice.html,https://www.cnth.health.gov.lk/Public Notice.html,2026-09-08T23:49:33.084896+05:30
http,pass,Probe 12: HTTP 200 at https://www.cnth.health.gov.lk/performance_stat.html,https://www.cnth.health.gov.lk/performance_stat.html,2026-09-08T23:49:33.084899+05:30
http,pass,Probe 13: HTTP 200 at https://www.cnth.health.gov.lk/News.html,https://www.cnth.health.gov.lk/News.html,2026-09-08T23:49:33.084902+05:30
http,pass,Probe 14: HTTP 200 at https://www.cnth.health.gov.lk/Upcomming%20News.html,https://www.cnth.health.gov.lk/Upcomming News.html,2026-09-08T23:49:33.084904+05:30
email,pass,Published email: info@cnth.health.gov.lk,https://www.cnth.health.gov.lk/,
email,pass,Published email: maria@example.com,https://www.cnth.health.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.cnth.health.gov.lk/,
email,pass,Published email: info@cnth.health.gov.lk,https://www.cnth.health.gov.lk/,
email,pass,Published email: maria@example.com,https://www.cnth.health.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.cnth.health.gov.lk/,
email,pass,Published email: info@cnth.health.gov.lk,https://www.cnth.health.gov.lk/,
email,pass,Published email: maria@example.com,https://www.cnth.health.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.cnth.health.gov.lk/,
email,pass,Published email: info@cnth.health.gov.lk,https://www.cnth.health.gov.lk/,
email,pass,Published email: maria@example.com,https://www.cnth.health.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.cnth.health.gov.lk/,
phone,pass,Published phone: +94 112959261 ,https://www.cnth.health.gov.lk/contact.html,
email,pass,Published email: info@example.com,https://www.cnth.health.gov.lk/contact.html,
email,pass,Published email: info@cnth.health.gov.lk,https://www.cnth.health.gov.lk/contact.html,
email,pass,Published email: maria@example.com,https://www.cnth.health.gov.lk/contact.html,
postal_address,pass,Published postal address: Colombo North Teaching Hospital-Ragama Call Us +94 112959261 – 4 Email info@cnth.health.gov.lk SEND MESSAGE Follow Us : ,https://www.cnth.health.gov.lk/contact.html,
named_responsibility,pass,Published named responsibility: director,https://www.cnth.health.gov.lk/contact.html,
email,pass,Published email: info@cnth.health.gov.lk,https://www.cnth.health.gov.lk/index.html,
email,pass,Published email: maria@example.com,https://www.cnth.health.gov.lk/index.html,
named_responsibility,pass,Published named responsibility: director,https://www.cnth.health.gov.lk/index.html,
email,pass,Published email: info@cnth.health.gov.lk,https://www.cnth.health.gov.lk/about.html,
email,pass,Published email: maria@example.com,https://www.cnth.health.gov.lk/about.html,
named_responsibility,pass,Published named responsibility: director,https://www.cnth.health.gov.lk/about.html,
email,pass,Published email: info@cnth.health.gov.lk,https://www.cnth.health.gov.lk/icons.html,
email,pass,Published email: maria@example.com,https://www.cnth.health.gov.lk/icons.html,
named_responsibility,pass,Published named responsibility: director,https://www.cnth.health.gov.lk/icons.html,
email,pass,Published email: info@cnth.health.gov.lk,https://www.cnth.health.gov.lk/clinics.html,
email,pass,Published email: maria@example.com,https://www.cnth.health.gov.lk/clinics.html,
named_responsibility,pass,Published named responsibility: director,https://www.cnth.health.gov.lk/clinics.html,
email,pass,Published email: info@cnth.health.gov.lk,https://www.cnth.health.gov.lk/image_gallery.html,
email,pass,Published email: maria@example.com,https://www.cnth.health.gov.lk/image_gallery.html,
named_responsibility,pass,Published named responsibility: director,https://www.cnth.health.gov.lk/image_gallery.html,
