check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:38:42.815716+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:38:42.815740+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:38:42.837747+05:30
http,pass,Probe 1: HTTP 200 at https://www.crib.lk/en,https://www.crib.lk/,2026-09-08T23:40:11.310787+05:30
http,error,Probe 2: timed out,http://www.crib.lk/,2026-09-08T23:40:11.310809+05:30
http,pass,Probe 3: HTTP 200 at https://www.crib.lk/en,https://www.crib.lk/,2026-09-08T23:40:11.310817+05:30
http,error,Probe 4: timed out,http://www.crib.lk/,2026-09-08T23:40:11.310820+05:30
http,pass,Probe 5: HTTP 200 at https://www.crib.lk/en/our-services/credit-information-services-for-member-institutions/credit-information-management-system,https://www.crib.lk/index.php/en/our-services/credit-information-services-for-member-institutions/credit-information-management-system,2026-09-08T23:40:11.310823+05:30
http,pass,Probe 6: HTTP 200 at https://www.crib.lk/en/our-services/credit-information-services-for-member-institutions/credit-information-reports,https://www.crib.lk/index.php/en/our-services/credit-information-services-for-member-institutions/credit-information-reports,2026-09-08T23:40:11.310826+05:30
http,pass,Probe 7: HTTP 200 at https://www.crib.lk/en/our-services/credit-information-services-for-member-institutions/value-added-services,https://www.crib.lk/index.php/en/our-services/credit-information-services-for-member-institutions/value-added-services,2026-09-08T23:40:11.310829+05:30
http,pass,Probe 8: HTTP 200 at https://www.crib.lk/en/our-services/credit-information-services-for-the-general-public/self-inquiry-credit-report-ireport-consumer,https://www.crib.lk/index.php/en/our-services/credit-information-services-for-the-general-public/self-inquiry-credit-report-ireport-consumer,2026-09-08T23:40:11.310831+05:30
http,pass,Probe 9: HTTP 200 at https://www.crib.lk/en/our-services/credit-information-services-for-the-general-public/self-inquiry-credit-report-myreport-corporate,https://www.crib.lk/index.php/en/our-services/credit-information-services-for-the-general-public/self-inquiry-credit-report-myreport-corporate,2026-09-08T23:40:11.310834+05:30
http,pass,Probe 10: HTTP 200 at https://www.crib.lk/en/our-services/credit-information-services-for-the-general-public/mycrib-mobile-app,https://www.crib.lk/index.php/en/our-services/credit-information-services-for-the-general-public/mycrib-mobile-app,2026-09-08T23:40:11.310837+05:30
http,pass,Probe 11: HTTP 200 at https://www.crib.lk/en/our-services/secured-transactions-registry-service,https://www.crib.lk/index.php/en/our-services/secured-transactions-registry-service,2026-09-08T23:40:11.310840+05:30
http,pass,Probe 12: HTTP 200 at https://www.crib.lk/en/contact-us,https://www.crib.lk/index.php/en/contact-us,2026-09-08T23:40:11.310842+05:30
http,pass,Probe 13: HTTP 200 at https://www.crib.lk/en/crib-empowers-sri-lankans-with-digital-access-to-services,https://www.crib.lk/index.php/en/crib-empowers-sri-lankans-with-digital-access-to-services,2026-09-08T23:40:11.310845+05:30
