check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:57:50.021751+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:57:50.021767+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:57:50.046168+05:30
tls_browser_error,fail,Probe 1: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032),https://www.cscl.lk/,2026-09-08T23:58:09.230954+05:30
http,pass,Probe 2: HTTP 200 at http://www.cscl.lk/,http://www.cscl.lk/,2026-09-08T23:58:09.230975+05:30
tls_browser_error,fail,Probe 3: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032),https://www.cscl.lk/,2026-09-08T23:58:09.230979+05:30
http,pass,Probe 4: HTTP 200 at http://www.cscl.lk/,http://www.cscl.lk/,2026-09-08T23:58:09.230982+05:30
http,pass,Probe 5: HTTP 200 at http://www.cscl.lk/contactUs.html,http://www.cscl.lk/contactUs.html,2026-09-08T23:58:09.230984+05:30
http,pass,Probe 6: HTTP 200 at http://www.cscl.lk/index.html,http://www.cscl.lk/index.html,2026-09-08T23:58:09.230987+05:30
http,pass,Probe 7: HTTP 200 at http://www.cscl.lk/vessel.html,http://www.cscl.lk/vessel.html,2026-09-08T23:58:09.230990+05:30
http,pass,Probe 8: HTTP 200 at http://www.cscl.lk/Agency.html,http://www.cscl.lk/Agency.html,2026-09-08T23:58:09.230992+05:30
http,pass,Probe 9: HTTP 200 at http://www.cscl.lk/circulars.html,http://www.cscl.lk/circulars.html,2026-09-08T23:58:09.230995+05:30
http,pass,Probe 10: HTTP 200 at http://www.cscl.lk/tenders.html,http://www.cscl.lk/tenders.html,2026-09-08T23:58:09.230998+05:30
http,pass,Probe 11: HTTP 200 at http://www.cscl.lk/News.html,http://www.cscl.lk/News.html,2026-09-08T23:58:09.231001+05:30
http,pass,Probe 12: HTTP 200 at http://www.cscl.lk/Gallary.html,http://www.cscl.lk/Gallary.html,2026-09-08T23:58:09.231003+05:30
http,pass,Probe 13: HTTP 200 at http://www.cscl.lk/Career.html,http://www.cscl.lk/Career.html,2026-09-08T23:58:09.231006+05:30
http,pass,Probe 14: HTTP 200 at http://www.cscl.lk/Cadets.html,http://www.cscl.lk/Cadets.html,2026-09-08T23:58:09.231008+05:30
phone,pass,Published phone: 0714 468356 ,http://www.cscl.lk/,
phone,pass,Published phone: 0100. 0112 49,http://www.cscl.lk/,
phone,pass,Published phone: 00 0112 449 4,http://www.cscl.lk/,
email,pass,Published email: shanikachamodi479@gmail.com,http://www.cscl.lk/,
email,pass,Published email: ceyloneshippingweb@gmail.com,http://www.cscl.lk/,
postal_address,pass,"Published postal address: #27, MICH Building, Sir Razik Fareed Mawatha (Bristol Street), Colombo 01, Sri Lanka 0100. 0112 497 800 0112 449 486",http://www.cscl.lk/,
named_responsibility,pass,Published named responsibility: director,http://www.cscl.lk/,
legal_basis,pass,Published legal basis: circular,http://www.cscl.lk/,
phone,pass,Published phone: 0714 468356 ,http://www.cscl.lk/,
phone,pass,Published phone: 0100. 0112 49,http://www.cscl.lk/,
phone,pass,Published phone: 00 0112 449 4,http://www.cscl.lk/,
email,pass,Published email: shanikachamodi479@gmail.com,http://www.cscl.lk/,
email,pass,Published email: ceyloneshippingweb@gmail.com,http://www.cscl.lk/,
postal_address,pass,"Published postal address: #27, MICH Building, Sir Razik Fareed Mawatha (Bristol Street), Colombo 01, Sri Lanka 0100. 0112 497 800 0112 449 486",http://www.cscl.lk/,
named_responsibility,pass,Published named responsibility: director,http://www.cscl.lk/,
legal_basis,pass,Published legal basis: circular,http://www.cscl.lk/,
phone,pass,Published phone: +9411 2324873 ,http://www.cscl.lk/contactUs.html,
phone,pass,Published phone: +9411 2 328997 ,http://www.cscl.lk/contactUs.html,
phone,pass,Published phone: +9411 2421525 ,http://www.cscl.lk/contactUs.html,
phone,pass,Published phone: +9411 2449486 ,http://www.cscl.lk/contactUs.html,
phone,pass,Published phone: 00 0112 449 4,http://www.cscl.lk/contactUs.html,
phone,pass,Published phone: 0710215730 ,http://www.cscl.lk/contactUs.html,
phone,pass,Published phone: 0715656715 ,http://www.cscl.lk/contactUs.html,
phone,pass,Published phone: 0704869561 ,http://www.cscl.lk/contactUs.html,
phone,pass,Published phone: +9411 2422807 ,http://www.cscl.lk/contactUs.html,
phone,pass,Published phone: 0706542990 ,http://www.cscl.lk/contactUs.html,
phone,pass,Published phone: 0713428317 ,http://www.cscl.lk/contactUs.html,
phone,pass,Published phone: +9411 2329903 ,http://www.cscl.lk/contactUs.html,
phone,pass,Published phone: +94 11 2497800 ,http://www.cscl.lk/contactUs.html,
phone,pass,Published phone: 0714468356 ,http://www.cscl.lk/contactUs.html,
phone,pass,Published phone: 0776680734 ,http://www.cscl.lk/contactUs.html,
phone,pass,Published phone: 0710215721 ,http://www.cscl.lk/contactUs.html,
phone,pass,Published phone: 0710215977 ,http://www.cscl.lk/contactUs.html,
phone,pass,Published phone: 0710215723 ,http://www.cscl.lk/contactUs.html,
phone,pass,Published phone: 0710215702 ,http://www.cscl.lk/contactUs.html,
phone,pass,Published phone: 0710215725 ,http://www.cscl.lk/contactUs.html,
phone,pass,Published phone: 0710215704 ,http://www.cscl.lk/contactUs.html,
phone,pass,Published phone: +9411 2436268 ,http://www.cscl.lk/contactUs.html,
phone,pass,Published phone: +9411 2328772 (,http://www.cscl.lk/contactUs.html,
phone,pass,Published phone: 0710215712 ,http://www.cscl.lk/contactUs.html,
phone,pass,Published phone: 0710215729 ,http://www.cscl.lk/contactUs.html,
phone,pass,Published phone: 0710215719 ,http://www.cscl.lk/contactUs.html,
phone,pass,Published phone: 0100. 0112 49,http://www.cscl.lk/contactUs.html,
email,pass,Published email: dpa@cscl.lk,http://www.cscl.lk/contactUs.html,
email,pass,Published email: ia@cscl.lk,http://www.cscl.lk/contactUs.html,
email,pass,Published email: dm-bd@cscl.lk,http://www.cscl.lk/contactUs.html,
email,pass,Published email: dm-fin@cscl.lk,http://www.cscl.lk/contactUs.html,
email,pass,Published email: am2-lni@cscl.lk,http://www.cscl.lk/contactUs.html,
email,pass,Published email: cscl@cscl.lk,http://www.cscl.lk/contactUs.html,
email,pass,Published email: dm-lni@cscl.lk,http://www.cscl.lk/contactUs.html,
email,pass,Published email: agm-docu@cscl.lk,http://www.cscl.lk/contactUs.html,
email,pass,Published email: ao1-admin@cscl.lk,http://www.cscl.lk/contactUs.html,
email,pass,Published email: dm-tech@cscl.lk,http://www.cscl.lk/contactUs.html,
email,pass,Published email: agm-bd@cscl.lk,http://www.cscl.lk/contactUs.html,
email,pass,Published email: gm@cscl.lk,http://www.cscl.lk/contactUs.html,
email,pass,Published email: mgr-liner@cscl.lk,http://www.cscl.lk/contactUs.html,
email,pass,Published email: dm-logis@cscl.lk,http://www.cscl.lk/contactUs.html,
email,pass,Published email: saman@cscl.lk,http://www.cscl.lk/contactUs.html,
email,pass,Published email: dm-docu@cscl.lk,http://www.cscl.lk/contactUs.html,
email,pass,Published email: chairman@cscl.lk,http://www.cscl.lk/contactUs.html,
email,pass,Published email: ts@cscl.lk,http://www.cscl.lk/contactUs.html,
postal_address,pass,"Published postal address: #27, MICH Building, Sir Razik Fareed Mawatha (Bristol Street), Colombo 01, Sri Lanka 0100. 0112 497 800 0112 449 486",http://www.cscl.lk/contactUs.html,
legal_basis,pass,Published legal basis: circular,http://www.cscl.lk/contactUs.html,
phone,pass,Published phone: 0714 468356 ,http://www.cscl.lk/index.html,
phone,pass,Published phone: 0100. 0112 49,http://www.cscl.lk/index.html,
phone,pass,Published phone: 00 0112 449 4,http://www.cscl.lk/index.html,
email,pass,Published email: shanikachamodi479@gmail.com,http://www.cscl.lk/index.html,
email,pass,Published email: ceyloneshippingweb@gmail.com,http://www.cscl.lk/index.html,
postal_address,pass,"Published postal address: #27, MICH Building, Sir Razik Fareed Mawatha (Bristol Street), Colombo 01, Sri Lanka 0100. 0112 497 800 0112 449 486",http://www.cscl.lk/index.html,
named_responsibility,pass,Published named responsibility: director,http://www.cscl.lk/index.html,
legal_basis,pass,Published legal basis: circular,http://www.cscl.lk/index.html,
phone,pass,Published phone: 00 0112 497 8,http://www.cscl.lk/vessel.html,
phone,pass,Published phone: 0100. 0112 49,http://www.cscl.lk/vessel.html,
postal_address,pass,"Published postal address: #27, MICH Building, Sir Razik Fareed Mawatha (Bristol Street), Colombo 01, Sri Lanka 0100. 0112 497 800 0112 497 800",http://www.cscl.lk/vessel.html,
legal_basis,pass,Published legal basis: circular,http://www.cscl.lk/vessel.html,
phone,pass,Published phone: 00 0112 497 8,http://www.cscl.lk/Agency.html,
phone,pass,Published phone: 0100. 0112 49,http://www.cscl.lk/Agency.html,
postal_address,pass,"Published postal address: #27, MICH Building, Sir Razik Fareed Mawatha (Bristol Street), Colombo 01, Sri Lanka 0100. 0112 497 800 0112 497 800",http://www.cscl.lk/Agency.html,
legal_basis,pass,Published legal basis: circular,http://www.cscl.lk/Agency.html,
phone,pass,Published phone: 00 0112 497 8,http://www.cscl.lk/circulars.html,
phone,pass,Published phone: 0100. 0112 49,http://www.cscl.lk/circulars.html,
postal_address,pass,"Published postal address: #27, MICH Building, Sir Razik Fareed Mawatha (Bristol Street), Colombo 01, Sri Lanka 0100. 0112 497 800 0112 497 800",http://www.cscl.lk/circulars.html,
legal_basis,pass,Published legal basis: circular,http://www.cscl.lk/circulars.html,
phone,pass,Published phone: 00 0112 497 8,http://www.cscl.lk/tenders.html,
phone,pass,Published phone: 0100. 0112 49,http://www.cscl.lk/tenders.html,
postal_address,pass,"Published postal address: #27, MICH Building, Sir Razik Fareed Mawatha (Bristol Street), Colombo 01, Sri Lanka 0100. 0112 497 800 0112 497 800",http://www.cscl.lk/tenders.html,
named_responsibility,pass,Published named responsibility: division,http://www.cscl.lk/tenders.html,
legal_basis,pass,Published legal basis: circular,http://www.cscl.lk/tenders.html,
fees_and_payment,pass,Published fees and payment: rs 6,http://www.cscl.lk/tenders.html,
downloadable_form,pass,Published downloadable form: http://www.cscl.lk/tenders/6-18-2026/FORM1-Form for  Submitting of Bids -001B-2026.docx,http://www.cscl.lk/tenders.html,
phone,pass,Published phone: 00 0112 497 8,http://www.cscl.lk/News.html,
phone,pass,Published phone: 0100. 0112 49,http://www.cscl.lk/News.html,
postal_address,pass,"Published postal address: #27, MICH Building, Sir Razik Fareed Mawatha (Bristol Street), Colombo 01, Sri Lanka 0100. 0112 497 800 0112 497 800",http://www.cscl.lk/News.html,
legal_basis,pass,Published legal basis: circular,http://www.cscl.lk/News.html,
phone,pass,Published phone: 00 0112 497 8,http://www.cscl.lk/Gallary.html,
phone,pass,Published phone: 0100. 0112 49,http://www.cscl.lk/Gallary.html,
postal_address,pass,"Published postal address: #27, MICH Building, Sir Razik Fareed Mawatha (Bristol Street), Colombo 01, Sri Lanka 0100. 0112 497 800 0112 497 800",http://www.cscl.lk/Gallary.html,
legal_basis,pass,Published legal basis: circular,http://www.cscl.lk/Gallary.html,
phone,pass,Published phone: 00 0112 497 8,http://www.cscl.lk/Career.html,
phone,pass,Published phone: 0100. 0112 49,http://www.cscl.lk/Career.html,
email,pass,Published email: technical_crew@cscl.lk,http://www.cscl.lk/Career.html,
email,pass,Published email: technical@cscl.lk,http://www.cscl.lk/Career.html,
postal_address,pass,"Published postal address: #27, MICH Building, Sir Razik Fareed Mawatha (Bristol Street), Colombo 01, Sri Lanka 0100. 0112 497 800 0112 497 800 technical@cscl.lk",http://www.cscl.lk/Career.html,
legal_basis,pass,Published legal basis: circular,http://www.cscl.lk/Career.html,
phone,pass,Published phone: 00 0112 497 8,http://www.cscl.lk/Cadets.html,
phone,pass,Published phone: 0100. 0112 49,http://www.cscl.lk/Cadets.html,
email,pass,Published email: shanikachamodi479@gmail.com,http://www.cscl.lk/Cadets.html,
email,pass,Published email: ceyloneshippingweb@gmail.com,http://www.cscl.lk/Cadets.html,
email,pass,Published email: technical@cscl.lk,http://www.cscl.lk/Cadets.html,
postal_address,pass,"Published postal address: #27, MICH Building, Sir Razik Fareed Mawatha (Bristol Street), Colombo 01, Sri Lanka 0100. 0112 497 800 0112 497 800 technical@cscl.lk",http://www.cscl.lk/Cadets.html,
named_responsibility,pass,Published named responsibility: department,http://www.cscl.lk/Cadets.html,
