check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:04:42.260293+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:04:42.260319+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:04:42.337368+05:30
http,pass,Probe 1: HTTP 200 at https://www.defence.lk/,https://www.defence.lk/,2026-09-09T00:04:58.806512+05:30
http,pass,Probe 2: HTTP 200 at https://www.defence.lk/,http://www.defence.lk/,2026-09-09T00:04:58.806534+05:30
http,pass,Probe 3: HTTP 200 at https://www.defence.lk/,https://www.defence.lk/,2026-09-09T00:04:58.806538+05:30
http,pass,Probe 4: HTTP 200 at https://www.defence.lk/,http://www.defence.lk/,2026-09-09T00:04:58.806540+05:30
http,pass,Probe 5: HTTP 200 at https://www.defence.lk/About_us/contact_us,https://www.defence.lk/About_us/contact_us,2026-09-09T00:04:58.806543+05:30
http,pass,Probe 6: HTTP 200 at https://www.defence.lk/Applications/mod_services_eng_technical,https://www.defence.lk/Applications/mod_services_eng_technical,2026-09-09T00:04:58.806546+05:30
http,pass,Probe 7: HTTP 200 at https://www.defence.lk/Applications/mod_services_eng_csd,https://www.defence.lk/Applications/mod_services_eng_csd,2026-09-09T00:04:58.806549+05:30
http,pass,Probe 8: HTTP 200 at https://www.defence.lk/Applications/mod_services_eng_def,https://www.defence.lk/Applications/mod_services_eng_def,2026-09-09T00:04:58.806551+05:30
http,pass,Probe 9: HTTP 200 at https://www.defence.lk/Applications/mod_services_eng_mlo,https://www.defence.lk/Applications/mod_services_eng_mlo,2026-09-09T00:04:58.806554+05:30
http,pass,Probe 10: HTTP 200 at https://www.defence.lk/Applications/citizen_service_en,https://www.defence.lk/Applications/citizen_service_en,2026-09-09T00:04:58.806556+05:30
http,pass,Probe 11: HTTP 200 at https://www.defence.lk/Home,https://www.defence.lk/Home,2026-09-09T00:04:58.806559+05:30
http,pass,Probe 12: HTTP 200 at https://www.defence.lk/Sinhala,https://www.defence.lk/Sinhala,2026-09-09T00:04:58.806562+05:30
http,pass,Probe 13: HTTP 200 at https://www.defence.lk/Tamil,https://www.defence.lk/Tamil,2026-09-09T00:04:58.806564+05:30
http,pass,Probe 14: HTTP 200 at https://www.defence.lk/About_us/vision_and_mission,https://www.defence.lk/About_us/vision_and_mission,2026-09-09T00:04:58.806567+05:30
named_responsibility,pass,Published named responsibility: division,https://www.defence.lk/,
legal_basis,pass,Published legal basis: regulations,https://www.defence.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.defence.lk/,
legal_basis,pass,Published legal basis: regulations,https://www.defence.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.defence.lk/,
legal_basis,pass,Published legal basis: regulations,https://www.defence.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.defence.lk/,
legal_basis,pass,Published legal basis: regulations,https://www.defence.lk/,
phone,pass,Published phone: +94 11 2354354 ,https://www.defence.lk/About_us/contact_us,
phone,pass,Published phone: +94 11 2340340 ,https://www.defence.lk/About_us/contact_us,
email,pass,Published email: secdefence@defence.lk,https://www.defence.lk/About_us/contact_us,
email,pass,Published email: dgplanning@defence.lk,https://www.defence.lk/About_us/contact_us,
email,pass,Published email: adlsectechnical@defence.lk,https://www.defence.lk/About_us/contact_us,
email,pass,Published email: adlsecparliment@defence.lk,https://www.defence.lk/About_us/contact_us,
email,pass,Published email: directormedia@defence.lk,https://www.defence.lk/About_us/contact_us,
email,pass,Published email: adlsecds@defence.lk,https://www.defence.lk/About_us/contact_us,
email,pass,Published email: defence.legalbranch@gmail.com,https://www.defence.lk/About_us/contact_us,
email,pass,Published email: knilupul@yahoo.com,https://www.defence.lk/About_us/contact_us,
email,pass,Published email: civilsecurity@defence.lk,https://www.defence.lk/About_us/contact_us,
email,pass,Published email: modmlobranch@defence.lk,https://www.defence.lk/About_us/contact_us,
email,pass,Published email: i.jayathilake@yahoo.com,https://www.defence.lk/About_us/contact_us,
email,pass,Published email: kgdharmathilakage@gmail.com,https://www.defence.lk/About_us/contact_us,
email,pass,Published email: dymindef@defence.lk,https://www.defence.lk/About_us/contact_us,
email,pass,Published email: adlsecadmin@defence.lk,https://www.defence.lk/About_us/contact_us,
email,pass,Published email: dgplanningdmd@defence.lk,https://www.defence.lk/About_us/contact_us,
email,pass,Published email: cfo1@defence.lk,https://www.defence.lk/About_us/contact_us,
email,pass,Published email: adlsecdefence@defence.lk,https://www.defence.lk/About_us/contact_us,
email,pass,Published email: modinternalaudit@gmail.com,https://www.defence.lk/About_us/contact_us,
named_responsibility,pass,Published named responsibility: director,https://www.defence.lk/About_us/contact_us,
legal_basis,pass,Published legal basis: gazette,https://www.defence.lk/About_us/contact_us,
named_responsibility,pass,Published named responsibility: division,https://www.defence.lk/Applications/mod_services_eng_technical,
legal_basis,pass,Published legal basis: gazette,https://www.defence.lk/Applications/mod_services_eng_technical,
named_responsibility,pass,Published named responsibility: division,https://www.defence.lk/Applications/mod_services_eng_csd,
legal_basis,pass,Published legal basis: gazette,https://www.defence.lk/Applications/mod_services_eng_csd,
named_responsibility,pass,Published named responsibility: division,https://www.defence.lk/Applications/mod_services_eng_def,
legal_basis,pass,Published legal basis: gazette,https://www.defence.lk/Applications/mod_services_eng_def,
named_responsibility,pass,Published named responsibility: division,https://www.defence.lk/Applications/mod_services_eng_mlo,
legal_basis,pass,Published legal basis: gazette,https://www.defence.lk/Applications/mod_services_eng_mlo,
named_responsibility,pass,Published named responsibility: division,https://www.defence.lk/Applications/citizen_service_en,
legal_basis,pass,Published legal basis: gazette,https://www.defence.lk/Applications/citizen_service_en,
named_responsibility,pass,Published named responsibility: division,https://www.defence.lk/Home,
legal_basis,pass,Published legal basis: regulations,https://www.defence.lk/Home,
named_responsibility,pass,Published named responsibility: division,https://www.defence.lk/About_us/vision_and_mission,
legal_basis,pass,Published legal basis: gazette,https://www.defence.lk/About_us/vision_and_mission,
page_text,pass,Substantive page content: 23420 visible characters across 14 pages,https://www.defence.lk/,
