check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:57:53.001276+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:57:53.001296+05:30
tls_hostname,fail,TLS certificate does not match the hostname,,2026-09-08T23:57:53.026565+05:30
tls_browser_error,fail,"Probe 1: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.dgshipping.gov.lk'. (_ssl.c:1032)",https://www.dgshipping.gov.lk/,2026-09-08T23:58:21.099555+05:30
http,pass,Probe 2: HTTP 200 at http://www.dgshipping.gov.lk/,http://www.dgshipping.gov.lk/,2026-09-08T23:58:21.099578+05:30
tls_browser_error,fail,"Probe 3: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.dgshipping.gov.lk'. (_ssl.c:1032)",https://www.dgshipping.gov.lk/,2026-09-08T23:58:21.099582+05:30
http,pass,Probe 4: HTTP 200 at http://www.dgshipping.gov.lk/,http://www.dgshipping.gov.lk/,2026-09-08T23:58:21.099585+05:30
http,pass,Probe 5: HTTP 200 at http://www.dgshipping.gov.lk/web/index.php?lang=en,http://www.dgshipping.gov.lk/web/index.php?lang=si,2026-09-08T23:58:21.099588+05:30
http,pass,Probe 6: HTTP 200 at http://www.dgshipping.gov.lk/web/index.php?lang=en,http://www.dgshipping.gov.lk/web/index.php?lang=en,2026-09-08T23:58:21.099591+05:30
http,pass,Probe 7: HTTP 200 at http://www.dgshipping.gov.lk/web/index.php?lang=en,http://www.dgshipping.gov.lk/web/index.php?lang=ta,2026-09-08T23:58:21.099594+05:30
http,pass,Probe 8: HTTP 200 at http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,2026-09-08T23:58:21.099596+05:30
http,pass,Probe 9: HTTP 200 at http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/Bid_cleaning_service_PDF.pdf,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/Bid_cleaning_service_PDF.pdf,2026-09-08T23:58:21.099599+05:30
http,pass,Probe 10: HTTP 200 at http://www.dgshipping.gov.lk/web/images/One_Day_Service/CDC.pdf,http://www.dgshipping.gov.lk/web/images/One_Day_Service/CDC.pdf,2026-09-08T23:58:21.099602+05:30
http,pass,Probe 11: HTTP 200 at http://www.dgshipping.gov.lk/web/images/One_Day_Service/SID.pdf,http://www.dgshipping.gov.lk/web/images/One_Day_Service/SID.pdf,2026-09-08T23:58:21.099604+05:30
http,pass,Probe 12: HTTP 200 at http://www.dgshipping.gov.lk/web/images/2026/Notices/Establishment_of_a_Pool_of_Port_State_Control_Officers.pdf,http://www.dgshipping.gov.lk/web/images/2026/Notices/Establishment_of_a_Pool_of_Port_State_Control_Officers.pdf,2026-09-08T23:58:21.099607+05:30
http,pass,Probe 13: HTTP 200 at http://www.dgshipping.gov.lk/web/index.php?lang=en,http://www.dgshipping.gov.lk/web,2026-09-08T23:58:21.099610+05:30
http,pass,Probe 14: HTTP 200 at http://www.dgshipping.gov.lk/web/index.php?lang=en,http://www.dgshipping.gov.lk/web/index.php,2026-09-08T23:58:21.099612+05:30
phone,pass,Published phone: 0. 011 210570,http://www.dgshipping.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 011-2105700 ,http://www.dgshipping.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 011-2430277 ,http://www.dgshipping.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 011 2105700 ,http://www.dgshipping.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 011-2435127 ,http://www.dgshipping.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 0 011 210570,http://www.dgshipping.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 070-1107787 ,http://www.dgshipping.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 011 2105710 ,http://www.dgshipping.gov.lk/web/index.php?lang=en,
postal_address,pass,Published postal address: of the person or organization making the submission; Relevant contact details; and Specific observations and comments to,http://www.dgshipping.gov.lk/web/index.php?lang=en,
named_responsibility,pass,Published named responsibility: director,http://www.dgshipping.gov.lk/web/index.php?lang=en,
eligibility_criteria,pass,Published eligibility criteria: eligibility,http://www.dgshipping.gov.lk/web/index.php?lang=en,
legal_basis,pass,Published legal basis: regulations,http://www.dgshipping.gov.lk/web/index.php?lang=en,
fees_and_payment,pass,"Published fees and payment: rs,",http://www.dgshipping.gov.lk/web/index.php?lang=en,
downloadable_form,pass,Published downloadable form: http://www.dgshipping.gov.lk/web/images/2026/Notices/APPLICATION_FOR_REGISTRATION_AS_EXTERNAL_RESOURCE_PERSON-2.pdf,http://www.dgshipping.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 0. 011 210570,http://www.dgshipping.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 011-2105700 ,http://www.dgshipping.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 011-2430277 ,http://www.dgshipping.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 011 2105700 ,http://www.dgshipping.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 011-2435127 ,http://www.dgshipping.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 0 011 210570,http://www.dgshipping.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 070-1107787 ,http://www.dgshipping.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 011 2105710 ,http://www.dgshipping.gov.lk/web/index.php?lang=en,
postal_address,pass,Published postal address: of the person or organization making the submission; Relevant contact details; and Specific observations and comments to,http://www.dgshipping.gov.lk/web/index.php?lang=en,
named_responsibility,pass,Published named responsibility: director,http://www.dgshipping.gov.lk/web/index.php?lang=en,
eligibility_criteria,pass,Published eligibility criteria: eligibility,http://www.dgshipping.gov.lk/web/index.php?lang=en,
legal_basis,pass,Published legal basis: regulations,http://www.dgshipping.gov.lk/web/index.php?lang=en,
fees_and_payment,pass,"Published fees and payment: rs,",http://www.dgshipping.gov.lk/web/index.php?lang=en,
downloadable_form,pass,Published downloadable form: http://www.dgshipping.gov.lk/web/images/2026/Notices/APPLICATION_FOR_REGISTRATION_AS_EXTERNAL_RESOURCE_PERSON-2.pdf,http://www.dgshipping.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 0. 011 210570,http://www.dgshipping.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 011-2105700 ,http://www.dgshipping.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 011-2430277 ,http://www.dgshipping.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 011 2105700 ,http://www.dgshipping.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 011-2435127 ,http://www.dgshipping.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 0 011 210570,http://www.dgshipping.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 070-1107787 ,http://www.dgshipping.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 011 2105710 ,http://www.dgshipping.gov.lk/web/index.php?lang=en,
postal_address,pass,Published postal address: of the person or organization making the submission; Relevant contact details; and Specific observations and comments to,http://www.dgshipping.gov.lk/web/index.php?lang=en,
named_responsibility,pass,Published named responsibility: director,http://www.dgshipping.gov.lk/web/index.php?lang=en,
eligibility_criteria,pass,Published eligibility criteria: eligibility,http://www.dgshipping.gov.lk/web/index.php?lang=en,
legal_basis,pass,Published legal basis: regulations,http://www.dgshipping.gov.lk/web/index.php?lang=en,
fees_and_payment,pass,"Published fees and payment: rs,",http://www.dgshipping.gov.lk/web/index.php?lang=en,
downloadable_form,pass,Published downloadable form: http://www.dgshipping.gov.lk/web/images/2026/Notices/APPLICATION_FOR_REGISTRATION_AS_EXTERNAL_RESOURCE_PERSON-2.pdf,http://www.dgshipping.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 0000000066 ,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0000000101 ,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0000000183 ,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0000064994 ,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0000000180 ,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0000000071 ,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0 0 333 333 0 5,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0000000088 ,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0000000126 ,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0000000017 ,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0000109778 ,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0000073476 ,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0000002913 ,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0000000055 ,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0000000195 ,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0000000222 ,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0000000116 ,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0000000109 ,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0000000107 ,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0000000218 ,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0000000212 ,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0000000230 ,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0000000099 ,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0000000279 ,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0000002639 ,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0 0 287 348 28,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 04 604 604 60,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0000000214 ,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0000000217 ,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0000000155 ,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0000000081 ,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0000122108 ,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0000115457 ,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0000000277 ,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
phone,pass,Published phone: 0 0 408 0 0 833 ,http://www.dgshipping.gov.lk/web/images/2026/MSS_Noties/BID_DOCUMENT_SECURITY_SERVICE.pdf,
