check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:28:45.311638+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:28:45.311656+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:28:45.349260+05:30
http,pass,Probe 1: HTTP 200 at https://www.esn.ac.lk/,https://www.esn.ac.lk/,2026-09-08T23:29:00.443800+05:30
http,pass,Probe 2: HTTP 200 at https://www.esn.ac.lk/,http://www.esn.ac.lk/,2026-09-08T23:29:00.443832+05:30
http,pass,Probe 3: HTTP 200 at https://www.esn.ac.lk/,https://www.esn.ac.lk/,2026-09-08T23:29:00.443836+05:30
http,pass,Probe 4: HTTP 200 at https://www.esn.ac.lk/,http://www.esn.ac.lk/,2026-09-08T23:29:00.443839+05:30
http,pass,Probe 5: HTTP 200 at https://www.esn.ac.lk/office-vice-chancellor,https://www.esn.ac.lk/office-vice-chancellor,2026-09-08T23:29:00.443842+05:30
http,pass,Probe 6: HTTP 200 at https://www.esn.ac.lk/office-of-the-registrar,https://www.esn.ac.lk/office-of-the-registrar,2026-09-08T23:29:00.443845+05:30
http,pass,Probe 7: HTTP 200 at https://www.esn.ac.lk/office-of-the-bursar,https://www.esn.ac.lk/office-of-the-bursar,2026-09-08T23:29:00.443848+05:30
http,pass,Probe 8: HTTP 200 at https://www.esn.ac.lk/academic-affairs-department,https://www.esn.ac.lk/academic-affairs-department,2026-09-08T23:29:00.443851+05:30
http,pass,Probe 9: HTTP 200 at https://www.esn.ac.lk/establishment-department,https://www.esn.ac.lk/establishment-department,2026-09-08T23:29:00.443854+05:30
http,pass,Probe 10: HTTP 200 at https://www.esn.ac.lk/office-of-the-bursar/finance-accounts-and-budget,https://www.esn.ac.lk/office-of-the-bursar/finance-accounts-and-budget,2026-09-08T23:29:00.443857+05:30
http,pass,Probe 11: HTTP 200 at https://www.esn.ac.lk/office-of-the-bursar/finance-payments,https://www.esn.ac.lk/office-of-the-bursar/finance-payments,2026-09-08T23:29:00.443860+05:30
http,pass,Probe 12: HTTP 200 at https://www.esn.ac.lk/office-of-the-bursar/finance-stores-and-supplies,https://www.esn.ac.lk/office-of-the-bursar/finance-stores-and-supplies,2026-09-08T23:29:00.443863+05:30
http,pass,Probe 13: HTTP 200 at https://www.esn.ac.lk/contact,https://www.esn.ac.lk/contact,2026-09-08T23:29:00.443866+05:30
http,pass,Probe 14: HTTP 200 at https://www.esn.ac.lk/office-of-the-bursar/finance-stores-and-supplies/announcement/bid-pv2026,https://www.esn.ac.lk/office-of-the-bursar/finance-stores-and-supplies/announcement/bid-pv2026,2026-09-08T23:29:00.443869+05:30
phone,pass,Published phone: +94 65-2240730 ,https://www.esn.ac.lk/,
phone,pass,Published phone: +94652240490,https://www.esn.ac.lk/,
phone,pass,Published phone: +94 65-2240490 ,https://www.esn.ac.lk/,
phone,pass,Published phone: +94 65-2240490,https://www.esn.ac.lk/,
phone,pass,Published phone: +94652240590,https://www.esn.ac.lk/,
phone,pass,Published phone: +94 65-2240590 ,https://www.esn.ac.lk/,
email,pass,Published email: receptions@esn.ac.lk,https://www.esn.ac.lk/,
email,pass,Published email: reception@esn.ac.lk,https://www.esn.ac.lk/,
email,pass,Published email: vc@esn.ac.lk,https://www.esn.ac.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.esn.ac.lk/,
fees_and_payment,pass,Published fees and payment: rs 2026,https://www.esn.ac.lk/,
phone,pass,Published phone: +94 65-2240730 ,https://www.esn.ac.lk/,
phone,pass,Published phone: +94652240490,https://www.esn.ac.lk/,
phone,pass,Published phone: +94 65-2240490 ,https://www.esn.ac.lk/,
phone,pass,Published phone: +94 65-2240490,https://www.esn.ac.lk/,
phone,pass,Published phone: +94652240590,https://www.esn.ac.lk/,
phone,pass,Published phone: +94 65-2240590 ,https://www.esn.ac.lk/,
email,pass,Published email: receptions@esn.ac.lk,https://www.esn.ac.lk/,
email,pass,Published email: reception@esn.ac.lk,https://www.esn.ac.lk/,
email,pass,Published email: vc@esn.ac.lk,https://www.esn.ac.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.esn.ac.lk/,
fees_and_payment,pass,Published fees and payment: rs 2026,https://www.esn.ac.lk/,
phone,pass,Published phone: +94 65-2240730 ,https://www.esn.ac.lk/,
phone,pass,Published phone: +94652240490,https://www.esn.ac.lk/,
phone,pass,Published phone: +94 65-2240490 ,https://www.esn.ac.lk/,
phone,pass,Published phone: +94 65-2240490,https://www.esn.ac.lk/,
phone,pass,Published phone: +94652240590,https://www.esn.ac.lk/,
phone,pass,Published phone: +94 65-2240590 ,https://www.esn.ac.lk/,
email,pass,Published email: receptions@esn.ac.lk,https://www.esn.ac.lk/,
email,pass,Published email: reception@esn.ac.lk,https://www.esn.ac.lk/,
email,pass,Published email: vc@esn.ac.lk,https://www.esn.ac.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.esn.ac.lk/,
fees_and_payment,pass,Published fees and payment: rs 2026,https://www.esn.ac.lk/,
phone,pass,Published phone: +94 65-2240730 ,https://www.esn.ac.lk/,
phone,pass,Published phone: +94652240490,https://www.esn.ac.lk/,
phone,pass,Published phone: +94 65-2240490 ,https://www.esn.ac.lk/,
phone,pass,Published phone: +94 65-2240490,https://www.esn.ac.lk/,
phone,pass,Published phone: +94652240590,https://www.esn.ac.lk/,
phone,pass,Published phone: +94 65-2240590 ,https://www.esn.ac.lk/,
email,pass,Published email: receptions@esn.ac.lk,https://www.esn.ac.lk/,
email,pass,Published email: reception@esn.ac.lk,https://www.esn.ac.lk/,
email,pass,Published email: vc@esn.ac.lk,https://www.esn.ac.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.esn.ac.lk/,
fees_and_payment,pass,Published fees and payment: rs 2026,https://www.esn.ac.lk/,
phone,pass,Published phone: +94 65-2240730 ,https://www.esn.ac.lk/office-vice-chancellor,
phone,pass,Published phone: 0094652240588,https://www.esn.ac.lk/office-vice-chancellor,
phone,pass,Published phone: +94652240490,https://www.esn.ac.lk/office-vice-chancellor,
phone,pass,Published phone: 0094652240531,https://www.esn.ac.lk/office-vice-chancellor,
phone,pass,Published phone: +94 65 2240549 (,https://www.esn.ac.lk/office-vice-chancellor,
phone,pass,Published phone: +94 65-2240490 ,https://www.esn.ac.lk/office-vice-chancellor,
phone,pass,Published phone: +94 65 2240588 ,https://www.esn.ac.lk/office-vice-chancellor,
phone,pass,Published phone: +94 65-2240490,https://www.esn.ac.lk/office-vice-chancellor,
phone,pass,Published phone: 0094652240549,https://www.esn.ac.lk/office-vice-chancellor,
phone,pass,Published phone: +94652240590,https://www.esn.ac.lk/office-vice-chancellor,
phone,pass,Published phone: +94 65 2240531 ,https://www.esn.ac.lk/office-vice-chancellor,
phone,pass,Published phone: +94 65-2240590 ,https://www.esn.ac.lk/office-vice-chancellor,
phone,pass,Published phone: +94 65 2240531 (,https://www.esn.ac.lk/office-vice-chancellor,
email,pass,Published email: reception@esn.ac.lk,https://www.esn.ac.lk/office-vice-chancellor,
email,pass,Published email: peratheepan2002@yahoo.com,https://www.esn.ac.lk/office-vice-chancellor,
email,pass,Published email: receptions@esn.ac.lk,https://www.esn.ac.lk/office-vice-chancellor,
email,pass,Published email: vc@esn.ac.lk,https://www.esn.ac.lk/office-vice-chancellor,
email,pass,Published email: peratheepanp@esn.ac.lk,https://www.esn.ac.lk/office-vice-chancellor,
named_responsibility,pass,Published named responsibility: director,https://www.esn.ac.lk/office-vice-chancellor,
phone,pass,Published phone: +94 65-2240730 ,https://www.esn.ac.lk/office-of-the-registrar,
phone,pass,Published phone: 065 224 0533 (,https://www.esn.ac.lk/office-of-the-registrar,
phone,pass,Published phone: +94652240490,https://www.esn.ac.lk/office-of-the-registrar,
phone,pass,Published phone: 065-2240585 ,https://www.esn.ac.lk/office-of-the-registrar,
phone,pass,Published phone: +94 65-2240490 ,https://www.esn.ac.lk/office-of-the-registrar,
phone,pass,Published phone: +94 65-2240490,https://www.esn.ac.lk/office-of-the-registrar,
phone,pass,Published phone: 0652240533,https://www.esn.ac.lk/office-of-the-registrar,
phone,pass,Published phone: +94652240590,https://www.esn.ac.lk/office-of-the-registrar,
phone,pass,Published phone: 065 224 0585 ,https://www.esn.ac.lk/office-of-the-registrar,
phone,pass,Published phone: 065-2240533 ,https://www.esn.ac.lk/office-of-the-registrar,
phone,pass,Published phone: +94 65-2240590 ,https://www.esn.ac.lk/office-of-the-registrar,
email,pass,Published email: registrar@esn.ac.lk,https://www.esn.ac.lk/office-of-the-registrar,
email,pass,Published email: reception@esn.ac.lk,https://www.esn.ac.lk/office-of-the-registrar,
email,pass,Published email: vc@esn.ac.lk,https://www.esn.ac.lk/office-of-the-registrar,
email,pass,Published email: receptions@esn.ac.lk,https://www.esn.ac.lk/office-of-the-registrar,
named_responsibility,pass,Published named responsibility: director,https://www.esn.ac.lk/office-of-the-registrar,
phone,pass,Published phone: +94 65-2240730 ,https://www.esn.ac.lk/office-of-the-bursar,
phone,pass,Published phone: +94652240490,https://www.esn.ac.lk/office-of-the-bursar,
phone,pass,Published phone: 0652240212,https://www.esn.ac.lk/office-of-the-bursar,
phone,pass,Published phone: +94 65-2240490 ,https://www.esn.ac.lk/office-of-the-bursar,
phone,pass,Published phone: +94 65-2240490,https://www.esn.ac.lk/office-of-the-bursar,
phone,pass,Published phone: +94652240590,https://www.esn.ac.lk/office-of-the-bursar,
phone,pass,Published phone: 065 2240212 ,https://www.esn.ac.lk/office-of-the-bursar,
phone,pass,Published phone: +94 65-2240590 ,https://www.esn.ac.lk/office-of-the-bursar,
email,pass,Published email: receptions@esn.ac.lk,https://www.esn.ac.lk/office-of-the-bursar,
email,pass,Published email: reception@esn.ac.lk,https://www.esn.ac.lk/office-of-the-bursar,
email,pass,Published email: vc@esn.ac.lk,https://www.esn.ac.lk/office-of-the-bursar,
email,pass,Published email: bursareusl@esn.ac.lk,https://www.esn.ac.lk/office-of-the-bursar,
named_responsibility,pass,Published named responsibility: director,https://www.esn.ac.lk/office-of-the-bursar,
legal_basis,pass,Published legal basis: regulations,https://www.esn.ac.lk/office-of-the-bursar,
phone,pass,Published phone: +94 65-2240730 ,https://www.esn.ac.lk/academic-affairs-department,
phone,pass,Published phone: +94652240490,https://www.esn.ac.lk/academic-affairs-department,
phone,pass,Published phone: +94 65-2240490 ,https://www.esn.ac.lk/academic-affairs-department,
phone,pass,Published phone: +94 65-2240490,https://www.esn.ac.lk/academic-affairs-department,
phone,pass,Published phone: +94652240584,https://www.esn.ac.lk/academic-affairs-department,
phone,pass,Published phone: +94652240590,https://www.esn.ac.lk/academic-affairs-department,
phone,pass,Published phone: +94 65-2240590 ,https://www.esn.ac.lk/academic-affairs-department,
email,pass,Published email: receptions@esn.ac.lk,https://www.esn.ac.lk/academic-affairs-department,
email,pass,Published email: reception@esn.ac.lk,https://www.esn.ac.lk/academic-affairs-department,
email,pass,Published email: vc@esn.ac.lk,https://www.esn.ac.lk/academic-affairs-department,
email,pass,Published email: examination@esn.ac.lk,https://www.esn.ac.lk/academic-affairs-department,
named_responsibility,pass,Published named responsibility: director,https://www.esn.ac.lk/academic-affairs-department,
legal_basis,pass,Published legal basis: regulations,https://www.esn.ac.lk/academic-affairs-department,
phone,pass,Published phone: +94 65-2240730 ,https://www.esn.ac.lk/establishment-department,
