check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:03:23.946804+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:03:23.946837+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:03:23.978069+05:30
http,pass,Probe 1: HTTP 200 at https://www.exway.rda.gov.lk/exway/index.php,https://www.exway.rda.gov.lk/exway/index.php,2026-09-09T00:03:39.310084+05:30
http,pass,Probe 2: HTTP 200 at https://www.exway.rda.gov.lk/exway/index.php,http://www.exway.rda.gov.lk/exway/index.php,2026-09-09T00:03:39.310108+05:30
http,pass,Probe 3: HTTP 200 at https://www.exway.rda.gov.lk/exway/index.php,https://www.exway.rda.gov.lk/exway/index.php,2026-09-09T00:03:39.310112+05:30
http,pass,Probe 4: HTTP 200 at https://www.exway.rda.gov.lk/exway/index.php,http://www.exway.rda.gov.lk/exway/index.php,2026-09-09T00:03:39.310115+05:30
http,pass,Probe 5: HTTP 200 at https://www.exway.rda.gov.lk/exway/index.html,https://www.exway.rda.gov.lk/exway/index.html,2026-09-09T00:03:39.310117+05:30
http,pass,Probe 6: HTTP 200 at https://www.exway.rda.gov.lk/exway/index.php?page=home,https://www.exway.rda.gov.lk/exway/index.php?page=home,2026-09-09T00:03:39.310120+05:30
http,pass,Probe 7: HTTP 200 at https://www.exway.rda.gov.lk/exway/index.php?page=userguide,https://www.exway.rda.gov.lk/exway/index.php?page=userguide,2026-09-09T00:03:39.310124+05:30
http,pass,Probe 8: HTTP 200 at https://www.exway.rda.gov.lk/exway/index.php?page=tollrates,https://www.exway.rda.gov.lk/exway/index.php?page=tollrates,2026-09-09T00:03:39.310127+05:30
http,pass,Probe 9: HTTP 200 at https://www.exway.rda.gov.lk/exway/index.php?page=services,https://www.exway.rda.gov.lk/exway/index.php?page=services,2026-09-09T00:03:39.310129+05:30
http,pass,Probe 10: HTTP 200 at https://www.exway.rda.gov.lk/etconline/en,https://www.exway.rda.gov.lk/etconline/en,2026-09-09T00:03:39.310133+05:30
http,pass,Probe 11: HTTP 200 at https://www.exway.rda.gov.lk/exway/index.php?page=downloads,https://www.exway.rda.gov.lk/exway/index.php?page=downloads,2026-09-09T00:03:39.310136+05:30
http,pass,Probe 12: HTTP 200 at https://www.exway.rda.gov.lk/exway/index.php?page=about,https://www.exway.rda.gov.lk/exway/index.php?page=about,2026-09-09T00:03:39.310138+05:30
http,pass,Probe 13: HTTP 200 at https://www.exway.rda.gov.lk/exway/index.php?page=contact,https://www.exway.rda.gov.lk/exway/index.php?page=contact,2026-09-09T00:03:39.310141+05:30
http,pass,Probe 14: HTTP 200 at https://www.exway.rda.gov.lk/exway/index.php?page=faq,https://www.exway.rda.gov.lk/exway/index.php?page=faq,2026-09-09T00:03:39.310143+05:30
phone,pass,Published phone: 1969,https://www.exway.rda.gov.lk/exway/index.php,
email,pass,Published email: heademu@yahoo.com,https://www.exway.rda.gov.lk/exway/index.php,
named_responsibility,pass,Published named responsibility: division,https://www.exway.rda.gov.lk/exway/index.php,
legal_basis,pass,Published legal basis: regulations,https://www.exway.rda.gov.lk/exway/index.php,
phone,pass,Published phone: 1969,https://www.exway.rda.gov.lk/exway/index.php,
email,pass,Published email: heademu@yahoo.com,https://www.exway.rda.gov.lk/exway/index.php,
named_responsibility,pass,Published named responsibility: division,https://www.exway.rda.gov.lk/exway/index.php,
legal_basis,pass,Published legal basis: regulations,https://www.exway.rda.gov.lk/exway/index.php,
phone,pass,Published phone: 1969,https://www.exway.rda.gov.lk/exway/index.php,
email,pass,Published email: heademu@yahoo.com,https://www.exway.rda.gov.lk/exway/index.php,
named_responsibility,pass,Published named responsibility: division,https://www.exway.rda.gov.lk/exway/index.php,
legal_basis,pass,Published legal basis: regulations,https://www.exway.rda.gov.lk/exway/index.php,
phone,pass,Published phone: 1969,https://www.exway.rda.gov.lk/exway/index.php,
email,pass,Published email: heademu@yahoo.com,https://www.exway.rda.gov.lk/exway/index.php,
named_responsibility,pass,Published named responsibility: division,https://www.exway.rda.gov.lk/exway/index.php,
