check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:52:40.717035+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:52:40.717052+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:52:40.738835+05:30
http,pass,Probe 1: HTTP 200 at https://www.gjrti.gov.lk/,https://www.gjrti.gov.lk/,2026-09-08T23:53:09.472228+05:30
http,pass,Probe 2: HTTP 200 at https://www.gjrti.gov.lk/,http://www.gjrti.gov.lk/,2026-09-08T23:53:09.472251+05:30
http,pass,Probe 3: HTTP 200 at https://www.gjrti.gov.lk/,https://www.gjrti.gov.lk/,2026-09-08T23:53:09.472255+05:30
http,pass,Probe 4: HTTP 200 at https://www.gjrti.gov.lk/,http://www.gjrti.gov.lk/,2026-09-08T23:53:09.472258+05:30
http,pass,Probe 5: HTTP 200 at https://www.gjrti.gov.lk/kaduwela-head-office/,https://www.gjrti.gov.lk/kaduwela-head-office/,2026-09-08T23:53:09.472260+05:30
http,pass,Probe 6: HTTP 200 at https://www.gjrti.gov.lk/contact-us/,https://www.gjrti.gov.lk/contact-us/,2026-09-08T23:53:09.472263+05:30
http,pass,Probe 7: HTTP 200 at https://www.gjrti.gov.lk/directors-and-divisional-heads/,https://www.gjrti.gov.lk/directors-and-divisional-heads/,2026-09-08T23:53:09.472265+05:30
http,pass,Probe 8: HTTP 200 at https://www.gjrti.gov.lk/research-division/,https://www.gjrti.gov.lk/research-division/,2026-09-08T23:53:09.472268+05:30
http,pass,Probe 9: HTTP 200 at https://www.gjrti.gov.lk/training-division/,https://www.gjrti.gov.lk/training-division/,2026-09-08T23:53:09.472271+05:30
http,pass,Probe 10: HTTP 200 at https://www.gjrti.gov.lk/services/,https://www.gjrti.gov.lk/services/,2026-09-08T23:53:09.472273+05:30
http,pass,Probe 11: HTTP 200 at https://www.gjrti.gov.lk/gem-exploration-services/,https://www.gjrti.gov.lk/gem-exploration-services/,2026-09-08T23:53:09.472276+05:30
http,pass,Probe 12: HTTP 200 at https://www.gjrti.gov.lk/laboratory-services/,https://www.gjrti.gov.lk/laboratory-services/,2026-09-08T23:53:09.472278+05:30
http,pass,Probe 13: HTTP 200 at https://www.gjrti.gov.lk/gem-treatment-services/,https://www.gjrti.gov.lk/gem-treatment-services/,2026-09-08T23:53:09.472281+05:30
