check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:23:58.107596+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:23:58.107615+05:30
tls_expired,fail,TLS certificate has expired,,2026-09-08T23:23:58.145739+05:30
tls_browser_error,fail,"Probe 1: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.hindudept.gov.lk'. (_ssl.c:1032)",https://www.hindudept.gov.lk/,2026-09-08T23:24:16.966933+05:30
http,pass,Probe 2: HTTP 200 at http://www.hindudept.gov.lk/,http://www.hindudept.gov.lk/,2026-09-08T23:24:16.966956+05:30
tls_browser_error,fail,"Probe 3: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.hindudept.gov.lk'. (_ssl.c:1032)",https://www.hindudept.gov.lk/,2026-09-08T23:24:16.966960+05:30
http,pass,Probe 4: HTTP 200 at http://www.hindudept.gov.lk/,http://www.hindudept.gov.lk/,2026-09-08T23:24:16.966963+05:30
http,pass,Probe 5: HTTP 200 at http://www.hindudept.gov.lk/web/index.php?lang=si,http://www.hindudept.gov.lk/web/index.php?lang=si,2026-09-08T23:24:16.966967+05:30
http,pass,Probe 6: HTTP 200 at http://www.hindudept.gov.lk/web/index.php?lang=en,http://www.hindudept.gov.lk/web/index.php?lang=en,2026-09-08T23:24:16.966969+05:30
http,pass,Probe 7: HTTP 200 at http://www.hindudept.gov.lk/web/index.php?lang=ta,http://www.hindudept.gov.lk/web/index.php?lang=ta,2026-09-08T23:24:16.966972+05:30
http,pass,Probe 8: HTTP 200 at http://www.hindudept.gov.lk/web/index.php,http://www.hindudept.gov.lk/web/index.php,2026-09-08T23:24:16.966975+05:30
http,pass,Probe 9: HTTP 200 at http://www.hindudept.gov.lk/web/index.php?option=com_content&view=frontpage&Itemid=1&lang=si,http://www.hindudept.gov.lk/web/index.php?option=com_content&view=frontpage&Itemid=1&lang=si,2026-09-08T23:24:16.966977+05:30
http,pass,Probe 10: HTTP 200 at http://www.hindudept.gov.lk/web/index.php?option=com_content&view=article&id=47&Itemid=37&lang=si,http://www.hindudept.gov.lk/web/index.php?option=com_content&view=article&id=47&Itemid=37&lang=si,2026-09-08T23:24:16.966980+05:30
