check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:33:13.430268+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:33:13.430286+05:30
tls_expired,fail,TLS certificate has expired,,2026-09-08T23:33:13.454911+05:30
tls_browser_error,fail,Probe 1: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1032),https://www.mgncoe.sch.lk/,2026-09-08T23:33:27.934597+05:30
http,pass,Probe 2: HTTP 200 at http://www.mgncoe.sch.lk/,http://www.mgncoe.sch.lk/,2026-09-08T23:33:27.934616+05:30
tls_browser_error,fail,Probe 3: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1032),https://www.mgncoe.sch.lk/,2026-09-08T23:33:27.934620+05:30
http,pass,Probe 4: HTTP 200 at http://www.mgncoe.sch.lk/,http://www.mgncoe.sch.lk/,2026-09-08T23:33:27.934623+05:30
http,pass,Probe 5: HTTP 200 at http://www.mgncoe.sch.lk/?m=home,http://www.mgncoe.sch.lk/?m=home,2026-09-08T23:33:27.934626+05:30
http,pass,Probe 6: HTTP 200 at http://www.mgncoe.sch.lk/?m=history,http://www.mgncoe.sch.lk/?m=history,2026-09-08T23:33:27.934629+05:30
http,pass,Probe 7: HTTP 200 at http://www.mgncoe.sch.lk/?m=news,http://www.mgncoe.sch.lk/?m=news,2026-09-08T23:33:27.934631+05:30
http,pass,Probe 8: HTTP 200 at http://www.mgncoe.sch.lk/?m=staffs,http://www.mgncoe.sch.lk/?m=staffs,2026-09-08T23:33:27.934634+05:30
http,pass,Probe 9: HTTP 200 at http://www.mgncoe.sch.lk/?m=courses,http://www.mgncoe.sch.lk/?m=courses,2026-09-08T23:33:27.934636+05:30
http,pass,Probe 10: HTTP 200 at http://www.mgncoe.sch.lk/?m=gallery,http://www.mgncoe.sch.lk/?m=gallery,2026-09-08T23:33:27.934639+05:30
http,pass,Probe 11: HTTP 200 at http://www.mgncoe.sch.lk/?m=contact,http://www.mgncoe.sch.lk/?m=contact,2026-09-08T23:33:27.934641+05:30
http,pass,Probe 12: HTTP 200 at http://www.mgncoe.sch.lk/login/,http://www.mgncoe.sch.lk/login/,2026-09-08T23:33:27.934644+05:30
http,pass,Probe 13: HTTP 200 at http://www.mgncoe.sch.lk/login/sign-up.php,http://www.mgncoe.sch.lk/login/sign-up.php,2026-09-08T23:33:27.934646+05:30
http,pass,Probe 14: HTTP 200 at http://www.mgncoe.sch.lk/login/,http://www.mgncoe.sch.lk/login,2026-09-08T23:33:27.934649+05:30
phone,pass,Published phone: 011 2850201 ,http://www.mgncoe.sch.lk/,
phone,pass,Published phone: 011 2845520 ,http://www.mgncoe.sch.lk/,
phone,pass,Published phone: 011 2845510 ,http://www.mgncoe.sch.lk/,
phone,pass,Published phone: 011 2845430 ,http://www.mgncoe.sch.lk/,
email,pass,Published email: admin@mgncoe.sch.lk,http://www.mgncoe.sch.lk/,
named_responsibility,pass,Published named responsibility: director,http://www.mgncoe.sch.lk/,
legal_basis,pass,Published legal basis: gazette,http://www.mgncoe.sch.lk/,
phone,pass,Published phone: 011 2850201 ,http://www.mgncoe.sch.lk/,
phone,pass,Published phone: 011 2845520 ,http://www.mgncoe.sch.lk/,
phone,pass,Published phone: 011 2845510 ,http://www.mgncoe.sch.lk/,
phone,pass,Published phone: 011 2845430 ,http://www.mgncoe.sch.lk/,
email,pass,Published email: admin@mgncoe.sch.lk,http://www.mgncoe.sch.lk/,
named_responsibility,pass,Published named responsibility: director,http://www.mgncoe.sch.lk/,
legal_basis,pass,Published legal basis: gazette,http://www.mgncoe.sch.lk/,
phone,pass,Published phone: 011 2850201 ,http://www.mgncoe.sch.lk/?m=home,
phone,pass,Published phone: 011 2845520 ,http://www.mgncoe.sch.lk/?m=home,
phone,pass,Published phone: 011 2845510 ,http://www.mgncoe.sch.lk/?m=home,
phone,pass,Published phone: 011 2845430 ,http://www.mgncoe.sch.lk/?m=home,
email,pass,Published email: admin@mgncoe.sch.lk,http://www.mgncoe.sch.lk/?m=home,
named_responsibility,pass,Published named responsibility: director,http://www.mgncoe.sch.lk/?m=home,
legal_basis,pass,Published legal basis: gazette,http://www.mgncoe.sch.lk/?m=home,
generic_hosting,fail,Detected generic hosting marker: under construction,http://www.mgncoe.sch.lk/?m=history,
phone,pass,Published phone: 011 2850201 ,http://www.mgncoe.sch.lk/?m=history,
phone,pass,Published phone: 011 2845520 ,http://www.mgncoe.sch.lk/?m=history,
phone,pass,Published phone: 011 2845510 ,http://www.mgncoe.sch.lk/?m=history,
phone,pass,Published phone: 011 2845430 ,http://www.mgncoe.sch.lk/?m=history,
email,pass,Published email: admin@mgncoe.sch.lk,http://www.mgncoe.sch.lk/?m=history,
phone,pass,Published phone: 011 2850201 ,http://www.mgncoe.sch.lk/?m=news,
phone,pass,Published phone: 011 2845520 ,http://www.mgncoe.sch.lk/?m=news,
phone,pass,Published phone: 011 2845510 ,http://www.mgncoe.sch.lk/?m=news,
phone,pass,Published phone: 011 2845430 ,http://www.mgncoe.sch.lk/?m=news,
email,pass,Published email: admin@mgncoe.sch.lk,http://www.mgncoe.sch.lk/?m=news,
phone,pass,Published phone: 011 2850201 ,http://www.mgncoe.sch.lk/?m=staffs,
phone,pass,Published phone: 011 2845520 ,http://www.mgncoe.sch.lk/?m=staffs,
phone,pass,Published phone: 011 2845510 ,http://www.mgncoe.sch.lk/?m=staffs,
phone,pass,Published phone: 011 2845430 ,http://www.mgncoe.sch.lk/?m=staffs,
email,pass,Published email: admin@mgncoe.sch.lk,http://www.mgncoe.sch.lk/?m=staffs,
phone,pass,Published phone: 011 2850201 ,http://www.mgncoe.sch.lk/?m=courses,
phone,pass,Published phone: 011 2845520 ,http://www.mgncoe.sch.lk/?m=courses,
phone,pass,Published phone: 011 2845510 ,http://www.mgncoe.sch.lk/?m=courses,
phone,pass,Published phone: 011 2845430 ,http://www.mgncoe.sch.lk/?m=courses,
email,pass,Published email: admin@mgncoe.sch.lk,http://www.mgncoe.sch.lk/?m=courses,
phone,pass,Published phone: 011 2850201 ,http://www.mgncoe.sch.lk/?m=gallery,
phone,pass,Published phone: 011 2845520 ,http://www.mgncoe.sch.lk/?m=gallery,
phone,pass,Published phone: 011 2845510 ,http://www.mgncoe.sch.lk/?m=gallery,
phone,pass,Published phone: 011 2845430 ,http://www.mgncoe.sch.lk/?m=gallery,
email,pass,Published email: admin@mgncoe.sch.lk,http://www.mgncoe.sch.lk/?m=gallery,
phone,pass,Published phone: 011 2850201 ,http://www.mgncoe.sch.lk/?m=contact,
