check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:04:53.918969+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:04:53.918987+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:04:54.028181+05:30
http,pass,Probe 1: HTTP 200 at https://moe.gov.lk/en/welcome/,https://www.moe.gov.lk/,2026-09-09T00:05:07.164728+05:30
http,pass,Probe 2: HTTP 200 at https://moe.gov.lk/en/welcome/,http://www.moe.gov.lk/,2026-09-09T00:05:07.164750+05:30
http,pass,Probe 3: HTTP 200 at https://moe.gov.lk/en/welcome/,https://www.moe.gov.lk/,2026-09-09T00:05:07.164754+05:30
http,pass,Probe 4: HTTP 200 at https://moe.gov.lk/en/welcome/,http://www.moe.gov.lk/,2026-09-09T00:05:07.164758+05:30
http,pass,Probe 5: HTTP 200 at https://moe.gov.lk/en/welcome/,https://moe.gov.lk/,2026-09-09T00:05:07.164760+05:30
phone,pass,Published phone: 0.720325630,https://moe.gov.lk/en/welcome/,
phone,pass,Published phone: 0.720325630,https://moe.gov.lk/en/welcome/,
phone,pass,Published phone: 0.720325630,https://moe.gov.lk/en/welcome/,
phone,pass,Published phone: 0.720325630,https://moe.gov.lk/en/welcome/,
phone,pass,Published phone: 0.720325630,https://moe.gov.lk/en/welcome/,
page_text,pass,Substantive page content: 203 visible characters across 5 pages,https://www.moe.gov.lk/,
