check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:07:11.227744+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:07:11.227765+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:07:11.260457+05:30
http,pass,Probe 1: HTTP 200 at https://www.mrds.gov.lk/,https://www.mrds.gov.lk/,2026-09-09T00:07:28.484870+05:30
http,pass,Probe 2: HTTP 200 at https://www.mrds.gov.lk/,http://www.mrds.gov.lk/,2026-09-09T00:07:28.484896+05:30
http,pass,Probe 3: HTTP 200 at https://www.mrds.gov.lk/,https://www.mrds.gov.lk/,2026-09-09T00:07:28.484899+05:30
http,pass,Probe 4: HTTP 200 at https://www.mrds.gov.lk/,http://www.mrds.gov.lk/,2026-09-09T00:07:28.484902+05:30
http,pass,Probe 5: HTTP 200 at https://www.mrds.gov.lk/infor_officer.html,https://www.mrds.gov.lk/infor_officer.html,2026-09-09T00:07:28.484905+05:30
http,pass,Probe 6: HTTP 200 at https://www.mrds.gov.lk/iau_contact.html,https://www.mrds.gov.lk/iau_contact.html,2026-09-09T00:07:28.484908+05:30
http,pass,Probe 7: HTTP 200 at https://www.mrds.gov.lk/counseling_division.html,https://www.mrds.gov.lk/counseling_division.html,2026-09-09T00:07:28.484911+05:30
http,pass,Probe 8: HTTP 200 at https://www.mrds.gov.lk/contact_details.html,https://www.mrds.gov.lk/contact_details.html,2026-09-09T00:07:28.484914+05:30
http,pass,Probe 9: HTTP 200 at https://www.mrds.gov.lk/index.html,https://www.mrds.gov.lk/index.html,2026-09-09T00:07:28.484917+05:30
http,pass,Probe 10: HTTP 200 at https://www.mrds.gov.lk/vision_mission.html,https://www.mrds.gov.lk/vision_mission.html,2026-09-09T00:07:28.484919+05:30
http,pass,Probe 11: HTTP 200 at https://www.mrds.gov.lk/Introduction.html,https://www.mrds.gov.lk/Introduction.html,2026-09-09T00:07:28.484922+05:30
http,pass,Probe 12: HTTP 200 at https://www.mrds.gov.lk/function.html,https://www.mrds.gov.lk/function.html,2026-09-09T00:07:28.484925+05:30
http,pass,Probe 13: HTTP 200 at https://www.mrds.gov.lk/organi-chart.html,https://www.mrds.gov.lk/organi-chart.html,2026-09-09T00:07:28.484927+05:30
http,pass,Probe 14: HTTP 200 at https://www.mrds.gov.lk/application_forms.html,https://www.mrds.gov.lk/application_forms.html,2026-09-09T00:07:28.484930+05:30
phone,pass,Published phone: 011 288 7350 ,https://www.mrds.gov.lk/,
phone,pass,Published phone: 011 288 7351 ,https://www.mrds.gov.lk/,
phone,pass,Published phone: 0112-187040. ,https://www.mrds.gov.lk/,
phone,pass,Published phone: 0707898889. ,https://www.mrds.gov.lk/,
phone,pass,Published phone: 011 288 7349 ,https://www.mrds.gov.lk/,
phone,pass,Published phone: 011 287 7125 ,https://www.mrds.gov.lk/,
phone,pass,Published phone: 0112-187039. ,https://www.mrds.gov.lk/,
email,pass,Published email: rdsscesecretary@sltnet.lk,https://www.mrds.gov.lk/,
email,pass,Published email: contact@example.com,https://www.mrds.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.mrds.gov.lk/,
legal_basis,pass,Published legal basis: circular,https://www.mrds.gov.lk/,
fees_and_payment,pass,Published fees and payment: Rs. 23,https://www.mrds.gov.lk/,
processing_time,pass,Published processing time: 06 months,https://www.mrds.gov.lk/,
phone,pass,Published phone: 011 288 7350 ,https://www.mrds.gov.lk/,
phone,pass,Published phone: 011 288 7351 ,https://www.mrds.gov.lk/,
phone,pass,Published phone: 0112-187040. ,https://www.mrds.gov.lk/,
phone,pass,Published phone: 0707898889. ,https://www.mrds.gov.lk/,
phone,pass,Published phone: 011 288 7349 ,https://www.mrds.gov.lk/,
phone,pass,Published phone: 011 287 7125 ,https://www.mrds.gov.lk/,
phone,pass,Published phone: 0112-187039. ,https://www.mrds.gov.lk/,
email,pass,Published email: rdsscesecretary@sltnet.lk,https://www.mrds.gov.lk/,
email,pass,Published email: contact@example.com,https://www.mrds.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.mrds.gov.lk/,
legal_basis,pass,Published legal basis: circular,https://www.mrds.gov.lk/,
fees_and_payment,pass,Published fees and payment: Rs. 23,https://www.mrds.gov.lk/,
processing_time,pass,Published processing time: 06 months,https://www.mrds.gov.lk/,
phone,pass,Published phone: 011 288 7350 ,https://www.mrds.gov.lk/,
phone,pass,Published phone: 011 288 7351 ,https://www.mrds.gov.lk/,
phone,pass,Published phone: 0112-187040. ,https://www.mrds.gov.lk/,
phone,pass,Published phone: 0707898889. ,https://www.mrds.gov.lk/,
phone,pass,Published phone: 011 288 7349 ,https://www.mrds.gov.lk/,
phone,pass,Published phone: 011 287 7125 ,https://www.mrds.gov.lk/,
phone,pass,Published phone: 0112-187039. ,https://www.mrds.gov.lk/,
email,pass,Published email: rdsscesecretary@sltnet.lk,https://www.mrds.gov.lk/,
email,pass,Published email: contact@example.com,https://www.mrds.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.mrds.gov.lk/,
legal_basis,pass,Published legal basis: circular,https://www.mrds.gov.lk/,
fees_and_payment,pass,Published fees and payment: Rs. 23,https://www.mrds.gov.lk/,
processing_time,pass,Published processing time: 06 months,https://www.mrds.gov.lk/,
phone,pass,Published phone: 011 288 7350 ,https://www.mrds.gov.lk/,
phone,pass,Published phone: 011 288 7351 ,https://www.mrds.gov.lk/,
phone,pass,Published phone: 0112-187040. ,https://www.mrds.gov.lk/,
phone,pass,Published phone: 0707898889. ,https://www.mrds.gov.lk/,
phone,pass,Published phone: 011 288 7349 ,https://www.mrds.gov.lk/,
phone,pass,Published phone: 011 287 7125 ,https://www.mrds.gov.lk/,
phone,pass,Published phone: 0112-187039. ,https://www.mrds.gov.lk/,
email,pass,Published email: rdsscesecretary@sltnet.lk,https://www.mrds.gov.lk/,
email,pass,Published email: contact@example.com,https://www.mrds.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.mrds.gov.lk/,
legal_basis,pass,Published legal basis: circular,https://www.mrds.gov.lk/,
fees_and_payment,pass,Published fees and payment: Rs. 23,https://www.mrds.gov.lk/,
processing_time,pass,Published processing time: 06 months,https://www.mrds.gov.lk/,
