check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:00:57.764731+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:00:57.764750+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:00:57.913489+05:30
http,pass,Probe 1: HTTP 200 at https://www.nastec.gov.lk/,https://www.nastec.gov.lk/,2026-09-09T00:01:11.195061+05:30
http,pass,Probe 2: HTTP 200 at http://www.nastec.gov.lk/,http://www.nastec.gov.lk/,2026-09-09T00:01:11.195085+05:30
http,pass,Probe 3: HTTP 200 at https://www.nastec.gov.lk/,https://www.nastec.gov.lk/,2026-09-09T00:01:11.195089+05:30
http,pass,Probe 4: HTTP 200 at http://www.nastec.gov.lk/,http://www.nastec.gov.lk/,2026-09-09T00:01:11.195092+05:30
http,pass,Probe 5: HTTP 200 at https://www.nastec.gov.lk/home/post_of_office_aide,https://www.nastec.gov.lk/home/post_of_office_aide,2026-09-09T00:01:11.195094+05:30
http,pass,Probe 6: HTTP 200 at https://www.nastec.gov.lk/contacts/contact_us,https://www.nastec.gov.lk/contacts/contact_us,2026-09-09T00:01:11.195097+05:30
http,pass,Probe 7: HTTP 200 at https://www.nastec.gov.lk/pages/home,https://www.nastec.gov.lk/pages/home,2026-09-09T00:01:11.195099+05:30
http,pass,Probe 8: HTTP 200 at https://www.nastec.gov.lk/aboutus/about_us,https://www.nastec.gov.lk/aboutus/about_us,2026-09-09T00:01:11.195102+05:30
http,pass,Probe 9: HTTP 200 at https://www.nastec.gov.lk/home/nastec_act,https://www.nastec.gov.lk/home/nastec_act,2026-09-09T00:01:11.195104+05:30
http,pass,Probe 10: HTTP 200 at https://www.nastec.gov.lk/aboutus/history_of_nastec,https://www.nastec.gov.lk/aboutus/history_of_nastec,2026-09-09T00:01:11.195107+05:30
http,pass,Probe 11: HTTP 200 at https://www.nastec.gov.lk/aboutus/vision_mission,https://www.nastec.gov.lk/aboutus/vision_mission,2026-09-09T00:01:11.195110+05:30
http,pass,Probe 12: HTTP 200 at https://www.nastec.gov.lk/objectives/objective,https://www.nastec.gov.lk/objectives/objective,2026-09-09T00:01:11.195112+05:30
http,pass,Probe 13: HTTP 200 at https://www.nastec.gov.lk/aboutus/commission,https://www.nastec.gov.lk/aboutus/commission,2026-09-09T00:01:11.195115+05:30
http,pass,Probe 14: HTTP 200 at https://www.nastec.gov.lk/aboutus/staff,https://www.nastec.gov.lk/aboutus/staff,2026-09-09T00:01:11.195117+05:30
phone,pass,Published phone: 011 - 2 186 713 ,https://www.nastec.gov.lk/,
phone,pass,Published phone: 011 - 2 186 711 ,https://www.nastec.gov.lk/,
email,pass,Published email: info@nastec.gov.lk,https://www.nastec.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.nastec.gov.lk/,
phone,pass,Published phone: 011 - 2 186 713 ,http://www.nastec.gov.lk/,
phone,pass,Published phone: 011 - 2 186 711 ,http://www.nastec.gov.lk/,
email,pass,Published email: info@nastec.gov.lk,http://www.nastec.gov.lk/,
named_responsibility,pass,Published named responsibility: director,http://www.nastec.gov.lk/,
phone,pass,Published phone: 011 - 2 186 713 ,https://www.nastec.gov.lk/,
phone,pass,Published phone: 011 - 2 186 711 ,https://www.nastec.gov.lk/,
email,pass,Published email: info@nastec.gov.lk,https://www.nastec.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.nastec.gov.lk/,
phone,pass,Published phone: 011 - 2 186 713 ,http://www.nastec.gov.lk/,
phone,pass,Published phone: 011 - 2 186 711 ,http://www.nastec.gov.lk/,
email,pass,Published email: info@nastec.gov.lk,http://www.nastec.gov.lk/,
named_responsibility,pass,Published named responsibility: director,http://www.nastec.gov.lk/,
phone,pass,Published phone: 011 - 2 186 713 ,https://www.nastec.gov.lk/home/post_of_office_aide,
phone,pass,Published phone: 011 - 2 186 711 ,https://www.nastec.gov.lk/home/post_of_office_aide,
email,pass,Published email: info@nastec.gov.lk,https://www.nastec.gov.lk/home/post_of_office_aide,
named_responsibility,pass,Published named responsibility: department,https://www.nastec.gov.lk/home/post_of_office_aide,
phone,pass,Published phone: +94)77 399 8949 ,https://www.nastec.gov.lk/contacts/contact_us,
phone,pass,Published phone: +94)11 2 186 719 ,https://www.nastec.gov.lk/contacts/contact_us,
phone,pass,Published phone: +94)71 942 0381 ,https://www.nastec.gov.lk/contacts/contact_us,
phone,pass,Published phone: 011 - 2 186 713 ,https://www.nastec.gov.lk/contacts/contact_us,
phone,pass,Published phone: 011 - 2 186 711 ,https://www.nastec.gov.lk/contacts/contact_us,
email,pass,Published email: info@nastec.gov.lk,https://www.nastec.gov.lk/contacts/contact_us,
email,pass,Published email: jgrlakmali@gmail.com,https://www.nastec.gov.lk/contacts/contact_us,
email,pass,Published email: shahmy_phr@yahoo.com,https://www.nastec.gov.lk/contacts/contact_us,
email,pass,Published email: shahmy.s@nastec.gov.lk,https://www.nastec.gov.lk/contacts/contact_us,
