check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:59:09.657395+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:59:09.657421+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:59:09.844196+05:30
http,pass,Probe 1: HTTP 200 at https://www.nddcb.gov.lk/,https://www.nddcb.gov.lk/,2026-09-08T23:59:27.221360+05:30
http,pass,Probe 2: HTTP 200 at https://www.nddcb.gov.lk/,http://www.nddcb.gov.lk/,2026-09-08T23:59:27.221383+05:30
http,pass,Probe 3: HTTP 200 at https://www.nddcb.gov.lk/,https://www.nddcb.gov.lk/,2026-09-08T23:59:27.221387+05:30
http,pass,Probe 4: HTTP 200 at https://www.nddcb.gov.lk/,http://www.nddcb.gov.lk/,2026-09-08T23:59:27.221389+05:30
http,pass,Probe 5: HTTP 200 at https://www.nddcb.gov.lk/research-division.php,https://www.nddcb.gov.lk/research-division.php,2026-09-08T23:59:27.221392+05:30
http,pass,Probe 6: HTTP 200 at https://www.nddcb.gov.lk/pca-division.php,https://www.nddcb.gov.lk/pca-division.php,2026-09-08T23:59:27.221394+05:30
http,pass,Probe 7: HTTP 200 at https://www.nddcb.gov.lk/treatment-and-rehabilitation-division.php,https://www.nddcb.gov.lk/treatment-and-rehabilitation-division.php,2026-09-08T23:59:27.221397+05:30
http,pass,Probe 8: HTTP 200 at https://www.nddcb.gov.lk/outreach-division.php,https://www.nddcb.gov.lk/outreach-division.php,2026-09-08T23:59:27.221399+05:30
http,pass,Probe 9: HTTP 200 at https://www.nddcb.gov.lk/contact.php,https://www.nddcb.gov.lk/contact.php,2026-09-08T23:59:27.221402+05:30
http,pass,Probe 10: HTTP 200 at https://www.nddcb.gov.lk/index.php,https://www.nddcb.gov.lk/index.php,2026-09-08T23:59:27.221404+05:30
http,pass,Probe 11: HTTP 200 at https://www.nddcb.gov.lk/about-us.php,https://www.nddcb.gov.lk/about-us.php,2026-09-08T23:59:27.221407+05:30
http,pass,Probe 12: HTTP 200 at https://www.nddcb.gov.lk/national-narcotics-laboratory-nnl.php,https://www.nddcb.gov.lk/national-narcotics-laboratory-nnl.php,2026-09-08T23:59:27.221409+05:30
http,pass,Probe 13: HTTP 200 at https://www.nddcb.gov.lk/preventive-education-and-training-unit.php,https://www.nddcb.gov.lk/preventive-education-and-training-unit.php,2026-09-08T23:59:27.221412+05:30
http,pass,Probe 14: HTTP 200 at https://www.nddcb.gov.lk/designated-and-private-treatment-centers.php,https://www.nddcb.gov.lk/designated-and-private-treatment-centers.php,2026-09-08T23:59:27.221414+05:30
phone,pass,Published phone: +94 33 2283060 ,https://www.nddcb.gov.lk/,
phone,pass,Published phone: +94 91 2224443 ,https://www.nddcb.gov.lk/,
phone,pass,Published phone: +94 81 2315504 ,https://www.nddcb.gov.lk/,
phone,pass,Published phone: +94 11 2868794 ,https://www.nddcb.gov.lk/,
phone,pass,Published phone: +94 11 2788090 ,https://www.nddcb.gov.lk/,
phone,pass,Published phone: +94 11 2868792 ,https://www.nddcb.gov.lk/,
email,pass,Published email: navadiganthaya@nddcb.gov.lk,https://www.nddcb.gov.lk/,
email,pass,Published email: sethsevana@nddcb.gov.lk,https://www.nddcb.gov.lk/,
email,pass,Published email: mail@nddcb.gov.lk,https://www.nddcb.gov.lk/,
email,pass,Published email: mithsevana@nddcb.gov.lk,https://www.nddcb.gov.lk/,
email,pass,Published email: methsevana@nddcb.gov.lk,https://www.nddcb.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.nddcb.gov.lk/,
phone,pass,Published phone: +94 33 2283060 ,https://www.nddcb.gov.lk/,
phone,pass,Published phone: +94 91 2224443 ,https://www.nddcb.gov.lk/,
phone,pass,Published phone: +94 81 2315504 ,https://www.nddcb.gov.lk/,
phone,pass,Published phone: +94 11 2868794 ,https://www.nddcb.gov.lk/,
phone,pass,Published phone: +94 11 2788090 ,https://www.nddcb.gov.lk/,
phone,pass,Published phone: +94 11 2868792 ,https://www.nddcb.gov.lk/,
email,pass,Published email: navadiganthaya@nddcb.gov.lk,https://www.nddcb.gov.lk/,
email,pass,Published email: sethsevana@nddcb.gov.lk,https://www.nddcb.gov.lk/,
email,pass,Published email: mail@nddcb.gov.lk,https://www.nddcb.gov.lk/,
email,pass,Published email: mithsevana@nddcb.gov.lk,https://www.nddcb.gov.lk/,
email,pass,Published email: methsevana@nddcb.gov.lk,https://www.nddcb.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.nddcb.gov.lk/,
phone,pass,Published phone: +94 33 2283060 ,https://www.nddcb.gov.lk/,
phone,pass,Published phone: +94 91 2224443 ,https://www.nddcb.gov.lk/,
phone,pass,Published phone: +94 81 2315504 ,https://www.nddcb.gov.lk/,
phone,pass,Published phone: +94 11 2868794 ,https://www.nddcb.gov.lk/,
phone,pass,Published phone: +94 11 2788090 ,https://www.nddcb.gov.lk/,
phone,pass,Published phone: +94 11 2868792 ,https://www.nddcb.gov.lk/,
email,pass,Published email: navadiganthaya@nddcb.gov.lk,https://www.nddcb.gov.lk/,
email,pass,Published email: sethsevana@nddcb.gov.lk,https://www.nddcb.gov.lk/,
email,pass,Published email: mail@nddcb.gov.lk,https://www.nddcb.gov.lk/,
email,pass,Published email: mithsevana@nddcb.gov.lk,https://www.nddcb.gov.lk/,
