check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:40:22.159473+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:40:22.159493+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:40:22.476748+05:30
http,pass,Probe 1: HTTP 200 at https://www.nitf.lk/,https://www.nitf.lk/,2026-09-08T23:40:37.226511+05:30
http,error,Probe 2: Server disconnected without sending a response.,http://www.nitf.lk/,2026-09-08T23:40:37.226532+05:30
http,pass,Probe 3: HTTP 200 at https://www.nitf.lk/,https://www.nitf.lk/,2026-09-08T23:40:37.226536+05:30
http,error,Probe 4: Server disconnected without sending a response.,http://www.nitf.lk/,2026-09-08T23:40:37.226539+05:30
http,pass,Probe 5: HTTP 200 at https://www.nitf.lk/en/contact.php,https://www.nitf.lk/en/contact.php,2026-09-08T23:40:37.226542+05:30
http,pass,Probe 6: HTTP 200 at https://www.nitf.lk/en/member_login/signup.php,https://www.nitf.lk/en/member_login/signup.php,2026-09-08T23:40:37.226545+05:30
http,pass,Probe 7: HTTP 200 at https://www.nitf.lk/en/member_login/signin.php,https://www.nitf.lk/en/member_login/signin.php,2026-09-08T23:40:37.226548+05:30
http,pass,Probe 8: HTTP 200 at https://www.nitf.lk/en/member_login/forgot-password.php,https://www.nitf.lk/en/member_login/forgot-password.php,2026-09-08T23:40:37.226550+05:30
http,pass,Probe 9: HTTP 200 at https://www.nitf.lk/en/faq.php,https://www.nitf.lk/en/faq.php,2026-09-08T23:40:37.226553+05:30
http,pass,Probe 10: HTTP 200 at https://www.nitf.lk/en/ilogin.php,https://www.nitf.lk/en/ilogin.php,2026-09-08T23:40:37.226556+05:30
http,pass,Probe 11: HTTP 200 at https://www.nitf.lk/en/hwp.php,https://www.nitf.lk/en/hwp.php,2026-09-08T23:40:37.226558+05:30
http,pass,Probe 12: HTTP 200 at https://www.nitf.lk/sawp/login.php,https://www.nitf.lk/sawp/login.php,2026-09-08T23:40:37.226561+05:30
http,pass,Probe 13: HTTP 200 at https://www.nitf.lk/index.html,https://www.nitf.lk/index.html,2026-09-08T23:40:37.226563+05:30
http,pass,Probe 14: HTTP 200 at https://www.nitf.lk/en/about.php,https://www.nitf.lk/en/about.php,2026-09-08T23:40:37.226565+05:30
phone,pass,Published phone: +94711784547,https://www.nitf.lk/,
phone,pass,Published phone: +94 71 206 5549 ,https://www.nitf.lk/,
phone,pass,Published phone: +94 71 178 4552 ,https://www.nitf.lk/,
phone,pass,Published phone: +94712065549,https://www.nitf.lk/,
phone,pass,Published phone: +94 71 178 4547 ,https://www.nitf.lk/,
phone,pass,Published phone: +94 71 022 4121 ,https://www.nitf.lk/,
phone,pass,Published phone: +94 112 026 600 ,https://www.nitf.lk/,
phone,pass,Published phone: 025 2024 202,https://www.nitf.lk/,
phone,pass,Published phone: +94711784552,https://www.nitf.lk/,
phone,pass,Published phone: +94710224121,https://www.nitf.lk/,
email,pass,Published email: awp@nitf.lk,https://www.nitf.lk/,
email,pass,Published email: mail@nitf.lk,https://www.nitf.lk/,
postal_address,pass,Published postal address: customer complaints and ensure a resolution at the earliest. Discover More Quick Links About Us Downloads News Help & FA,https://www.nitf.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.nitf.lk/,
legal_basis,pass,Published legal basis: circular,https://www.nitf.lk/,
fees_and_payment,pass,"Published fees and payment: rs 171,748",https://www.nitf.lk/,
phone,pass,Published phone: +94711784547,https://www.nitf.lk/,
phone,pass,Published phone: +94 71 206 5549 ,https://www.nitf.lk/,
phone,pass,Published phone: +94 71 178 4552 ,https://www.nitf.lk/,
phone,pass,Published phone: +94712065549,https://www.nitf.lk/,
phone,pass,Published phone: +94 71 178 4547 ,https://www.nitf.lk/,
phone,pass,Published phone: +94 71 022 4121 ,https://www.nitf.lk/,
phone,pass,Published phone: +94 112 026 600 ,https://www.nitf.lk/,
phone,pass,Published phone: 025 2024 202,https://www.nitf.lk/,
phone,pass,Published phone: +94711784552,https://www.nitf.lk/,
phone,pass,Published phone: +94710224121,https://www.nitf.lk/,
email,pass,Published email: awp@nitf.lk,https://www.nitf.lk/,
email,pass,Published email: mail@nitf.lk,https://www.nitf.lk/,
postal_address,pass,Published postal address: customer complaints and ensure a resolution at the earliest. Discover More Quick Links About Us Downloads News Help & FA,https://www.nitf.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.nitf.lk/,
legal_basis,pass,Published legal basis: circular,https://www.nitf.lk/,
fees_and_payment,pass,"Published fees and payment: rs 171,748",https://www.nitf.lk/,
phone,pass,Published phone: +94 112 026 600 ,https://www.nitf.lk/en/contact.php,
phone,pass,Published phone: +94) 114 321 600 (,https://www.nitf.lk/en/contact.php,
phone,pass,Published phone: +94) 112 026 600 (,https://www.nitf.lk/en/contact.php,
email,pass,Published email: mail@nitf.lk,https://www.nitf.lk/en/contact.php,
postal_address,pass,"Published postal address: NEW CHANDRA MOTORS No.190, Dr.N.M.Perera Mawatha,Colombo 08 LIYANAGE MOTORS No.164/F,Main Street,Battaramulla CHANDRASIR",https://www.nitf.lk/en/contact.php,
named_responsibility,pass,Published named responsibility: director,https://www.nitf.lk/en/contact.php,
legal_basis,pass,Published legal basis: circular,https://www.nitf.lk/en/contact.php,
phone,pass,Published phone: +94 112 026 600 ,https://www.nitf.lk/en/faq.php,
email,pass,Published email: mail@nitf.lk,https://www.nitf.lk/en/faq.php,
postal_address,pass,"Published postal address: NEW CHANDRA MOTORS No.190, Dr.N.M.Perera Mawatha,Colombo 08 LIYANAGE MOTORS No.164/F,Main Street,Battaramulla CHANDRASIR",https://www.nitf.lk/en/faq.php,
named_responsibility,pass,Published named responsibility: officer in charge,https://www.nitf.lk/en/faq.php,
legal_basis,pass,Published legal basis: circular,https://www.nitf.lk/en/faq.php,
fees_and_payment,pass,Published fees and payment: Rs. 3000,https://www.nitf.lk/en/faq.php,
processing_time,pass,Published processing time: 10 days,https://www.nitf.lk/en/faq.php,
named_responsibility,pass,Published named responsibility: department,https://www.nitf.lk/en/ilogin.php,
phone,pass,Published phone: +94711784547,https://www.nitf.lk/index.html,
phone,pass,Published phone: +94 71 206 5549 ,https://www.nitf.lk/index.html,
phone,pass,Published phone: +94 71 178 4552 ,https://www.nitf.lk/index.html,
phone,pass,Published phone: +94712065549,https://www.nitf.lk/index.html,
phone,pass,Published phone: +94 71 178 4547 ,https://www.nitf.lk/index.html,
phone,pass,Published phone: +94 71 022 4121 ,https://www.nitf.lk/index.html,
phone,pass,Published phone: +94 112 026 600 ,https://www.nitf.lk/index.html,
phone,pass,Published phone: 025 2024 202,https://www.nitf.lk/index.html,
phone,pass,Published phone: +94711784552,https://www.nitf.lk/index.html,
phone,pass,Published phone: +94710224121,https://www.nitf.lk/index.html,
email,pass,Published email: awp@nitf.lk,https://www.nitf.lk/index.html,
email,pass,Published email: mail@nitf.lk,https://www.nitf.lk/index.html,
postal_address,pass,Published postal address: customer complaints and ensure a resolution at the earliest. Discover More Quick Links About Us Downloads News Help & FA,https://www.nitf.lk/index.html,
named_responsibility,pass,Published named responsibility: director,https://www.nitf.lk/index.html,
legal_basis,pass,Published legal basis: circular,https://www.nitf.lk/index.html,
fees_and_payment,pass,"Published fees and payment: rs 171,748",https://www.nitf.lk/index.html,
phone,pass,Published phone: +94 113 131 111 ,https://www.nitf.lk/en/about.php,
phone,pass,Published phone: +94 760 526 131 ,https://www.nitf.lk/en/about.php,
phone,pass,Published phone: +94 112 026 662 ,https://www.nitf.lk/en/about.php,
phone,pass,Published phone: +94 714 285 074 ,https://www.nitf.lk/en/about.php,
phone,pass,Published phone: +94 706 411 511 ,https://www.nitf.lk/en/about.php,
phone,pass,Published phone: +94 112 026 689 ,https://www.nitf.lk/en/about.php,
phone,pass,Published phone: +94 112 026 670 ,https://www.nitf.lk/en/about.php,
phone,pass,Published phone: +94 112 026 673 ,https://www.nitf.lk/en/about.php,
phone,pass,Published phone: +94 718 693 448 ,https://www.nitf.lk/en/about.php,
phone,pass,Published phone: +94 716 242 242 ,https://www.nitf.lk/en/about.php,
phone,pass,Published phone: +94 112 338 778 ,https://www.nitf.lk/en/about.php,
phone,pass,Published phone: +94 112 421 765 ,https://www.nitf.lk/en/about.php,
phone,pass,Published phone: +94 112 026 661 ,https://www.nitf.lk/en/about.php,
