check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:00:47.990464+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:00:47.990484+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:00:48.545461+05:30
http,pass,Probe 1: HTTP 200 at https://www.nrc.gov.lk/,https://www.nrc.gov.lk/,2026-09-09T00:01:18.449294+05:30
http,pass,Probe 2: HTTP 200 at https://www.nrc.gov.lk/,http://www.nrc.gov.lk/,2026-09-09T00:01:18.449323+05:30
http,pass,Probe 3: HTTP 200 at https://www.nrc.gov.lk/,https://www.nrc.gov.lk/,2026-09-09T00:01:18.449327+05:30
http,pass,Probe 4: HTTP 200 at https://www.nrc.gov.lk/,http://www.nrc.gov.lk/,2026-09-09T00:01:18.449330+05:30
http,pass,Probe 5: HTTP 200 at https://www.nrc.gov.lk/index.php/contact-nrc-staff/,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,2026-09-09T00:01:18.449333+05:30
http,pass,Probe 6: HTTP 200 at https://www.nrc.gov.lk/index.php/contact-nrc/,https://www.nrc.gov.lk/index.php/contact-nrc/,2026-09-09T00:01:18.449336+05:30
http,pass,Probe 7: HTTP 200 at https://www.nrc.gov.lk/nrcaccount/index.php/auth/login,https://www.nrc.gov.lk/nrcaccount/index.php/auth/login,2026-09-09T00:01:18.449339+05:30
http,pass,Probe 8: HTTP 200 at https://www.nrc.gov.lk/index.php/blog/,https://www.nrc.gov.lk/index.php/blog/,2026-09-09T00:01:18.449341+05:30
http,pass,Probe 9: HTTP 200 at https://www.nrc.gov.lk/index.php/newsletters/,https://www.nrc.gov.lk/index.php/newsletters,2026-09-09T00:01:18.449344+05:30
http,pass,Probe 10: HTTP 200 at https://www.nrc.gov.lk/index.php/about-us/,https://www.nrc.gov.lk/index.php/about-us/,2026-09-09T00:01:18.449347+05:30
http,pass,Probe 11: HTTP 200 at https://www.nrc.gov.lk/index.php/nrcact/,https://www.nrc.gov.lk/index.php/nrcact/,2026-09-09T00:01:18.449349+05:30
http,pass,Probe 12: HTTP 200 at https://www.nrc.gov.lk/wp-content/uploads/2024/06/NRC-IPR-Policy.pdf,https://www.nrc.gov.lk/wp-content/uploads/2024/06/NRC-IPR-Policy.pdf,2026-09-09T00:01:18.449352+05:30
http,pass,Probe 13: HTTP 200 at https://www.nrc.gov.lk/index.php/chairman/,https://www.nrc.gov.lk/index.php/chairman/,2026-09-09T00:01:18.449354+05:30
http,pass,Probe 14: HTTP 200 at https://www.nrc.gov.lk/index.php/former-chairman/,https://www.nrc.gov.lk/index.php/former-chairman/,2026-09-09T00:01:18.449357+05:30
phone,pass,Published phone: +94 11 2675430 ,https://www.nrc.gov.lk/,
phone,pass,Published phone: +94 11 2675176 ,https://www.nrc.gov.lk/,
phone,pass,Published phone: +94 11 2675136 ,https://www.nrc.gov.lk/,
postal_address,pass,"Published postal address: National Research Council 120/07, Vidya Mawatha Colombo 07, Sri Lanka. Contact Information Tel: +94 11 2675430 Tel: +94 ",https://www.nrc.gov.lk/,
phone,pass,Published phone: +94 11 2675430 ,https://www.nrc.gov.lk/,
phone,pass,Published phone: +94 11 2675176 ,https://www.nrc.gov.lk/,
phone,pass,Published phone: +94 11 2675136 ,https://www.nrc.gov.lk/,
postal_address,pass,"Published postal address: National Research Council 120/07, Vidya Mawatha Colombo 07, Sri Lanka. Contact Information Tel: +94 11 2675430 Tel: +94 ",https://www.nrc.gov.lk/,
phone,pass,Published phone: +94 11 2675430 ,https://www.nrc.gov.lk/,
phone,pass,Published phone: +94 11 2675176 ,https://www.nrc.gov.lk/,
phone,pass,Published phone: +94 11 2675136 ,https://www.nrc.gov.lk/,
postal_address,pass,"Published postal address: National Research Council 120/07, Vidya Mawatha Colombo 07, Sri Lanka. Contact Information Tel: +94 11 2675430 Tel: +94 ",https://www.nrc.gov.lk/,
phone,pass,Published phone: +94 11 2675430 ,https://www.nrc.gov.lk/,
phone,pass,Published phone: +94 11 2675176 ,https://www.nrc.gov.lk/,
phone,pass,Published phone: +94 11 2675136 ,https://www.nrc.gov.lk/,
postal_address,pass,"Published postal address: National Research Council 120/07, Vidya Mawatha Colombo 07, Sri Lanka. Contact Information Tel: +94 11 2675430 Tel: +94 ",https://www.nrc.gov.lk/,
phone,pass,Published phone: 0714533415 ,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
phone,pass,Published phone: +94 11 2675176 ,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
phone,pass,Published phone: 0714533419 ,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
phone,pass,Published phone: +94 11 2675430 ,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
phone,pass,Published phone: 0714533413 ,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
phone,pass,Published phone: 0714533420 ,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
phone,pass,Published phone: 0112675176 ,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
phone,pass,Published phone: 0714533418 ,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
phone,pass,Published phone: 0701743469 ,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
phone,pass,Published phone: 0714533411 ,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
phone,pass,Published phone: +94 11 2675136 ,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
phone,pass,Published phone: 0714533414 ,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
phone,pass,Published phone: 0714533417 ,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
phone,pass,Published phone: +94) 71 8565259 ,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
phone,pass,Published phone: 0701743471 ,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
phone,pass,Published phone: 0701743468 ,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
phone,pass,Published phone: 0714533416 ,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
email,pass,Published email: monitoring@nrc.gov.lk,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
email,pass,Published email: shanika.ceo@nrc.gov.lk,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
email,pass,Published email: accounts.officer@nrc.gov.lk,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
email,pass,Published email: shanika.nrc@gmail.com,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
email,pass,Published email: procurement@nrc.gov.lk,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
email,pass,Published email: praneeth.nrc@gmail.com,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
email,pass,Published email: thilini@nrc.gov.lk,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
email,pass,Published email: idg@nrc.gov.lk,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
email,pass,Published email: ad.aandf@nrc.gov.lk,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
email,pass,Published email: targetoriented@nrc.gov.lk,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
email,pass,Published email: nadeeka@nrc.gov.lk,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
email,pass,Published email: dilushi@nrc.gov.lk,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
email,pass,Published email: payments@nrc.gov.lk,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
email,pass,Published email: admin@nrc.gov.lk,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
email,pass,Published email: ad.sa@nrc.gov.lk,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
email,pass,Published email: accounts@nrc.gov.lk,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
postal_address,pass,"Published postal address: National Research Council 120/07, Vidya Mawatha Colombo 07, Sri Lanka. Contact Information Tel: +94 11 2675430 Tel: +94 ",https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
named_responsibility,pass,Published named responsibility: director,https://www.nrc.gov.lk/index.php/contact-nrc-staff/,
phone,pass,Published phone: +94 011 267517,https://www.nrc.gov.lk/index.php/contact-nrc/,
phone,pass,Published phone: +94 11 2675176 ,https://www.nrc.gov.lk/index.php/contact-nrc/,
phone,pass,Published phone: +94 011 267513,https://www.nrc.gov.lk/index.php/contact-nrc/,
phone,pass,Published phone: +94 011 267543,https://www.nrc.gov.lk/index.php/contact-nrc/,
phone,pass,Published phone: +94 11 2675136 ,https://www.nrc.gov.lk/index.php/contact-nrc/,
phone,pass,Published phone: +94 11 2675430 ,https://www.nrc.gov.lk/index.php/contact-nrc/,
postal_address,pass,"Published postal address: National Research Council 120/07, Vidya Mawatha Colombo 07, Sri Lanka. Contact Information Tel: +94 11 2675430 Tel: +94 ",https://www.nrc.gov.lk/index.php/contact-nrc/,
phone,pass,Published phone: +94 11 2675176 ,https://www.nrc.gov.lk/index.php/blog/,
phone,pass,Published phone: 0 11 12 13 14 1,https://www.nrc.gov.lk/index.php/blog/,
phone,pass,Published phone: +94 11 2675136 ,https://www.nrc.gov.lk/index.php/blog/,
phone,pass,Published phone: +94 11 2675430 ,https://www.nrc.gov.lk/index.php/blog/,
phone,pass,Published phone: 0 21 22 23 24 2,https://www.nrc.gov.lk/index.php/blog/,
postal_address,pass,"Published postal address: National Research Council 120/07, Vidya Mawatha Colombo 07, Sri Lanka. Contact Information Tel: +94 11 2675430 Tel: +94 ",https://www.nrc.gov.lk/index.php/blog/,
phone,pass,Published phone: +94 11 2675430 ,https://www.nrc.gov.lk/index.php/newsletters/,
phone,pass,Published phone: +94 11 2675176 ,https://www.nrc.gov.lk/index.php/newsletters/,
phone,pass,Published phone: +94 11 2675136 ,https://www.nrc.gov.lk/index.php/newsletters/,
postal_address,pass,"Published postal address: National Research Council 120/07, Vidya Mawatha Colombo 07, Sri Lanka. Contact Information Tel: +94 11 2675430 Tel: +94 ",https://www.nrc.gov.lk/index.php/newsletters/,
phone,pass,Published phone: +94 11 2675430 ,https://www.nrc.gov.lk/index.php/about-us/,
phone,pass,Published phone: +94 11 2675176 ,https://www.nrc.gov.lk/index.php/about-us/,
phone,pass,Published phone: +94 11 2675136 ,https://www.nrc.gov.lk/index.php/about-us/,
postal_address,pass,"Published postal address: National Research Council 120/07, Vidya Mawatha Colombo 07, Sri Lanka. Contact Information Tel: +94 11 2675430 Tel: +94 ",https://www.nrc.gov.lk/index.php/about-us/,
