check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:28:42.864052+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:28:42.864072+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:28:45.222263+05:30
http,pass,Probe 1: HTTP 200 at https://ou.ac.lk/,https://www.ou.ac.lk/,2026-09-08T23:29:02.335689+05:30
http,pass,Probe 2: HTTP 200 at https://ou.ac.lk/,http://www.ou.ac.lk/,2026-09-08T23:29:02.335713+05:30
http,pass,Probe 3: HTTP 200 at https://ou.ac.lk/,https://www.ou.ac.lk/,2026-09-08T23:29:02.335717+05:30
http,pass,Probe 4: HTTP 200 at https://ou.ac.lk/,http://www.ou.ac.lk/,2026-09-08T23:29:02.335720+05:30
http,pass,Probe 5: HTTP 200 at https://ou.ac.lk/find-a-contact/,https://ou.ac.lk/find-a-contact/,2026-09-08T23:29:02.335722+05:30
http,pass,Probe 6: HTTP 200 at https://ou.ac.lk/about/administrative-divisions/,https://ou.ac.lk/about/administrative-divisions,2026-09-08T23:29:02.335725+05:30
http,pass,Probe 7: HTTP 200 at https://ou.ac.lk/information-technology-division/,https://ou.ac.lk/information-technology-division/,2026-09-08T23:29:02.335727+05:30
http,pass,Probe 8: HTTP 200 at https://ou.ac.lk/public-information-division/,https://ou.ac.lk/public-information-division/,2026-09-08T23:29:02.335730+05:30
http,pass,Probe 9: HTTP 200 at https://ou.ac.lk/examinations-division/,https://ou.ac.lk/examinations-division/,2026-09-08T23:29:02.335733+05:30
http,pass,Probe 10: HTTP 200 at https://ou.ac.lk/consultancy-and-services/,https://ou.ac.lk/consultancy-and-services/,2026-09-08T23:29:02.335735+05:30
http,pass,Probe 11: HTTP 200 at https://ou.ac.lk/res/,https://ou.ac.lk/res/,2026-09-08T23:29:02.335738+05:30
http,pass,Probe 12: HTTP 200 at https://ou.ac.lk/find-a-programme/?wpv-post_tag=upcoming-programmes,https://ou.ac.lk/find-a-programme/?wpv-post_tag=upcoming-programmes,2026-09-08T23:29:02.335740+05:30
